"date","geography","geography code","Gender identity: Total: All usual residents aged 16 years and over","Gender identity: Gender identity the same as sex registered at birth","Gender identity: Gender identity different from sex registered at birth but no specific identity given","Gender identity: Trans woman","Gender identity: Trans man","Gender identity: All other gender identities","Gender identity: Not answered"
2021,"Brent 004","E02000096",6273,5718,22,7,10,4,512
2021,"Brent 005","E02000097",7757,6827,56,15,18,3,838
2021,"Brent 006","E02000098",7155,6274,37,11,19,4,810
2021,"Brent 007","E02000099",7541,6486,59,20,39,5,932
2021,"Brent 008","E02000100",7180,6389,32,13,14,15,717
2021,"Brent 009","E02000101",7932,7084,53,18,13,9,755
2021,"Brent 010","E02000102",6226,5459,71,19,30,2,645
2021,"Brent 011","E02000103",7850,6879,38,20,12,5,896
2021,"Brent 012","E02000104",6265,5525,29,10,10,3,688
2021,"Brent 013","E02000105",7853,6958,58,15,15,6,801
2021,"Brent 014","E02000106",8260,7171,72,33,22,7,955
2021,"Brent 015","E02000107",9061,7972,77,23,40,9,940
2021,"Brent 016","E02000108",5857,5217,41,10,10,5,574
2021,"Brent 018","E02000110",6769,5994,28,18,15,13,701
2021,"Brent 019","E02000111",9036,7956,88,28,50,1,913
2021,"Brent 020","E02000112",9702,8605,72,21,20,5,979
2021,"Brent 021","E02000113",7432,6572,51,18,85,1,705
2021,"Brent 022","E02000114",7599,6692,61,18,19,28,781
2021,"Brent 023","E02000115",7290,6578,59,8,14,8,623
2021,"Brent 024","E02000116",6673,5911,63,19,15,5,660
2021,"Brent 025","E02000117",9680,8619,77,23,28,9,924
2021,"Brent 026","E02000118",9249,8150,75,17,22,4,981
2021,"Brent 027","E02000119",8172,7260,57,30,58,5,762
2021,"Brent 028","E02000120",7609,6903,36,9,6,14,641
2021,"Brent 029","E02000121",9845,8543,129,27,30,13,1103
2021,"Brent 030","E02000122",6691,6157,20,9,4,5,496
2021,"Brent 031","E02000123",10788,9604,104,40,23,17,1000
2021,"Brent 032","E02000124",8117,7446,31,10,10,5,615
2021,"Brent 033","E02000125",8065,7316,27,17,14,10,681
2021,"Brent 034","E02000126",6577,5894,49,11,24,9,590
