"date","geography","geography code","Gender identity: Total: All usual residents aged 16 years and over","Gender identity: Gender identity the same as sex registered at birth","Gender identity: Gender identity different from sex registered at birth but no specific identity given","Gender identity: Trans woman","Gender identity: Trans man","Gender identity: All other gender identities","Gender identity: Not answered"
2021,"Harrow 007","E02000439",7347,6497,59,4,13,2,772
2021,"Harrow 008","E02000440",7697,7005,42,8,14,4,624
2021,"Harrow 009","E02000441",5983,5556,18,12,5,4,388
2021,"Harrow 010","E02000442",7699,6692,94,10,19,4,880
2021,"Harrow 011","E02000443",8386,7330,54,25,20,6,951
2021,"Harrow 012","E02000444",6908,6146,38,17,16,3,688
2021,"Harrow 013","E02000445",9150,7968,78,14,23,13,1054
2021,"Harrow 015","E02000447",6478,5919,27,11,15,3,503
2021,"Harrow 016","E02000448",5646,5196,16,7,1,5,421
2021,"Harrow 017","E02000449",6815,5934,62,12,20,3,784
2021,"Harrow 019","E02000451",5480,5130,18,5,5,2,320
2021,"Harrow 020","E02000452",7529,6765,46,11,17,3,687
2021,"Harrow 021","E02000453",6693,6081,14,8,5,1,584
2021,"Harrow 022","E02000454",5731,5351,13,2,6,1,358
2021,"Harrow 023","E02000455",9515,8579,60,16,19,7,834
2021,"Harrow 024","E02000456",6400,5628,37,8,9,4,714
2021,"Harrow 025","E02000457",5778,5273,24,5,6,7,463
2021,"Harrow 027","E02000459",7344,6646,42,15,9,3,629
2021,"Harrow 028","E02000460",5674,5181,33,9,5,2,444
2021,"Harrow 029","E02000461",5814,5303,19,7,7,5,473
2021,"Harrow 030","E02000462",5647,5088,49,7,11,1,491
2021,"Harrow 031","E02000463",6937,6189,24,9,12,2,701
2021,"Havering 001","E02000464",6065,5659,18,7,5,3,373
2021,"Havering 002","E02000465",7119,6625,13,6,10,8,457
2021,"Havering 003","E02000466",7134,6645,22,12,8,4,443
2021,"Havering 004","E02000467",8364,7747,36,17,14,6,544
2021,"Havering 005","E02000468",6809,6343,23,8,4,2,429
2021,"Havering 006","E02000469",5589,5194,19,15,9,3,349
2021,"Havering 007","E02000470",8048,7494,6,3,9,4,532
2021,"Havering 008","E02000471",6488,6137,13,9,6,4,319
2021,"Havering 009","E02000472",7570,7076,15,10,3,4,462
2021,"Havering 010","E02000473",8379,7940,14,9,13,2,401
2021,"Havering 011","E02000474",7204,6648,21,8,8,0,519
2021,"Havering 012","E02000475",7904,7443,20,2,1,4,434
2021,"Havering 013","E02000476",7553,6980,29,13,14,6,511
2021,"Havering 014","E02000477",7887,7504,10,4,5,1,363
2021,"Havering 015","E02000478",5090,4845,10,4,3,3,225
2021,"Havering 016","E02000479",7499,6959,33,9,11,7,480
2021,"Havering 017","E02000480",10617,9757,64,21,19,5,751
2021,"Havering 018","E02000481",6658,6292,3,4,4,5,350
2021,"Havering 019","E02000482",5412,5124,2,3,7,1,275
2021,"Havering 020","E02000483",6641,6217,14,4,3,2,401
2021,"Havering 021","E02000484",7004,6641,15,5,7,3,333
2021,"Havering 022","E02000485",6884,6516,6,7,4,4,347
2021,"Havering 023","E02000486",6168,5818,9,2,4,3,332
2021,"Havering 024","E02000487",6595,6277,5,4,1,1,307
2021,"Havering 025","E02000488",6345,6052,4,4,1,4,280
2021,"Havering 026","E02000489",6866,6385,13,1,4,4,459
2021,"Havering 027","E02000490",6781,6367,15,8,10,6,375
2021,"Havering 028","E02000491",8249,7653,43,14,16,2,521
2021,"Havering 029","E02000492",5627,5320,10,0,5,0,292
2021,"Havering 030","E02000493",5183,4803,23,9,9,2,337
2021,"Hillingdon 001","E02000494",6589,6128,5,5,3,2,446
2021,"Hillingdon 002","E02000495",8383,7764,25,12,7,1,574
2021,"Hillingdon 003","E02000496",6384,5988,13,3,2,3,375
2021,"Hillingdon 004","E02000497",7607,7091,25,4,6,4,477
2021,"Hillingdon 005","E02000498",5178,4888,14,4,1,2,269
2021,"Hillingdon 006","E02000499",6370,6007,10,5,7,1,340
2021,"Hillingdon 007","E02000500",6920,6512,10,5,5,7,381
2021,"Hillingdon 008","E02000501",6809,6414,8,7,6,3,371
2021,"Hillingdon 009","E02000502",7028,6558,22,7,5,3,433
2021,"Hillingdon 010","E02000503",6954,6513,14,5,7,3,412
2021,"Hillingdon 011","E02000504",6152,5837,2,2,4,4,303
2021,"Hillingdon 013","E02000506",6582,6162,11,6,8,2,393
2021,"Hillingdon 014","E02000507",6402,5981,3,8,7,0,403
2021,"Hillingdon 015","E02000508",9804,8769,22,21,23,15,954
2021,"Hillingdon 016","E02000509",8854,7752,38,21,13,20,1010
2021,"Hillingdon 017","E02000510",7312,6838,18,18,14,4,420
2021,"Hillingdon 018","E02000511",7801,7098,36,20,25,4,618
2021,"Hillingdon 019","E02000512",6813,6260,51,3,6,0,493
2021,"Hillingdon 020","E02000513",7179,6474,63,20,19,1,602
2021,"Hillingdon 021","E02000514",8231,7207,81,24,24,1,894
2021,"Hillingdon 022","E02000515",10428,9650,45,22,19,5,687
2021,"Hillingdon 023","E02000516",6707,5961,61,17,18,1,649
2021,"Hillingdon 024","E02000517",7944,7199,76,22,21,2,624
2021,"Hillingdon 025","E02000518",7374,6796,29,9,40,5,495
2021,"Hillingdon 026","E02000519",7320,6562,37,16,13,2,690
2021,"Hillingdon 027","E02000520",10791,9651,98,34,29,1,978
2021,"Hillingdon 028","E02000521",10054,9191,65,16,22,8,752
2021,"Hillingdon 029","E02000522",7393,6822,41,11,10,6,503
2021,"Hillingdon 030","E02000523",9033,8108,84,28,28,7,778
2021,"Hillingdon 031","E02000524",6063,5523,28,8,15,2,487
2021,"Hillingdon 032","E02000525",7704,6891,67,34,33,2,677
2021,"Hounslow 001","E02000526",7176,6558,10,3,3,8,594
2021,"Hounslow 004","E02000529",7554,6750,47,18,23,1,715
2021,"Hounslow 005","E02000530",6039,5387,69,21,58,6,498
2021,"Hounslow 006","E02000531",9418,8622,62,7,11,9,707
2021,"Hounslow 007","E02000532",7285,6790,9,4,8,8,466
2021,"Hounslow 008","E02000533",6766,6310,18,10,4,8,416
2021,"Hounslow 009","E02000534",6940,6261,20,6,5,8,640
2021,"Hounslow 010","E02000535",8113,7150,57,16,19,2,869
2021,"Hounslow 011","E02000536",8699,7757,55,24,13,0,850
2021,"Hounslow 012","E02000537",8136,7200,47,9,14,2,864
2021,"Hounslow 013","E02000538",8164,7298,57,22,26,4,757
2021,"Hounslow 014","E02000539",9613,8805,31,16,17,5,739
2021,"Hounslow 015","E02000540",9508,8620,75,25,29,8,751
2021,"Hounslow 016","E02000541",8452,7575,43,26,26,1,781
2021,"Hounslow 017","E02000542",9576,8486,73,21,23,2,971
2021,"Hounslow 018","E02000543",10897,9749,95,28,68,9,948
2021,"Hounslow 019","E02000544",7011,6376,23,9,11,2,590
2021,"Hounslow 020","E02000545",7146,6519,26,15,6,4,576
2021,"Hounslow 021","E02000546",8183,7224,66,13,22,4,854
2021,"Hounslow 022","E02000547",8643,7839,110,11,10,4,669
2021,"Hounslow 023","E02000548",8123,7406,53,22,17,0,625
2021,"Hounslow 024","E02000549",10111,9227,59,12,14,4,795
2021,"Hounslow 025","E02000550",8228,7525,35,9,18,1,640
2021,"Hounslow 026","E02000551",7426,6757,32,10,15,2,610
2021,"Hounslow 027","E02000552",7189,6619,29,9,11,2,519
2021,"Hounslow 028","E02000553",5514,5057,35,7,13,0,402
2021,"Islington 001","E02000554",7639,6924,39,32,41,26,577
2021,"Islington 002","E02000555",7967,7321,31,7,11,28,569
2021,"Islington 003","E02000556",9787,8962,27,10,16,34,738
2021,"Islington 004","E02000557",7459,6773,23,13,7,14,629
2021,"Islington 005","E02000558",7615,6816,62,16,22,18,681
2021,"Islington 006","E02000559",7936,7287,21,10,8,15,595
2021,"Islington 007","E02000560",6407,5819,29,16,12,34,497
2021,"Islington 008","E02000561",6286,5867,16,5,4,19,375
2021,"Islington 009","E02000562",6638,6063,22,7,9,17,520
2021,"Islington 010","E02000563",7239,6572,32,14,19,23,579
2021,"Islington 011","E02000564",10813,9942,35,18,14,29,775
2021,"Islington 012","E02000565",7117,6521,29,12,15,19,521
2021,"Islington 013","E02000566",7239,6710,12,4,7,10,496
2021,"Islington 014","E02000567",8951,8362,16,6,10,22,535
2021,"Islington 015","E02000568",9586,8659,38,18,13,31,827
2021,"Islington 016","E02000569",8234,7659,26,12,10,9,518
2021,"Islington 017","E02000570",7153,6712,10,6,6,9,410
2021,"Islington 018","E02000571",7503,6952,38,12,10,13,478
2021,"Islington 019","E02000572",7146,6473,46,11,11,16,589
2021,"Islington 020","E02000573",9028,8363,22,4,0,17,622
2021,"Islington 021","E02000574",7026,6414,22,10,3,22,555
2021,"Islington 022","E02000575",9879,8905,26,96,8,21,823
2021,"Islington 023","E02000576",8981,8119,32,11,15,20,784
2021,"Kensington and Chelsea 001","E02000577",6576,5980,30,12,5,5,544
2021,"Kensington and Chelsea 002","E02000578",4912,4509,8,10,6,1,378
2021,"Kensington and Chelsea 003","E02000579",7482,6926,11,9,9,4,523
2021,"Kensington and Chelsea 004","E02000580",6945,6334,17,16,10,15,553
2021,"Kensington and Chelsea 005","E02000581",6151,5468,21,13,10,7,632
2021,"Kensington and Chelsea 006","E02000582",5728,5080,13,8,7,4,616
2021,"Kensington and Chelsea 007","E02000583",5527,5031,12,5,1,4,474
2021,"Kensington and Chelsea 008","E02000584",6000,5532,13,4,4,5,442
2021,"Kensington and Chelsea 009","E02000585",6711,6102,20,14,4,0,571
2021,"Kensington and Chelsea 010","E02000586",5572,4945,7,8,5,10,597
2021,"Kensington and Chelsea 011","E02000587",5559,5061,19,8,1,4,466
2021,"Kensington and Chelsea 012","E02000588",5200,4757,8,7,2,2,424
2021,"Kensington and Chelsea 013","E02000589",6440,5840,15,5,5,4,571
2021,"Kensington and Chelsea 014","E02000590",5227,4519,14,1,4,32,657
2021,"Kensington and Chelsea 015","E02000591",5448,4895,15,9,8,6,515
2021,"Kensington and Chelsea 016","E02000592",4940,4492,6,3,5,1,433
2021,"Kensington and Chelsea 017","E02000593",6462,5982,10,6,3,4,457
2021,"Kensington and Chelsea 018","E02000594",5768,5331,7,8,6,7,409
2021,"Kensington and Chelsea 019","E02000595",5290,4881,10,5,3,2,389
2021,"Kensington and Chelsea 020","E02000596",5795,5316,15,7,4,3,450
2021,"Kensington and Chelsea 021","E02000597",5357,4863,20,4,4,6,460
2021,"Kingston upon Thames 001","E02000598",6192,5774,10,2,4,4,398
2021,"Kingston upon Thames 002","E02000599",5785,5335,10,3,9,3,425
2021,"Kingston upon Thames 003","E02000600",6548,6099,18,10,12,4,405
2021,"Kingston upon Thames 004","E02000601",9212,8574,25,15,8,10,580
2021,"Kingston upon Thames 005","E02000602",8265,7616,22,11,10,29,577
2021,"Kingston upon Thames 006","E02000603",6854,6259,25,10,13,8,539
2021,"Kingston upon Thames 007","E02000604",7286,6721,31,10,10,13,501
2021,"Kingston upon Thames 008","E02000605",6745,6314,13,8,12,5,393
2021,"Kingston upon Thames 009","E02000606",9127,8398,24,17,12,36,640
2021,"Kingston upon Thames 010","E02000607",5572,5151,10,5,13,14,379
2021,"Kingston upon Thames 011","E02000608",6243,5798,25,1,5,18,396
2021,"Kingston upon Thames 012","E02000609",6214,5681,14,12,13,5,489
2021,"Kingston upon Thames 013","E02000610",6722,6130,15,11,5,15,546
2021,"Kingston upon Thames 014","E02000611",5949,5557,21,5,4,7,355
2021,"Kingston upon Thames 015","E02000612",6763,6309,11,13,7,6,417
2021,"Kingston upon Thames 016","E02000613",6335,5887,14,3,4,3,424
2021,"Kingston upon Thames 017","E02000614",7392,6719,35,18,9,2,609
2021,"Kingston upon Thames 018","E02000615",6291,5924,13,3,6,4,341
2021,"Kingston upon Thames 019","E02000616",4876,4586,9,6,4,1,270
2021,"Kingston upon Thames 020","E02000617",7095,6680,20,6,5,2,382
2021,"Lambeth 002","E02000619",7560,6933,33,8,17,17,552
2021,"Lambeth 003","E02000620",8518,7719,37,19,8,66,669
2021,"Lambeth 004","E02000621",11286,10262,38,16,9,31,930
2021,"Lambeth 005","E02000622",7357,6790,25,14,10,17,501
2021,"Lambeth 006","E02000623",6650,6060,44,23,19,10,494
2021,"Lambeth 007","E02000624",8263,7641,34,14,13,18,543
2021,"Lambeth 008","E02000625",7696,7051,43,16,16,9,561
2021,"Lambeth 009","E02000626",6791,6108,38,16,18,14,597
2021,"Lambeth 010","E02000627",8254,7648,32,9,10,15,540
2021,"Lambeth 011","E02000628",9239,8348,48,41,22,15,765
2021,"Lambeth 012","E02000629",8090,7575,24,8,9,10,464
2021,"Lambeth 013","E02000630",6611,6196,17,8,7,6,377
2021,"Lambeth 014","E02000631",7954,7399,20,14,13,25,483
2021,"Lambeth 015","E02000632",8900,8393,23,19,13,18,434
2021,"Lambeth 016","E02000633",7848,7246,23,16,14,17,532
2021,"Lambeth 017","E02000634",5896,5408,20,8,3,7,450
2021,"Lambeth 018","E02000635",8476,7771,17,10,9,14,655
2021,"Lambeth 019","E02000636",6504,6163,11,3,3,6,318
2021,"Lambeth 020","E02000637",7410,6861,16,8,5,18,502
2021,"Lambeth 021","E02000638",8757,7874,47,16,16,22,782
2021,"Lambeth 022","E02000639",7153,6459,76,11,13,12,582
2021,"Lambeth 023","E02000640",7715,7253,24,7,10,9,412
2021,"Lambeth 024","E02000641",6829,6181,39,17,16,12,564
2021,"Lambeth 025","E02000642",8013,7373,34,16,15,15,560
2021,"Lambeth 026","E02000643",7883,7265,20,30,4,9,555
2021,"Lambeth 027","E02000644",6919,6398,32,11,9,14,455
2021,"Lambeth 028","E02000645",7703,7004,17,13,13,18,638
2021,"Lambeth 029","E02000646",7963,7440,23,11,2,12,475
2021,"Lambeth 030","E02000647",6931,6267,20,10,11,12,611
2021,"Lambeth 031","E02000648",6071,5469,24,9,12,4,553
2021,"Lambeth 032","E02000649",10419,9451,52,44,42,26,804
2021,"Lambeth 033","E02000650",6164,5667,17,9,5,7,459
2021,"Lambeth 034","E02000651",7206,6599,41,10,6,13,537
2021,"Lambeth 035","E02000652",6163,5482,23,9,7,3,639
2021,"Lewisham 001","E02000653",10608,9611,40,20,24,14,899
2021,"Lewisham 002","E02000654",7016,6248,53,16,13,17,669
2021,"Lewisham 003","E02000655",8398,7612,49,18,20,43,656
2021,"Lewisham 005","E02000657",8355,7555,41,22,16,61,660
2021,"Lewisham 006","E02000658",7292,6587,60,12,11,38,584
2021,"Lewisham 007","E02000659",6671,6182,17,7,7,11,447
2021,"Lewisham 008","E02000660",6892,6309,18,20,9,33,503
2021,"Lewisham 009","E02000661",5409,4979,23,6,2,15,384
2021,"Lewisham 010","E02000662",6598,6055,18,9,24,26,466
2021,"Lewisham 011","E02000663",5655,5191,17,14,20,15,398
2021,"Lewisham 013","E02000665",6570,6062,11,6,9,16,466
2021,"Lewisham 014","E02000666",5763,5255,10,6,5,20,467
2021,"Lewisham 015","E02000667",5337,4949,9,10,4,14,351
2021,"Lewisham 016","E02000668",5295,4925,15,4,10,12,329
2021,"Lewisham 017","E02000669",6442,5906,22,4,7,9,494
2021,"Lewisham 018","E02000670",5390,4886,35,14,16,8,431
2021,"Lewisham 019","E02000671",6989,6444,21,8,7,30,479
2021,"Lewisham 020","E02000672",8217,7451,53,15,20,19,659
2021,"Lewisham 021","E02000673",6630,6163,18,8,6,27,408
2021,"Lewisham 022","E02000674",6790,6104,37,12,6,5,626
2021,"Lewisham 023","E02000675",6831,6300,27,10,7,6,481
2021,"Lewisham 024","E02000676",6244,5786,16,18,8,14,402
2021,"Lewisham 025","E02000677",5864,5354,27,5,8,7,463
2021,"Lewisham 026","E02000678",5330,4928,27,9,7,4,355
2021,"Lewisham 027","E02000679",6406,5933,14,7,11,11,430
2021,"Lewisham 028","E02000680",5509,5055,25,11,9,7,402
2021,"Lewisham 029","E02000681",6672,6124,31,14,8,5,490
2021,"Lewisham 030","E02000682",6835,6194,37,13,16,5,570
2021,"Lewisham 031","E02000683",5412,4940,12,4,5,9,442
2021,"Lewisham 033","E02000685",6461,5917,32,11,8,12,481
2021,"Lewisham 034","E02000686",5745,5159,25,12,5,5,539
2021,"Lewisham 035","E02000687",6619,6040,29,9,10,11,520
2021,"Merton 001","E02000689",7025,6610,17,2,2,8,386
2021,"Merton 002","E02000690",4578,4308,4,2,1,1,262
2021,"Merton 003","E02000691",6015,5651,10,4,4,3,343
2021,"Merton 004","E02000692",6465,6000,9,7,4,3,442
2021,"Merton 005","E02000693",8447,7769,29,9,12,17,611
2021,"Merton 006","E02000694",7343,6816,17,13,10,7,480
2021,"Merton 007","E02000695",7130,6356,49,7,8,8,702
2021,"Merton 008","E02000696",7073,6444,21,12,8,6,582
2021,"Merton 009","E02000697",7169,6664,13,3,6,14,469
2021,"Merton 010","E02000698",6471,6042,12,4,3,8,402
2021,"Merton 011","E02000699",6445,6027,11,4,3,5,395
2021,"Merton 012","E02000700",6865,6234,38,8,13,9,563
2021,"Merton 013","E02000701",7218,6375,41,15,14,5,768
2021,"Merton 014","E02000702",7127,6453,33,19,22,2,598
2021,"Merton 015","E02000703",6380,5948,13,4,3,5,407
2021,"Merton 016","E02000704",7026,6484,18,9,5,16,494
2021,"Merton 017","E02000705",7523,6748,21,6,11,9,728
2021,"Merton 018","E02000706",7652,6824,55,15,13,4,741
2021,"Merton 019","E02000707",6496,5855,32,11,14,8,576
2021,"Merton 020","E02000708",7073,6517,22,1,4,9,520
2021,"Merton 021","E02000709",6406,5972,10,1,7,4,412
2021,"Merton 022","E02000710",7380,6667,22,9,13,2,667
2021,"Merton 023","E02000711",7529,6818,43,7,11,3,647
2021,"Merton 024","E02000712",7649,6988,40,12,7,6,596
2021,"Merton 025","E02000713",6300,5862,12,9,8,2,407
2021,"Newham 001","E02000714",6068,5380,86,14,16,3,569
2021,"Newham 002","E02000715",5322,4676,57,15,20,2,552
2021,"Newham 003","E02000716",5590,4933,65,19,21,3,549
2021,"Newham 004","E02000717",6210,5450,103,20,18,7,612
2021,"Newham 005","E02000718",5410,4721,53,9,12,4,611
2021,"Newham 006","E02000719",6573,5829,53,14,29,6,642
2021,"Newham 007","E02000720",5846,5118,39,14,23,7,645
2021,"Newham 008","E02000721",7278,6207,93,25,18,3,932
2021,"Newham 009","E02000722",6751,5906,62,25,21,14,723
2021,"Newham 010","E02000723",8771,7465,97,21,26,11,1151
2021,"Newham 011","E02000724",7504,6569,57,24,18,4,832
2021,"Newham 012","E02000725",8298,7380,65,21,11,10,811
2021,"Newham 014","E02000727",6486,5652,87,19,19,1,708
2021,"Newham 015","E02000728",6663,5725,77,21,18,5,817
2021,"Newham 016","E02000729",5757,4924,41,8,31,7,746
2021,"Newham 017","E02000730",7724,6690,71,18,18,5,922
2021,"Newham 018","E02000731",7642,6657,92,20,21,2,850
2021,"Newham 019","E02000732",6816,6099,62,21,16,9,609
2021,"Newham 020","E02000733",8195,7337,63,16,44,13,722
2021,"Newham 021","E02000734",5892,5160,72,9,12,5,634
2021,"Newham 022","E02000735",6669,5874,61,23,14,7,690
2021,"Newham 023","E02000736",6796,6063,77,15,13,5,623
2021,"Newham 024","E02000737",7834,6876,86,18,18,3,833
2021,"Newham 025","E02000738",7225,6491,63,11,15,15,630
2021,"Newham 026","E02000739",6097,5371,75,17,10,10,614
2021,"Newham 027","E02000740",5478,4819,60,16,15,8,560
2021,"Newham 028","E02000741",6294,5567,60,7,8,5,647
2021,"Newham 029","E02000742",6453,5700,86,17,18,6,626
2021,"Newham 030","E02000743",8226,7394,87,18,18,11,698
2021,"Newham 031","E02000744",7076,6368,57,21,15,15,600
2021,"Newham 032","E02000745",6808,6108,66,13,13,5,603
2021,"Newham 033","E02000746",7636,6777,47,18,14,12,768
2021,"Newham 034","E02000747",10982,9784,61,18,19,25,1075
2021,"Newham 035","E02000748",4956,4329,37,8,14,6,562
2021,"Newham 036","E02000749",7536,6747,60,22,24,5,678
2021,"Redbridge 001","E02000751",9140,8615,25,5,6,3,486
2021,"Redbridge 002","E02000752",6785,6234,66,12,10,2,461
2021,"Redbridge 003","E02000753",5380,4911,22,6,4,2,435
2021,"Redbridge 004","E02000754",5458,5097,20,6,3,4,328
2021,"Redbridge 005","E02000755",4409,4071,7,6,2,3,320
2021,"Redbridge 006","E02000756",11506,10468,53,25,14,7,939
2021,"Redbridge 007","E02000757",10016,9355,17,10,14,8,612
2021,"Redbridge 008","E02000758",5455,4978,27,9,12,3,426
2021,"Redbridge 009","E02000759",10251,9348,39,13,7,12,832
2021,"Redbridge 010","E02000760",5918,5353,31,9,12,2,511
2021,"Redbridge 012","E02000762",5408,4887,33,6,13,3,466
2021,"Redbridge 013","E02000763",6336,5741,40,13,13,6,523
2021,"Redbridge 014","E02000764",10249,9625,30,10,16,10,558
2021,"Redbridge 015","E02000765",5843,5133,142,12,36,3,517
2021,"Redbridge 017","E02000767",6670,6003,48,9,10,1,599
2021,"Redbridge 018","E02000768",4619,4314,12,7,6,3,277
2021,"Redbridge 020","E02000770",6411,5639,40,13,21,2,696
2021,"Redbridge 022","E02000772",6404,5764,58,12,14,5,551
2021,"Redbridge 023","E02000773",8198,7463,48,18,46,4,619
2021,"Redbridge 024","E02000774",6157,5432,45,18,16,0,646
2021,"Redbridge 026","E02000776",5366,4812,37,17,11,2,487
2021,"Redbridge 027","E02000777",4773,4486,8,4,4,3,268
2021,"Redbridge 029","E02000779",6414,5667,52,17,24,3,651
2021,"Redbridge 031","E02000781",12337,11159,65,19,19,2,1073
2021,"Redbridge 032","E02000782",8468,7464,76,27,24,3,874
2021,"Redbridge 033","E02000783",5447,4612,50,10,16,2,757
2021,"Richmond upon Thames 001","E02000784",8210,7600,15,7,4,2,582
2021,"Richmond upon Thames 002","E02000785",7989,7536,5,5,5,4,434
2021,"Richmond upon Thames 003","E02000786",8923,8397,9,6,8,7,496
2021,"Richmond upon Thames 004","E02000787",9592,8934,18,6,4,9,621
2021,"Richmond upon Thames 005","E02000788",6970,6607,7,5,3,3,345
2021,"Richmond upon Thames 006","E02000789",5153,4832,9,3,4,4,301
2021,"Richmond upon Thames 007","E02000790",5157,4933,4,2,2,5,211
2021,"Richmond upon Thames 008","E02000791",5298,4920,4,6,4,7,357
2021,"Richmond upon Thames 009","E02000792",5782,5411,6,9,3,9,344
2021,"Richmond upon Thames 010","E02000793",6561,6095,19,8,8,4,427
2021,"Richmond upon Thames 011","E02000794",5548,5255,6,2,2,5,278
2021,"Richmond upon Thames 012","E02000795",5292,4981,5,3,2,4,297
2021,"Richmond upon Thames 013","E02000796",8767,8106,25,20,12,7,597
2021,"Richmond upon Thames 014","E02000797",6280,5978,11,6,8,9,268
2021,"Richmond upon Thames 015","E02000798",8695,8183,17,6,9,13,467
2021,"Richmond upon Thames 016","E02000799",5474,5128,5,14,5,8,314
2021,"Richmond upon Thames 017","E02000800",4125,3814,11,5,2,3,290
2021,"Richmond upon Thames 018","E02000801",5614,5372,9,3,4,3,223
2021,"Richmond upon Thames 019","E02000802",5661,5340,11,4,7,1,298
2021,"Richmond upon Thames 020","E02000803",7824,7327,15,7,10,9,456
2021,"Richmond upon Thames 021","E02000804",5868,5549,0,4,4,5,306
2021,"Richmond upon Thames 022","E02000805",8712,8289,8,3,7,6,399
2021,"Richmond upon Thames 023","E02000806",8342,7858,9,3,0,7,465
2021,"Southwark 001","E02000807",7167,6631,11,4,3,12,506
2021,"Southwark 002","E02000808",9296,8481,23,17,12,23,740
2021,"Southwark 004","E02000810",9887,8982,39,16,14,14,822
2021,"Southwark 006","E02000812",9115,8320,30,17,12,12,724
2021,"Southwark 007","E02000813",8523,7773,34,17,11,35,653
2021,"Southwark 008","E02000814",8869,8149,20,14,12,23,651
2021,"Southwark 009","E02000815",6705,6100,26,10,15,11,543
2021,"Southwark 010","E02000816",7953,7356,29,14,16,13,525
2021,"Southwark 011","E02000817",5599,5170,27,6,15,19,362
2021,"Southwark 012","E02000818",8440,7753,44,13,15,18,597
2021,"Southwark 013","E02000819",6956,6323,32,15,19,18,549
2021,"Southwark 014","E02000820",7862,7155,35,19,26,23,604
2021,"Southwark 015","E02000821",7393,6251,559,15,12,14,542
2021,"Southwark 016","E02000822",5423,4931,42,22,11,9,408
2021,"Southwark 017","E02000823",7317,6656,31,14,13,19,584
2021,"Southwark 018","E02000824",7871,7038,68,14,25,16,710
2021,"Southwark 019","E02000825",8228,7367,52,20,22,20,747
2021,"Southwark 020","E02000826",8247,7507,39,15,24,43,619
2021,"Southwark 021","E02000827",9373,8582,65,24,27,23,652
2021,"Southwark 022","E02000828",7291,6612,46,21,22,17,573
2021,"Southwark 023","E02000829",9076,8203,47,18,22,42,744
2021,"Southwark 024","E02000830",7642,7046,29,16,10,27,514
2021,"Southwark 025","E02000831",7791,7191,26,10,10,24,530
2021,"Southwark 026","E02000832",8019,7258,82,14,11,22,632
2021,"Southwark 027","E02000833",5943,5444,30,14,14,12,429
2021,"Southwark 028","E02000834",7804,7332,17,6,5,19,425
2021,"Southwark 029","E02000835",5939,5474,19,7,9,13,417
2021,"Southwark 030","E02000836",6621,6255,9,3,5,21,328
2021,"Southwark 031","E02000837",6590,6189,1,7,10,8,375
2021,"Southwark 032","E02000838",7633,7141,11,9,9,13,450
2021,"Southwark 033","E02000839",6613,6095,34,9,5,10,460
2021,"Sutton 001","E02000840",7065,6540,24,8,7,9,477
2021,"Sutton 002","E02000841",7147,6595,29,12,7,1,503
2021,"Sutton 003","E02000842",6672,6219,5,10,10,2,426
2021,"Sutton 004","E02000843",7361,6965,19,3,7,4,363
2021,"Sutton 005","E02000844",6754,6345,17,8,9,4,371
2021,"Sutton 006","E02000845",7303,6828,21,5,9,3,437
2021,"Sutton 007","E02000846",6055,5664,9,1,0,6,375
2021,"Sutton 008","E02000847",7582,7083,19,4,7,6,463
2021,"Sutton 009","E02000848",6385,6030,6,3,5,7,334
2021,"Sutton 010","E02000849",6441,6049,16,10,5,5,356
2021,"Sutton 011","E02000850",8657,8099,17,5,8,8,520
2021,"Sutton 012","E02000851",9046,8393,30,13,6,6,598
2021,"Sutton 013","E02000852",6427,6042,7,4,10,3,361
2021,"Sutton 014","E02000853",6314,5856,13,4,8,2,431
2021,"Sutton 015","E02000854",6024,5706,14,2,2,4,296
2021,"Sutton 016","E02000855",6627,6298,14,1,1,2,311
2021,"Sutton 017","E02000856",7393,6914,16,15,12,6,430
2021,"Sutton 018","E02000857",7278,6773,15,7,5,5,473
2021,"Sutton 019","E02000858",6503,5967,27,8,6,2,493
2021,"Sutton 020","E02000859",6833,6378,8,7,6,8,426
2021,"Sutton 021","E02000860",7010,6515,23,12,17,6,437
2021,"Sutton 022","E02000861",6301,5932,8,8,9,4,340
2021,"Sutton 024","E02000863",5457,5164,10,2,3,1,277
2021,"Tower Hamlets 001","E02000864",9181,8404,58,15,8,40,656
2021,"Tower Hamlets 002","E02000865",6436,5769,35,10,8,26,588
2021,"Tower Hamlets 003","E02000866",8787,8199,35,9,3,30,511
2021,"Tower Hamlets 004","E02000867",9645,8972,44,14,13,30,572
2021,"Tower Hamlets 005","E02000868",6105,5505,22,6,13,20,539
2021,"Tower Hamlets 006","E02000869",4887,4502,12,6,5,12,350
2021,"Tower Hamlets 007","E02000870",5159,4702,34,6,6,9,402
2021,"Tower Hamlets 008","E02000871",8959,8079,77,9,13,15,766
2021,"Tower Hamlets 009","E02000872",6812,6180,49,9,4,17,553
2021,"Tower Hamlets 010","E02000873",7973,7244,54,9,12,15,639
2021,"Tower Hamlets 011","E02000874",5957,5326,53,7,11,7,553
2021,"Tower Hamlets 012","E02000875",10704,9727,69,28,20,17,843
2021,"Tower Hamlets 013","E02000876",6035,5391,57,7,8,12,560
2021,"Tower Hamlets 014","E02000877",10929,9918,60,21,19,19,892
2021,"Tower Hamlets 015","E02000878",9008,8082,64,15,15,23,809
2021,"Tower Hamlets 016","E02000879",6667,6017,48,10,13,20,559
