"date","geography","geography code","Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census","Distance travelled to work: Less than 2km","Distance travelled to work: 2km to less than 5km","Distance travelled to work: 5km to less than 10km","Distance travelled to work: 10km to less than 20km","Distance travelled to work: 20km to less than 30km","Distance travelled to work: 30km to less than 40km","Distance travelled to work: 40km to less than 60km","Distance travelled to work: 60km and over","Distance travelled to work: Works mainly from home","Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK"
2021,"Bexley 010","E02000074",4055,342,580,523,476,257,30,24,37,1051,735
2021,"Bexley 011","E02000075",3764,253,415,417,428,110,29,20,15,1437,640
2021,"Bexley 013","E02000077",3931,234,546,401,590,100,30,16,22,1326,666
2021,"Bexley 014","E02000078",3942,302,396,436,430,214,20,19,25,1451,649
2021,"Bexley 015","E02000079",4295,325,393,421,559,155,29,16,27,1703,667
2021,"Bexley 016","E02000080",4949,245,622,536,703,90,41,32,33,1746,901
2021,"Bexley 017","E02000081",3847,306,406,410,454,193,26,25,24,1368,635
2021,"Bexley 018","E02000082",4851,223,580,605,709,74,39,15,25,1663,918
2021,"Bexley 019","E02000083",5631,432,561,681,595,407,61,29,42,1867,956
2021,"Bexley 020","E02000084",5505,407,544,546,614,130,57,19,31,2280,877
2021,"Bexley 021","E02000085",4034,242,473,530,524,73,38,23,20,1342,769
2021,"Bexley 022","E02000086",3616,245,401,430,431,41,36,13,15,1365,639
2021,"Bexley 023","E02000087",3986,186,374,405,429,179,29,18,23,1832,511
2021,"Bexley 024","E02000088",3890,223,360,408,426,118,30,13,16,1668,628
2021,"Bexley 025","E02000089",3747,206,340,456,472,50,35,15,30,1591,552
2021,"Bexley 026","E02000090",4721,338,351,562,635,87,30,18,42,2009,649
2021,"Bexley 027","E02000091",4754,364,387,559,540,132,30,18,26,2017,681
2021,"Bexley 028","E02000092",2916,196,321,427,377,133,17,12,22,861,550
2021,"Brent 001","E02000093",5982,440,603,676,893,128,27,23,62,1581,1549
2021,"Brent 002","E02000094",5099,368,566,650,712,70,22,23,55,1511,1122
2021,"Brent 003","E02000095",5111,320,662,557,731,106,32,30,65,1390,1218
2021,"Brent 004","E02000096",3677,248,389,318,501,72,33,25,53,1454,584
2021,"Brent 005","E02000097",4560,293,694,575,536,64,27,11,51,1080,1229
2021,"Brent 006","E02000098",3883,250,495,387,576,67,18,9,23,1204,854
2021,"Brent 007","E02000099",4707,299,591,455,779,101,29,24,55,1207,1167
2021,"Brent 008","E02000100",4207,523,481,443,566,78,24,20,40,1406,626
2021,"Brent 009","E02000101",4294,299,714,601,553,44,18,10,55,1159,841
2021,"Brent 010","E02000102",3223,261,582,531,276,35,19,18,36,603,862
2021,"Brent 011","E02000103",4258,303,619,809,351,58,14,14,44,1101,945
2021,"Brent 012","E02000104",3586,287,525,377,487,52,21,6,64,1057,710
