"date","geography","geography code","National identity: Total: All usual residents","National identity: British only identity","National identity: English only identity","National identity: English and British only identity","National identity: Welsh only identity","National identity: Welsh and British only identity","National identity: Any other combination of only UK identities","National identity: Scottish only identity","National identity: Scottish and British only identity","National identity: Northern Irish only identity","National identity: Northern Irish and British only identity","National identity: Cornish only identity","National identity: Cornish and British only identity","National identity: Any other combination of only UK identities","National identity: Irish only identity","National identity: Irish and at least one UK identity","National identity: Other identity only","National identity: Other identity and at least one UK identity","National identity: Non-UK identity only","National identity: UK identity and non-UK identity"
2021,"Croydon 028","E02000221",10855,7086,878,765,7,7,61,21,16,13,3,0,0,8,46,4,1665,336,1711,340
2021,"Croydon 029","E02000222",8350,5067,811,763,20,16,78,26,16,12,5,0,0,19,69,12,1235,279,1304,291
2021,"Croydon 030","E02000223",8530,5492,882,846,10,3,28,12,4,6,3,0,0,3,47,3,1027,192,1074,195
2021,"Croydon 031","E02000224",8050,4697,785,792,13,6,76,29,16,12,3,1,0,15,95,19,1244,323,1339,342
2021,"Croydon 032","E02000225",7500,4532,1248,772,4,1,32,17,9,2,1,0,0,3,60,6,713,132,773,138
2021,"Croydon 033","E02000226",7617,4643,1200,762,22,6,70,31,14,12,5,0,0,8,61,16,574,263,635,279
2021,"Croydon 034","E02000227",11680,6949,1974,1355,19,9,87,37,18,13,3,0,0,16,51,13,966,257,1017,270
2021,"Croydon 035","E02000228",7959,4985,1196,910,30,8,87,25,18,15,9,0,0,20,79,15,441,208,520,223
2021,"Croydon 036","E02000229",6234,3776,1035,713,8,1,28,8,5,7,4,0,0,4,17,1,560,95,577,96
2021,"Croydon 037","E02000230",10501,6561,1063,1050,27,18,97,41,28,12,5,1,0,10,97,27,1207,354,1304,381
2021,"Croydon 038","E02000231",7930,5280,765,754,15,7,72,32,13,10,2,0,0,15,67,15,697,258,764,273
2021,"Croydon 039","E02000232",6197,3782,1129,750,17,7,51,17,11,4,0,0,0,19,33,14,298,116,331,130
2021,"Croydon 040","E02000233",6361,4014,770,679,16,5,52,19,11,8,2,0,0,12,55,10,595,165,650,175
2021,"Croydon 041","E02000234",9449,5977,1202,947,24,21,99,37,16,14,8,1,0,23,80,12,816,271,896,283
2021,"Croydon 042","E02000235",6895,4251,1052,810,18,5,72,26,17,11,5,0,1,12,62,13,423,189,485,202
2021,"Croydon 043","E02000236",9129,5658,1333,1018,18,9,94,36,18,16,0,3,0,21,83,20,579,317,662,337
2021,"Croydon 044","E02000237",7601,4491,1370,1036,19,8,78,32,12,12,2,0,0,20,69,28,354,148,423,176
2021,"Ealing 001","E02000238",10708,6011,682,379,7,4,39,11,8,9,3,1,0,7,157,12,2943,474,3100,486
2021,"Ealing 002","E02000239",9042,5245,447,299,11,9,35,6,6,12,4,0,0,7,125,16,2397,458,2522,474
2021,"Ealing 003","E02000240",11208,6571,852,504,6,12,40,9,7,14,4,0,0,6,121,7,2670,425,2791,432
2021,"Ealing 004","E02000241",7394,4010,614,321,8,3,26,10,3,8,1,0,0,4,101,13,2000,298,2101,311
2021,"Ealing 005","E02000242",6884,4108,277,182,5,3,14,9,0,4,1,0,0,0,66,6,1869,354,1935,360
2021,"Ealing 006","E02000243",8722,4969,598,275,7,4,31,10,6,12,1,0,0,2,141,10,2285,402,2426,412
2021,"Ealing 007","E02000244",7891,4387,401,263,9,3,25,8,7,6,2,0,0,2,117,10,2237,439,2354,449
2021,"Ealing 008","E02000245",9307,5808,661,412,7,2,34,10,12,3,5,0,0,4,63,4,1953,363,2016,367
2021,"Ealing 009","E02000246",9461,5893,740,468,10,3,33,17,5,9,0,1,0,1,112,5,1865,332,1977,337
2021,"Ealing 010","E02000247",11155,6862,712,398,9,3,47,15,6,11,6,1,0,8,109,17,2593,405,2702,422
2021,"Ealing 011","E02000248",7717,4164,257,264,12,4,49,16,9,9,5,0,0,10,83,8,2466,410,2549,418
2021,"Ealing 012","E02000249",8380,4947,486,281,11,2,31,9,6,10,2,0,0,4,180,7,2110,325,2290,332
2021,"Ealing 013","E02000250",6484,3571,470,548,34,17,89,28,17,18,3,0,0,23,144,28,1136,447,1280,475
2021,"Ealing 014","E02000251",8311,5211,238,209,2,1,21,7,4,5,4,0,1,0,144,5,2148,332,2292,337
2021,"Ealing 015","E02000252",12236,5972,611,736,36,15,110,22,27,38,5,1,0,17,177,23,3963,593,4140,616
2021,"Ealing 016","E02000253",10343,6448,741,423,21,8,54,21,9,12,5,2,0,5,202,25,1947,474,2149,499
2021,"Ealing 017","E02000254",9211,5869,192,157,0,1,15,4,4,6,0,0,0,1,22,5,2608,342,2630,347
2021,"Ealing 018","E02000255",9864,5842,656,604,34,27,118,54,21,25,8,2,0,8,216,30,1923,414,2139,444
2021,"Ealing 019","E02000256",9184,4755,460,582,43,32,133,58,28,22,6,1,1,17,188,25,2455,511,2643,536
2021,"Ealing 021","E02000258",6903,3405,347,375,19,16,54,20,13,4,4,1,0,12,144,19,2198,326,2342,345
2021,"Ealing 022","E02000259",6584,3596,479,437,24,24,86,34,13,20,3,0,0,16,204,13,1384,337,1588,350
2021,"Ealing 023","E02000260",9838,5705,160,146,1,0,8,1,4,2,0,0,0,1,13,4,3516,285,3529,289
2021,"Ealing 024","E02000261",12651,6750,592,479,32,26,67,33,7,13,2,1,0,11,147,16,3818,724,3965,740
2021,"Ealing 025","E02000262",9347,5039,511,587,37,14,113,52,14,19,2,1,0,25,165,26,2411,444,2576,470
2021,"Ealing 026","E02000263",13708,7779,167,148,3,1,9,0,1,6,2,0,0,0,20,3,5160,418,5180,421
2021,"Ealing 027","E02000264",8494,4365,416,507,42,14,108,37,22,18,8,0,0,23,184,20,2334,504,2518,524
2021,"Ealing 028","E02000265",11231,6328,625,657,44,11,134,47,25,28,9,2,2,21,267,50,2505,610,2772,660
2021,"Ealing 029","E02000266",13113,8760,491,451,9,5,44,20,5,13,1,0,0,5,100,8,2819,426,2919,434
2021,"Ealing 030","E02000267",8149,4361,625,496,35,16,110,39,13,33,9,2,0,14,280,35,1824,367,2104,402
2021,"Ealing 031","E02000268",9246,5019,687,696,52,26,157,64,28,35,2,0,0,28,181,23,1892,513,2073,536
2021,"Ealing 032","E02000269",8169,4395,503,654,43,27,133,42,29,28,6,1,1,26,240,38,1674,462,1914,500
2021,"Ealing 033","E02000270",9606,5439,511,513,31,9,117,54,22,23,5,1,0,12,143,27,2309,507,2452,534
2021,"Ealing 034","E02000271",6954,3628,437,582,35,17,120,36,27,26,7,3,0,21,147,20,1466,502,1613,522
2021,"Ealing 035","E02000272",6713,3944,577,488,21,14,84,33,24,20,1,0,0,6,200,24,1023,338,1223,362
2021,"Ealing 038","E02000275",8168,4632,215,163,7,3,17,1,5,9,0,1,0,1,30,2,2833,266,2863,268
2021,"Ealing 039","E02000276",6759,3559,469,445,37,16,103,25,17,26,13,1,0,21,194,34,1520,382,1714,416
2021,"Enfield 001","E02000277",7523,4696,843,438,8,1,18,7,5,4,1,0,0,1,59,9,1250,201,1309,210
2021,"Enfield 002","E02000278",9428,5936,927,466,6,3,31,10,6,9,4,0,0,2,52,2,1727,278,1779,280
2021,"Enfield 003","E02000279",12321,7937,826,607,7,0,43,15,6,13,5,0,0,4,52,6,2456,387,2508,393
2021,"Enfield 004","E02000280",8634,5078,1388,932,19,7,67,18,10,12,6,2,0,19,108,19,792,224,900,243
2021,"Enfield 005","E02000281",9653,6063,1044,727,14,3,52,20,8,8,3,0,0,13,116,6,1405,223,1521,229
2021,"Enfield 006","E02000282",9950,6314,810,524,7,2,21,7,1,8,0,0,0,5,62,7,1912,291,1974,298
2021,"Enfield 007","E02000283",8538,5499,737,401,3,5,18,6,1,2,0,0,0,9,57,5,1539,274,1596,279
2021,"Enfield 008","E02000284",8740,5018,1188,879,27,5,75,40,4,12,3,1,0,15,131,25,1093,299,1224,324
2021,"Enfield 009","E02000285",6641,4046,1069,543,11,6,40,14,5,7,5,0,0,9,136,34,589,167,725,201
2021,"Enfield 010","E02000286",8687,5211,1112,822,15,13,61,25,4,9,3,1,0,19,116,24,1031,282,1147,306
2021,"Enfield 011","E02000287",7354,4938,571,500,8,8,39,14,6,11,1,0,1,6,108,18,925,239,1033,257
2021,"Enfield 012","E02000288",12781,7936,785,538,7,3,43,14,4,13,3,0,0,9,57,8,2971,433,3028,441
2021,"Enfield 013","E02000289",6770,4646,698,483,14,4,35,15,4,8,0,0,0,8,85,16,577,212,662,228
2021,"Enfield 014","E02000290",6683,4343,395,286,2,0,19,6,1,3,0,0,0,9,38,4,1382,214,1420,218
2021,"Enfield 015","E02000291",10164,5895,1032,588,22,10,72,33,12,13,5,2,1,6,110,16,2008,411,2118,427
2021,"Enfield 016","E02000292",9836,6057,1010,535,8,5,46,13,9,8,6,0,0,10,130,13,1708,324,1838,337
2021,"Enfield 017","E02000293",6396,4073,731,541,19,4,41,16,11,8,2,1,0,3,119,17,635,216,754,233
2021,"Enfield 018","E02000294",9366,5908,588,338,10,2,27,10,4,3,1,0,0,9,63,6,2093,331,2156,337
2021,"Enfield 019","E02000295",8688,5553,607,545,6,13,51,23,5,8,1,0,0,14,141,16,1376,380,1517,396
2021,"Enfield 020","E02000296",10344,5812,733,582,8,7,64,28,5,15,3,0,2,11,100,7,2548,483,2648,490
2021,"Enfield 021","E02000297",9396,5900,1072,632,11,4,55,15,12,13,7,0,1,7,156,32,1219,315,1375,347
2021,"Enfield 022","E02000298",8255,5376,743,670,18,6,121,40,30,26,3,0,0,22,187,40,850,244,1037,284
2021,"Enfield 023","E02000299",9494,5795,512,260,3,0,21,7,5,5,0,0,0,4,78,6,2528,291,2606,297
2021,"Enfield 024","E02000300",8854,5269,493,259,3,0,13,0,1,6,2,0,0,4,72,40,2438,267,2510,307
2021,"Enfield 025","E02000301",10222,6362,576,355,3,4,22,5,2,6,5,0,0,4,71,21,2497,311,2568,332
2021,"Enfield 026","E02000302",8668,5686,585,376,7,8,40,18,7,8,2,0,0,5,131,24,1457,354,1588,378
2021,"Enfield 027","E02000303",8367,5263,489,343,2,0,33,15,4,3,5,0,0,6,36,11,1923,267,1959,278
2021,"Enfield 028","E02000304",8043,5214,537,493,18,10,74,27,13,14,3,0,0,17,171,14,1159,353,1330,367
2021,"Enfield 029","E02000305",8880,4963,601,520,23,9,97,33,19,24,5,1,0,15,170,38,2083,376,2253,414
2021,"Enfield 030","E02000306",9130,5856,433,298,10,1,19,6,1,7,3,0,0,2,32,7,2153,321,2185,328
2021,"Enfield 031","E02000307",10113,6361,447,284,3,6,19,7,0,6,1,0,0,5,64,10,2532,387,2596,397
2021,"Enfield 032","E02000308",8761,5057,521,421,20,7,69,26,10,15,7,2,0,9,117,16,2151,382,2268,398
2021,"Enfield 033","E02000309",11796,6939,545,358,6,4,29,18,1,6,0,1,0,3,49,11,3497,358,3546,369
2021,"Enfield 035","E02000311",10544,6355,397,313,10,8,34,13,5,9,2,0,1,4,87,14,2855,471,2942,485
2021,"Enfield 036","E02000312",11303,6055,544,575,32,13,99,28,22,22,5,2,2,18,182,16,3211,576,3393,592
2021,"Greenwich 001","E02000313",6490,3817,699,443,7,1,35,16,3,11,2,1,0,2,33,3,1285,167,1318,170
2021,"Greenwich 002","E02000314",14105,8164,947,743,12,18,99,32,8,28,6,0,0,25,100,27,3483,512,3583,539
2021,"Greenwich 003","E02000315",9871,5594,1043,711,3,5,37,10,6,12,3,1,0,5,67,10,2054,347,2121,357
2021,"Greenwich 005","E02000317",7563,4370,554,537,14,3,46,21,4,10,2,0,0,9,54,8,1710,267,1764,275
2021,"Greenwich 006","E02000318",11067,5287,607,425,11,3,46,19,3,9,4,0,0,11,62,10,4236,380,4298,390
2021,"Greenwich 007","E02000319",10619,5691,766,615,14,12,73,32,9,14,7,3,0,8,86,6,2930,426,3016,432
2021,"Greenwich 008","E02000320",7041,3906,793,428,5,3,48,18,7,3,5,1,0,14,44,5,1590,219,1634,224
2021,"Greenwich 009","E02000321",7722,4299,664,480,15,4,53,26,5,9,9,0,0,4,52,5,1910,240,1962,245
2021,"Greenwich 011","E02000323",12862,6772,794,756,15,8,83,33,20,12,2,0,1,15,71,20,3785,558,3856,578
2021,"Greenwich 012","E02000324",7867,4569,794,670,10,4,48,22,4,14,1,0,0,7,60,11,1358,343,1418,354
2021,"Greenwich 014","E02000326",7797,4353,655,683,21,16,111,45,18,26,3,0,0,19,117,23,1421,397,1538,420
2021,"Greenwich 015","E02000327",6629,3893,470,561,12,5,49,18,7,11,3,0,0,10,56,8,1309,266,1365,274
2021,"Greenwich 016","E02000328",6513,3641,621,583,31,23,146,53,31,18,10,1,1,32,128,23,964,353,1092,376
2021,"Greenwich 017","E02000329",6326,3601,850,491,14,3,38,18,5,8,3,0,0,4,54,17,1034,224,1088,241
2021,"Greenwich 019","E02000331",8235,4681,865,689,18,8,60,23,10,13,3,2,0,9,75,18,1507,314,1582,332
2021,"Greenwich 020","E02000332",7451,4251,843,585,17,7,51,23,12,8,0,0,0,8,80,17,1265,335,1345,352
2021,"Greenwich 021","E02000333",6245,3590,571,610,28,23,125,50,27,15,10,0,0,23,111,24,853,310,964,334
2021,"Greenwich 022","E02000334",6640,3862,789,496,11,5,71,34,9,10,2,3,0,13,78,7,1030,291,1108,298
2021,"Greenwich 023","E02000335",6681,3550,1231,794,28,9,76,25,13,17,9,0,0,12,70,21,674,228,744,249
2021,"Greenwich 025","E02000337",8471,4637,1366,866,10,5,52,22,9,11,5,1,0,4,45,6,1189,295,1234,301
2021,"Greenwich 027","E02000339",6290,3434,1033,679,15,14,85,28,16,18,5,1,0,17,91,41,695,203,786,244
2021,"Greenwich 028","E02000340",6866,3615,1175,698,17,6,48,23,4,9,3,0,0,9,80,8,1000,219,1080,227
2021,"Greenwich 029","E02000341",7998,4511,1227,826,2,3,40,20,11,4,1,0,0,4,79,8,1054,248,1133,256
2021,"Greenwich 030","E02000342",6346,3511,925,748,13,4,56,25,3,9,6,1,0,12,51,8,833,197,884,205
2021,"Greenwich 031","E02000343",7047,3876,1282,679,10,3,49,14,8,15,1,0,0,11,43,16,864,225,907,241
2021,"Greenwich 032","E02000344",6431,3692,1126,757,9,5,54,18,12,10,2,1,0,11,48,12,557,171,605,183
2021,"Hackney 001","E02000345",8199,5623,416,579,7,4,40,20,3,10,0,0,0,7,32,8,1291,199,1323,207
2021,"Hackney 002","E02000346",9397,5483,394,356,17,15,103,46,13,25,2,1,0,16,106,15,2421,487,2527,502
2021,"Hackney 003","E02000347",8147,5682,432,480,18,5,48,22,3,10,1,0,0,12,63,4,1195,220,1258,224
2021,"Hackney 004","E02000348",8106,5744,417,440,4,5,46,11,4,18,4,0,0,9,70,6,1171,203,1241,209
2021,"Hackney 006","E02000350",10241,6412,411,613,22,29,148,66,27,28,6,2,0,19,163,44,1902,497,2065,541
2021,"Hackney 007","E02000351",9284,5219,440,588,44,25,153,60,32,32,9,0,0,20,168,36,2030,581,2198,617
2021,"Hackney 008","E02000352",6747,4259,299,466,27,15,102,41,16,17,5,2,0,21,97,18,1105,359,1202,377
2021,"Hackney 009","E02000353",7764,4650,367,498,29,9,142,55,24,31,7,2,0,23,138,29,1422,480,1560,509
2021,"Hackney 010","E02000354",9608,6125,421,486,30,14,137,69,25,15,3,3,1,21,125,20,1816,434,1941,454
2021,"Hackney 011","E02000355",8197,5069,402,417,29,16,152,70,24,26,5,4,0,23,156,41,1472,443,1628,484
2021,"Hackney 012","E02000356",7030,4190,367,441,32,12,168,64,26,32,12,2,1,31,113,44,1277,386,1390,430
2021,"Hackney 013","E02000357",6843,4524,351,280,15,8,55,17,6,10,3,0,1,18,84,13,1262,251,1346,264
2021,"Hackney 014","E02000358",11087,6283,521,585,44,21,173,58,37,36,7,0,0,35,230,48,2568,614,2798,662
2021,"Hackney 015","E02000359",6696,4339,317,348,20,15,102,52,13,12,4,0,1,20,97,17,1142,299,1239,316
2021,"Hackney 016","E02000360",11510,7441,456,501,19,11,137,63,24,23,7,1,0,19,152,24,2278,491,2430,515
2021,"Hackney 017","E02000361",8057,4542,341,415,30,16,155,69,21,27,9,1,0,28,121,18,1967,452,2088,470
2021,"Hackney 018","E02000362",6961,4313,469,461,16,15,104,39,18,30,3,2,0,12,101,29,1184,269,1285,298
2021,"Hackney 019","E02000363",11881,7841,615,576,20,13,113,56,18,16,6,1,0,16,116,17,2147,423,2263,440
2021,"Hackney 020","E02000364",9217,5598,522,519,34,23,132,57,24,20,9,1,2,19,147,20,1787,435,1934,455
2021,"Hackney 022","E02000366",8329,5054,712,542,31,9,134,78,15,19,5,0,0,17,169,29,1262,387,1431,416
2021,"Hackney 023","E02000367",10421,5654,512,649,29,18,202,92,30,37,10,3,0,30,213,44,2525,575,2738,619
2021,"Hackney 024","E02000368",9922,6176,533,487,16,8,104,41,15,33,4,0,0,11,157,21,1905,515,2062,536
2021,"Hackney 025","E02000369",13456,7546,704,649,42,25,189,99,32,23,6,2,0,27,204,35,3344,718,3548,753
2021,"Hackney 026","E02000370",8859,4855,496,413,17,7,87,41,15,13,4,0,0,14,111,32,2388,453,2499,485
2021,"Hammersmith and Fulham 001","E02000372",9986,5262,736,496,10,7,80,26,16,14,12,0,0,12,142,18,2761,474,2903,492
2021,"Hammersmith and Fulham 002","E02000373",7033,4672,386,257,9,5,34,9,6,10,0,0,0,9,65,5,1268,332,1333,337
2021,"Hammersmith and Fulham 003","E02000374",6912,3902,496,418,22,3,57,19,12,10,1,1,0,14,126,20,1508,360,1634,380
2021,"Hammersmith and Fulham 004","E02000375",7484,4185,395,435,11,7,82,26,9,23,7,1,1,15,128,15,1865,361,1993,376
2021,"Hammersmith and Fulham 005","E02000376",6701,3436,370,404,14,13,86,35,13,18,5,1,0,14,110,19,1902,347,2012,366
2021,"Hammersmith and Fulham 006","E02000377",7793,4277,498,507,26,9,115,43,15,22,8,0,0,27,171,19,1757,414,1928,433
2021,"Hammersmith and Fulham 007","E02000378",6434,3147,318,402,20,9,85,36,16,16,3,0,0,14,114,20,1893,426,2007,446
2021,"Hammersmith and Fulham 008","E02000379",7389,4200,420,484,33,11,120,48,30,19,4,0,3,16,161,24,1463,473,1624,497
2021,"Hammersmith and Fulham 009","E02000380",5507,2940,340,437,13,10,101,39,23,13,5,1,0,20,115,12,1182,357,1297,369
2021,"Hammersmith and Fulham 010","E02000381",7628,3792,485,473,30,14,98,37,20,13,7,0,0,21,116,27,2010,583,2126,610
2021,"Hammersmith and Fulham 011","E02000382",6191,3178,339,443,34,13,90,35,13,14,8,1,0,19,107,26,1566,395,1673,421
2021,"Hammersmith and Fulham 012","E02000383",8461,4081,461,495,17,18,110,36,32,22,6,3,0,11,149,14,2583,533,2732,547
2021,"Hammersmith and Fulham 013","E02000384",8265,4210,537,501,22,9,121,36,21,34,8,4,0,18,135,16,2281,433,2416,449
2021,"Hammersmith and Fulham 014","E02000385",5617,2537,356,424,23,11,103,37,22,20,4,2,0,18,85,12,1685,381,1770,393
2021,"Hammersmith and Fulham 015","E02000386",7577,4257,541,441,16,12,90,27,18,11,9,0,0,25,133,11,1748,328,1881,339
2021,"Hammersmith and Fulham 016","E02000387",6025,3049,451,434,22,9,77,25,23,13,3,0,1,12,94,13,1568,308,1662,321
2021,"Hammersmith and Fulham 017","E02000388",8661,4057,637,675,20,23,125,45,26,19,11,0,1,23,151,20,2451,502,2602,522
2021,"Hammersmith and Fulham 018","E02000389",8650,4110,659,657,23,14,120,31,45,17,7,0,0,20,138,21,2348,560,2486,581
2021,"Hammersmith and Fulham 019","E02000390",6196,3205,477,526,20,12,102,53,19,9,5,0,0,16,107,21,1411,315,1518,336
2021,"Hammersmith and Fulham 020","E02000391",7585,3782,581,573,28,15,118,49,22,24,7,0,0,16,119,16,1864,489,1983,505
2021,"Hammersmith and Fulham 021","E02000392",9230,4631,697,718,38,9,147,50,40,22,10,0,0,25,178,19,2261,532,2439,551
2021,"Hammersmith and Fulham 022","E02000393",5972,2954,401,456,15,14,113,45,21,22,6,0,0,19,135,34,1417,433,1552,467
2021,"Hammersmith and Fulham 023","E02000394",9284,4896,669,680,30,8,136,56,32,24,5,0,0,19,133,19,2201,512,2334,531
2021,"Hammersmith and Fulham 024","E02000395",5682,2734,405,539,24,15,104,40,27,10,5,1,0,21,112,22,1379,348,1491,370
2021,"Hammersmith and Fulham 025","E02000396",6898,3554,603,522,16,5,93,39,29,13,3,1,1,7,68,7,1578,452,1646,459
2021,"Haringey 001","E02000397",7905,4073,411,368,17,9,87,37,16,13,6,0,0,15,110,23,2417,390,2527,413
2021,"Haringey 002","E02000398",7519,4417,291,188,3,2,23,10,4,8,0,0,0,1,34,2,2309,250,2343,252
2021,"Haringey 004","E02000400",7987,4790,431,433,15,9,84,32,18,13,3,2,0,16,136,27,1671,391,1807,418
2021,"Haringey 005","E02000401",6864,4262,480,289,4,4,23,8,2,7,2,0,0,4,81,12,1443,266,1524,278
2021,"Haringey 006","E02000402",6473,3948,350,280,5,1,26,5,5,9,2,0,0,5,61,12,1551,239,1612,251
2021,"Haringey 007","E02000403",7514,3433,344,262,14,14,71,27,10,6,15,0,0,13,98,20,2814,444,2912,464
2021,"Haringey 008","E02000404",7112,3764,308,226,7,5,39,9,4,14,3,0,0,9,91,7,2317,348,2408,355
2021,"Haringey 009","E02000405",6473,3953,395,531,31,12,104,35,23,21,10,0,0,15,129,30,912,376,1041,406
2021,"Haringey 010","E02000406",6734,3709,316,238,13,6,46,23,5,8,4,0,0,6,91,15,1973,327,2064,342
2021,"Haringey 011","E02000407",7602,4056,316,219,15,2,45,14,15,7,4,2,0,3,70,16,2487,376,2557,392
2021,"Haringey 012","E02000408",8252,4584,346,295,8,5,31,10,0,8,1,1,2,9,85,7,2555,336,2640,343
2021,"Haringey 013","E02000409",6059,3797,192,195,9,4,43,11,4,18,1,0,0,9,49,5,1465,300,1514,305
2021,"Haringey 014","E02000410",6417,3618,415,570,29,12,124,51,29,14,6,2,0,22,112,32,1166,339,1278,371
2021,"Haringey 015","E02000411",11431,6115,442,469,23,17,87,47,14,13,4,0,0,9,91,16,3620,551,3711,567
2021,"Haringey 016","E02000412",7323,3920,280,300,21,6,39,19,6,6,2,0,0,6,82,20,2298,357,2380,377
2021,"Haringey 017","E02000413",7764,4628,526,631,27,21,114,37,34,12,6,1,1,23,136,26,1165,490,1301,516
2021,"Haringey 018","E02000414",7082,3864,280,295,7,6,50,24,8,4,2,2,0,10,64,10,2176,330,2240,340
2021,"Haringey 019","E02000415",7240,3603,270,301,18,6,68,29,7,15,6,0,1,10,110,17,2475,372,2585,389
2021,"Haringey 020","E02000416",8452,4940,481,574,40,20,140,64,25,33,3,1,0,14,155,37,1606,459,1761,496
2021,"Haringey 021","E02000417",6554,3644,412,570,31,16,124,45,25,21,9,0,1,23,109,22,1202,424,1311,446
2021,"Haringey 022","E02000418",5431,3301,382,493,48,9,127,52,32,17,4,1,0,21,104,24,632,311,736,335
2021,"Haringey 023","E02000419",8737,4248,361,449,27,15,130,64,34,13,2,2,1,14,125,30,2905,447,3030,477
2021,"Haringey 024","E02000420",7993,4251,370,332,12,8,65,18,9,18,5,7,0,8,100,21,2470,364,2570,385
2021,"Haringey 025","E02000421",8512,4781,253,299,10,6,71,25,13,12,7,1,0,13,49,8,2665,370,2714,378
2021,"Haringey 026","E02000422",7459,4187,269,275,9,8,65,18,8,26,5,0,0,8,92,26,2197,331,2289,357
2021,"Haringey 027","E02000423",6906,3331,322,353,7,8,69,29,12,17,1,0,0,10,95,20,2311,390,2406,410
2021,"Haringey 028","E02000424",6751,4031,412,554,30,12,109,42,19,22,7,1,1,17,158,27,1006,412,1164,439
2021,"Haringey 029","E02000425",8170,5578,321,425,4,1,23,10,1,4,4,0,0,4,36,6,1586,190,1622,196
2021,"Haringey 030","E02000426",6491,3811,445,478,15,14,114,43,30,19,4,2,0,16,117,31,1099,367,1216,398
2021,"Haringey 031","E02000427",6625,3355,288,380,18,10,103,48,17,17,2,2,0,17,119,24,1911,417,2030,441
2021,"Haringey 032","E02000428",8433,4849,307,398,12,8,68,41,7,5,0,0,0,15,120,11,2290,370,2410,381
2021,"Haringey 033","E02000429",6792,3749,405,571,31,22,140,58,28,18,8,1,1,26,113,21,1234,506,1347,527
2021,"Haringey 034","E02000430",6922,3870,387,552,33,21,161,71,38,20,7,3,3,19,143,35,1245,475,1388,510
2021,"Haringey 035","E02000431",5848,3040,352,534,33,12,161,66,40,25,7,1,0,22,126,24,1172,394,1298,418
2021,"Haringey 036","E02000432",6120,3405,352,495,43,14,149,44,33,20,17,0,1,34,140,27,1114,381,1254,408
2021,"Harrow 001","E02000433",8601,5634,525,578,12,1,44,13,10,15,5,0,0,1,57,4,1383,363,1440,367
2021,"Harrow 002","E02000434",9848,6276,462,526,9,5,39,14,8,10,2,0,0,5,84,12,1914,521,1998,533
2021,"Harrow 003","E02000435",8185,5315,524,387,13,12,35,8,7,10,3,0,0,7,94,7,1493,305,1587,312
2021,"Harrow 004","E02000436",5757,4018,420,386,13,10,24,7,4,3,2,0,0,8,98,10,542,236,640,246
2021,"Harrow 005","E02000437",8763,5298,729,396,16,5,64,17,16,15,3,0,0,13,199,22,1723,311,1922,333
2021,"Harrow 006","E02000438",8548,5457,709,434,10,2,50,15,11,15,1,0,0,8,118,24,1422,322,1540,346
2021,"Harrow 007","E02000439",9269,5221,371,260,4,2,29,14,5,6,3,0,0,1,121,2,2816,443,2937,445
2021,"Harrow 008","E02000440",9606,6385,544,390,10,5,31,10,8,8,0,0,1,4,112,13,1633,483,1745,496
2021,"Harrow 009","E02000441",7481,4728,599,531,9,6,45,17,9,8,2,2,0,7,103,9,1087,364,1190,373
2021,"Harrow 010","E02000442",9587,5405,212,154,5,1,12,2,1,9,0,0,0,0,84,8,3269,437,3353,445
2021,"Harrow 011","E02000443",10746,6346,531,338,6,5,44,8,24,5,1,0,0,6,226,24,2888,338,3114,362
2021,"Harrow 012","E02000444",8711,5311,341,231,7,2,21,7,4,3,2,0,0,5,88,5,2224,481,2312,486
2021,"Harrow 013","E02000445",11774,6759,513,382,4,1,20,5,1,6,1,0,1,6,216,35,3399,445,3615,480
2021,"Harrow 015","E02000447",8191,5250,546,364,24,5,32,14,9,3,2,0,0,4,107,19,1399,445,1506,464
2021,"Harrow 016","E02000448",7067,4364,536,585,27,13,69,20,25,10,3,0,0,11,118,20,1029,306,1147,326
2021,"Harrow 017","E02000449",8293,5080,324,138,1,0,12,4,0,7,1,0,0,0,79,9,2345,305,2424,314
2021,"Harrow 019","E02000451",6707,4210,469,311,17,4,47,10,7,6,9,0,0,15,108,12,1191,338,1299,350
2021,"Harrow 020","E02000452",9506,4707,456,375,16,5,45,19,10,7,1,0,0,8,177,18,3248,459,3425,477
2021,"Harrow 021","E02000453",8385,4825,430,350,14,5,44,24,8,3,0,1,0,8,126,23,2106,462,2232,485
2021,"Harrow 022","E02000454",7337,4813,607,505,12,13,49,20,11,7,2,0,0,9,97,12,866,363,963,375
2021,"Harrow 023","E02000455",11670,5511,493,395,23,3,60,22,9,19,3,0,0,7,133,12,4460,580,4593,592
2021,"Harrow 024","E02000456",7824,4565,574,427,10,7,44,18,6,11,2,0,0,7,115,17,1690,375,1805,392
2021,"Harrow 025","E02000457",7062,4296,436,362,9,4,38,14,12,7,0,0,0,5,89,8,1482,338,1571,346
2021,"Harrow 027","E02000459",9325,5278,457,312,7,6,35,12,8,8,1,0,0,6,102,5,2641,482,2743,487
2021,"Harrow 028","E02000460",7314,4715,352,252,7,4,24,11,8,2,1,0,0,2,56,9,1551,344,1607,353
2021,"Harrow 029","E02000461",7290,3996,459,453,19,7,74,21,16,10,1,0,0,26,146,24,1710,402,1856,426
2021,"Harrow 030","E02000462",6981,3887,299,237,4,4,21,6,3,5,1,0,0,6,96,10,2127,296,2223,306
