"date","geography","geography code","Occupancy rating for bedrooms: Total: All households","Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more","Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1","Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0","Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1","Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less"
2021,"Brent 007","E02000099",2917,707,644,946,442,178
2021,"Brent 008","E02000100",2566,1079,576,616,213,82
2021,"Brent 009","E02000101",3389,622,766,1344,508,149
2021,"Brent 010","E02000102",2684,481,594,1080,384,145
2021,"Brent 011","E02000103",3462,699,723,1441,487,112
2021,"Brent 012","E02000104",2416,600,593,843,271,109
2021,"Brent 013","E02000105",3110,551,710,1191,488,170
2021,"Brent 014","E02000106",3586,790,691,1416,513,176
2021,"Brent 015","E02000107",4362,808,946,2011,479,118
2021,"Brent 016","E02000108",2272,461,509,841,340,121
2021,"Brent 018","E02000110",3094,832,752,1170,265,75
2021,"Brent 019","E02000111",3189,515,667,1122,591,294
2021,"Brent 020","E02000112",3496,666,716,1250,516,348
2021,"Brent 021","E02000113",3290,365,654,1509,569,193
2021,"Brent 022","E02000114",3704,553,817,1826,403,105
2021,"Brent 023","E02000115",3876,461,929,2012,388,86
2021,"Brent 024","E02000116",3237,325,700,1567,534,111
2021,"Brent 025","E02000117",4759,485,945,2405,714,210
2021,"Brent 026","E02000118",3158,502,658,1097,533,368
2021,"Brent 027","E02000119",3952,328,829,2027,624,144
2021,"Brent 028","E02000120",4245,588,1043,2176,359,79
2021,"Brent 029","E02000121",3627,526,735,1374,630,362
2021,"Brent 030","E02000122",3160,1016,802,1069,214,59
2021,"Brent 031","E02000123",5539,646,1062,2885,769,177
2021,"Brent 032","E02000124",4160,862,1272,1677,279,70
2021,"Brent 033","E02000125",3943,1019,1191,1389,278,66
2021,"Brent 034","E02000126",3405,154,739,1943,439,130
2021,"Bromley 001","E02000127",3785,876,1179,1410,285,35
2021,"Bromley 002","E02000128",3063,1134,1149,675,92,13
2021,"Bromley 004","E02000130",3665,1120,1054,1280,177,34
2021,"Bromley 005","E02000131",5068,578,1454,2604,381,51
2021,"Bromley 006","E02000132",4942,936,1637,2069,278,22
2021,"Bromley 007","E02000133",4328,2545,1106,619,52,6
2021,"Bromley 008","E02000134",5299,1149,1727,2078,318,27
2021,"Bromley 009","E02000135",4443,453,1118,2350,463,59
2021,"Bromley 010","E02000136",2295,921,685,580,95,14
2021,"Bromley 011","E02000137",3674,1262,1095,1172,130,15
2021,"Bromley 012","E02000138",4139,1362,1440,1235,91,11
2021,"Bromley 013","E02000139",3308,1085,1031,1055,124,13
2021,"Bromley 014","E02000140",3333,674,988,1353,272,46
2021,"Bromley 015","E02000141",3091,804,964,1118,185,20
2021,"Bromley 016","E02000142",3451,1426,1055,848,106,16
2021,"Bromley 018","E02000144",4313,1350,1297,1449,198,19
2021,"Bromley 019","E02000145",3514,645,1150,1377,308,34
2021,"Bromley 020","E02000146",4040,1142,1474,1258,152,14
2021,"Bromley 021","E02000147",3166,1685,809,592,73,7
2021,"Bromley 022","E02000148",2699,1413,801,434,48,3
2021,"Bromley 023","E02000149",3286,923,1204,984,156,19
2021,"Bromley 024","E02000150",3115,1411,978,638,82,6
2021,"Bromley 025","E02000151",2970,1755,859,319,33,4
2021,"Bromley 026","E02000152",3096,935,1059,931,143,28
2021,"Bromley 027","E02000153",2893,1507,961,366,53,6
2021,"Bromley 028","E02000154",3573,1484,1085,871,123,10
2021,"Bromley 029","E02000155",3041,1123,1161,644,94,19
2021,"Bromley 030","E02000156",4860,2439,1388,929,87,17
2021,"Bromley 031","E02000157",3279,1729,1087,426,36,1
2021,"Bromley 032","E02000158",3032,1373,877,640,124,18
2021,"Bromley 033","E02000159",2822,1589,819,368,38,8
2021,"Bromley 034","E02000160",3039,1320,1020,626,65,8
2021,"Bromley 035","E02000161",3345,1600,1172,516,50,7
2021,"Bromley 036","E02000162",2964,1155,1007,721,73,8
2021,"Bromley 037","E02000163",3071,1659,911,443,47,11
2021,"Bromley 039","E02000165",2741,1295,918,469,53,6
2021,"Camden 001","E02000166",3396,912,817,1410,205,52
2021,"Camden 002","E02000167",3373,1010,1074,1199,74,16
2021,"Camden 003","E02000168",3494,679,925,1669,188,33
2021,"Camden 004","E02000169",3027,926,1026,955,98,22
2021,"Camden 005","E02000170",3465,870,944,1442,172,37
2021,"Camden 006","E02000171",3330,655,1027,1440,177,31
2021,"Camden 007","E02000172",4035,437,924,2080,489,105
2021,"Camden 008","E02000173",3503,596,1053,1685,147,22
2021,"Camden 009","E02000174",3551,456,873,1847,305,70
2021,"Camden 010","E02000175",4308,577,1148,2286,250,47
2021,"Camden 011","E02000176",3001,438,1039,1432,80,12
2021,"Camden 012","E02000177",3654,396,951,1834,374,99
2021,"Camden 013","E02000178",4166,359,990,2288,436,93
2021,"Camden 014","E02000179",2551,426,786,1111,179,49
2021,"Camden 015","E02000180",3516,394,950,1791,316,65
2021,"Camden 016","E02000181",3751,486,1314,1738,177,36
2021,"Camden 017","E02000182",3085,530,968,1328,200,59
2021,"Camden 018","E02000183",3618,624,1018,1724,211,41
2021,"Camden 019","E02000184",3634,326,965,1892,361,90
2021,"Camden 020","E02000185",4069,318,842,2318,473,118
2021,"Camden 021","E02000186",2941,408,673,1615,198,47
2021,"Camden 022","E02000187",3820,287,774,2054,560,145
2021,"Camden 023","E02000188",2719,247,525,1407,414,126
2021,"Camden 026","E02000191",2104,160,606,1194,121,23
2021,"Camden 027","E02000192",3089,241,729,1720,318,81
2021,"Camden 028","E02000193",3101,293,701,1893,179,35
2021,"Croydon 001","E02000194",4203,750,1193,1920,296,44
2021,"Croydon 002","E02000195",3490,1297,1060,855,231,47
2021,"Croydon 003","E02000196",2816,960,624,853,318,61
2021,"Croydon 004","E02000197",3319,896,914,1076,354,79
2021,"Croydon 005","E02000198",3502,548,1003,1488,388,75
2021,"Croydon 006","E02000199",3204,884,939,1064,257,60
2021,"Croydon 007","E02000200",4003,701,1092,1824,333,53
2021,"Croydon 008","E02000201",3818,482,840,1920,512,64
2021,"Croydon 009","E02000202",3032,817,857,962,312,84
2021,"Croydon 010","E02000203",3118,517,706,1409,398,88
2021,"Croydon 011","E02000204",3225,821,830,1059,405,110
2021,"Croydon 013","E02000206",4466,545,1149,2090,596,86
2021,"Croydon 014","E02000207",3559,663,1024,1462,337,73
2021,"Croydon 015","E02000208",4099,405,838,1998,706,152
2021,"Croydon 016","E02000209",3063,505,826,1246,407,79
2021,"Croydon 017","E02000210",3444,843,1160,1130,260,51
2021,"Croydon 018","E02000211",3294,1312,1190,690,88,14
2021,"Croydon 019","E02000212",3263,452,845,1353,499,114
2021,"Croydon 020","E02000213",5391,393,1111,2916,811,160
2021,"Croydon 021","E02000214",2327,1086,642,479,98,22
2021,"Croydon 022","E02000215",5255,766,1280,2555,529,125
2021,"Croydon 023","E02000216",2942,869,749,1080,215,29
2021,"Croydon 024","E02000217",5021,575,1331,2413,621,81
2021,"Croydon 025","E02000218",2351,761,621,662,252,55
2021,"Croydon 026","E02000219",2983,1531,908,459,77,8
2021,"Croydon 028","E02000221",3989,766,1183,1552,405,83
2021,"Croydon 029","E02000222",3635,908,1130,1322,250,25
2021,"Croydon 030","E02000223",2789,440,619,1216,430,84
2021,"Croydon 031","E02000224",3269,845,952,1190,241,41
2021,"Croydon 032","E02000225",2660,692,825,874,225,44
2021,"Croydon 033","E02000226",2780,1658,713,322,71,16
2021,"Croydon 034","E02000227",4838,1470,1491,1584,252,41
2021,"Croydon 035","E02000228",3006,1788,781,365,63,9
2021,"Croydon 036","E02000229",2237,400,629,906,252,50
2021,"Croydon 037","E02000230",4231,1580,1152,1264,205,30
2021,"Croydon 038","E02000231",2750,1725,561,375,70,19
2021,"Croydon 039","E02000232",2370,1111,802,380,63,14
2021,"Croydon 040","E02000233",2395,897,781,592,105,20
2021,"Croydon 041","E02000234",3720,1372,1062,1104,167,15
2021,"Croydon 042","E02000235",2657,1284,789,486,87,11
2021,"Croydon 043","E02000236",3311,1633,1050,511,99,18
2021,"Croydon 044","E02000237",3032,1372,983,585,83,9
2021,"Ealing 001","E02000238",3736,703,936,1500,459,138
2021,"Ealing 002","E02000239",2929,999,793,815,242,80
2021,"Ealing 003","E02000240",3898,552,1032,1621,555,138
2021,"Ealing 004","E02000241",2600,536,769,935,288,72
2021,"Ealing 005","E02000242",2230,577,602,718,257,76
2021,"Ealing 006","E02000243",3128,715,811,1194,326,82
2021,"Ealing 007","E02000244",2940,752,765,1101,267,55
2021,"Ealing 008","E02000245",3355,309,705,1658,562,121
2021,"Ealing 009","E02000246",3072,507,723,1265,468,109
2021,"Ealing 010","E02000247",3892,518,1003,1668,584,119
2021,"Ealing 011","E02000248",2989,685,781,1168,282,73
2021,"Ealing 012","E02000249",2915,626,746,1066,377,100
2021,"Ealing 013","E02000250",2544,1109,692,633,99,11
2021,"Ealing 014","E02000251",2542,682,722,788,257,93
2021,"Ealing 015","E02000252",4406,684,874,2273,472,103
2021,"Ealing 016","E02000253",3842,606,983,1681,458,114
2021,"Ealing 017","E02000254",2611,637,698,778,318,180
2021,"Ealing 018","E02000255",3792,1133,896,1365,327,71
2021,"Ealing 019","E02000256",4027,1056,1027,1704,220,20
2021,"Ealing 021","E02000258",2601,657,668,1021,212,43
2021,"Ealing 022","E02000259",2395,774,637,780,174,30
2021,"Ealing 023","E02000260",2756,583,595,909,458,211
2021,"Ealing 024","E02000261",4977,890,1183,2247,542,115
2021,"Ealing 025","E02000262",3947,688,887,1911,379,82
2021,"Ealing 026","E02000263",3646,629,733,1280,646,358
2021,"Ealing 027","E02000264",3543,1075,816,1379,230,43
2021,"Ealing 028","E02000265",4733,886,1123,2212,446,66
2021,"Ealing 029","E02000266",4296,641,890,1929,609,227
2021,"Ealing 030","E02000267",3218,687,918,1318,248,47
2021,"Ealing 031","E02000268",3862,1238,1003,1343,240,38
2021,"Ealing 032","E02000269",3302,1180,946,998,162,16
2021,"Ealing 033","E02000270",4116,354,1036,2186,455,85
2021,"Ealing 034","E02000271",2978,1277,805,798,86,12
2021,"Ealing 035","E02000272",2538,1035,751,622,115,15
2021,"Ealing 038","E02000275",2348,469,406,900,408,165
2021,"Ealing 039","E02000276",2724,801,753,981,166,23
2021,"Enfield 001","E02000277",2627,651,684,960,276,56
2021,"Enfield 002","E02000278",3339,611,851,1378,417,82
2021,"Enfield 003","E02000279",4415,646,1003,2030,617,119
2021,"Enfield 004","E02000280",3413,1016,1156,989,227,25
2021,"Enfield 005","E02000281",3551,633,1042,1420,356,100
2021,"Enfield 006","E02000282",3467,452,736,1595,571,113
2021,"Enfield 007","E02000283",2800,683,773,987,294,63
2021,"Enfield 008","E02000284",3619,1019,1127,1225,204,44
2021,"Enfield 009","E02000285",2462,1197,736,436,82,11
2021,"Enfield 010","E02000286",4000,1100,1275,1396,200,29
2021,"Enfield 011","E02000287",2873,1366,742,653,95,17
2021,"Enfield 012","E02000288",4053,679,882,1653,620,219
2021,"Enfield 013","E02000289",2424,1219,699,412,75,19
2021,"Enfield 014","E02000290",2519,292,506,1225,417,79
2021,"Enfield 015","E02000291",4330,687,1217,1928,429,69
2021,"Enfield 016","E02000292",3569,981,1164,1086,280,58
2021,"Enfield 017","E02000293",2490,1264,663,468,82,13
2021,"Enfield 018","E02000294",3088,688,830,1113,370,87
