"date","geography","geography code","Household deprivation: Total: All households; measures: Value","Household deprivation: Household is not deprived in any dimension; measures: Value","Household deprivation: Household is deprived in one dimension; measures: Value","Household deprivation: Household is deprived in two dimensions; measures: Value","Household deprivation: Household is deprived in three dimensions; measures: Value","Household deprivation: Household is deprived in four dimensions; measures: Value"
2021,"Haringey 029","E02000425",2163,742,880,404,117,20
2021,"Haringey 030","E02000426",2742,1612,765,276,86,3
2021,"Haringey 031","E02000427",2867,1313,979,435,122,18
2021,"Haringey 032","E02000428",2922,933,1098,662,217,12
2021,"Haringey 033","E02000429",3201,1899,958,269,69,6
2021,"Haringey 034","E02000430",3247,1864,973,306,94,10
2021,"Haringey 035","E02000431",2845,1760,786,235,56,8
2021,"Haringey 036","E02000432",2799,1428,862,363,134,12
2021,"Haringey 037","E02006794",3127,901,1193,761,243,29
2021,"Harrow 001","E02000433",3544,1797,1154,462,119,12
2021,"Harrow 002","E02000434",3638,1918,1148,444,114,14
2021,"Harrow 003","E02000435",2812,1261,955,471,120,5
2021,"Harrow 004","E02000436",2044,1225,622,167,29,1
2021,"Harrow 005","E02000437",3089,1385,1147,448,102,7
2021,"Harrow 006","E02000438",3043,1380,1074,479,103,7
2021,"Harrow 007","E02000439",2948,1273,1103,440,122,10
2021,"Harrow 008","E02000440",3052,1690,994,316,46,6
2021,"Harrow 009","E02000441",2793,1431,899,372,89,2
2021,"Harrow 010","E02000442",2667,1086,1059,436,81,5
2021,"Harrow 011","E02000443",3546,1457,1296,604,165,24
2021,"Harrow 012","E02000444",2672,1282,968,358,60,4
2021,"Harrow 013","E02000445",3820,1558,1397,680,168,17
2021,"Harrow 015","E02000447",2745,1479,908,292,61,5
2021,"Harrow 016","E02000448",2759,1591,846,251,58,13
2021,"Harrow 017","E02000449",2526,1032,969,412,108,5
2021,"Harrow 019","E02000451",2329,1369,740,196,22,2
2021,"Harrow 020","E02000452",3449,1585,1215,516,126,7
2021,"Harrow 021","E02000453",3047,1520,1056,369,90,12
2021,"Harrow 022","E02000454",2522,1586,720,195,21,0
2021,"Harrow 023","E02000455",4759,2460,1531,613,138,17
2021,"Harrow 024","E02000456",2717,1240,958,405,107,7
2021,"Harrow 025","E02000457",2563,1317,891,288,61,6
2021,"Harrow 027","E02000459",3418,1439,1283,528,160,8
2021,"Harrow 028","E02000460",2415,1114,814,364,115,8
2021,"Harrow 029","E02000461",2559,1438,796,261,56,8
2021,"Harrow 030","E02000462",2286,982,869,350,77,8
2021,"Harrow 031","E02000463",2834,1262,1017,435,114,6
2021,"Harrow 032","E02006795",2643,1365,930,311,36,1
2021,"Harrow 033","E02006882",4399,2158,1591,550,93,7
2021,"Havering 001","E02000464",2875,1111,1021,547,176,20
2021,"Havering 002","E02000465",3492,1389,1169,682,237,15
2021,"Havering 003","E02000466",3294,1397,1186,547,155,9
2021,"Havering 004","E02000467",4290,1358,1607,948,344,33
2021,"Havering 005","E02000468",3165,1431,1149,480,98,7
2021,"Havering 006","E02000469",2699,1032,981,526,148,12
2021,"Havering 007","E02000470",4131,2179,1376,469,98,9
2021,"Havering 008","E02000471",2941,1479,1053,355,54,0
2021,"Havering 009","E02000472",3528,1688,1232,510,95,3
2021,"Havering 010","E02000473",4025,2137,1315,484,82,7
2021,"Havering 011","E02000474",3531,1582,1259,561,121,8
2021,"Havering 012","E02000475",3958,2157,1249,457,94,1
2021,"Havering 013","E02000476",4199,1956,1369,693,170,11
2021,"Havering 014","E02000477",3716,2003,1226,420,63,4
2021,"Havering 015","E02000478",2150,1133,715,269,32,1
2021,"Havering 016","E02000479",3789,1873,1193,559,153,11
2021,"Havering 017","E02000480",5012,2350,1703,754,195,10
2021,"Havering 018","E02000481",3246,1588,1158,432,63,5
2021,"Havering 019","E02000482",2577,1488,834,234,21,0
2021,"Havering 020","E02000483",3473,1557,1292,534,81,9
2021,"Havering 021","E02000484",3253,1650,1107,412,83,1
2021,"Havering 022","E02000485",3455,1819,1172,417,47,0
2021,"Havering 023","E02000486",2990,1420,1064,425,76,5
2021,"Havering 024","E02000487",2944,1720,943,248,31,2
2021,"Havering 025","E02000488",3014,1607,1008,353,45,1
2021,"Havering 026","E02000489",3261,1509,1147,501,98,6
2021,"Havering 027","E02000490",3226,1397,1187,531,107,4
2021,"Havering 028","E02000491",3934,1685,1373,672,191,13
2021,"Havering 029","E02000492",2622,1192,958,383,87,2
2021,"Havering 030","E02000493",2497,1018,922,456,97,4
2021,"Hillingdon 001","E02000494",3216,1859,979,291,79,8
2021,"Hillingdon 002","E02000495",4306,2225,1434,513,127,7
2021,"Hillingdon 003","E02000496",3176,1538,1043,487,102,6
2021,"Hillingdon 004","E02000497",3695,1908,1168,492,118,9
2021,"Hillingdon 005","E02000498",2639,1362,865,324,84,4
2021,"Hillingdon 006","E02000499",3014,1698,973,301,38,4
2021,"Hillingdon 007","E02000500",3305,1857,1078,328,39,3
2021,"Hillingdon 008","E02000501",3273,1836,1062,315,57,3
2021,"Hillingdon 009","E02000502",3528,1993,1124,352,57,2
2021,"Hillingdon 010","E02000503",3254,1812,1050,337,53,2
2021,"Hillingdon 011","E02000504",2921,1793,855,249,24,0
2021,"Hillingdon 013","E02000506",2899,1681,891,268,59,0
2021,"Hillingdon 014","E02000507",2779,1402,917,369,83,8
2021,"Hillingdon 015","E02000508",4339,2271,1316,573,162,17
2021,"Hillingdon 016","E02000509",3402,1458,1222,550,161,11
2021,"Hillingdon 017","E02000510",3261,1535,1147,473,103,3
2021,"Hillingdon 018","E02000511",3262,1413,1239,493,108,9
2021,"Hillingdon 019","E02000512",3104,1209,1107,599,174,15
2021,"Hillingdon 020","E02000513",3323,1120,1324,667,195,17
2021,"Hillingdon 021","E02000514",3177,1261,1268,530,110,8
2021,"Hillingdon 022","E02000515",5345,2157,1954,932,273,29
2021,"Hillingdon 023","E02000516",2817,1121,1069,497,123,7
2021,"Hillingdon 024","E02000517",3321,1233,1227,649,188,24
2021,"Hillingdon 025","E02000518",3328,1259,1295,589,176,9
2021,"Hillingdon 026","E02000519",3025,951,1160,703,188,23
2021,"Hillingdon 027","E02000520",4455,1679,1631,898,234,13
2021,"Hillingdon 028","E02000521",4351,1855,1518,751,217,10
2021,"Hillingdon 029","E02000522",3488,1462,1239,592,173,22
2021,"Hillingdon 030","E02000523",3680,1418,1468,635,148,11
2021,"Hillingdon 031","E02000524",2639,965,1040,480,147,7
2021,"Hillingdon 032","E02000525",3320,1041,1347,705,206,21
2021,"Hillingdon 033","E02006796",3578,1766,1197,508,97,10
2021,"Hounslow 001","E02000526",3618,2375,945,249,46,3
2021,"Hounslow 004","E02000529",3035,1118,1169,582,153,13
2021,"Hounslow 005","E02000530",2517,768,958,583,191,17
2021,"Hounslow 006","E02000531",4936,2565,1518,622,199,32
2021,"Hounslow 007","E02000532",3819,2191,1093,404,116,15
2021,"Hounslow 008","E02000533",3689,2193,1020,356,105,15
2021,"Hounslow 009","E02000534",2999,1611,994,345,47,2
2021,"Hounslow 010","E02000535",3006,1119,1195,556,129,7
2021,"Hounslow 011","E02000536",3245,1297,1222,585,132,9
2021,"Hounslow 012","E02000537",3158,1500,1182,400,65,11
2021,"Hounslow 013","E02000538",3004,1045,1176,618,149,16
2021,"Hounslow 014","E02000539",4734,2380,1507,669,163,15
2021,"Hounslow 015","E02000540",4486,1942,1604,727,182,31
2021,"Hounslow 016","E02000541",3278,1046,1301,702,220,9
2021,"Hounslow 017","E02000542",3953,1229,1648,810,243,23
2021,"Hounslow 018","E02000543",4892,1854,1903,870,236,29
2021,"Hounslow 019","E02000544",2922,1482,978,383,75,4
2021,"Hounslow 020","E02000545",3548,1597,1143,628,169,11
2021,"Hounslow 021","E02000546",3159,1169,1230,603,150,7
2021,"Hounslow 022","E02000547",3854,1420,1494,745,181,14
2021,"Hounslow 023","E02000548",3726,1348,1457,688,213,20
2021,"Hounslow 024","E02000549",4083,1637,1557,708,165,16
2021,"Hounslow 025","E02000550",3719,1492,1354,663,196,14
2021,"Hounslow 026","E02000551",3415,1179,1279,742,190,25
2021,"Hounslow 027","E02000552",3361,1503,1228,494,127,9
2021,"Hounslow 028","E02000553",2600,1116,910,442,117,15
2021,"Hounslow 029","E02006792",4147,2430,1208,380,118,11
2021,"Hounslow 030","E02006972",2334,1131,729,355,109,10
2021,"Hounslow 031","E02006973",3726,1669,1268,582,188,19
2021,"Islington 001","E02000554",4202,1668,1413,786,306,29
2021,"Islington 002","E02000555",4034,1885,1306,621,204,18
2021,"Islington 003","E02000556",4948,2390,1477,726,320,35
2021,"Islington 004","E02000557",4137,1869,1402,618,223,25
2021,"Islington 005","E02000558",3957,1336,1400,840,359,22
2021,"Islington 006","E02000559",3995,2305,1079,451,149,11
2021,"Islington 007","E02000560",3275,1559,1067,505,133,11
2021,"Islington 008","E02000561",3158,1713,956,351,123,15
2021,"Islington 009","E02000562",3487,1775,1034,505,160,13
2021,"Islington 010","E02000563",3858,1487,1304,765,275,27
2021,"Islington 011","E02000564",5664,2878,1754,766,239,27
2021,"Islington 012","E02000565",3497,1600,1041,599,242,15
2021,"Islington 013","E02000566",3837,2223,1004,445,156,9
2021,"Islington 014","E02000567",4894,2451,1406,728,277,32
2021,"Islington 015","E02000568",4669,1911,1533,857,352,16
2021,"Islington 016","E02000569",4601,2194,1402,739,250,16
2021,"Islington 017","E02000570",3990,2359,1049,424,146,12
2021,"Islington 018","E02000571",4122,2068,1185,596,254,19
2021,"Islington 019","E02000572",3524,1285,1155,735,331,18
2021,"Islington 020","E02000573",4921,2948,1260,512,188,13
2021,"Islington 021","E02000574",3605,1839,1104,472,179,11
2021,"Islington 022","E02000575",5171,2660,1487,722,278,24
2021,"Islington 023","E02000576",4953,2254,1586,814,268,31
2021,"Kensington and Chelsea 001","E02000577",3176,1012,1123,693,313,35
2021,"Kensington and Chelsea 002","E02000578",2309,705,781,571,229,23
2021,"Kensington and Chelsea 003","E02000579",3820,1695,1232,618,240,35
2021,"Kensington and Chelsea 004","E02000580",3988,1657,1232,787,263,49
2021,"Kensington and Chelsea 005","E02000581",3010,936,1017,653,373,31
2021,"Kensington and Chelsea 006","E02000582",3273,1890,994,319,62,8
2021,"Kensington and Chelsea 007","E02000583",3118,1898,822,296,83,19
2021,"Kensington and Chelsea 008","E02000584",3331,2109,932,231,54,5
2021,"Kensington and Chelsea 009","E02000585",3386,1879,1007,361,119,20
2021,"Kensington and Chelsea 010","E02000586",2881,1909,781,155,36,0
2021,"Kensington and Chelsea 011","E02000587",3027,1967,804,203,50,3
2021,"Kensington and Chelsea 012","E02000588",3077,2068,766,192,43,8
2021,"Kensington and Chelsea 013","E02000589",3659,1997,1166,371,102,23
2021,"Kensington and Chelsea 014","E02000590",3049,1384,1066,417,163,19
2021,"Kensington and Chelsea 015","E02000591",3238,1479,1093,447,180,39
2021,"Kensington and Chelsea 016","E02000592",2839,1802,811,172,45,9
2021,"Kensington and Chelsea 017","E02000593",3684,1990,1188,355,134,17
2021,"Kensington and Chelsea 018","E02000594",2922,1825,786,238,60,13
2021,"Kensington and Chelsea 019","E02000595",3029,1796,832,263,113,25
2021,"Kensington and Chelsea 020","E02000596",3073,1935,819,225,76,18
2021,"Kensington and Chelsea 021","E02000597",3000,1242,993,552,184,29
2021,"Kingston upon Thames 001","E02000598",2971,1840,850,236,42,3
2021,"Kingston upon Thames 002","E02000599",2351,1485,683,151,30,2
2021,"Kingston upon Thames 003","E02000600",3378,1923,1049,339,65,2
2021,"Kingston upon Thames 004","E02000601",4858,2987,1327,435,100,9
2021,"Kingston upon Thames 005","E02000602",4046,1915,1313,600,204,14
2021,"Kingston upon Thames 006","E02000603",2950,1420,952,448,127,3
2021,"Kingston upon Thames 007","E02000604",3559,2007,1107,371,70,4
2021,"Kingston upon Thames 008","E02000605",3115,1778,932,339,63,3
2021,"Kingston upon Thames 009","E02000606",4811,2840,1459,411,89,12
2021,"Kingston upon Thames 010","E02000607",2583,1543,755,234,45,6
2021,"Kingston upon Thames 011","E02000608",3404,1998,957,360,78,11
2021,"Kingston upon Thames 012","E02000609",2737,1373,922,361,77,4
2021,"Kingston upon Thames 013","E02000610",3871,2129,1185,431,117,9
2021,"Kingston upon Thames 014","E02000611",2650,1565,831,221,31,2
2021,"Kingston upon Thames 015","E02000612",3078,1803,944,292,36,3
2021,"Kingston upon Thames 016","E02000613",3195,1841,953,313,80,8
2021,"Kingston upon Thames 017","E02000614",3374,1750,1092,437,89,6
2021,"Kingston upon Thames 018","E02000615",2957,1504,1036,356,57,4
2021,"Kingston upon Thames 019","E02000616",2385,1344,776,227,38,0
2021,"Kingston upon Thames 020","E02000617",3343,1594,1150,482,114,3
2021,"Lambeth 002","E02000619",4054,1765,1352,710,211,16
2021,"Lambeth 003","E02000620",4589,2288,1453,649,191,8
2021,"Lambeth 004","E02000621",6007,3246,1838,697,202,24
2021,"Lambeth 005","E02000622",3631,1778,1212,479,146,16
2021,"Lambeth 006","E02000623",3328,1288,1239,613,175,13
2021,"Lambeth 007","E02000624",4272,2101,1348,611,190,22
2021,"Lambeth 008","E02000625",3795,1545,1469,590,172,19
2021,"Lambeth 009","E02000626",3448,1236,1287,690,216,19
2021,"Lambeth 010","E02000627",3917,1819,1309,605,176,8
2021,"Lambeth 011","E02000628",4483,1875,1495,842,248,23
2021,"Lambeth 012","E02000629",4016,2386,1064,397,163,6
2021,"Lambeth 013","E02000630",3430,2018,966,329,99,18
2021,"Lambeth 014","E02000631",3739,1897,1207,476,142,17
2021,"Lambeth 015","E02000632",4261,2515,1231,397,110,8
2021,"Lambeth 016","E02000633",3963,1826,1292,646,173,26
2021,"Lambeth 017","E02000634",3107,1549,921,446,183,8
2021,"Lambeth 018","E02000635",4337,2323,1206,602,188,18
2021,"Lambeth 019","E02000636",3079,2020,783,231,44,1
2021,"Lambeth 020","E02000637",3705,2044,1135,424,95,7
2021,"Lambeth 021","E02000638",4107,1980,1362,600,155,10
2021,"Lambeth 022","E02000639",3724,1619,1362,559,169,15
2021,"Lambeth 023","E02000640",3806,2267,1033,398,95,13
2021,"Lambeth 024","E02000641",3390,1346,1182,656,193,13
2021,"Lambeth 025","E02000642",4172,2187,1269,536,174,6
2021,"Lambeth 026","E02000643",3947,2117,1182,508,134,6
2021,"Lambeth 027","E02000644",3496,1913,1102,360,113,8
2021,"Lambeth 028","E02000645",4047,2092,1206,559,171,19
2021,"Lambeth 029","E02000646",3905,2134,1175,456,127,13
2021,"Lambeth 030","E02000647",3423,1775,1100,426,110,12
2021,"Lambeth 031","E02000648",3188,1363,1025,606,183,11
2021,"Lambeth 032","E02000649",5305,2593,1718,734,228,32
2021,"Lambeth 033","E02000650",3278,1576,969,513,207,13
2021,"Lambeth 034","E02000651",3479,1711,1166,477,111,14
2021,"Lambeth 035","E02000652",2542,1206,907,349,77,3
2021,"Lambeth 036","E02006801",3711,1969,1157,450,127,8
2021,"Lewisham 001","E02000653",5293,2609,1615,796,255,18
2021,"Lewisham 002","E02000654",3596,1373,1256,696,245,26
2021,"Lewisham 003","E02000655",4007,1615,1481,697,196,18
2021,"Lewisham 005","E02000657",3991,1907,1261,589,217,17
2021,"Lewisham 006","E02000658",3458,1519,1173,547,203,16
2021,"Lewisham 007","E02000659",3541,1916,1064,425,125,11
2021,"Lewisham 008","E02000660",3603,1898,1136,440,121,8
2021,"Lewisham 009","E02000661",3047,1627,931,354,121,14
2021,"Lewisham 010","E02000662",3304,1521,1108,513,153,9
2021,"Lewisham 011","E02000663",2819,1475,897,346,95,6
2021,"Lewisham 013","E02000665",3416,1764,1044,470,128,10
2021,"Lewisham 014","E02000666",2736,1371,876,377,104,8
2021,"Lewisham 015","E02000667",2524,1455,713,291,62,3
2021,"Lewisham 016","E02000668",2727,1540,780,322,84,1
2021,"Lewisham 017","E02000669",3308,1675,1027,442,151,13
2021,"Lewisham 018","E02000670",2781,1186,1005,447,132,11
2021,"Lewisham 019","E02000671",3681,1979,1074,470,149,9
2021,"Lewisham 020","E02000672",4200,1873,1382,599,288,58
2021,"Lewisham 021","E02000673",3500,2025,1002,382,89,2
2021,"Lewisham 022","E02000674",3057,1519,1042,389,99,8
2021,"Lewisham 023","E02000675",3420,1706,1140,446,117,11
2021,"Lewisham 024","E02000676",3189,1734,962,396,86,11
2021,"Lewisham 025","E02000677",2642,1250,853,424,106,9
2021,"Lewisham 026","E02000678",2615,1018,907,493,181,16
2021,"Lewisham 027","E02000679",3375,1576,1077,517,183,22
2021,"Lewisham 028","E02000680",2913,1388,963,415,131,16
2021,"Lewisham 029","E02000681",3350,1363,1146,625,196,20
2021,"Lewisham 030","E02000682",3217,1304,1140,580,173,20
2021,"Lewisham 031","E02000683",2724,1153,862,522,177,10
2021,"Lewisham 033","E02000685",3423,1565,1095,584,155,24
2021,"Lewisham 034","E02000686",3044,1168,1057,576,222,21
2021,"Lewisham 035","E02000687",3455,1635,1137,508,154,21
2021,"Lewisham 037","E02006783",2895,1122,986,583,194,10
2021,"Lewisham 038","E02006784",3125,1209,1025,668,203,20
2021,"Lewisham 039","E02006798",3775,1542,1381,655,186,11
2021,"Lewisham 040","E02007008",2661,1536,780,276,66,3
2021,"Lewisham 041","E02007009",3987,1671,1384,698,208,26
2021,"Merton 001","E02000689",3512,2322,872,251,58,9
2021,"Merton 002","E02000690",2225,1471,594,132,22,6
2021,"Merton 003","E02000691",2957,1888,771,258,36,4
2021,"Merton 004","E02000692",3568,2340,946,236,44,2
2021,"Merton 005","E02000693",4282,2554,1218,404,98,8
2021,"Merton 006","E02000694",3834,2347,1020,370,91,6
2021,"Merton 007","E02000695",2939,1459,997,407,69,7
2021,"Merton 008","E02000696",3269,1529,1185,430,116,9
2021,"Merton 009","E02000697",3667,2430,941,255,38,3
2021,"Merton 010","E02000698",3186,2101,850,187,44,4
2021,"Merton 011","E02000699",3262,2087,902,244,27,2
2021,"Merton 012","E02000700",3358,1405,1167,606,168,12
2021,"Merton 013","E02000701",3114,1327,1150,520,109,8
2021,"Merton 014","E02000702",3366,1417,1226,546,164,13
2021,"Merton 015","E02000703",2936,1759,890,247,35,5
2021,"Merton 016","E02000704",3573,1997,1074,398,99,5
2021,"Merton 017","E02000705",3117,1602,1028,403,76,8
2021,"Merton 018","E02000706",3534,1397,1225,672,218,22
2021,"Merton 019","E02000707",2778,1087,1048,484,155,4
2021,"Merton 020","E02000708",3255,1948,932,319,56,0
2021,"Merton 021","E02000709",2869,1600,909,308,51,1
2021,"Merton 022","E02000710",3439,1449,1288,566,126,10
2021,"Merton 023","E02000711",3458,1599,1200,508,141,10
2021,"Merton 024","E02000712",3406,1418,1218,571,186,13
2021,"Merton 025","E02000713",2830,1526,944,308,51,1
2021,"Newham 001","E02000714",2645,1126,904,459,146,10
2021,"Newham 002","E02000715",2090,600,838,463,178,11
2021,"Newham 003","E02000716",2302,827,864,450,148,13
2021,"Newham 004","E02000717",2395,706,953,538,183,15
2021,"Newham 005","E02000718",2247,676,889,486,184,12
2021,"Newham 006","E02000719",2871,1149,1043,495,173,11
2021,"Newham 007","E02000720",2123,810,772,431,107,3
2021,"Newham 008","E02000721",2764,842,1091,630,187,14
2021,"Newham 009","E02000722",2935,1134,1056,553,181,11
2021,"Newham 010","E02000723",2861,876,1112,641,220,12
2021,"Newham 011","E02000724",2535,773,970,602,181,9
2021,"Newham 012","E02000725",4001,1689,1384,705,201,22
2021,"Newham 014","E02000727",2290,644,943,516,174,13
2021,"Newham 015","E02000728",2342,788,910,513,125,6
2021,"Newham 016","E02000729",2202,743,834,429,187,9
2021,"Newham 017","E02000730",2566,752,992,610,201,11
2021,"Newham 018","E02000731",2770,822,1141,592,203,12
2021,"Newham 019","E02000732",2752,884,1039,593,215,21
2021,"Newham 020","E02000733",3463,1199,1322,671,254,17
2021,"Newham 021","E02000734",2495,838,951,521,172,13
2021,"Newham 022","E02000735",2659,892,1013,550,177,27
2021,"Newham 023","E02000736",2654,848,1044,559,193,10
2021,"Newham 024","E02000737",3066,1025,1107,694,222,18
2021,"Newham 025","E02000738",2786,1091,1045,495,146,9
2021,"Newham 026","E02000739",2479,850,953,502,157,17
2021,"Newham 027","E02000740",2495,851,955,509,162,18
2021,"Newham 028","E02000741",2684,977,994,531,171,11
2021,"Newham 029","E02000742",2525,877,988,497,156,7
2021,"Newham 030","E02000743",3578,1318,1244,702,293,21
2021,"Newham 031","E02000744",3326,1274,1214,617,203,18
2021,"Newham 032","E02000745",2877,1078,1081,537,166,15
2021,"Newham 033","E02000746",3396,1596,1081,524,184,11
2021,"Newham 034","E02000747",5445,2718,1629,807,274,17
2021,"Newham 035","E02000748",2209,857,811,410,122,9
2021,"Newham 036","E02000749",3330,1159,1182,683,286,20
2021,"Newham 038","E02006995",3237,2179,727,247,80,4
2021,"Newham 039","E02006996",3158,1771,907,371,101,8
2021,"Newham 040","E02006997",3229,1832,977,306,107,7
2021,"Newham 041","E02006998",2668,1037,1011,450,159,11
2021,"Newham 042","E02006999",5049,3288,1321,338,99,3
2021,"Redbridge 001","E02000751",4438,2512,1380,459,82,5
2021,"Redbridge 002","E02000752",3266,1410,1087,572,175,22
2021,"Redbridge 003","E02000753",2474,1025,864,425,154,6
2021,"Redbridge 004","E02000754",2592,1378,792,346,74,2
2021,"Redbridge 005","E02000755",2186,1081,750,273,78,4
2021,"Redbridge 006","E02000756",5258,2586,1772,712,179,9
2021,"Redbridge 007","E02000757",5179,2978,1590,494,106,11
2021,"Redbridge 008","E02000758",2316,1035,828,347,101,5
2021,"Redbridge 009","E02000759",4818,2502,1600,566,137,13
2021,"Redbridge 010","E02000760",2629,1128,957,432,109,3
2021,"Redbridge 012","E02000762",2108,1006,748,305,46,3
2021,"Redbridge 013","E02000763",2577,1197,884,397,92,7
2021,"Redbridge 014","E02000764",5368,3056,1637,552,113,10
2021,"Redbridge 015","E02000765",2426,1119,903,328,66,10
2021,"Redbridge 017","E02000767",2768,1340,974,369,81,4
2021,"Redbridge 018","E02000768",2205,1319,668,176,40,2
2021,"Redbridge 020","E02000770",2489,1030,928,407,112,12
2021,"Redbridge 022","E02000772",2538,1037,958,415,121,7
2021,"Redbridge 023","E02000773",3113,1405,1039,469,178,22
2021,"Redbridge 024","E02000774",2459,988,922,425,118,6
2021,"Redbridge 026","E02000776",2081,862,766,364,83,6
2021,"Redbridge 027","E02000777",2326,1244,739,271,64,8
2021,"Redbridge 029","E02000779",2776,879,1149,572,155,21
2021,"Redbridge 031","E02000781",4428,1904,1590,755,168,11
2021,"Redbridge 032","E02000782",3577,1390,1320,665,188,14
2021,"Redbridge 033","E02000783",2115,708,808,451,140,8
2021,"Redbridge 034","E02006800",4514,1789,1758,756,199,12
2021,"Redbridge 035","E02006924",4096,1816,1508,644,122,6
2021,"Redbridge 036","E02006925",4188,1998,1487,568,132,3
2021,"Redbridge 037","E02007017",2763,1294,986,393,87,3
2021,"Redbridge 038","E02007018",2526,1129,898,381,112,6
2021,"Redbridge 039","E02007019",2404,856,945,461,132,10
2021,"Redbridge 040","E02007020",2724,997,1020,569,129,9
2021,"Richmond upon Thames 001","E02000784",4176,2610,1102,360,98,6
2021,"Richmond upon Thames 002","E02000785",4162,2798,1077,246,39,2
2021,"Richmond upon Thames 003","E02000786",4944,3121,1300,414,104,5
2021,"Richmond upon Thames 004","E02000787",5174,3118,1409,500,136,11
2021,"Richmond upon Thames 005","E02000788",3624,2338,1010,220,46,10
2021,"Richmond upon Thames 006","E02000789",2842,1790,770,216,58,8
2021,"Richmond upon Thames 007","E02000790",2704,1856,687,137,22,2
2021,"Richmond upon Thames 008","E02000791",2969,1973,790,170,32,4
2021,"Richmond upon Thames 009","E02000792",3100,1988,867,203,42,0
2021,"Richmond upon Thames 010","E02000793",3134,1671,1019,348,89,7
2021,"Richmond upon Thames 011","E02000794",2759,1773,789,167,28,2
2021,"Richmond upon Thames 012","E02000795",2588,1645,700,198,43,2
2021,"Richmond upon Thames 013","E02000796",3981,1851,1374,608,137,11
2021,"Richmond upon Thames 014","E02000797",3477,2254,910,265,47,1
2021,"Richmond upon Thames 015","E02000798",4324,2591,1226,381,122,4
2021,"Richmond upon Thames 016","E02000799",2439,1555,640,214,29,1
2021,"Richmond upon Thames 017","E02000800",2157,1154,647,254,85,17
2021,"Richmond upon Thames 018","E02000801",3021,1940,827,203,47,4
2021,"Richmond upon Thames 019","E02000802",2976,1849,843,227,53,4
2021,"Richmond upon Thames 020","E02000803",4096,2021,1325,564,179,7
2021,"Richmond upon Thames 021","E02000804",3169,2001,850,260,52,6
2021,"Richmond upon Thames 022","E02000805",4633,2793,1303,425,108,4
2021,"Richmond upon Thames 023","E02000806",4256,2571,1180,413,82,10
2021,"Southwark 001","E02000807",3736,2246,1052,340,93,5
2021,"Southwark 002","E02000808",4696,2727,1300,520,139,10
2021,"Southwark 004","E02000810",5395,2606,1725,766,281,17
2021,"Southwark 006","E02000812",4533,2094,1471,708,244,16
2021,"Southwark 007","E02000813",4483,2065,1491,669,241,17
2021,"Southwark 008","E02000814",4589,2635,1345,477,121,11
2021,"Southwark 009","E02000815",3233,1731,1020,365,111,6
2021,"Southwark 010","E02000816",4146,1712,1409,732,272,21
2021,"Southwark 011","E02000817",2926,986,1082,603,241,14
2021,"Southwark 012","E02000818",4489,2168,1415,677,213,16
2021,"Southwark 013","E02000819",3555,1267,1295,721,248,24
2021,"Southwark 014","E02000820",4228,1928,1387,677,224,12
2021,"Southwark 015","E02000821",3132,1108,1187,646,183,8
2021,"Southwark 016","E02000822",2773,979,1082,525,174,13
2021,"Southwark 017","E02000823",3634,1500,1254,661,205,14
2021,"Southwark 018","E02000824",3791,1349,1411,779,236,16
2021,"Southwark 019","E02000825",3891,1458,1415,748,256,14
2021,"Southwark 020","E02000826",4023,1785,1315,683,226,14
2021,"Southwark 021","E02000827",5019,2057,1864,831,254,13
2021,"Southwark 022","E02000828",3594,1405,1261,710,207,11
2021,"Southwark 023","E02000829",4737,2004,1554,851,295,33
2021,"Southwark 024","E02000830",3763,2033,1136,461,124,9
2021,"Southwark 025","E02000831",4052,2149,1215,525,154,9
2021,"Southwark 026","E02000832",4100,1742,1333,757,254,14
2021,"Southwark 027","E02000833",3046,1472,970,450,143,11
2021,"Southwark 028","E02000834",4103,2422,1093,455,124,9
2021,"Southwark 029","E02000835",3030,1635,888,395,100,12
2021,"Southwark 030","E02000836",3337,2066,880,307,80,4
2021,"Southwark 031","E02000837",3150,2058,854,187,49,2
2021,"Southwark 032","E02000838",3926,2209,1149,435,122,11
2021,"Southwark 033","E02000839",3428,1877,1029,385,133,4
2021,"Southwark 034","E02006802",3938,2000,1255,500,171,12
2021,"Southwark 035","E02006941",2985,2064,762,132,26,1
2021,"Southwark 036","E02006942",3364,1969,920,343,122,10
2021,"Sutton 001","E02000840",3475,1296,1193,717,254,15
2021,"Sutton 002","E02000841",3301,1204,1231,647,205,14
2021,"Sutton 003","E02000842",2958,1511,1042,330,74,1
2021,"Sutton 004","E02000843",3981,2193,1205,454,120,9
2021,"Sutton 005","E02000844",3217,1456,1085,519,150,7
2021,"Sutton 006","E02000845",3608,2048,1107,369,80,4
2021,"Sutton 007","E02000846",2786,1483,924,332,47,0
2021,"Sutton 008","E02000847",3682,2001,1180,433,64,4
2021,"Sutton 009","E02000848",2915,1606,962,294,50,3
2021,"Sutton 010","E02000849",3251,1617,1112,418,96,8
2021,"Sutton 011","E02000850",4089,2121,1333,514,115,6
2021,"Sutton 012","E02000851",5035,2264,1787,750,205,29
2021,"Sutton 013","E02000852",3250,1702,1101,367,76,4
2021,"Sutton 014","E02000853",3202,1683,1025,398,93,3
2021,"Sutton 015","E02000854",3085,1750,929,322,74,10
2021,"Sutton 016","E02000855",3212,1821,1032,304,53,2
2021,"Sutton 017","E02000856",3800,1990,1292,421,87,10
2021,"Sutton 018","E02000857",4080,2145,1370,460,95,10
