"date","geography","geography code","Household deprivation: Total: All households; measures: Value","Household deprivation: Household is not deprived in any dimension; measures: Value","Household deprivation: Household is deprived in one dimension; measures: Value","Household deprivation: Household is deprived in two dimensions; measures: Value","Household deprivation: Household is deprived in three dimensions; measures: Value","Household deprivation: Household is deprived in four dimensions; measures: Value"
2021,"Brent 003","E02000095",3185,1338,1220,505,119,3
2021,"Brent 004","E02000096",2499,1262,899,298,38,2
2021,"Brent 005","E02000097",3038,1242,1134,527,132,3
2021,"Brent 006","E02000098",2875,1178,1104,445,139,9
2021,"Brent 007","E02000099",2919,1243,1068,467,138,3
2021,"Brent 008","E02000100",2567,1299,898,319,51,0
2021,"Brent 009","E02000101",3386,1278,1250,669,177,12
2021,"Brent 010","E02000102",2686,775,1079,609,199,24
2021,"Brent 011","E02000103",3462,1276,1323,626,214,23
2021,"Brent 012","E02000104",2416,969,864,415,145,23
2021,"Brent 013","E02000105",3107,1165,1241,552,140,9
2021,"Brent 014","E02000106",3585,1153,1385,800,227,20
2021,"Brent 015","E02000107",4362,1698,1558,798,272,36
2021,"Brent 016","E02000108",2275,919,869,387,92,8
2021,"Brent 018","E02000110",3095,1324,1077,540,143,11
2021,"Brent 019","E02000111",3189,1069,1264,674,165,17
2021,"Brent 020","E02000112",3495,1256,1389,715,130,5
2021,"Brent 021","E02000113",3289,813,1277,820,345,34
2021,"Brent 022","E02000114",3707,1518,1289,644,235,21
2021,"Brent 023","E02000115",3879,1710,1261,658,199,51
2021,"Brent 024","E02000116",3237,1059,1200,710,249,19
2021,"Brent 025","E02000117",4757,1423,1764,1088,428,54
2021,"Brent 026","E02000118",3157,1058,1249,662,173,15
2021,"Brent 027","E02000119",3952,1405,1476,778,277,16
2021,"Brent 028","E02000120",4240,1993,1390,613,220,24
2021,"Brent 029","E02000121",3627,1287,1488,659,176,17
2021,"Brent 030","E02000122",3160,1603,993,410,144,10
2021,"Brent 031","E02000123",5539,1783,2139,1185,371,61
2021,"Brent 032","E02000124",4162,2247,1266,494,141,14
2021,"Brent 033","E02000125",3942,1909,1269,551,199,14
2021,"Brent 034","E02000126",3408,1288,1257,617,229,17
2021,"Brent 035","E02006955",2709,1512,816,299,78,4
2021,"Brent 036","E02006956",2505,1070,927,393,109,6
2021,"Bromley 001","E02000127",3784,1628,1257,669,221,9
2021,"Bromley 002","E02000128",3063,1717,925,362,57,2
2021,"Bromley 004","E02000130",3666,2010,1120,417,110,9
2021,"Bromley 005","E02000131",5068,2761,1508,583,199,17
2021,"Bromley 006","E02000132",4942,2833,1508,484,109,8
2021,"Bromley 007","E02000133",4329,2841,1164,274,46,4
2021,"Bromley 008","E02000134",5300,2904,1611,615,159,11
2021,"Bromley 009","E02000135",4443,1808,1513,768,331,23
2021,"Bromley 010","E02000136",2294,1098,743,357,83,13
2021,"Bromley 011","E02000137",3674,2246,1076,291,59,2
2021,"Bromley 012","E02000138",4139,2501,1252,341,43,2
2021,"Bromley 013","E02000139",3308,1947,925,344,85,7
2021,"Bromley 014","E02000140",3339,1253,1115,708,246,17
2021,"Bromley 015","E02000141",3093,1646,983,378,77,9
2021,"Bromley 016","E02000142",3452,2087,1027,297,40,1
2021,"Bromley 018","E02000144",4309,2643,1257,349,59,1
2021,"Bromley 019","E02000145",3514,1425,1221,610,245,13
2021,"Bromley 020","E02000146",4037,2346,1168,391,124,8
2021,"Bromley 021","E02000147",3167,1997,902,226,38,4
2021,"Bromley 022","E02000148",2699,1565,841,236,54,3
2021,"Bromley 023","E02000149",3284,1598,1053,490,130,13
2021,"Bromley 024","E02000150",3114,1806,958,298,49,3
2021,"Bromley 025","E02000151",2970,1821,907,210,32,0
2021,"Bromley 026","E02000152",3096,1530,930,502,128,6
2021,"Bromley 027","E02000153",2895,1781,848,238,24,4
2021,"Bromley 028","E02000154",3574,1999,1127,366,76,6
2021,"Bromley 029","E02000155",3040,1425,1067,455,87,6
2021,"Bromley 030","E02000156",4862,2723,1577,490,65,7
2021,"Bromley 031","E02000157",3279,1911,1068,284,14,2
2021,"Bromley 032","E02000158",3036,1499,1023,420,91,3
2021,"Bromley 033","E02000159",2822,1643,877,262,39,1
2021,"Bromley 034","E02000160",3044,1714,979,314,36,1
2021,"Bromley 035","E02000161",3345,1980,1033,295,36,1
2021,"Bromley 036","E02000162",2963,1461,1019,384,94,5
2021,"Bromley 037","E02000163",3068,1731,983,310,43,1
2021,"Bromley 039","E02000165",2741,1504,907,291,38,1
2021,"Bromley 040","E02006782",3197,1638,1064,391,101,3
2021,"Bromley 041","E02006787",3093,1812,882,322,74,3
2021,"Bromley 042","E02006789",2788,1392,1017,333,46,0
2021,"Camden 001","E02000166",3395,1669,1069,476,164,17
2021,"Camden 002","E02000167",3373,2167,940,201,58,7
2021,"Camden 003","E02000168",3494,1859,1035,439,150,11
2021,"Camden 004","E02000169",3026,1946,804,209,58,9
2021,"Camden 005","E02000170",3465,1886,1032,386,132,29
2021,"Camden 006","E02000171",3330,1766,1045,389,122,8
2021,"Camden 007","E02000172",4035,1491,1285,833,381,45
2021,"Camden 008","E02000173",3501,1977,1114,304,85,21
2021,"Camden 009","E02000174",3551,1565,1121,580,260,25
2021,"Camden 010","E02000175",4308,2293,1265,528,198,24
2021,"Camden 011","E02000176",3000,1748,899,258,80,15
2021,"Camden 012","E02000177",3654,1529,1208,642,257,18
2021,"Camden 013","E02000178",4166,1792,1314,700,312,48
2021,"Camden 014","E02000179",2547,1290,806,306,131,14
2021,"Camden 015","E02000180",3517,1616,1139,552,190,20
2021,"Camden 016","E02000181",3751,2216,1063,357,104,11
2021,"Camden 017","E02000182",3082,1630,959,391,93,9
2021,"Camden 018","E02000183",3616,1868,1077,479,176,16
2021,"Camden 019","E02000184",3634,1480,1181,661,278,34
2021,"Camden 020","E02000185",4070,1366,1465,854,319,66
2021,"Camden 021","E02000186",2941,1380,945,473,128,15
2021,"Camden 022","E02000187",3817,1228,1390,818,337,44
2021,"Camden 023","E02000188",2719,892,978,590,235,24
2021,"Camden 026","E02000191",2106,1029,730,268,66,13
2021,"Camden 027","E02000192",3092,1315,997,565,191,24
2021,"Camden 028","E02000193",3101,1398,1132,439,120,12
2021,"Camden 029","E02007115",4467,1683,1608,837,314,25
2021,"Croydon 001","E02000194",4203,2212,1324,511,139,17
2021,"Croydon 002","E02000195",3490,1805,1148,446,79,12
2021,"Croydon 003","E02000196",2814,1179,1043,468,111,13
2021,"Croydon 004","E02000197",3322,1562,1175,473,99,13
2021,"Croydon 005","E02000198",3502,1451,1242,612,180,17
2021,"Croydon 006","E02000199",3208,1591,1088,415,107,7
2021,"Croydon 007","E02000200",4000,1904,1422,513,149,12
2021,"Croydon 008","E02000201",3821,1562,1341,670,210,38
2021,"Croydon 009","E02000202",3035,1395,1064,455,109,12
2021,"Croydon 010","E02000203",3119,1246,1142,569,144,18
2021,"Croydon 011","E02000204",3227,1331,1229,525,125,17
2021,"Croydon 013","E02000206",4469,1825,1641,742,234,27
2021,"Croydon 014","E02000207",3560,1568,1197,557,218,20
2021,"Croydon 015","E02000208",4098,1462,1527,788,280,41
2021,"Croydon 016","E02000209",3062,1393,1049,498,119,3
2021,"Croydon 017","E02000210",3444,1769,1135,433,92,15
2021,"Croydon 018","E02000211",3294,1786,1107,336,62,3
2021,"Croydon 019","E02000212",3263,1234,1209,624,174,22
2021,"Croydon 020","E02000213",5391,2130,1954,977,288,42
2021,"Croydon 021","E02000214",2325,1242,778,254,46,5
2021,"Croydon 022","E02000215",5255,2394,1800,817,222,22
2021,"Croydon 023","E02000216",2942,1623,915,326,70,8
2021,"Croydon 024","E02000217",5019,2309,1740,744,209,17
2021,"Croydon 025","E02000218",2349,1069,789,380,104,7
2021,"Croydon 026","E02000219",2983,1620,1042,278,41,2
2021,"Croydon 028","E02000221",3988,1701,1356,700,220,11
2021,"Croydon 029","E02000222",3635,2032,1127,393,73,10
2021,"Croydon 030","E02000223",2789,875,1012,669,222,11
2021,"Croydon 031","E02000224",3271,1780,1014,385,79,13
2021,"Croydon 032","E02000225",2658,951,954,571,171,11
2021,"Croydon 033","E02000226",2781,1588,910,247,35,1
2021,"Croydon 034","E02000227",4840,2387,1686,627,129,11
2021,"Croydon 035","E02000228",3007,1863,885,235,20,4
2021,"Croydon 036","E02000229",2237,672,826,531,197,11
2021,"Croydon 037","E02000230",4232,2414,1249,479,82,8
2021,"Croydon 038","E02000231",2752,1698,839,180,32,3
2021,"Croydon 039","E02000232",2367,1219,807,287,50,4
2021,"Croydon 040","E02000233",2396,1390,673,277,53,3
2021,"Croydon 041","E02000234",3719,2018,1154,450,93,4
2021,"Croydon 042","E02000235",2657,1600,799,210,47,1
2021,"Croydon 043","E02000236",3308,2026,982,255,44,1
2021,"Croydon 044","E02000237",3034,1633,985,337,76,3
2021,"Croydon 045","E02006788",2897,1340,947,455,149,6
2021,"Croydon 046","E02006987",3879,2062,1262,461,82,12
2021,"Croydon 047","E02006988",3305,1497,1208,469,113,18
2021,"Ealing 001","E02000238",3736,1692,1362,571,100,11
2021,"Ealing 002","E02000239",2933,1471,1036,360,60,6
2021,"Ealing 003","E02000240",3897,1524,1436,711,209,17
2021,"Ealing 004","E02000241",2597,1168,959,374,90,6
2021,"Ealing 005","E02000242",2231,958,850,362,60,1
2021,"Ealing 006","E02000243",3130,1343,1154,502,120,11
2021,"Ealing 007","E02000244",2937,1352,1045,416,102,22
2021,"Ealing 008","E02000245",3353,1152,1222,718,242,19
2021,"Ealing 009","E02000246",3071,1131,1143,608,173,16
2021,"Ealing 010","E02000247",3892,1511,1423,720,221,17
2021,"Ealing 011","E02000248",2989,1394,1074,407,106,8
2021,"Ealing 012","E02000249",2913,1141,1153,495,118,6
2021,"Ealing 013","E02000250",2544,1573,749,188,31,3
2021,"Ealing 014","E02000251",2542,1074,969,410,85,4
2021,"Ealing 015","E02000252",4408,1869,1607,693,218,21
2021,"Ealing 016","E02000253",3839,1438,1386,766,225,24
2021,"Ealing 017","E02000254",2608,922,966,556,155,9
2021,"Ealing 018","E02000255",3792,1940,1212,486,138,16
2021,"Ealing 019","E02000256",4026,2293,1225,390,99,19
2021,"Ealing 021","E02000258",2602,1258,883,338,100,23
2021,"Ealing 022","E02000259",2395,1244,821,269,60,1
2021,"Ealing 023","E02000260",2754,797,1101,641,206,9
2021,"Ealing 024","E02000261",4980,2323,1729,723,181,24
2021,"Ealing 025","E02000262",3946,1820,1313,599,193,21
2021,"Ealing 026","E02000263",3646,968,1446,934,280,18
2021,"Ealing 027","E02000264",3543,1877,1167,390,92,17
2021,"Ealing 028","E02000265",4735,2198,1491,749,266,31
2021,"Ealing 029","E02000266",4295,1581,1475,891,338,10
2021,"Ealing 030","E02000267",3221,1682,999,426,105,9
2021,"Ealing 031","E02000268",3863,2134,1154,441,126,8
2021,"Ealing 032","E02000269",3305,1993,956,270,65,21
2021,"Ealing 033","E02000270",4114,2035,1272,591,197,19
2021,"Ealing 034","E02000271",2978,1997,714,211,47,9
2021,"Ealing 035","E02000272",2540,1446,801,230,61,2
2021,"Ealing 038","E02000275",2348,711,896,553,173,15
2021,"Ealing 039","E02000276",2724,1593,782,275,71,3
2021,"Ealing 040","E02006791",3450,2143,917,308,74,8
2021,"Ealing 041","E02006968",3560,2001,1087,363,100,9
2021,"Ealing 042","E02006969",2976,1639,934,321,74,8
2021,"Ealing 043","E02006970",2028,556,795,506,157,14
2021,"Ealing 044","E02006971",2222,583,945,513,172,9
2021,"Enfield 001","E02000277",2627,975,989,510,143,10
2021,"Enfield 002","E02000278",3339,1101,1237,768,211,22
2021,"Enfield 003","E02000279",4416,1665,1581,841,300,29
2021,"Enfield 004","E02000280",3410,1596,1163,488,147,16
2021,"Enfield 005","E02000281",3549,1460,1216,643,210,20
2021,"Enfield 006","E02000282",3466,1036,1363,745,280,42
2021,"Enfield 007","E02000283",2800,1057,1027,540,167,9
2021,"Enfield 008","E02000284",3617,1858,1148,466,138,7
2021,"Enfield 009","E02000285",2462,1380,757,268,53,4
2021,"Enfield 010","E02000286",4001,2099,1317,464,108,13
2021,"Enfield 011","E02000287",2867,1587,889,316,64,11
2021,"Enfield 012","E02000288",4053,1320,1510,891,299,33
2021,"Enfield 013","E02000289",2426,1381,756,251,35,3
2021,"Enfield 014","E02000290",2523,826,944,551,182,20
2021,"Enfield 015","E02000291",4325,1919,1580,641,166,19
2021,"Enfield 016","E02000292",3569,1731,1196,509,126,7
2021,"Enfield 017","E02000293",2491,1428,795,231,34,3
2021,"Enfield 018","E02000294",3084,1094,1204,607,167,12
2021,"Enfield 019","E02000295",3350,1757,1103,361,121,8
2021,"Enfield 020","E02000296",4039,1891,1416,604,127,1
2021,"Enfield 021","E02000297",3475,1765,1208,432,66,4
2021,"Enfield 022","E02000298",3056,1780,967,265,40,4
2021,"Enfield 023","E02000299",3314,1139,1230,709,208,28
2021,"Enfield 024","E02000300",2999,1020,1145,621,179,34
2021,"Enfield 025","E02000301",3725,1127,1441,840,292,25
2021,"Enfield 026","E02000302",3114,1416,1124,455,112,7
2021,"Enfield 027","E02000303",2976,870,1156,641,274,35
2021,"Enfield 028","E02000304",2910,1678,921,279,30,2
2021,"Enfield 029","E02000305",3452,1778,1129,450,90,5
2021,"Enfield 030","E02000306",3402,854,1327,832,373,16
2021,"Enfield 031","E02000307",3344,1371,1262,578,125,8
2021,"Enfield 032","E02000308",3226,1477,1117,496,125,11
2021,"Enfield 033","E02000309",3987,1281,1599,809,272,26
2021,"Enfield 035","E02000311",3635,1389,1351,662,222,11
2021,"Enfield 036","E02000312",4495,1982,1656,647,184,26
