"date","geography","geography code","Living arrangements: Total; measures: Value","Living arrangements: Living in a couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Cohabiting; measures: Value","Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value","Living arrangements: Not living in a couple; measures: Value","Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value","Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value","Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value","Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value","Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value"
2021,"Barnet 027","E02000050",8339,4214,3391,3367,24,43,780,716,64,4125,2902,178,153,528,364
2021,"Barnet 028","E02000051",7449,4162,3453,3437,16,13,696,660,36,3287,2082,171,87,482,465
2021,"Barnet 029","E02000052",7972,4284,3155,3093,62,11,1118,1026,92,3688,2504,156,149,567,312
2021,"Barnet 031","E02000054",6185,3061,2424,2420,4,10,627,572,55,3124,2068,221,131,483,221
2021,"Barnet 032","E02000055",9388,4464,3682,3672,10,14,768,716,52,4924,3443,375,155,562,389
2021,"Barnet 033","E02000056",7124,4382,3912,3892,20,12,458,426,32,2742,1720,173,80,353,416
2021,"Barnet 034","E02000057",5887,3068,2685,2679,6,7,376,354,22,2819,1911,248,87,308,265
2021,"Barnet 035","E02000058",7959,4384,3790,3768,22,10,584,500,84,3575,2254,197,125,561,438
2021,"Barnet 036","E02000059",9617,4882,3863,3826,37,17,1002,936,66,4735,3218,401,199,547,370
2021,"Barnet 037","E02000060",7852,4199,3793,3787,6,4,402,362,40,3653,2457,285,140,396,375
2021,"Barnet 038","E02000061",6770,3536,2835,2813,22,5,696,640,56,3234,2168,259,113,420,274
2021,"Barnet 039","E02000062",5445,2361,1848,1838,10,10,503,454,49,3084,2093,241,179,375,196
2021,"Barnet 040","E02000063",6012,2844,2261,2249,12,17,566,522,44,3168,2174,222,153,398,221
2021,"Barnet 041","E02000064",5252,2369,1833,1815,18,6,530,486,44,2883,1996,161,130,374,222
2021,"Barnet 042","E02006953",6910,3710,2614,2562,52,14,1082,1034,48,3200,2362,236,140,352,110
2021,"Barnet 043","E02006954",8015,4053,3240,3228,12,11,802,750,52,3962,2772,416,131,376,267
2021,"Bexley 001","E02000065",5890,2656,2022,2022,0,10,624,578,46,3234,2146,250,191,479,168
2021,"Bexley 002","E02000066",7208,3048,2251,2243,8,17,780,736,44,4160,2744,239,257,625,295
2021,"Bexley 003","E02000067",7901,3906,2739,2721,18,19,1148,1060,88,3995,2645,203,215,599,333
2021,"Bexley 004","E02000068",6020,2818,2042,2018,24,16,760,716,44,3202,2124,149,173,463,293
2021,"Bexley 005","E02000069",5649,3109,2309,2301,8,4,796,762,34,2540,1610,108,114,380,328
