"date","geography","geography code","Second address indicator: Total: All usual residents","Second address indicator: No second address","Second address indicator: Second address is in the UK","Second address indicator: Second address is outside the UK"
2021,"Haringey 025","E02000421",8511,8042,271,198
2021,"Haringey 026","E02000422",7459,7144,171,144
2021,"Haringey 027","E02000423",6905,6491,227,187
2021,"Haringey 028","E02000424",6753,6332,265,156
2021,"Haringey 029","E02000425",8169,8005,92,72
2021,"Haringey 030","E02000426",6492,5898,324,270
2021,"Haringey 031","E02000427",6623,6143,281,199
2021,"Haringey 032","E02000428",8435,8048,220,167
2021,"Haringey 033","E02000429",6793,6230,333,230
2021,"Haringey 034","E02000430",6922,6380,359,183
2021,"Haringey 035","E02000431",5848,5217,346,285
2021,"Haringey 036","E02000432",6119,5706,263,150
2021,"Harrow 001","E02000433",8600,8110,206,284
2021,"Harrow 002","E02000434",9848,9297,277,274
2021,"Harrow 003","E02000435",8191,7851,164,176
2021,"Harrow 004","E02000436",5758,5479,113,166
2021,"Harrow 005","E02000437",8760,8444,142,174
2021,"Harrow 006","E02000438",8548,8244,147,157
2021,"Harrow 007","E02000439",9266,8814,193,259
2021,"Harrow 008","E02000440",9606,9270,146,190
2021,"Harrow 009","E02000441",7481,7152,180,149
2021,"Harrow 010","E02000442",9585,9143,155,287
2021,"Harrow 011","E02000443",10747,10389,186,172
2021,"Harrow 012","E02000444",8717,8433,120,164
2021,"Harrow 013","E02000445",11773,11421,176,176
2021,"Harrow 015","E02000447",8191,7892,162,137
2021,"Harrow 016","E02000448",7070,6677,229,164
2021,"Harrow 017","E02000449",8294,8055,106,133
2021,"Harrow 019","E02000451",6713,6468,130,115
2021,"Harrow 020","E02000452",9504,9045,230,229
2021,"Harrow 021","E02000453",8386,8054,163,169
2021,"Harrow 022","E02000454",7337,7034,156,147
2021,"Harrow 023","E02000455",11669,10970,309,390
2021,"Harrow 024","E02000456",7823,7549,150,124
2021,"Harrow 025","E02000457",7059,6791,141,127
2021,"Harrow 027","E02000459",9326,9017,158,151
2021,"Harrow 028","E02000460",7312,7069,152,91
2021,"Harrow 029","E02000461",7288,6151,826,311
2021,"Harrow 030","E02000462",6982,6735,118,129
2021,"Harrow 031","E02000463",8706,8434,128,144
2021,"Havering 001","E02000464",7757,7532,160,65
2021,"Havering 002","E02000465",9346,9103,138,105
2021,"Havering 003","E02000466",9069,8809,197,63
2021,"Havering 004","E02000467",11455,11144,229,82
2021,"Havering 005","E02000468",8651,8414,160,77
2021,"Havering 006","E02000469",7283,7076,145,62
2021,"Havering 007","E02000470",9783,9446,235,102
2021,"Havering 008","E02000471",7821,7595,149,77
2021,"Havering 009","E02000472",9472,9192,189,91
2021,"Havering 010","E02000473",10493,10179,224,90
2021,"Havering 011","E02000474",9185,8910,198,77
2021,"Havering 012","E02000475",9612,9265,224,123
