"date","geography","geography code","Population Density: Persons per square kilometre; measures: Value"
2021,"City of London 001","E02000001",2975
2021,"Barking and Dagenham 001","E02000002",3831
2021,"Barking and Dagenham 002","E02000003",5389.7
2021,"Barking and Dagenham 003","E02000004",2663.6
2021,"Barking and Dagenham 004","E02000005",9327.5
2021,"Barking and Dagenham 006","E02000007",5854.4
2021,"Barking and Dagenham 007","E02000008",9331.6
2021,"Barking and Dagenham 008","E02000009",13380.5
2021,"Barking and Dagenham 009","E02000010",8458.9
2021,"Barking and Dagenham 010","E02000011",4410.6
2021,"Barking and Dagenham 011","E02000012",8852.6
2021,"Barking and Dagenham 012","E02000013",7203.7
2021,"Barking and Dagenham 013","E02000014",8269.8
2021,"Barking and Dagenham 014","E02000015",6042
2021,"Barking and Dagenham 015","E02000016",11925.1
2021,"Barking and Dagenham 016","E02000017",10419.9
2021,"Barking and Dagenham 017","E02000018",7034.9
2021,"Barking and Dagenham 018","E02000019",3187.3
2021,"Barking and Dagenham 019","E02000020",4116.3
2021,"Barking and Dagenham 020","E02000021",3043.2
2021,"Barking and Dagenham 021","E02000022",10270.7
2021,"Barking and Dagenham 022","E02000023",4594.6
2021,"Barking and Dagenham 023","E02006799",10355.2
2021,"Barnet 001","E02000024",2888.2
2021,"Barnet 002","E02000025",3573
2021,"Barnet 003","E02000026",4404.8
2021,"Barnet 004","E02000027",5761.1
2021,"Barnet 005","E02000028",6189.5
2021,"Barnet 006","E02000029",5745.1
2021,"Barnet 007","E02000030",648.7
2021,"Barnet 008","E02000031",4296.5
2021,"Barnet 009","E02000032",5679.6
2021,"Barnet 010","E02000033",5007
2021,"Barnet 011","E02000034",5831.7
2021,"Barnet 012","E02000035",6573.2
2021,"Barnet 013","E02000036",6265.1
2021,"Barnet 014","E02000037",2505.6
2021,"Barnet 015","E02000038",6082
2021,"Barnet 016","E02000039",3362.3
2021,"Barnet 017","E02000040",1772.8
2021,"Barnet 018","E02000041",7008.4
2021,"Barnet 019","E02000042",9531.6
2021,"Barnet 020","E02000043",5157.7
2021,"Barnet 021","E02000044",7986.3
2021,"Barnet 022","E02000045",6065.4
2021,"Barnet 023","E02000046",7170.7
2021,"Barnet 024","E02000047",8715.6
2021,"Barnet 025","E02000048",3334
2021,"Barnet 026","E02000049",13360.4
2021,"Barnet 027","E02000050",4893.4
2021,"Barnet 028","E02000051",6322
2021,"Barnet 029","E02000052",10163
2021,"Barnet 031","E02000054",5086
2021,"Barnet 032","E02000055",8140.7
2021,"Barnet 033","E02000056",2829.1
2021,"Barnet 034","E02000057",7322.5
2021,"Barnet 035","E02000058",5639.7
2021,"Barnet 036","E02000059",5298.8
2021,"Barnet 037","E02000060",9376.2
2021,"Barnet 038","E02000061",5257.7
2021,"Barnet 039","E02000062",3785.4
2021,"Barnet 040","E02000063",7309.9
2021,"Barnet 041","E02000064",8402.4
2021,"Barnet 042","E02006953",13134.2
2021,"Barnet 043","E02006954",11865.5
2021,"Bexley 001","E02000065",2519.8
2021,"Bexley 002","E02000066",5995.7
2021,"Bexley 003","E02000067",4431.3
2021,"Bexley 004","E02000068",3607
2021,"Bexley 005","E02000069",4969.3
2021,"Bexley 006","E02000070",4370.2
2021,"Bexley 007","E02000071",6509.4
2021,"Bexley 008","E02000072",2952.4
2021,"Bexley 009","E02000073",6704.2
2021,"Bexley 010","E02000074",7851.3
2021,"Bexley 011","E02000075",5201.3
2021,"Bexley 013","E02000077",7283.6
2021,"Bexley 014","E02000078",5331.7
2021,"Bexley 015","E02000079",5321.9
2021,"Bexley 016","E02000080",5949.3
2021,"Bexley 017","E02000081",3765.9
2021,"Bexley 018","E02000082",6234
2021,"Bexley 019","E02000083",3013.2
2021,"Bexley 020","E02000084",4285.5
2021,"Bexley 021","E02000085",4903.3
2021,"Bexley 022","E02000086",4822
2021,"Bexley 023","E02000087",2209
2021,"Bexley 024","E02000088",3877.3
2021,"Bexley 025","E02000089",5753.5
2021,"Bexley 026","E02000090",5326.6
2021,"Bexley 027","E02000091",3718.2
2021,"Bexley 028","E02000092",1127
2021,"Bexley 029","E02006785",4868.1
2021,"Brent 001","E02000093",8624
2021,"Brent 002","E02000094",8989.3
2021,"Brent 003","E02000095",6754.3
2021,"Brent 004","E02000096",4666.5
2021,"Brent 005","E02000097",5094.1
2021,"Brent 006","E02000098",4755
2021,"Brent 007","E02000099",7426.4
2021,"Brent 008","E02000100",4003.6
2021,"Brent 009","E02000101",7078.6
2021,"Brent 010","E02000102",6126.2
2021,"Brent 011","E02000103",5628.1
2021,"Brent 012","E02000104",6774.7
2021,"Brent 013","E02000105",7185.9
2021,"Brent 014","E02000106",7719.2
2021,"Brent 015","E02000107",11458
2021,"Brent 016","E02000108",8929.8
2021,"Brent 018","E02000110",10230.3
2021,"Brent 019","E02000111",10002.7
2021,"Brent 020","E02000112",9259.9
2021,"Brent 021","E02000113",6491
2021,"Brent 022","E02000114",14668.2
2021,"Brent 023","E02000115",10160.3
2021,"Brent 024","E02000116",7798
2021,"Brent 025","E02000117",14306.7
2021,"Brent 026","E02000118",9150.8
2021,"Brent 027","E02000119",4131.8
2021,"Brent 028","E02000120",17810.7
2021,"Brent 029","E02000121",8770.4
2021,"Brent 030","E02000122",6798.9
2021,"Brent 031","E02000123",13118.8
2021,"Brent 032","E02000124",9078.8
2021,"Brent 033","E02000125",12981.6
2021,"Brent 034","E02000126",18710
2021,"Brent 035","E02006955",12326.4
2021,"Brent 036","E02006956",6631.1
2021,"Bromley 001","E02000127",4192.1
2021,"Bromley 002","E02000128",3070.2
2021,"Bromley 004","E02000130",5669.5
2021,"Bromley 005","E02000131",5935.1
2021,"Bromley 006","E02000132",5660.2
2021,"Bromley 007","E02000133",1799.1
2021,"Bromley 008","E02000134",6072.2
2021,"Bromley 009","E02000135",8530.7
2021,"Bromley 010","E02000136",1260
2021,"Bromley 011","E02000137",4512.7
2021,"Bromley 012","E02000138",4077.5
