"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
2021,"Merton 004","E02000692",7653,5727,4461,1015,708,194,83,30,251,251,401,962,417,145,1
2021,"Merton 005","E02000693",9854,7586,5662,1692,801,539,327,25,232,232,614,1005,537,108,4
2021,"Merton 006","E02000694",9101,7230,5865,1174,734,217,199,24,191,191,480,801,433,157,0
2021,"Merton 007","E02000695",8641,6013,4369,1472,431,669,356,16,172,172,653,1360,576,38,1
2021,"Merton 008","E02000696",8629,6424,4516,1716,549,748,396,23,192,192,571,1139,460,28,7
2021,"Merton 009","E02000697",8726,6664,5083,1322,847,240,207,28,259,259,436,1000,444,177,5
2021,"Merton 010","E02000698",8237,6408,5320,850,579,171,78,22,238,238,449,911,345,116,8
2021,"Merton 011","E02000699",8216,6385,5044,1040,657,242,128,13,301,301,457,932,332,108,2
2021,"Merton 012","E02000700",8659,6375,4768,1394,482,555,338,19,213,213,750,1110,377,47,0
2021,"Merton 013","E02000701",9010,6143,4450,1554,442,653,436,23,139,139,731,1677,435,22,2
2021,"Merton 014","E02000702",9323,6870,5502,1218,461,498,230,29,150,150,925,958,552,18,0
2021,"Merton 015","E02000703",7966,6208,5102,945,517,191,217,20,161,161,463,884,305,100,6
2021,"Merton 016","E02000704",8600,6520,4966,1288,623,357,281,27,266,266,654,974,348,101,3
2021,"Merton 017","E02000705",9328,6541,4957,1426,557,551,286,32,158,158,905,1161,692,25,4
2021,"Merton 018","E02000706",10034,7004,5390,1401,463,620,309,9,213,213,1052,1524,418,25,11
2021,"Merton 019","E02000707",8308,5788,4827,865,348,305,189,23,96,96,1223,781,496,7,13
2021,"Merton 020","E02000708",8890,6700,5543,985,525,244,189,27,172,172,530,1355,239,63,3
2021,"Merton 021","E02000709",7977,6412,5335,877,485,220,136,36,200,200,466,792,241,62,4
2021,"Merton 022","E02000710",9185,6876,5379,1358,484,506,346,22,139,139,671,1286,337,12,3
2021,"Merton 023","E02000711",9446,7050,5059,1757,561,567,607,22,234,234,523,1564,273,32,4
2021,"Merton 024","E02000712",9667,7187,5906,1133,422,373,326,12,148,148,600,1578,254,47,1
2021,"Merton 025","E02000713",7807,6614,5796,709,341,212,137,19,109,109,316,704,149,24,0
2021,"Newham 001","E02000714",7709,5411,3943,1219,353,379,476,11,249,249,667,1256,332,33,10
2021,"Newham 002","E02000715",7298,4348,3275,956,429,218,304,5,117,117,615,2163,163,5,4
2021,"Newham 003","E02000716",7354,4719,3583,995,417,185,384,9,141,141,455,1948,214,15,3
2021,"Newham 004","E02000717",8357,4840,3579,1135,536,202,386,11,126,126,525,2771,211,9,1
2021,"Newham 005","E02000718",7407,4461,3554,785,380,141,253,11,122,122,698,2034,200,7,7
2021,"Newham 006","E02000719",8074,5689,3753,1657,488,397,748,24,279,279,760,1231,367,16,11
2021,"Newham 007","E02000720",7487,4673,3741,804,283,174,336,11,128,128,361,2103,324,20,6
2021,"Newham 008","E02000721",9541,5572,4331,1062,396,254,405,7,179,179,651,3057,247,12,2
2021,"Newham 009","E02000722",8143,5702,3601,1764,654,414,681,15,337,337,674,1327,406,25,9
2021,"Newham 010","E02000723",11194,6121,4772,1203,356,164,677,6,146,146,513,4443,112,4,1
2021,"Newham 011","E02000724",10026,5648,4406,1125,409,201,512,3,117,117,747,3401,217,4,9
2021,"Newham 012","E02000725",9986,6847,4431,2042,823,469,718,32,374,374,905,1721,477,30,6
2021,"Newham 014","E02000727",8518,4532,3453,952,370,170,405,7,127,127,556,3300,125,4,1
2021,"Newham 015","E02000728",8528,4847,3128,1583,334,190,1052,7,136,136,313,3261,101,4,2
2021,"Newham 016","E02000729",7327,5053,3545,1305,332,294,672,7,203,203,569,1424,260,12,9
2021,"Newham 017","E02000730",9930,5155,4013,999,338,172,481,8,143,143,570,4005,191,6,3
2021,"Newham 018","E02000731",9965,5407,3902,1325,462,224,623,16,180,180,424,3910,213,7,4
2021,"Newham 019","E02000732",8900,5214,4126,938,395,178,357,8,150,150,666,2696,302,11,11
2021,"Newham 020","E02000733",10097,7000,5012,1610,499,370,725,16,378,378,1053,1522,471,32,19
2021,"Newham 021","E02000734",7302,4867,3391,1273,323,309,630,11,203,203,811,1296,309,10,9
2021,"Newham 022","E02000735",8608,5189,3765,1229,399,307,516,7,195,195,635,2542,229,5,8
2021,"Newham 023","E02000736",9205,5864,4390,1326,419,248,645,14,148,148,645,2454,227,8,7
2021,"Newham 024","E02000737",10379,6886,5061,1675,415,531,711,18,150,150,709,2535,226,20,3
2021,"Newham 025","E02000738",9577,6089,4454,1454,492,295,653,14,181,181,548,2625,296,19,0
2021,"Newham 026","E02000739",7726,5269,3488,1448,401,328,713,6,333,333,702,1439,292,19,5
2021,"Newham 027","E02000740",6770,4671,3338,1121,344,298,462,17,212,212,818,974,283,9,15
2021,"Newham 028","E02000741",8245,5404,3982,1225,354,295,565,11,197,197,658,1794,355,27,7
2021,"Newham 029","E02000742",8704,6005,4329,1463,298,312,841,12,213,213,709,1729,226,24,11
2021,"Newham 030","E02000743",10283,6931,5000,1529,595,417,489,28,402,402,1312,1567,437,13,23
2021,"Newham 031","E02000744",9173,6616,4669,1598,408,359,819,12,349,349,878,1206,463,8,2
2021,"Newham 032","E02000745",8598,6283,3914,1974,357,723,886,8,395,395,888,1179,239,6,3
2021,"Newham 033","E02000746",9427,6749,4789,1666,405,746,496,19,294,294,924,1359,369,13,13
2021,"Newham 034","E02000747",13100,8738,5898,2293,1022,611,615,45,547,547,1347,2398,552,51,14
2021,"Newham 035","E02000748",6273,4908,2781,1811,277,883,644,7,316,316,471,703,181,10,0
2021,"Newham 036","E02000749",9549,6931,5029,1621,407,544,652,18,281,281,1376,894,329,7,12
2021,"Newham 038","E02006995",8638,6074,4495,1335,879,290,137,29,244,244,660,1467,327,102,8
2021,"Newham 039","E02006996",8426,5664,3904,1527,765,347,371,44,233,233,674,1680,349,47,12
2021,"Newham 040","E02006997",6889,4865,3212,1454,816,305,300,33,199,199,590,1040,323,39,32
2021,"Newham 041","E02006998",7086,4932,3411,1305,391,481,419,14,216,216,1014,826,292,18,4
2021,"Newham 042","E02006999",11243,7588,5000,2204,1011,661,496,36,384,384,1079,2005,485,80,6
2021,"Redbridge 001","E02000751",11161,9547,8286,991,418,253,267,53,270,270,414,953,207,33,7
2021,"Redbridge 002","E02000752",8781,7199,5738,1041,182,369,467,23,420,420,420,1004,127,18,13
2021,"Redbridge 003","E02000753",6918,5788,4443,964,160,308,476,20,381,381,301,710,111,7,1
2021,"Redbridge 004","E02000754",6767,5738,4726,801,304,154,311,32,211,211,243,625,125,31,5
2021,"Redbridge 005","E02000755",5484,4738,3926,662,175,149,312,26,150,150,218,420,92,13,3
2021,"Redbridge 006","E02000756",14599,11507,8895,1751,370,497,851,33,861,861,614,2272,186,16,4
2021,"Redbridge 007","E02000757",12396,10294,8683,1279,555,262,436,26,332,332,508,1275,272,43,4
2021,"Redbridge 008","E02000758",6885,4903,4222,494,163,103,158,70,187,187,375,1461,124,17,5
2021,"Redbridge 009","E02000759",13088,10574,8540,1505,506,349,590,60,529,529,709,1456,292,49,8
2021,"Redbridge 010","E02000760",7533,5599,4478,798,227,185,346,40,323,323,407,1405,112,6,4
2021,"Redbridge 012","E02000762",6621,4370,3659,543,151,107,242,43,168,168,424,1717,93,15,2
2021,"Redbridge 013","E02000763",8014,5441,4235,834,255,190,365,24,372,372,548,1912,102,9,2
2021,"Redbridge 014","E02000764",12308,10178,8522,1394,669,313,343,69,262,262,432,1234,322,112,30
2021,"Redbridge 015","E02000765",7528,4870,3688,752,211,169,334,38,430,430,390,2189,72,6,1
2021,"Redbridge 017","E02000767",8626,5579,4359,913,289,179,423,22,307,307,436,2505,97,5,4
2021,"Redbridge 018","E02000768",5791,4899,4330,482,313,85,64,20,87,87,215,492,130,52,3
2021,"Redbridge 020","E02000770",8125,5031,3832,851,333,159,350,9,348,348,557,2392,128,8,9
2021,"Redbridge 022","E02000772",8386,5170,4118,855,301,166,372,16,197,197,570,2498,139,7,2
2021,"Redbridge 023","E02000773",10731,6341,5256,870,361,145,336,28,215,215,786,3459,132,9,4
2021,"Redbridge 024","E02000774",8109,5118,3788,1101,383,194,511,13,229,229,466,2397,121,5,2
2021,"Redbridge 026","E02000776",7040,4415,3489,734,303,124,301,6,192,192,517,1982,117,7,2
2021,"Redbridge 027","E02000777",6003,5063,4468,492,245,128,106,13,103,103,280,477,141,36,6
2021,"Redbridge 029","E02000779",8418,4873,3417,1271,463,306,493,9,185,185,513,2869,149,9,5
2021,"Redbridge 031","E02000781",16291,10607,8980,1387,483,253,606,45,240,240,920,4523,222,8,11
2021,"Redbridge 032","E02000782",11487,6430,4830,1381,527,246,594,14,219,219,885,3947,212,7,6
2021,"Redbridge 033","E02000783",7396,4534,3314,1109,295,128,676,10,111,111,537,2150,152,8,15
2021,"Redbridge 034","E02006800",14681,9331,7306,1579,520,368,666,25,446,446,923,4196,217,10,4
2021,"Redbridge 035","E02006924",13600,8864,7180,1379,354,306,676,43,305,305,725,3777,213,10,11
2021,"Redbridge 036","E02006925",14421,9354,8038,977,286,140,498,53,339,339,776,4157,123,10,1
2021,"Redbridge 037","E02007017",8816,6175,5390,594,199,130,247,18,191,191,571,1882,177,3,8
2021,"Redbridge 038","E02007018",7271,4998,4029,754,225,166,346,17,215,215,585,1528,154,2,4
2021,"Redbridge 039","E02007019",7163,3558,2348,1054,477,222,353,2,156,156,422,3062,111,5,5
2021,"Redbridge 040","E02007020",9838,5555,4452,965,386,154,407,18,138,138,652,3438,161,4,28
2021,"Richmond upon Thames 001","E02000784",10130,8261,6701,1262,1026,175,37,24,298,298,389,810,472,195,3
2021,"Richmond upon Thames 002","E02000785",9710,7975,6666,1033,762,198,49,24,276,276,312,656,578,186,3
2021,"Richmond upon Thames 003","E02000786",11372,9530,7997,1184,830,257,61,36,349,349,429,702,490,213,8
2021,"Richmond upon Thames 004","E02000787",12087,9582,7674,1390,963,300,81,46,518,518,465,1237,608,193,2
2021,"Richmond upon Thames 005","E02000788",9096,7593,6456,894,614,182,75,23,243,243,320,578,414,188,3
2021,"Richmond upon Thames 006","E02000789",6300,5037,3975,803,578,127,62,36,259,259,227,596,344,94,2
2021,"Richmond upon Thames 007","E02000790",6585,5662,4796,691,509,123,40,19,175,175,222,339,223,137,2
2021,"Richmond upon Thames 008","E02000791",6469,5120,3774,1015,774,142,76,23,331,331,212,543,438,155,1
2021,"Richmond upon Thames 009","E02000792",7147,6065,4770,927,664,174,67,22,368,368,223,387,315,155,2
2021,"Richmond upon Thames 010","E02000793",8109,6832,5817,857,395,298,142,22,158,158,318,745,161,53,0
2021,"Richmond upon Thames 011","E02000794",7013,5872,4926,716,460,145,91,20,230,230,252,561,213,114,1
2021,"Richmond upon Thames 012","E02000795",6926,5880,4829,859,690,83,59,27,192,192,207,408,309,120,2
2021,"Richmond upon Thames 013","E02000796",11089,8717,7437,1022,426,388,187,21,258,258,530,1660,151,30,1
2021,"Richmond upon Thames 014","E02000797",7867,6828,5740,835,610,156,49,20,253,253,239,387,274,132,7
2021,"Richmond upon Thames 015","E02000798",11304,9772,8514,1035,632,234,138,31,223,223,367,718,300,145,2
2021,"Richmond upon Thames 016","E02000799",6605,5827,5171,526,370,101,45,10,130,130,175,332,182,84,5
2021,"Richmond upon Thames 017","E02000800",5412,4512,3677,627,416,136,61,14,208,208,236,460,161,42,1
2021,"Richmond upon Thames 018","E02000801",7110,6302,5579,586,403,133,39,11,137,137,230,312,193,71,2
2021,"Richmond upon Thames 019","E02000802",7021,6261,5563,582,352,162,58,10,116,116,202,312,179,64,3
2021,"Richmond upon Thames 020","E02000803",9718,8294,7242,839,414,281,109,35,213,213,423,760,190,46,5
2021,"Richmond upon Thames 021","E02000804",7147,6327,5574,607,385,173,30,19,146,146,191,304,218,105,2
2021,"Richmond upon Thames 022","E02000805",10756,9281,8044,974,645,231,75,23,263,263,329,642,344,157,3
2021,"Richmond upon Thames 023","E02000806",10300,9065,8126,753,473,182,77,21,186,186,323,589,210,110,3
2021,"Southwark 001","E02000807",8230,6305,4465,1576,1028,301,196,51,264,264,430,915,468,105,7
2021,"Southwark 002","E02000808",10170,7133,5106,1753,1359,235,92,67,274,274,678,1431,752,174,2
2021,"Southwark 004","E02000810",11895,8959,6859,1826,1368,295,119,44,274,274,1235,809,739,149,4
2021,"Southwark 006","E02000812",10788,7648,5950,1419,1082,187,94,56,279,279,1231,988,803,115,3
2021,"Southwark 007","E02000813",10224,7561,5550,1672,1099,357,150,66,339,339,1018,846,694,98,7
2021,"Southwark 008","E02000814",10295,7902,5354,2121,1388,434,256,43,427,427,626,1067,598,98,4
2021,"Southwark 009","E02000815",7610,5038,3727,1158,906,144,75,33,153,153,704,1137,632,98,1
2021,"Southwark 010","E02000816",9609,7345,5628,1488,1039,238,153,58,229,229,938,599,653,72,2
2021,"Southwark 011","E02000817",6823,5171,4223,836,531,190,86,29,112,112,779,435,406,30,2
2021,"Southwark 012","E02000818",9790,6872,5324,1329,964,223,96,46,219,219,1149,826,841,98,4
2021,"Southwark 013","E02000819",8499,5799,4702,943,637,190,78,38,154,154,1215,543,910,28,4
2021,"Southwark 014","E02000820",9242,6628,5193,1244,913,215,72,44,191,191,1053,771,705,82,3
2021,"Southwark 015","E02000821",9360,5722,4228,1364,1071,185,70,38,130,130,1490,463,1637,40,8
2021,"Southwark 016","E02000822",6718,4515,3655,770,529,151,62,28,90,90,1117,437,617,21,11
2021,"Southwark 017","E02000823",8684,5985,4851,1003,724,190,50,39,131,131,1162,463,980,91,3
2021,"Southwark 018","E02000824",9902,6196,5321,747,536,120,45,46,128,128,2083,631,965,26,1
2021,"Southwark 019","E02000825",10226,6634,5674,834,580,153,50,51,126,126,2041,599,923,24,5
2021,"Southwark 020","E02000826",9879,6888,5777,966,677,168,83,38,145,145,1402,551,954,81,3
2021,"Southwark 021","E02000827",11311,7116,5874,1121,810,187,82,42,121,121,2006,732,1374,72,11
2021,"Southwark 022","E02000828",8815,5807,4939,785,562,132,41,50,83,83,1304,608,1055,38,3
2021,"Southwark 023","E02000829",10928,7908,6926,878,582,151,68,77,104,104,1390,555,973,98,4
2021,"Southwark 024","E02000830",8884,6869,5878,871,666,102,53,50,120,120,698,503,726,80,8
2021,"Southwark 025","E02000831",9353,7394,6519,792,629,102,20,41,83,83,696,361,748,147,7
2021,"Southwark 026","E02000832",9689,7382,6628,662,450,85,86,41,92,92,1099,308,827,67,6
2021,"Southwark 027","E02000833",7489,5207,4508,626,434,123,37,32,73,73,1005,626,594,52,5
2021,"Southwark 028","E02000834",9389,8028,7042,873,648,106,49,70,113,113,379,322,502,153,5
2021,"Southwark 029","E02000835",7680,6393,5703,604,446,80,31,47,86,86,507,219,487,73,1
2021,"Southwark 030","E02000836",8300,6978,6242,653,516,56,45,36,83,83,326,368,484,139,5
2021,"Southwark 031","E02000837",8559,7362,6624,640,497,78,29,36,98,98,300,386,370,139,2
2021,"Southwark 032","E02000838",9497,7825,6718,930,636,109,72,113,177,177,520,426,603,118,5
2021,"Southwark 033","E02000839",8479,6668,5780,741,492,143,79,27,147,147,671,585,461,91,3
2021,"Southwark 034","E02006802",9277,6598,5077,1304,964,212,83,45,217,217,894,1066,612,102,5
2021,"Southwark 035","E02006941",5313,3873,2635,1063,837,137,63,26,175,175,185,626,443,183,3
2021,"Southwark 036","E02006942",6747,4940,3710,1079,843,152,60,24,151,151,577,574,496,157,3
2021,"Sutton 001","E02000840",9322,7684,6742,806,260,314,218,14,136,136,433,1027,164,12,2
2021,"Sutton 002","E02000841",9186,7350,6306,888,280,339,262,7,156,156,430,1247,134,24,1
2021,"Sutton 003","E02000842",8278,6610,5926,548,269,141,123,15,136,136,334,1155,160,13,6
2021,"Sutton 004","E02000843",9473,7969,6912,910,374,341,181,14,147,147,427,863,183,30,1
2021,"Sutton 005","E02000844",8657,7345,6539,692,267,253,161,11,114,114,394,761,138,17,2
2021,"Sutton 006","E02000845",9418,7773,6860,766,362,223,158,23,147,147,427,994,171,50,3
2021,"Sutton 007","E02000846",7614,6093,5201,730,304,203,204,19,162,162,324,1061,114,18,4
2021,"Sutton 008","E02000847",9423,7874,7138,636,324,169,119,24,100,100,294,1103,117,34,1
2021,"Sutton 009","E02000848",8139,6814,6297,445,241,103,91,10,72,72,202,1023,76,24,0
2021,"Sutton 010","E02000849",8177,7023,6401,522,240,175,95,12,100,100,355,628,155,15,1
2021,"Sutton 011","E02000850",10838,8991,8236,632,333,162,116,21,123,123,447,1184,194,22,0
2021,"Sutton 012","E02000851",11582,8845,6813,1659,581,504,562,12,373,373,704,1632,368,32,1
2021,"Sutton 013","E02000852",8147,6834,5874,827,319,258,234,16,133,133,328,837,111,35,2
2021,"Sutton 014","E02000853",8174,6670,5738,778,306,243,216,13,154,154,354,965,152,32,1
2021,"Sutton 015","E02000854",7611,6743,6142,523,262,135,113,13,78,78,255,435,136,41,1
2021,"Sutton 016","E02000855",8204,7049,6528,412,237,81,78,16,109,109,226,783,101,44,1
2021,"Sutton 017","E02000856",9330,7626,6852,644,303,178,147,16,130,130,417,1083,180,21,3
2021,"Sutton 018","E02000857",8996,6748,5306,1156,482,332,323,19,286,286,526,1425,256,41,0
2021,"Sutton 019","E02000858",8569,6991,6373,479,255,141,75,8,139,139,485,928,136,19,10
2021,"Sutton 020","E02000859",8488,7135,6588,481,242,163,67,9,66,66,327,843,144,37,2
2021,"Sutton 021","E02000860",8784,6687,5238,1177,452,343,359,23,272,272,494,1308,254,40,1
2021,"Sutton 022","E02000861",7777,6487,6024,375,218,88,50,19,88,88,295,874,94,24,3
2021,"Sutton 024","E02000863",6736,5562,5180,330,166,87,57,20,52,52,335,714,111,13,1
2021,"Sutton 025","E02006836",8720,6913,6233,584,318,119,117,30,96,96,403,1251,131,22,0
2021,"Tower Hamlets 001","E02000864",11263,8737,7340,1259,912,222,73,52,138,138,491,1490,337,159,49
2021,"Tower Hamlets 002","E02000865",7961,5774,4906,722,562,89,52,19,146,146,344,1436,264,142,1
2021,"Tower Hamlets 003","E02000866",10647,8396,7107,1143,892,141,77,33,146,146,371,1294,384,201,1
2021,"Tower Hamlets 004","E02000867",11328,8807,6925,1706,1099,267,289,51,176,176,456,1490,424,146,5
2021,"Tower Hamlets 005","E02000868",7196,5292,4085,1062,838,148,53,23,145,145,224,1172,317,188,3
2021,"Tower Hamlets 006","E02000869",5931,4452,3595,701,566,83,34,18,156,156,262,848,242,123,4
2021,"Tower Hamlets 007","E02000870",6370,4800,3928,799,624,113,46,16,73,73,212,1084,190,81,3
2021,"Tower Hamlets 008","E02000871",11512,7730,6271,1296,886,240,135,35,163,163,543,2851,335,42,11
2021,"Tower Hamlets 009","E02000872",8143,5692,4367,1187,977,126,59,25,138,138,309,1613,357,166,6
2021,"Tower Hamlets 010","E02000873",9851,6844,5446,1240,925,162,100,53,158,158,505,2139,273,87,3
2021,"Tower Hamlets 011","E02000874",7497,4973,4052,807,592,119,58,38,114,114,261,1984,201,76,2
2021,"Tower Hamlets 012","E02000875",13570,9358,7613,1546,1092,270,126,58,199,199,686,3067,357,98,4
2021,"Tower Hamlets 013","E02000876",7274,4752,3638,1013,813,117,70,13,101,101,214,1915,293,99,1
2021,"Tower Hamlets 014","E02000877",13810,9671,7736,1704,1249,277,145,33,231,231,629,2962,453,88,7
2021,"Tower Hamlets 015","E02000878",10432,6722,4675,1779,1444,168,110,57,268,268,338,2645,556,168,3
2021,"Tower Hamlets 016","E02000879",8343,5580,4581,901,695,112,68,26,98,98,337,2060,278,87,1
2021,"Tower Hamlets 017","E02000880",6514,4232,3326,813,632,102,66,13,93,93,323,1778,151,28,2
2021,"Tower Hamlets 018","E02000881",10829,7538,5906,1442,965,296,166,15,190,190,591,2352,307,38,3
2021,"Tower Hamlets 019","E02000882",11501,8067,6971,972,678,176,106,12,124,124,403,2724,248,57,2
2021,"Tower Hamlets 020","E02000883",9285,6303,5125,1019,641,207,151,20,159,159,443,2283,237,16,3
2021,"Tower Hamlets 021","E02000884",12770,8074,5461,2248,1719,312,145,72,365,365,443,3580,525,147,1
2021,"Tower Hamlets 022","E02000885",7054,4618,3749,790,576,133,51,30,79,79,242,1989,183,21,1
2021,"Tower Hamlets 023","E02000886",9592,6842,4871,1746,1203,383,133,27,225,225,389,1891,367,102,1
2021,"Tower Hamlets 024","E02000887",10798,7465,5817,1446,945,302,171,28,202,202,436,2550,295,45,7
2021,"Tower Hamlets 025","E02000888",8617,5913,4463,1250,896,183,139,32,200,200,346,2025,249,79,5
2021,"Tower Hamlets 026","E02000889",8965,6311,4494,1553,1100,280,135,38,264,264,290,1820,414,127,3
2021,"Tower Hamlets 027","E02000890",5814,4507,3258,1081,806,155,102,18,168,168,162,698,292,155,0
2021,"Tower Hamlets 030","E02000893",7411,5430,4037,1134,579,319,208,28,259,259,309,1377,239,54,2
2021,"Tower Hamlets 031","E02000894",11008,7714,5349,1929,1084,548,250,47,436,436,464,2233,493,96,8
2021,"Tower Hamlets 032","E02006853",11016,6729,4541,1778,1082,357,287,52,410,410,545,3142,528,65,7
2021,"Tower Hamlets 033","E02006854",7074,4386,2580,1417,960,269,152,36,389,389,398,1939,282,68,1
2021,"Tower Hamlets 034","E02007112",5890,3643,2199,1181,730,266,150,35,263,263,340,1636,226,44,1
2021,"Tower Hamlets 035","E02007113",7459,4626,3243,1149,736,237,153,23,234,234,421,2074,276,62,0
2021,"Tower Hamlets 036","E02007114",7565,5114,3425,1308,802,235,246,25,381,381,436,1731,242,40,2
2021,"Waltham Forest 001","E02000895",8370,7418,6395,729,229,138,238,124,294,294,347,391,187,17,10
2021,"Waltham Forest 002","E02000896",9329,8468,7387,811,330,206,215,60,270,270,309,339,174,33,6
2021,"Waltham Forest 003","E02000897",8567,7615,6552,735,229,201,243,62,328,328,332,394,200,22,4
2021,"Waltham Forest 004","E02000898",8012,7060,6102,686,206,175,230,75,272,272,287,403,232,21,9
2021,"Waltham Forest 005","E02000899",8810,7587,5960,1167,235,226,571,135,460,460,421,515,259,17,11
2021,"Waltham Forest 006","E02000900",8970,7421,5786,1122,197,253,548,124,513,513,545,703,268,19,14
2021,"Waltham Forest 007","E02000901",10492,9358,8042,1028,491,244,241,52,288,288,359,478,237,57,3
2021,"Waltham Forest 008","E02000902",9962,8225,6576,1220,296,310,531,83,429,429,527,800,356,32,22
2021,"Waltham Forest 009","E02000903",10274,8128,6387,1355,395,358,560,42,386,386,660,1019,423,36,8
2021,"Waltham Forest 010","E02000904",8423,6908,5489,1229,300,326,576,27,190,190,441,694,332,32,16
2021,"Waltham Forest 011","E02000905",10474,8475,6517,1637,531,414,656,36,321,321,579,1042,309,48,21
2021,"Waltham Forest 012","E02000906",9654,7612,5946,1377,421,434,489,33,289,289,575,1003,385,65,14
2021,"Waltham Forest 013","E02000907",10578,7983,6303,1280,395,430,417,38,400,400,1205,890,442,34,24
2021,"Waltham Forest 014","E02000908",12903,10196,7415,2375,848,767,719,41,406,406,787,1226,542,128,24
2021,"Waltham Forest 015","E02000909",9247,7638,6187,1215,425,334,419,37,236,236,503,676,342,75,13
2021,"Waltham Forest 016","E02000910",11429,8899,6591,1920,629,528,728,35,388,388,568,1260,506,177,19
2021,"Waltham Forest 017","E02000911",12963,10185,7167,2623,783,601,1191,48,395,395,740,1429,494,94,21
2021,"Waltham Forest 018","E02000912",9744,7456,5818,1397,383,329,641,44,241,241,604,1228,379,60,17
2021,"Waltham Forest 019","E02000913",9641,7306,5698,1328,368,355,525,80,280,280,538,1344,397,35,21
2021,"Waltham Forest 020","E02000914",11798,8494,6127,1869,533,439,867,30,498,498,1061,1709,452,37,45
2021,"Waltham Forest 021","E02000915",8112,6487,4986,1268,483,329,432,24,233,233,424,800,315,78,8
2021,"Waltham Forest 022","E02000916",10561,8062,5761,1878,578,541,706,53,423,423,700,1161,554,58,26
2021,"Waltham Forest 023","E02000917",9588,7637,5174,2073,602,546,896,29,390,390,564,863,437,79,8
2021,"Waltham Forest 024","E02000918",9322,7302,5192,1375,528,337,492,18,735,735,664,934,343,70,9
2021,"Waltham Forest 025","E02000919",9238,7078,4700,1982,621,514,807,40,396,396,468,1166,441,73,12
2021,"Waltham Forest 026","E02000920",10299,7533,5345,1783,643,421,681,38,405,405,895,1240,561,48,22
2021,"Waltham Forest 027","E02000921",11201,8567,6007,2088,595,546,920,27,472,472,941,1106,519,41,27
2021,"Waltham Forest 028","E02000922",10460,8214,5460,2082,577,566,913,26,672,672,636,1026,497,72,15
2021,"Wandsworth 001","E02000923",7527,5669,4131,1328,1035,182,96,15,210,210,432,699,590,134,3
2021,"Wandsworth 003","E02000925",7900,6048,4588,1248,939,203,83,23,212,212,660,547,581,63,1
2021,"Wandsworth 004","E02000926",11640,8942,6556,2045,1533,324,130,58,341,341,693,1011,734,253,7
2021,"Wandsworth 005","E02000927",7101,5758,4803,835,672,109,37,17,120,120,434,369,396,138,6
2021,"Wandsworth 006","E02000928",8356,6924,5871,888,695,120,53,20,165,165,354,420,417,236,5
2021,"Wandsworth 007","E02000929",8105,5806,4484,1171,855,211,86,19,151,151,860,827,532,80,0
2021,"Wandsworth 008","E02000930",10083,7919,6290,1415,1170,151,60,34,214,214,549,725,553,324,13
2021,"Wandsworth 009","E02000931",8817,7315,5948,1184,1038,93,42,11,183,183,309,398,492,297,6
2021,"Wandsworth 010","E02000932",12843,10067,7833,1880,1435,302,116,27,354,354,797,873,751,350,5
2021,"Wandsworth 011","E02000933",8867,7015,5552,1240,880,236,95,29,223,223,462,679,542,166,3
2021,"Wandsworth 012","E02000934",8914,7138,5771,1229,992,162,55,20,138,138,499,479,488,307,3
2021,"Wandsworth 013","E02000935",7375,5547,4362,966,491,380,84,11,219,219,610,811,381,21,5
2021,"Wandsworth 014","E02000936",9371,6982,5095,1490,1014,322,115,39,397,397,535,1041,572,234,7
2021,"Wandsworth 015","E02000937",8162,6779,5600,1008,859,87,37,25,171,171,346,401,456,176,4
2021,"Wandsworth 016","E02000938",10765,8156,6168,1642,898,520,194,30,346,346,691,1191,606,112,9
2021,"Wandsworth 017","E02000939",7818,6539,5589,836,703,81,29,23,114,114,265,365,438,207,4
2021,"Wandsworth 018","E02000940",9324,7127,5476,1447,1017,290,114,26,204,204,640,919,475,157,6
2021,"Wandsworth 019","E02000941",10175,8547,7322,1108,772,166,136,34,117,117,468,491,476,190,3
2021,"Wandsworth 020","E02000942",9688,7707,6292,1228,936,193,67,32,187,187,516,796,456,211,2
2021,"Wandsworth 021","E02000943",8721,7091,5938,1011,788,151,56,16,142,142,345,555,463,266,1
2021,"Wandsworth 022","E02000944",7638,5477,4172,1091,660,314,100,17,214,214,569,1072,468,49,3
2021,"Wandsworth 023","E02000945",7841,5797,4079,1384,572,580,207,25,334,334,619,1021,361,40,3
2021,"Wandsworth 024","E02000946",8435,6713,5738,836,591,155,74,16,139,139,717,550,305,145,5
2021,"Wandsworth 025","E02000947",9344,7542,6268,1112,742,227,84,59,162,162,504,656,416,222,4
2021,"Wandsworth 026","E02000948",10027,8144,6946,1080,784,225,50,21,118,118,543,569,522,239,10
