"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
2021,"Hounslow 021","E02000546",10432,5709,4253,1226,336,562,320,8,230,230,854,3710,111,46,2
2021,"Hounslow 022","E02000547",10999,7477,6037,1301,381,501,406,13,139,139,627,2780,101,12,2
2021,"Hounslow 023","E02000548",10577,7666,6265,1234,310,642,274,8,167,167,646,2128,120,15,2
2021,"Hounslow 024","E02000549",12533,8524,6813,1462,444,568,434,16,249,249,636,3165,184,20,4
2021,"Hounslow 025","E02000550",10713,7303,5867,1296,421,563,302,10,140,140,670,2547,171,19,3
2021,"Hounslow 026","E02000551",9752,7244,5935,1002,317,510,151,24,307,307,674,1628,192,13,1
2021,"Hounslow 027","E02000552",9261,7146,5606,1366,355,719,273,19,174,174,432,1516,143,20,4
2021,"Hounslow 028","E02000553",7114,5646,4737,794,248,377,159,10,115,115,376,983,96,11,2
2021,"Hounslow 029","E02006792",8995,6620,4631,1621,1085,344,119,73,368,368,590,1092,521,167,5
2021,"Hounslow 030","E02006972",5411,3895,2921,756,404,247,80,25,218,218,466,834,170,45,1
2021,"Hounslow 031","E02006973",8494,6253,4762,1226,586,473,142,25,265,265,687,1178,304,69,3
2021,"Islington 001","E02000554",9354,7550,5855,1238,881,178,92,87,457,457,743,505,460,85,11
2021,"Islington 002","E02000555",9569,7798,6126,1321,995,166,67,93,351,351,610,564,486,100,11
2021,"Islington 003","E02000556",11395,9169,7069,1729,1248,255,140,86,371,371,750,701,628,134,13
2021,"Islington 004","E02000557",8784,7106,5296,1478,1100,230,82,66,332,332,597,565,406,98,12
2021,"Islington 005","E02000558",9431,6908,5224,1128,814,154,78,82,556,556,1225,701,540,47,10
2021,"Islington 006","E02000559",9581,7505,5979,1280,1042,117,60,61,246,246,634,634,556,239,13
2021,"Islington 007","E02000560",7356,5888,4180,1449,1058,201,113,77,259,259,417,510,414,117,10
2021,"Islington 008","E02000561",7388,6150,4908,1089,810,170,54,55,153,153,337,362,439,90,10
2021,"Islington 009","E02000562",7864,6373,5083,969,771,107,39,52,321,321,436,435,402,210,8
2021,"Islington 010","E02000563",8681,6856,5186,1276,914,225,80,57,394,394,661,564,516,72,12
2021,"Islington 011","E02000564",12417,9448,6919,2066,1621,229,114,102,463,463,708,1346,662,245,8
2021,"Islington 012","E02000565",8542,6876,5412,1040,816,126,41,57,424,424,632,414,429,177,14
2021,"Islington 013","E02000566",8556,6867,5480,1148,974,92,41,41,239,239,340,447,543,348,11
2021,"Islington 014","E02000567",10438,8502,6731,1437,1169,143,62,63,334,334,452,472,628,363,21
2021,"Islington 015","E02000568",11342,8722,6709,1498,1117,213,98,70,515,515,804,1045,610,146,15
2021,"Islington 016","E02000569",9939,7945,6311,1179,948,108,69,54,455,455,503,603,577,299,12
2021,"Islington 017","E02000570",8285,6658,5353,1121,965,84,48,24,184,184,284,368,602,362,11
2021,"Islington 018","E02000571",8918,7101,5397,1260,1020,130,66,44,444,444,514,463,611,222,7
2021,"Islington 019","E02000572",8602,6513,4902,1220,811,143,194,72,391,391,709,786,462,113,19
2021,"Islington 020","E02000573",10313,7969,6082,1548,1275,161,64,48,339,339,425,735,770,403,11
2021,"Islington 021","E02000574",7830,5856,4238,1342,1108,114,76,44,276,276,437,837,506,179,15
2021,"Islington 022","E02000575",11315,8355,5928,1922,1467,203,181,71,505,505,701,1301,705,236,17
2021,"Islington 023","E02000576",10673,7872,5845,1557,1195,187,115,60,470,470,868,1153,627,150,3
2021,"Kensington and Chelsea 001","E02000577",7711,5306,4065,855,710,94,37,14,386,386,1039,930,389,36,11
2021,"Kensington and Chelsea 002","E02000578",6004,4570,3636,691,441,83,145,22,243,243,618,580,214,18,4
2021,"Kensington and Chelsea 003","E02000579",8993,6871,5438,1180,1016,114,25,25,253,253,626,793,591,104,8
2021,"Kensington and Chelsea 004","E02000580",7900,5720,4269,1187,977,131,48,31,264,264,753,759,519,144,5
2021,"Kensington and Chelsea 005","E02000581",7392,5400,4241,825,680,83,40,22,334,334,784,785,376,40,7
2021,"Kensington and Chelsea 006","E02000582",6543,4596,2915,1372,1144,138,64,26,309,309,286,819,688,149,5
2021,"Kensington and Chelsea 007","E02000583",6428,4728,3480,1033,871,99,50,13,215,215,304,606,618,166,6
2021,"Kensington and Chelsea 008","E02000584",7176,4922,3175,1325,1157,97,43,28,422,422,306,934,849,164,1
2021,"Kensington and Chelsea 009","E02000585",8088,5125,3259,1440,1214,109,89,28,426,426,580,1497,760,122,4
2021,"Kensington and Chelsea 010","E02000586",6474,4337,2163,1773,1560,112,79,22,401,401,248,1140,672,75,2
2021,"Kensington and Chelsea 011","E02000587",6497,4271,2550,1349,1122,129,68,30,372,372,325,1005,731,164,1
2021,"Kensington and Chelsea 012","E02000588",5981,4132,2227,1515,1259,175,49,32,390,390,243,840,682,81,3
2021,"Kensington and Chelsea 013","E02000589",7247,4406,2335,1742,1513,139,66,24,329,329,457,1524,758,98,4
2021,"Kensington and Chelsea 014","E02000590",5974,4121,2719,1171,998,113,43,17,231,231,392,906,499,54,2
2021,"Kensington and Chelsea 015","E02000591",6210,3881,2182,1346,1084,153,73,36,353,353,516,1270,464,75,4
2021,"Kensington and Chelsea 016","E02000592",5764,4079,2105,1627,1444,100,70,13,347,347,185,790,602,102,6
2021,"Kensington and Chelsea 017","E02000593",7396,5349,2689,2206,1924,180,77,25,454,454,337,946,630,133,1
2021,"Kensington and Chelsea 018","E02000594",6481,4806,3294,1277,1083,110,49,35,235,235,296,589,681,106,3
2021,"Kensington and Chelsea 019","E02000595",6163,4528,3006,1196,1031,93,49,23,326,326,292,621,608,113,1
2021,"Kensington and Chelsea 020","E02000596",6617,4979,3006,1524,1336,109,49,30,449,449,234,737,556,104,7
2021,"Kensington and Chelsea 021","E02000597",6336,4450,3309,879,696,117,48,18,262,262,549,895,375,63,4
2021,"Kingston upon Thames 001","E02000598",8093,6547,5464,868,609,150,94,15,215,215,267,966,239,73,1
2021,"Kingston upon Thames 002","E02000599",7007,4696,3870,667,462,128,59,18,159,159,458,1571,217,61,4
2021,"Kingston upon Thames 003","E02000600",8360,6205,5058,911,535,234,124,18,236,236,412,1418,257,65,3
2021,"Kingston upon Thames 004","E02000601",11906,9277,7595,1298,802,302,148,46,384,384,460,1664,390,114,1
2021,"Kingston upon Thames 005","E02000602",10311,7861,6392,1198,691,307,170,30,271,271,527,1500,332,88,3
2021,"Kingston upon Thames 006","E02000603",8638,6360,5156,1004,528,320,139,17,200,200,381,1699,170,27,1
