"date","geography","geography code","General health: Total: All usual residents","General health: Very good health","General health: Good health","General health: Fair health","General health: Bad health","General health: Very bad health"
2021,"Brent 008","E02000100",8319,4122,2991,927,207,72
2021,"Brent 009","E02000101",9938,4974,3310,1151,376,127
2021,"Brent 010","E02000102",8327,4175,2735,1045,286,86
2021,"Brent 011","E02000103",9975,5070,3334,1104,353,114
2021,"Brent 012","E02000104",7504,3636,2569,880,285,134
2021,"Brent 013","E02000105",9844,5097,3289,1040,328,90
2021,"Brent 014","E02000106",10353,5242,3487,1105,389,130
2021,"Brent 015","E02000107",10940,5866,3427,1176,366,105
2021,"Brent 016","E02000108",7260,3697,2506,799,189,69
2021,"Brent 018","E02000110",8174,4272,2639,872,305,86
2021,"Brent 019","E02000111",11284,5867,3823,1137,316,141
2021,"Brent 020","E02000112",11749,5746,4258,1301,369,75
2021,"Brent 021","E02000113",9632,4679,3008,1323,494,128
2021,"Brent 022","E02000114",8996,4950,2775,912,276,83
2021,"Brent 023","E02000115",8622,4607,2705,899,296,115
2021,"Brent 024","E02000116",8548,4238,2899,964,328,119
2021,"Brent 025","E02000117",12733,6268,4063,1601,598,203
2021,"Brent 026","E02000118",11294,6082,3672,1163,282,95
2021,"Brent 027","E02000119",10627,5648,3119,1276,421,163
2021,"Brent 028","E02000120",9018,5178,2603,853,280,104
2021,"Brent 029","E02000121",12240,6650,3996,1198,288,108
2021,"Brent 030","E02000122",8177,4532,2475,794,281,95
2021,"Brent 031","E02000123",13578,6914,4364,1626,519,155
2021,"Brent 032","E02000124",9954,5883,2861,890,246,74
2021,"Brent 033","E02000125",9940,5517,2982,992,322,127
2021,"Brent 034","E02000126",8196,4301,2482,939,348,126
2021,"Bromley 001","E02000127",9330,4587,3026,1175,419,123
2021,"Bromley 002","E02000128",7789,4295,2442,743,232,77
2021,"Bromley 004","E02000130",8426,4550,2687,878,233,78
2021,"Bromley 005","E02000131",10485,5843,3303,976,290,73
2021,"Bromley 006","E02000132",9834,5393,3168,957,249,67
2021,"Bromley 007","E02000133",10753,6421,3126,886,260,60
2021,"Bromley 008","E02000134",11750,6439,3760,1170,291,90
2021,"Bromley 009","E02000135",9871,4834,3151,1214,538,134
2021,"Bromley 010","E02000136",5747,2899,1804,737,231,76
2021,"Bromley 011","E02000137",8400,4639,2670,817,185,89
2021,"Bromley 012","E02000138",8501,4575,2776,888,214,48
2021,"Bromley 013","E02000139",7712,4286,2453,688,222,63
2021,"Bromley 014","E02000140",8680,4215,2780,1166,405,114
2021,"Bromley 015","E02000141",7232,3812,2416,729,201,74
2021,"Bromley 016","E02000142",8816,5066,2650,826,209,65
2021,"Bromley 018","E02000144",10063,5736,3204,860,204,59
2021,"Bromley 019","E02000145",8826,4218,2983,1106,407,112
2021,"Bromley 020","E02000146",9702,5260,3060,1026,286,70
2021,"Bromley 021","E02000147",8190,4825,2485,696,139,45
2021,"Bromley 022","E02000148",6725,3746,2151,623,157,48
2021,"Bromley 023","E02000149",8166,4102,2737,933,297,97
2021,"Bromley 024","E02000150",8516,4667,2744,821,207,77
2021,"Bromley 025","E02000151",7544,4127,2497,732,145,43
2021,"Bromley 026","E02000152",7967,4128,2569,849,325,96
2021,"Bromley 027","E02000153",8105,4684,2506,691,162,62
2021,"Bromley 028","E02000154",8530,4543,2886,805,236,60
2021,"Bromley 029","E02000155",7155,3307,2524,961,276,87
2021,"Bromley 030","E02000156",12292,6486,4086,1301,332,87
2021,"Bromley 031","E02000157",8369,4553,2739,846,199,32
2021,"Bromley 032","E02000158",7788,3918,2649,872,263,86
2021,"Bromley 033","E02000159",7119,3997,2235,677,152,58
2021,"Bromley 034","E02000160",8107,4346,2659,849,197,56
2021,"Bromley 035","E02000161",8702,4632,2974,858,191,47
2021,"Bromley 036","E02000162",7124,3591,2299,907,250,77
