"date","geography","geography code","Sexual orientation: Total: All usual residents aged 16 years and over","Sexual orientation: Straight or Heterosexual","Sexual orientation: Gay or Lesbian","Sexual orientation: Bisexual","Sexual orientation: All other sexual orientations","Sexual orientation: Not answered"
2021,"Brent 011","E02000103",7853,6756,70,94,36,897
2021,"Brent 012","E02000104",6266,5328,38,73,36,791
2021,"Brent 013","E02000105",7853,6798,51,100,33,871
2021,"Brent 014","E02000106",8259,6968,78,73,62,1078
2021,"Brent 015","E02000107",9058,7596,190,125,47,1100
2021,"Brent 016","E02000108",5856,5119,47,48,27,615
2021,"Brent 018","E02000110",6768,5601,159,117,32,859
2021,"Brent 019","E02000111",9034,7766,39,112,68,1049
2021,"Brent 020","E02000112",9705,8256,90,156,50,1153
2021,"Brent 021","E02000113",7432,6504,42,52,22,812
2021,"Brent 022","E02000114",7599,6235,263,133,65,903
2021,"Brent 023","E02000115",7291,6011,237,129,45,869
2021,"Brent 024","E02000116",6675,5723,101,88,40,723
2021,"Brent 025","E02000117",9679,8322,143,94,33,1087
2021,"Brent 026","E02000118",9250,7896,38,163,62,1091
2021,"Brent 027","E02000119",8173,7037,94,109,27,906
2021,"Brent 028","E02000120",7610,6347,236,170,53,804
2021,"Brent 029","E02000121",9846,8311,88,205,60,1182
2021,"Brent 030","E02000122",6690,5726,117,93,43,711
2021,"Brent 031","E02000123",10788,9232,197,172,60,1127
2021,"Brent 032","E02000124",8120,6898,232,127,44,819
2021,"Brent 033","E02000125",8068,6880,159,126,42,861
2021,"Brent 034","E02000126",6574,5573,167,68,21,745
2021,"Bromley 001","E02000127",7219,6436,119,63,23,578
2021,"Bromley 002","E02000128",6101,5569,64,41,16,411
2021,"Bromley 004","E02000130",6817,5838,206,99,25,649
2021,"Bromley 005","E02000131",8633,7178,457,216,69,713
2021,"Bromley 006","E02000132",8230,7208,193,141,19,669
2021,"Bromley 007","E02000133",8699,7951,83,53,13,599
2021,"Bromley 008","E02000134",9443,8314,208,119,34,768
2021,"Bromley 009","E02000135",7972,6865,181,131,46,749
2021,"Bromley 010","E02000136",4653,4246,53,30,3,321
2021,"Bromley 011","E02000137",6822,6124,127,63,16,492
2021,"Bromley 012","E02000138",7235,6465,162,64,18,526
2021,"Bromley 013","E02000139",6139,5435,134,70,30,470
2021,"Bromley 014","E02000140",6587,5928,77,65,13,504
2021,"Bromley 015","E02000141",5827,5014,146,106,33,528
2021,"Bromley 016","E02000142",7007,6295,101,76,14,521
2021,"Bromley 018","E02000144",8106,7208,160,105,29,604
2021,"Bromley 019","E02000145",6680,5986,103,66,19,506
2021,"Bromley 020","E02000146",7734,6898,153,70,28,585
2021,"Bromley 021","E02000147",6562,6027,70,44,11,410
2021,"Bromley 022","E02000148",5407,4989,54,23,8,333
2021,"Bromley 023","E02000149",6500,5854,132,54,8,452
2021,"Bromley 024","E02000150",6746,6203,46,49,16,432
2021,"Bromley 025","E02000151",6004,5544,52,25,3,380
2021,"Bromley 026","E02000152",6131,5547,68,51,10,455
2021,"Bromley 027","E02000153",6379,5907,44,36,13,379
2021,"Bromley 028","E02000154",6979,6314,77,60,23,505
2021,"Bromley 029","E02000155",5972,5369,80,45,15,463
2021,"Bromley 030","E02000156",10075,9216,97,71,21,670
2021,"Bromley 031","E02000157",6746,6192,58,44,12,440
2021,"Bromley 032","E02000158",6125,5583,50,40,9,443
2021,"Bromley 033","E02000159",5905,5518,47,40,8,292
2021,"Bromley 034","E02000160",6534,5965,64,38,12,455
2021,"Bromley 035","E02000161",6921,6286,47,44,12,532
2021,"Bromley 036","E02000162",5788,5326,42,34,5,381
2021,"Bromley 037","E02000163",6297,5746,50,45,14,442
2021,"Bromley 039","E02000165",5782,5339,45,35,10,353
2021,"Camden 001","E02000166",6528,5548,221,128,45,586
2021,"Camden 002","E02000167",6002,5107,205,103,20,567
2021,"Camden 003","E02000168",6623,5583,235,196,34,575
2021,"Camden 004","E02000169",5754,5003,125,66,20,540
2021,"Camden 005","E02000170",6578,5628,193,126,36,595
2021,"Camden 006","E02000171",6211,5223,219,140,27,602
2021,"Camden 007","E02000172",8165,6823,215,181,59,887
2021,"Camden 008","E02000173",6173,5188,177,121,28,659
2021,"Camden 009","E02000174",6761,5572,269,182,56,682
2021,"Camden 010","E02000175",7881,6636,283,181,45,736
2021,"Camden 011","E02000176",4968,4166,154,101,38,509
2021,"Camden 012","E02000177",7098,5935,196,159,57,751
2021,"Camden 013","E02000178",7612,6303,303,181,52,773
2021,"Camden 014","E02000179",4718,3989,144,88,31,466
2021,"Camden 015","E02000180",6742,5397,305,234,68,738
2021,"Camden 016","E02000181",6839,5747,245,153,32,662
2021,"Camden 017","E02000182",5785,4921,142,69,21,632
2021,"Camden 018","E02000183",6446,5497,203,131,44,571
2021,"Camden 019","E02000184",7747,6143,319,323,79,883
2021,"Camden 020","E02000185",7264,6099,175,141,43,806
2021,"Camden 021","E02000186",5435,4339,271,191,44,590
2021,"Camden 022","E02000187",7988,6669,217,196,49,857
2021,"Camden 023","E02000188",5930,4796,192,150,55,737
2021,"Camden 026","E02000191",5023,3731,352,246,52,642
2021,"Camden 027","E02000192",5741,4612,335,126,32,636
2021,"Camden 028","E02000193",5504,4137,468,194,42,663
2021,"Croydon 001","E02000194",7483,6360,292,141,33,657
2021,"Croydon 002","E02000195",7740,6711,122,64,26,817
2021,"Croydon 003","E02000196",6480,5598,87,49,18,728
2021,"Croydon 004","E02000197",7316,6396,91,49,28,752
2021,"Croydon 005","E02000198",7011,6073,101,89,39,709
2021,"Croydon 006","E02000199",6750,5876,103,75,25,671
2021,"Croydon 007","E02000200",7351,6345,167,134,31,674
2021,"Croydon 008","E02000201",6783,5747,159,108,38,731
2021,"Croydon 009","E02000202",7144,6143,97,63,31,810
2021,"Croydon 010","E02000203",6293,5379,84,67,28,735
2021,"Croydon 011","E02000204",7611,6570,72,63,39,867
2021,"Croydon 013","E02000206",8346,7205,134,134,51,822
2021,"Croydon 014","E02000207",7212,6297,96,80,22,717
2021,"Croydon 015","E02000208",8129,6992,111,92,40,894
2021,"Croydon 016","E02000209",7007,6123,54,90,30,710
