"date","geography","geography code","National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over","National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations","National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers","National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations","National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations","National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations","National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed","National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students"
2021,"Bexley 007","E02000071",5984,629,1148,939,603,377,645,693,536,414
2021,"Bexley 008","E02000072",9488,904,1736,1120,834,505,1209,1295,984,901
2021,"Bexley 009","E02000073",8702,1284,1827,1515,910,437,899,737,574,519
2021,"Bexley 010","E02000074",6860,544,1218,923,641,417,936,982,687,512
2021,"Bexley 011","E02000075",6607,964,1404,1141,715,379,677,549,430,348
2021,"Bexley 013","E02000077",6568,794,1294,962,707,374,720,665,587,465
2021,"Bexley 014","E02000078",6394,857,1455,1062,662,385,676,599,374,324
2021,"Bexley 015","E02000079",7097,1083,1626,1109,774,350,698,586,512,359
2021,"Bexley 016","E02000080",8087,1100,1668,1292,941,423,888,722,557,496
2021,"Bexley 017","E02000081",6617,832,1462,1046,723,358,715,617,483,381
2021,"Bexley 018","E02000082",7456,1009,1586,1229,891,428,751,634,476,452
2021,"Bexley 019","E02000083",8884,1120,1821,1253,873,506,985,1028,678,620
2021,"Bexley 020","E02000084",8929,1434,2074,1432,1167,367,793,639,537,486
2021,"Bexley 021","E02000085",6382,763,1282,1131,787,346,686,577,421,389
2021,"Bexley 022","E02000086",5852,880,1282,1109,722,304,505,417,337,296
2021,"Bexley 023","E02000087",6723,1398,1600,1090,753,240,495,357,419,371
2021,"Bexley 024","E02000088",6271,1045,1446,1087,702,283,563,445,342,358
2021,"Bexley 025","E02000089",6348,1087,1435,1057,710,291,531,400,402,435
2021,"Bexley 026","E02000090",8110,1323,1861,1303,796,329,660,507,524,807
2021,"Bexley 027","E02000091",8414,1402,1983,1278,861,375,762,609,583,561
2021,"Bexley 028","E02000092",5291,536,1003,683,599,297,669,560,608,336
2021,"Brent 001","E02000093",9783,1143,1493,958,1905,338,957,968,1105,916
2021,"Brent 002","E02000094",8464,1023,1432,807,1414,324,771,850,933,910
2021,"Brent 003","E02000095",8594,957,1353,866,1706,265,793,838,1024,792
2021,"Brent 004","E02000096",6273,1228,1189,714,1009,144,434,387,694,474
2021,"Brent 005","E02000097",7757,710,1146,772,1531,308,811,806,932,741
2021,"Brent 006","E02000098",7155,927,1156,669,1122,218,607,617,1078,761
