"date","geography","geography code","Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census","Hours worked: Part-time","Hours worked: Part-time: 15 hours or less worked","Hours worked: Part-time: 16 to 30 hours worked","Hours worked: Full-time","Hours worked: Full-time: 31 to 48 hours worked","Hours worked: Full-time: 49 or more hours worked"
2021,"Bexley 026","E02000090",4721,1182,478,704,3539,3021,518
2021,"Bexley 027","E02000091",4751,1283,513,770,3468,2907,561
2021,"Bexley 028","E02000092",2918,908,344,564,2010,1761,249
2021,"Brent 001","E02000093",5982,1752,667,1085,4230,3481,749
2021,"Brent 002","E02000094",5099,1485,554,931,3614,3017,597
2021,"Brent 003","E02000095",5113,1477,530,947,3636,3040,596
2021,"Brent 004","E02000096",3678,1076,424,652,2602,2070,532
2021,"Brent 005","E02000097",4561,1443,533,910,3118,2559,559
2021,"Brent 006","E02000098",3882,1254,496,758,2628,2171,457
2021,"Brent 007","E02000099",4709,1388,539,849,3321,2721,600
2021,"Brent 008","E02000100",4207,1197,512,685,3010,2570,440
2021,"Brent 009","E02000101",4291,1485,580,905,2806,2390,416
2021,"Brent 010","E02000102",3224,1211,455,756,2013,1759,254
2021,"Brent 011","E02000103",4256,1544,538,1006,2712,2324,388
2021,"Brent 012","E02000104",3587,1131,450,681,2456,2000,456
2021,"Brent 013","E02000105",4612,1404,453,951,3208,2791,417
2021,"Brent 014","E02000106",4487,1651,635,1016,2836,2403,433
2021,"Brent 015","E02000107",5525,1730,663,1067,3795,3111,684
2021,"Brent 016","E02000108",3508,1019,342,677,2489,2166,323
2021,"Brent 018","E02000110",3972,1196,547,649,2776,2222,554
2021,"Brent 019","E02000111",5307,1565,512,1053,3742,3362,380
2021,"Brent 020","E02000112",6084,1673,602,1071,4411,3918,493
2021,"Brent 021","E02000113",3447,1362,426,936,2085,1832,253
2021,"Brent 022","E02000114",4798,1462,524,938,3336,2766,570
2021,"Brent 023","E02000115",4435,1177,447,730,3258,2602,656
2021,"Brent 024","E02000116",3721,1327,485,842,2394,2021,373
2021,"Brent 025","E02000117",5018,1925,688,1237,3093,2635,458
2021,"Brent 026","E02000118",5650,1490,555,935,4160,3759,401
2021,"Brent 027","E02000119",4420,1509,463,1046,2911,2516,395
2021,"Brent 028","E02000120",5051,1315,536,779,3736,2950,786
2021,"Brent 029","E02000121",5894,1687,616,1071,4207,3792,415
