"date","geography","geography code","Migrant indicator: Total: All usual residents; measures: Value","Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value","Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value","Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value","Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value"
2021,"Brent 011","E02000103",9852,8840,34,881,97
2021,"Brent 012","E02000104",7448,6711,26,609,102
2021,"Brent 013","E02000105",9721,8609,21,925,166
2021,"Brent 014","E02000106",10194,8988,14,1036,156
2021,"Brent 015","E02000107",10817,9103,40,1446,228
2021,"Brent 016","E02000108",7177,6413,28,629,107
2021,"Brent 018","E02000110",8067,6919,41,967,140
2021,"Brent 019","E02000111",11144,9873,16,1086,169
2021,"Brent 020","E02000112",11629,9540,23,1810,256
2021,"Brent 021","E02000113",9531,8834,7,644,46
2021,"Brent 022","E02000114",8903,7230,33,1465,175
2021,"Brent 023","E02000115",8515,7069,24,1263,159
2021,"Brent 024","E02000116",8445,7271,12,1055,107
2021,"Brent 025","E02000117",12589,11401,23,1002,163
2021,"Brent 026","E02000118",11149,9883,22,1051,193
2021,"Brent 027","E02000119",10508,9272,23,1087,126
2021,"Brent 028","E02000120",8914,7101,57,1542,214
2021,"Brent 029","E02000121",12107,10802,14,1098,193
2021,"Brent 030","E02000122",8108,7061,21,904,122
2021,"Brent 031","E02000123",13402,11637,43,1551,171
2021,"Brent 032","E02000124",9845,8326,37,1300,182
2021,"Brent 033","E02000125",9807,8565,24,1080,138
2021,"Brent 034","E02000126",8105,7242,24,762,77
2021,"Brent 035","E02006955",7367,4731,171,1953,512
2021,"Brent 036","E02006956",8739,6744,156,1602,237
2021,"Bromley 001","E02000127",9210,8490,15,653,52
2021,"Bromley 002","E02000128",7703,7094,17,545,47
2021,"Bromley 004","E02000130",8312,7434,25,780,73
2021,"Bromley 005","E02000131",10289,8825,25,1334,105
2021,"Bromley 006","E02000132",9680,8359,23,1205,93
2021,"Bromley 007","E02000133",10649,9598,34,942,75
2021,"Bromley 008","E02000134",11561,10069,36,1314,142
2021,"Bromley 009","E02000135",9749,8734,18,924,73
2021,"Bromley 010","E02000136",5690,5206,16,436,32
2021,"Bromley 011","E02000137",8302,7458,15,766,63
2021,"Bromley 012","E02000138",8425,7460,22,879,64
2021,"Bromley 013","E02000139",7621,6828,9,740,44
2021,"Bromley 014","E02000140",8590,8007,19,519,45
2021,"Bromley 015","E02000141",7122,6412,12,649,49
2021,"Bromley 016","E02000142",8681,7869,27,719,66
2021,"Bromley 018","E02000144",9940,8573,33,1178,156
2021,"Bromley 019","E02000145",8692,8081,22,546,43
2021,"Bromley 020","E02000146",9578,8506,28,941,103
2021,"Bromley 021","E02000147",8117,7490,35,546,46
2021,"Bromley 022","E02000148",6674,6154,31,440,49
2021,"Bromley 023","E02000149",8053,7418,11,586,38
2021,"Bromley 024","E02000150",8452,7802,24,565,61
2021,"Bromley 025","E02000151",7473,6986,13,451,23
2021,"Bromley 026","E02000152",7868,7223,17,578,50
2021,"Bromley 027","E02000153",8049,7552,30,441,26
2021,"Bromley 028","E02000154",8436,7623,16,712,85
2021,"Bromley 029","E02000155",7083,6494,13,538,38
2021,"Bromley 030","E02000156",12210,11307,35,802,66
2021,"Bromley 031","E02000157",8310,7683,27,543,57
2021,"Bromley 032","E02000158",7677,7099,20,518,40
2021,"Bromley 033","E02000159",7061,6540,13,467,41
2021,"Bromley 034","E02000160",8066,7483,26,539,18
2021,"Bromley 035","E02000161",8644,7996,25,563,60
2021,"Bromley 036","E02000162",7068,6484,10,534,40
2021,"Bromley 037","E02000163",7649,7059,10,546,34
2021,"Bromley 039","E02000165",7097,6615,9,451,22
