"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
2021,"Brent 036","E02006956",8830,7890,940
2021,"Bromley 001","E02000127",9330,9302,28
2021,"Bromley 002","E02000128",7789,7594,195
2021,"Bromley 004","E02000130",8426,8418,8
2021,"Bromley 005","E02000131",10485,10485,0
2021,"Bromley 006","E02000132",9834,9790,44
2021,"Bromley 007","E02000133",10755,10650,105
2021,"Bromley 008","E02000134",11751,11669,82
2021,"Bromley 009","E02000135",9871,9715,156
2021,"Bromley 010","E02000136",5745,5595,150
2021,"Bromley 011","E02000137",8400,8272,128
2021,"Bromley 012","E02000138",8502,8495,7
2021,"Bromley 013","E02000139",7714,7636,78
2021,"Bromley 014","E02000140",8679,8661,18
2021,"Bromley 015","E02000141",7232,7204,28
2021,"Bromley 016","E02000142",8818,8682,136
2021,"Bromley 018","E02000144",10063,10027,36
2021,"Bromley 019","E02000145",8824,8820,4
2021,"Bromley 020","E02000146",9702,9539,163
2021,"Bromley 021","E02000147",8190,8190,0
2021,"Bromley 022","E02000148",6723,6721,2
2021,"Bromley 023","E02000149",8166,8166,0
2021,"Bromley 024","E02000150",8516,8419,97
2021,"Bromley 025","E02000151",7543,7543,0
2021,"Bromley 026","E02000152",7964,7954,10
2021,"Bromley 027","E02000153",8106,8106,0
2021,"Bromley 028","E02000154",8529,8526,3
2021,"Bromley 029","E02000155",7156,7156,0
2021,"Bromley 030","E02000156",12292,12236,56
2021,"Bromley 031","E02000157",8367,8367,0
2021,"Bromley 032","E02000158",7788,7788,0
2021,"Bromley 033","E02000159",7117,7117,0
2021,"Bromley 034","E02000160",8108,8031,77
2021,"Bromley 035","E02000161",8702,8652,50
2021,"Bromley 036","E02000162",7121,7045,76
2021,"Bromley 037","E02000163",7716,7716,0
2021,"Bromley 039","E02000165",7172,7172,0
2021,"Bromley 040","E02006782",8126,8082,44
2021,"Bromley 041","E02006787",7896,7895,1
2021,"Bromley 042","E02006789",6782,6769,13
2021,"Camden 001","E02000166",7745,7709,36
2021,"Camden 002","E02000167",7198,7188,10
2021,"Camden 003","E02000168",7813,7733,80
2021,"Camden 004","E02000169",7177,7165,12
2021,"Camden 005","E02000170",7916,7884,32
2021,"Camden 006","E02000171",7393,7360,33
2021,"Camden 007","E02000172",9997,9576,421
2021,"Camden 008","E02000173",7493,7439,54
2021,"Camden 009","E02000174",8086,8059,27
2021,"Camden 010","E02000175",9082,8917,165
2021,"Camden 011","E02000176",5914,5855,59
2021,"Camden 012","E02000177",8488,8399,89
2021,"Camden 013","E02000178",8903,8842,61
2021,"Camden 014","E02000179",5748,5717,31
2021,"Camden 015","E02000180",7879,7833,46
2021,"Camden 016","E02000181",8076,8066,10
2021,"Camden 017","E02000182",7120,7093,27
2021,"Camden 018","E02000183",7591,7568,23
2021,"Camden 019","E02000184",8908,8213,695
2021,"Camden 020","E02000185",8882,8880,2
2021,"Camden 021","E02000186",6223,6055,168
2021,"Camden 022","E02000187",9783,9238,545
2021,"Camden 023","E02000188",7180,6834,346
2021,"Camden 026","E02000191",5337,3791,1546
2021,"Camden 027","E02000192",6659,6563,96
2021,"Camden 028","E02000193",5961,5512,449
2021,"Camden 029","E02007115",11588,9217,2371
2021,"Croydon 001","E02000194",9211,9053,158
2021,"Croydon 002","E02000195",9649,9612,37
2021,"Croydon 003","E02000196",7914,7826,88
2021,"Croydon 004","E02000197",9025,9004,21
2021,"Croydon 005","E02000198",8888,8845,43
2021,"Croydon 006","E02000199",8414,8402,12
2021,"Croydon 007","E02000200",9049,8921,128
2021,"Croydon 008","E02000201",8692,8678,14
2021,"Croydon 009","E02000202",8929,8843,86
2021,"Croydon 010","E02000203",7965,7852,113
