"date","geography","geography code","Highest level of qualification: Total: All usual residents aged 16 years and over","Highest level of qualification: No qualifications","Highest level of qualification: Level 1 and entry level qualifications","Highest level of qualification: Level 2 qualifications","Highest level of qualification: Apprenticeship","Highest level of qualification: Level 3 qualifications","Highest level of qualification: Level 4 qualifications and above","Highest level of qualification: Other qualifications"
2021,"Hammersmith and Fulham 014","E02000385",5099,362,159,263,100,695,3388,132
2021,"Hammersmith and Fulham 015","E02000386",6445,1034,453,550,194,939,3056,219
2021,"Hammersmith and Fulham 016","E02000387",5216,680,347,391,132,809,2725,132
2021,"Hammersmith and Fulham 017","E02000388",7591,792,327,460,169,998,4626,219
2021,"Hammersmith and Fulham 018","E02000389",7314,660,277,451,152,1022,4558,194
2021,"Hammersmith and Fulham 019","E02000390",5290,608,243,363,104,713,3117,142
2021,"Hammersmith and Fulham 020","E02000391",6257,572,243,419,93,782,3996,152
2021,"Hammersmith and Fulham 021","E02000392",7692,757,332,507,161,980,4818,137
2021,"Hammersmith and Fulham 022","E02000393",4986,343,120,336,64,616,3403,104
2021,"Hammersmith and Fulham 023","E02000394",7722,811,370,547,140,970,4719,165
2021,"Hammersmith and Fulham 024","E02000395",4876,351,152,324,82,545,3322,100
2021,"Hammersmith and Fulham 025","E02000396",5477,610,287,463,114,735,3120,148
2021,"Haringey 001","E02000397",6541,1297,445,559,264,793,2931,252
2021,"Haringey 002","E02000398",5925,1691,582,658,261,734,1738,261
2021,"Haringey 004","E02000400",6356,1059,472,588,182,772,3085,198
2021,"Haringey 005","E02000401",5608,1616,459,598,187,765,1791,192
2021,"Haringey 006","E02000402",5192,1468,481,562,188,702,1636,155
2021,"Haringey 007","E02000403",6218,1316,470,486,267,659,2808,212
2021,"Haringey 008","E02000404",5901,1602,529,529,264,705,2057,215
2021,"Haringey 009","E02000405",4982,368,191,399,74,553,3302,95
2021,"Haringey 010","E02000406",5743,1349,461,571,221,766,2196,179
2021,"Haringey 011","E02000407",6172,1644,549,551,312,761,2112,243
2021,"Haringey 012","E02000408",6476,1673,625,665,233,858,2194,228
2021,"Haringey 013","E02000409",5012,1161,433,458,188,631,1959,182
2021,"Haringey 014","E02000410",5196,335,169,453,90,665,3394,90
2021,"Haringey 015","E02000411",9371,1794,733,801,335,1513,3925,270
2021,"Haringey 016","E02000412",6303,1385,494,528,242,823,2596,235
2021,"Haringey 017","E02000413",6040,645,239,516,122,630,3791,97
2021,"Haringey 018","E02000414",5844,1187,545,527,253,665,2454,213
2021,"Haringey 019","E02000415",6068,1217,434,472,201,689,2827,228
2021,"Haringey 020","E02000416",7085,957,410,586,139,802,3998,193
2021,"Haringey 021","E02000417",5441,445,197,375,85,542,3697,100
2021,"Haringey 022","E02000418",4446,369,162,311,64,457,3029,54
2021,"Haringey 023","E02000419",7403,1320,423,482,222,754,3937,265
2021,"Haringey 024","E02000420",6757,1437,528,546,266,782,2963,235
2021,"Haringey 025","E02000421",7076,1627,588,673,271,904,2716,297
2021,"Haringey 026","E02000422",6022,1411,522,548,245,675,2387,234
2021,"Haringey 027","E02000423",5951,1156,436,418,217,616,2905,203
2021,"Haringey 028","E02000424",5654,538,284,463,110,606,3557,96
2021,"Haringey 029","E02000425",5116,1651,444,632,193,514,1381,301
2021,"Haringey 030","E02000426",5323,462,194,418,100,522,3527,100
2021,"Haringey 031","E02000427",5779,794,345,402,178,617,3296,147
2021,"Haringey 032","E02000428",6847,1449,503,600,214,910,2885,286
2021,"Haringey 033","E02000429",5620,403,193,357,70,502,3999,96
2021,"Haringey 034","E02000430",5829,395,213,378,102,587,4057,97
2021,"Haringey 035","E02000431",5085,284,116,288,69,457,3800,71
2021,"Haringey 036","E02000432",5337,553,252,358,109,554,3408,103
2021,"Harrow 001","E02000433",7181,1207,525,736,229,787,3457,240
2021,"Harrow 002","E02000434",8107,1259,522,776,195,938,4153,264
2021,"Harrow 003","E02000435",6575,1254,574,751,220,784,2756,236
2021,"Harrow 004","E02000436",4821,554,309,502,111,607,2651,87
2021,"Harrow 005","E02000437",7064,1321,599,796,269,1008,2839,232
2021,"Harrow 006","E02000438",6698,1203,538,775,217,835,2907,223
2021,"Harrow 007","E02000439",7347,1607,724,794,264,919,2779,260
2021,"Harrow 008","E02000440",7696,1197,625,913,241,949,3559,212
2021,"Harrow 009","E02000441",5983,880,461,575,177,749,2981,160
2021,"Harrow 010","E02000442",7699,2080,746,842,274,876,2570,311
2021,"Harrow 011","E02000443",8385,1887,752,888,304,1146,3102,306
2021,"Harrow 012","E02000444",6907,1472,630,715,201,866,2782,241
2021,"Harrow 013","E02000445",9150,1993,871,993,346,1236,3368,343
2021,"Harrow 015","E02000447",6478,822,461,617,194,837,3381,166
2021,"Harrow 016","E02000448",5645,524,336,523,159,629,3348,126
2021,"Harrow 017","E02000449",6809,1825,673,678,236,800,2306,291
2021,"Harrow 019","E02000451",5477,591,388,555,166,678,2964,135
2021,"Harrow 020","E02000452",7530,1280,560,711,242,928,3523,286
2021,"Harrow 021","E02000453",6694,979,470,593,202,829,3400,221
2021,"Harrow 022","E02000454",5730,550,344,555,168,722,3282,109
2021,"Harrow 023","E02000455",9517,1260,582,725,248,936,5455,311
2021,"Harrow 024","E02000456",6399,919,545,646,174,906,3026,183
2021,"Harrow 025","E02000457",5778,788,400,624,176,714,2925,151
2021,"Harrow 027","E02000459",7344,1318,635,724,235,1008,3154,270
2021,"Harrow 028","E02000460",5676,1017,534,614,166,775,2421,149
2021,"Harrow 029","E02000461",5815,764,342,756,194,668,2937,154
2021,"Harrow 030","E02000462",5647,1133,508,585,202,797,2176,246
2021,"Harrow 031","E02000463",6937,1296,735,888,263,1107,2414,234
2021,"Havering 001","E02000464",6065,1576,709,832,291,896,1584,177
2021,"Havering 002","E02000465",7117,1617,831,1088,316,1037,2022,206
2021,"Havering 003","E02000466",7131,1721,840,1070,371,1131,1778,220
2021,"Havering 004","E02000467",8360,1960,1088,1304,367,1192,2175,274
2021,"Havering 005","E02000468",6808,1510,879,987,390,1153,1650,239
2021,"Havering 006","E02000469",5586,1441,661,760,242,779,1528,175
2021,"Havering 007","E02000470",8048,1364,783,1122,425,1358,2788,208
2021,"Havering 008","E02000471",6487,1277,727,1018,387,1078,1783,217
2021,"Havering 009","E02000472",7570,1484,922,1159,431,1224,2133,217
2021,"Havering 010","E02000473",8380,1420,909,1284,422,1502,2615,228
2021,"Havering 011","E02000474",7201,1510,803,1067,360,1158,2102,201
2021,"Havering 012","E02000475",7903,1314,815,1146,380,1272,2756,220
2021,"Havering 013","E02000476",7554,1457,680,900,318,1065,2898,236
2021,"Havering 014","E02000477",7887,1224,884,1269,420,1396,2479,215
2021,"Havering 015","E02000478",5090,984,462,674,243,754,1810,163
2021,"Havering 016","E02000479",7503,1360,802,1048,339,1178,2584,192
2021,"Havering 017","E02000480",10616,2036,1041,1384,460,1554,3778,363
2021,"Havering 018","E02000481",6657,1238,754,1127,364,1218,1765,191
2021,"Havering 019","E02000482",5408,736,577,900,230,1009,1802,154
2021,"Havering 020","E02000483",6641,1375,733,1002,397,1139,1814,181
2021,"Havering 021","E02000484",7004,1295,816,1116,421,1247,1900,209
2021,"Havering 022","E02000485",6885,1206,735,1075,344,1228,2104,193
2021,"Havering 023","E02000486",6168,1246,728,905,350,1087,1642,210
2021,"Havering 024","E02000487",6598,957,687,1144,337,1238,2040,195
2021,"Havering 025","E02000488",6345,1217,731,997,421,1130,1655,194
2021,"Havering 026","E02000489",6867,1451,803,997,378,1058,1979,201
2021,"Havering 027","E02000490",6777,1623,770,1037,397,1069,1687,194
2021,"Havering 028","E02000491",8249,1824,975,1212,377,1271,2329,261
2021,"Havering 029","E02000492",5630,1336,661,843,354,929,1316,191
2021,"Havering 030","E02000493",5183,1189,647,758,246,771,1422,150
2021,"Hillingdon 001","E02000494",6591,731,384,664,187,693,3763,169
2021,"Hillingdon 002","E02000495",8385,1226,625,899,296,1040,4066,233
2021,"Hillingdon 003","E02000496",6384,1211,708,889,389,994,2021,172
2021,"Hillingdon 004","E02000497",7606,1077,612,900,339,1126,3352,200
2021,"Hillingdon 005","E02000498",5178,808,474,717,279,745,2036,119
2021,"Hillingdon 006","E02000499",6368,766,513,775,272,962,2890,190
2021,"Hillingdon 007","E02000500",6918,848,523,801,317,977,3225,227
2021,"Hillingdon 008","E02000501",6809,901,633,840,309,1039,2922,165
2021,"Hillingdon 009","E02000502",7029,910,614,909,341,1042,3006,207
2021,"Hillingdon 010","E02000503",6954,923,651,907,364,1183,2754,172
2021,"Hillingdon 011","E02000504",6152,688,482,765,325,926,2818,148
2021,"Hillingdon 013","E02000506",6580,897,498,732,288,902,3086,177
2021,"Hillingdon 014","E02000507",6403,1037,671,858,302,1013,2317,205
2021,"Hillingdon 015","E02000508",9805,1137,620,925,293,2148,4369,313
2021,"Hillingdon 016","E02000509",8851,1177,649,867,264,2288,3318,288
2021,"Hillingdon 017","E02000510",7315,1237,701,955,364,1126,2683,249
2021,"Hillingdon 018","E02000511",7801,1635,936,1004,342,1135,2400,349
2021,"Hillingdon 019","E02000512",6815,1561,752,796,321,1030,2122,233
2021,"Hillingdon 020","E02000513",7179,1728,866,861,323,1014,2099,288
2021,"Hillingdon 021","E02000514",8233,2007,991,913,365,1044,2498,415
2021,"Hillingdon 022","E02000515",10426,1947,1046,1137,458,1624,3876,338
2021,"Hillingdon 023","E02000516",6707,1455,797,804,243,966,2142,300
2021,"Hillingdon 024","E02000517",7945,1905,977,918,334,1068,2459,284
2021,"Hillingdon 025","E02000518",7373,1784,840,991,319,1060,2120,259
2021,"Hillingdon 026","E02000519",7321,1880,834,858,264,1007,2120,358
2021,"Hillingdon 027","E02000520",10791,2536,1230,1236,386,1303,3504,596
2021,"Hillingdon 028","E02000521",10055,2078,1021,1150,365,1305,3713,423
2021,"Hillingdon 029","E02000522",7395,1491,776,940,328,1015,2586,259
2021,"Hillingdon 030","E02000523",9033,1999,1014,949,298,1134,3152,487
2021,"Hillingdon 031","E02000524",6062,1341,697,767,303,742,1941,271
2021,"Hillingdon 032","E02000525",7703,1785,1022,859,353,933,2302,449
2021,"Hounslow 001","E02000526",7176,591,277,557,127,810,4647,167
2021,"Hounslow 004","E02000529",7554,1752,780,797,223,992,2661,349
2021,"Hounslow 005","E02000530",6036,1619,729,727,180,806,1671,304
2021,"Hounslow 006","E02000531",9419,1330,703,855,294,1239,4699,299
2021,"Hounslow 007","E02000532",7287,792,383,596,153,853,4333,177
2021,"Hounslow 008","E02000533",6767,586,345,609,135,791,4168,133
2021,"Hounslow 009","E02000534",6939,916,445,621,254,872,3605,226
2021,"Hounslow 010","E02000535",8113,1813,806,904,230,959,2938,463
2021,"Hounslow 011","E02000536",8700,1829,905,886,317,1042,3295,426
2021,"Hounslow 012","E02000537",8138,1350,643,702,289,827,3965,362
2021,"Hounslow 013","E02000538",8164,1955,1046,909,267,928,2491,568
2021,"Hounslow 014","E02000539",9614,1456,757,966,322,1281,4564,268
2021,"Hounslow 015","E02000540",9508,1654,852,885,324,1072,4260,461
2021,"Hounslow 016","E02000541",8452,1945,1061,833,323,923,2805,562
2021,"Hounslow 017","E02000542",9577,1996,1055,880,360,1054,3613,619
2021,"Hounslow 018","E02000543",10898,1914,1046,1046,434,1128,4729,601
2021,"Hounslow 019","E02000544",7011,1252,602,718,282,956,2916,285
2021,"Hounslow 020","E02000545",7147,1194,638,740,255,971,3125,224
2021,"Hounslow 021","E02000546",8184,1710,882,860,315,1034,2938,445
2021,"Hounslow 022","E02000547",8643,2138,1050,991,385,1037,2648,394
2021,"Hounslow 023","E02000548",8123,1902,1022,987,350,1097,2358,407
2021,"Hounslow 024","E02000549",10110,2324,1218,1189,419,1254,3292,414
2021,"Hounslow 025","E02000550",8228,1781,943,980,325,1005,2901,293
2021,"Hounslow 026","E02000551",7427,1820,884,932,367,1031,2103,290
2021,"Hounslow 027","E02000552",7189,1334,801,948,362,1060,2414,270
2021,"Hounslow 028","E02000553",5514,1159,636,711,282,794,1775,157
2021,"Islington 001","E02000554",7636,1298,525,680,209,998,3726,200
2021,"Islington 002","E02000555",7968,1167,455,605,188,962,4425,166
2021,"Islington 003","E02000556",9787,1222,515,626,199,1259,5755,211
2021,"Islington 004","E02000557",7458,1068,430,554,174,868,4167,197
2021,"Islington 005","E02000558",7614,1576,652,662,229,987,3274,234
2021,"Islington 006","E02000559",7936,793,360,495,140,789,5203,156
2021,"Islington 007","E02000560",6406,744,340,401,142,831,3800,148
2021,"Islington 008","E02000561",6287,592,266,439,111,611,4175,93
2021,"Islington 009","E02000562",6640,864,354,461,155,728,3925,153
2021,"Islington 010","E02000563",7237,1307,513,620,248,891,3474,184
2021,"Islington 011","E02000564",10816,1161,553,600,212,1255,6816,219
2021,"Islington 012","E02000565",7119,1077,427,616,138,824,3895,142
2021,"Islington 013","E02000566",7239,769,277,409,122,704,4850,108
2021,"Islington 014","E02000567",8952,1191,497,622,214,956,5267,205
2021,"Islington 015","E02000568",9584,1745,677,742,307,1428,4378,307
2021,"Islington 016","E02000569",8234,1244,487,619,166,917,4629,172
2021,"Islington 017","E02000570",7153,646,264,415,121,712,4853,142
2021,"Islington 018","E02000571",7503,1166,463,604,192,815,4075,188
2021,"Islington 019","E02000572",7148,1402,572,661,199,992,3062,260
2021,"Islington 020","E02000573",9029,881,339,525,156,994,5949,185
2021,"Islington 021","E02000574",7023,832,295,493,163,1037,3992,211
2021,"Islington 022","E02000575",9879,1186,442,588,219,1520,5666,258
2021,"Islington 023","E02000576",8978,1327,568,709,209,1259,4618,288
2021,"Kensington and Chelsea 001","E02000577",6575,1336,542,621,225,936,2702,213
2021,"Kensington and Chelsea 002","E02000578",4911,1132,443,580,142,702,1732,180
2021,"Kensington and Chelsea 003","E02000579",7484,1067,397,706,191,1018,3895,210
2021,"Kensington and Chelsea 004","E02000580",6948,1046,480,632,191,917,3483,199
2021,"Kensington and Chelsea 005","E02000581",6147,1347,464,675,190,889,2415,167
2021,"Kensington and Chelsea 006","E02000582",5727,406,180,307,114,628,3941,151
2021,"Kensington and Chelsea 007","E02000583",5526,447,209,356,58,635,3721,100
2021,"Kensington and Chelsea 008","E02000584",6000,362,168,375,66,595,4278,156
2021,"Kensington and Chelsea 009","E02000585",6710,610,281,482,106,740,4284,207
2021,"Kensington and Chelsea 010","E02000586",5572,411,116,293,47,725,3765,215
2021,"Kensington and Chelsea 011","E02000587",5559,332,173,308,52,596,3920,178
2021,"Kensington and Chelsea 012","E02000588",5202,462,167,280,53,607,3461,172
2021,"Kensington and Chelsea 013","E02000589",6440,612,172,290,101,909,4174,182
2021,"Kensington and Chelsea 014","E02000590",5227,640,265,358,113,678,2968,205
2021,"Kensington and Chelsea 015","E02000591",5447,644,236,326,115,652,3268,206
2021,"Kensington and Chelsea 016","E02000592",4939,284,121,221,63,534,3572,144
2021,"Kensington and Chelsea 017","E02000593",6462,513,196,357,100,913,4126,257
2021,"Kensington and Chelsea 018","E02000594",5766,560,188,376,148,601,3696,197
2021,"Kensington and Chelsea 019","E02000595",5289,503,161,381,93,626,3363,162
2021,"Kensington and Chelsea 020","E02000596",5800,438,177,349,83,839,3750,164
2021,"Kensington and Chelsea 021","E02000597",5356,819,306,529,127,698,2715,162
2021,"Kingston upon Thames 001","E02000598",6193,531,326,586,180,776,3641,153
2021,"Kingston upon Thames 002","E02000599",5785,578,268,514,130,695,3446,154
2021,"Kingston upon Thames 003","E02000600",6547,606,325,552,166,740,3997,161
2021,"Kingston upon Thames 004","E02000601",9216,753,412,748,181,1024,5911,187
2021,"Kingston upon Thames 005","E02000602",8266,1101,507,702,222,1428,4035,271
2021,"Kingston upon Thames 006","E02000603",6857,1125,545,690,201,1103,2999,194
2021,"Kingston upon Thames 007","E02000604",7284,837,432,675,217,850,4052,221
2021,"Kingston upon Thames 008","E02000605",6748,868,414,648,207,843,3601,167
2021,"Kingston upon Thames 009","E02000606",9127,612,378,627,172,1500,5627,211
2021,"Kingston upon Thames 010","E02000607",5572,424,268,496,128,1084,3074,98
2021,"Kingston upon Thames 011","E02000608",6243,499,283,452,164,940,3758,147
2021,"Kingston upon Thames 012","E02000609",6213,912,472,675,214,887,2841,212
2021,"Kingston upon Thames 013","E02000610",6721,752,349,542,169,892,3861,156
2021,"Kingston upon Thames 014","E02000611",5948,621,395,657,246,914,2988,127
2021,"Kingston upon Thames 015","E02000612",6763,899,492,753,279,976,3163,201
2021,"Kingston upon Thames 016","E02000613",6334,744,386,660,194,798,3406,146
2021,"Kingston upon Thames 017","E02000614",7391,1202,633,850,301,1159,2991,255
2021,"Kingston upon Thames 018","E02000615",6291,1009,630,863,317,1037,2226,209
2021,"Kingston upon Thames 019","E02000616",4876,711,482,719,249,912,1651,152
2021,"Kingston upon Thames 020","E02000617",7094,1345,750,909,388,1205,2316,181
2021,"Lambeth 002","E02000619",7558,1236,556,672,211,852,3825,206
2021,"Lambeth 003","E02000620",8519,1077,482,679,177,1031,4870,203
2021,"Lambeth 004","E02000621",11288,1208,516,636,267,1378,6980,303
2021,"Lambeth 005","E02000622",7355,909,413,488,163,838,4384,160
2021,"Lambeth 006","E02000623",6650,1243,483,657,190,801,3050,226
2021,"Lambeth 007","E02000624",8263,1112,488,624,226,892,4737,184
2021,"Lambeth 008","E02000625",7698,1287,566,628,197,1011,3779,230
2021,"Lambeth 009","E02000626",6790,1295,598,719,249,833,2922,174
2021,"Lambeth 010","E02000627",8254,1046,504,607,189,1045,4651,212
2021,"Lambeth 011","E02000628",9238,1627,790,831,238,1311,4200,241
2021,"Lambeth 012","E02000629",8094,784,374,445,158,871,5341,121
2021,"Lambeth 013","E02000630",6610,574,263,377,133,728,4421,114
2021,"Lambeth 014","E02000631",7955,880,434,601,170,870,4843,157
2021,"Lambeth 015","E02000632",8900,709,313,401,151,843,6351,132
2021,"Lambeth 016","E02000633",7847,1053,489,662,191,874,4396,182
2021,"Lambeth 017","E02000634",5893,765,342,441,93,658,3462,132
2021,"Lambeth 018","E02000635",8476,802,449,603,178,958,5341,145
2021,"Lambeth 019","E02000636",6509,426,201,338,70,570,4816,88
2021,"Lambeth 020","E02000637",7405,702,280,436,129,686,5038,134
2021,"Lambeth 021","E02000638",8756,1244,651,827,273,1006,4555,200
2021,"Lambeth 022","E02000639",7156,1143,559,707,224,941,3394,188
2021,"Lambeth 023","E02000640",7713,646,333,442,153,750,5292,97
2021,"Lambeth 024","E02000641",6829,1216,632,731,218,964,2870,198
2021,"Lambeth 025","E02000642",8014,1027,437,668,238,911,4584,149
2021,"Lambeth 026","E02000643",7883,918,430,585,204,927,4659,160
2021,"Lambeth 027","E02000644",6915,777,391,578,235,751,4002,181
2021,"Lambeth 028","E02000645",7703,934,503,625,238,835,4415,153
2021,"Lambeth 029","E02000646",7964,1009,448,603,197,887,4641,179
2021,"Lambeth 030","E02000647",6931,887,371,616,208,908,3754,187
2021,"Lambeth 031","E02000648",6072,1084,546,658,207,940,2514,123
2021,"Lambeth 032","E02000649",10419,1511,623,800,365,1105,5688,327
2021,"Lambeth 033","E02000650",6164,906,418,586,181,769,3148,156
2021,"Lambeth 034","E02000651",7206,1142,463,568,252,960,3618,203
2021,"Lambeth 035","E02000652",6165,1087,547,661,269,885,2526,190
2021,"Lewisham 001","E02000653",10608,1484,664,948,269,1302,5667,274
2021,"Lewisham 002","E02000654",7019,1151,604,717,211,963,3162,211
2021,"Lewisham 003","E02000655",8398,1263,642,811,275,1212,3953,242
2021,"Lewisham 005","E02000657",8353,1046,476,687,205,1416,4332,191
2021,"Lewisham 006","E02000658",7293,882,486,597,209,910,4036,173
2021,"Lewisham 007","E02000659",6671,752,371,542,158,741,4012,95
2021,"Lewisham 008","E02000660",6893,712,330,466,134,796,4320,135
2021,"Lewisham 009","E02000661",5410,557,287,436,125,658,3229,118
2021,"Lewisham 010","E02000662",6598,858,445,572,174,834,3543,172
2021,"Lewisham 011","E02000663",5651,603,307,430,128,727,3341,115
2021,"Lewisham 013","E02000665",6570,812,435,576,180,794,3617,156
2021,"Lewisham 014","E02000666",5764,673,354,482,154,751,3229,121
2021,"Lewisham 015","E02000667",5336,602,326,468,130,612,3094,104
2021,"Lewisham 016","E02000668",5289,599,328,531,136,650,2919,126
2021,"Lewisham 017","E02000669",6442,866,408,575,165,820,3445,163
2021,"Lewisham 018","E02000670",5388,884,500,506,192,703,2421,182
2021,"Lewisham 019","E02000671",6989,803,410,612,193,772,4061,138
2021,"Lewisham 020","E02000672",8221,1268,627,750,285,996,4033,262
2021,"Lewisham 021","E02000673",6630,563,316,527,151,721,4242,110
2021,"Lewisham 022","E02000674",6791,1123,491,722,216,901,3160,178
2021,"Lewisham 023","E02000675",6831,1078,546,752,262,977,3043,173
2021,"Lewisham 024","E02000676",6247,704,380,555,154,760,3591,103
2021,"Lewisham 025","E02000677",5865,959,439,639,194,816,2627,191
2021,"Lewisham 026","E02000678",5332,1039,559,640,203,820,1892,179
2021,"Lewisham 027","E02000679",6406,902,480,605,212,812,3252,143
2021,"Lewisham 028","E02000680",5509,719,356,523,162,722,2886,141
2021,"Lewisham 029","E02000681",6673,1325,631,822,224,926,2546,199
2021,"Lewisham 030","E02000682",6834,1421,688,907,257,1063,2285,213
2021,"Lewisham 031","E02000683",5412,1135,529,660,205,774,1933,176
2021,"Lewisham 033","E02000685",6458,969,506,690,199,823,3117,154
2021,"Lewisham 034","E02000686",5743,1117,666,735,212,821,2022,170
2021,"Lewisham 035","E02000687",6619,955,559,653,181,799,3329,143
2021,"Merton 001","E02000689",7023,511,262,523,125,781,4672,149
2021,"Merton 002","E02000690",4578,357,179,370,75,439,3041,117
2021,"Merton 003","E02000691",6020,457,229,443,122,644,3975,150
2021,"Merton 004","E02000692",6465,443,183,383,72,561,4699,124
2021,"Merton 005","E02000693",8447,907,444,626,217,1004,5010,239
2021,"Merton 006","E02000694",7343,720,302,503,148,719,4786,165
2021,"Merton 007","E02000695",7129,1240,592,612,313,900,3186,286
2021,"Merton 008","E02000696",7070,1123,575,660,269,960,3253,230
2021,"Merton 009","E02000697",7166,479,249,458,135,700,4978,167
2021,"Merton 010","E02000698",6466,498,263,546,94,686,4255,124
2021,"Merton 011","E02000699",6443,479,265,437,155,678,4271,158
2021,"Merton 012","E02000700",6865,1325,668,715,260,956,2736,205
2021,"Merton 013","E02000701",7217,1493,669,813,304,1017,2622,299
2021,"Merton 014","E02000702",7129,1356,744,837,284,1071,2609,228
2021,"Merton 015","E02000703",6380,636,332,548,181,722,3783,178
2021,"Merton 016","E02000704",7027,883,416,622,215,841,3817,233
2021,"Merton 017","E02000705",7521,1354,666,828,328,1067,2990,288
2021,"Merton 018","E02000706",7652,1645,783,904,355,993,2682,290
2021,"Merton 019","E02000707",6491,1400,676,823,280,973,2112,227
2021,"Merton 020","E02000708",7073,878,463,733,231,951,3606,211
2021,"Merton 021","E02000709",6404,871,519,650,287,945,2914,218
2021,"Merton 022","E02000710",7381,1505,736,848,321,1012,2681,278
2021,"Merton 023","E02000711",7528,1421,682,763,318,972,3070,302
2021,"Merton 024","E02000712",7648,1485,806,990,357,1137,2590,283
2021,"Merton 025","E02000713",6300,1145,665,875,306,1058,2074,177
2021,"Newham 001","E02000714",6070,1115,615,584,253,757,2544,202
2021,"Newham 002","E02000715",5319,1344,591,628,153,778,1574,251
2021,"Newham 003","E02000716",5591,1306,563,614,155,759,1984,210
2021,"Newham 004","E02000717",6210,1633,644,655,205,813,1954,306
2021,"Newham 005","E02000718",5412,1201,590,724,144,821,1722,210
2021,"Newham 006","E02000719",6570,1274,566,694,221,863,2747,205
2021,"Newham 007","E02000720",5846,1261,541,674,145,739,2280,206
2021,"Newham 008","E02000721",7281,1895,716,876,179,958,2365,292
2021,"Newham 009","E02000722",6750,1283,641,629,229,792,2897,279
2021,"Newham 010","E02000723",8771,2248,881,901,224,1062,3094,361
2021,"Newham 011","E02000724",7504,1941,794,751,265,1019,2406,328
2021,"Newham 012","E02000725",8299,1378,650,781,239,1063,3890,298
2021,"Newham 014","E02000727",6491,1612,703,676,187,795,2193,325
2021,"Newham 015","E02000728",6661,1467,861,688,217,824,2293,311
2021,"Newham 016","E02000729",5758,1302,581,652,220,745,2015,243
2021,"Newham 017","E02000730",7725,1955,812,777,198,872,2746,365
2021,"Newham 018","E02000731",7641,1881,824,764,242,980,2613,337
2021,"Newham 019","E02000732",6818,1610,674,810,225,907,2299,293
2021,"Newham 020","E02000733",8195,1773,699,887,302,1086,3132,316
2021,"Newham 021","E02000734",5892,1248,633,615,193,797,2176,230
2021,"Newham 022","E02000735",6668,1578,668,706,226,784,2447,259
2021,"Newham 023","E02000736",6796,1607,744,804,223,1004,2151,263
2021,"Newham 024","E02000737",7833,1751,838,930,264,1077,2691,282
2021,"Newham 025","E02000738",7227,1626,711,767,239,903,2689,292
2021,"Newham 026","E02000739",6097,1434,584,648,234,842,2148,207
2021,"Newham 027","E02000740",5480,1098,503,606,218,730,2105,220
2021,"Newham 028","E02000741",6295,1482,644,659,255,782,2238,235
2021,"Newham 029","E02000742",6455,1556,608,743,219,890,2187,252
2021,"Newham 030","E02000743",8226,1754,777,846,272,1064,3214,299
2021,"Newham 031","E02000744",7076,1673,644,727,298,921,2545,268
2021,"Newham 032","E02000745",6805,1428,558,788,281,897,2581,272
2021,"Newham 033","E02000746",7632,1301,574,747,198,1214,3324,274
2021,"Newham 034","E02000747",10979,1725,675,874,275,1186,5904,340
2021,"Newham 035","E02000748",4958,999,436,539,236,693,1859,196
2021,"Newham 036","E02000749",7535,1889,668,853,281,914,2617,313
2021,"Redbridge 001","E02000751",9140,1176,644,1119,319,1193,4453,236
2021,"Redbridge 002","E02000752",6782,1369,692,830,294,948,2410,239
2021,"Redbridge 003","E02000753",5381,1120,549,661,190,750,1926,185
2021,"Redbridge 004","E02000754",5459,849,464,593,217,811,2375,150
2021,"Redbridge 005","E02000755",4413,766,455,582,198,656,1607,149
2021,"Redbridge 006","E02000756",11507,1955,1098,1415,460,1625,4516,438
2021,"Redbridge 007","E02000757",10015,1158,609,1026,298,1337,5363,224
2021,"Redbridge 008","E02000758",5454,1059,486,652,167,772,2120,198
2021,"Redbridge 009","E02000759",10251,1505,742,1102,336,1470,4767,329
2021,"Redbridge 010","E02000760",5916,1100,559,789,230,747,2244,247
2021,"Redbridge 012","E02000762",5405,857,441,634,146,721,2430,176
2021,"Redbridge 013","E02000763",6335,1083,609,714,186,897,2639,207
2021,"Redbridge 014","E02000764",10251,1160,624,918,286,1177,5811,275
2021,"Redbridge 015","E02000765",5844,964,466,624,140,785,2675,190
2021,"Redbridge 017","E02000767",6672,1148,580,701,194,835,3007,207
2021,"Redbridge 018","E02000768",4619,477,272,454,123,566,2612,115
2021,"Redbridge 020","E02000770",6411,1128,599,718,186,893,2627,260
2021,"Redbridge 022","E02000772",6403,1225,578,725,180,876,2508,311
2021,"Redbridge 023","E02000773",8198,1367,652,914,184,1256,3513,312
2021,"Redbridge 024","E02000774",6156,1282,572,707,198,857,2249,291
2021,"Redbridge 026","E02000776",5366,947,451,650,133,681,2302,202
2021,"Redbridge 027","E02000777",4773,565,310,477,195,621,2484,121
2021,"Redbridge 029","E02000779",6413,1329,609,611,180,768,2589,327
2021,"Redbridge 031","E02000781",12337,2348,1275,1472,385,1897,4458,502
2021,"Redbridge 032","E02000782",8470,1726,734,944,242,1062,3377,385
2021,"Redbridge 033","E02000783",5444,1239,498,687,158,770,1841,251
2021,"Richmond upon Thames 001","E02000784",8210,659,319,726,162,931,5233,180
2021,"Richmond upon Thames 002","E02000785",7989,451,240,572,109,739,5755,123
2021,"Richmond upon Thames 003","E02000786",8925,687,385,735,179,961,5815,163
2021,"Richmond upon Thames 004","E02000787",9592,847,432,732,224,1019,6126,212
2021,"Richmond upon Thames 005","E02000788",6967,438,285,595,102,753,4670,124
