"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
2021,"Enfield 008","E02000284",8740,6491,18,75,142,116,188,357,603,175,226,283,66
2021,"Enfield 009","E02000285",6641,5181,13,95,175,139,144,262,300,75,121,97,39
2021,"Enfield 010","E02000286",8685,6365,15,105,162,163,170,321,625,195,204,283,77
2021,"Enfield 011","E02000287",7355,4956,20,172,317,310,214,284,430,145,179,224,104
2021,"Enfield 012","E02000288",12786,6782,9,130,274,275,433,1063,2105,463,599,487,166
2021,"Enfield 013","E02000289",6772,5015,22,149,278,248,184,245,336,85,92,89,29
2021,"Enfield 014","E02000290",6683,3724,5,64,120,123,286,681,865,187,262,266,100
2021,"Enfield 015","E02000291",10164,6416,12,91,200,143,191,609,1080,336,416,479,191
2021,"Enfield 016","E02000292",9837,6395,19,144,273,221,276,590,890,286,347,274,122
2021,"Enfield 017","E02000293",6397,4801,25,119,228,202,119,249,297,82,124,97,54
2021,"Enfield 018","E02000294",9370,4985,10,181,324,285,417,812,1173,337,407,338,101
2021,"Enfield 019","E02000295",8690,5507,31,146,348,296,235,429,660,242,294,364,138
2021,"Enfield 020","E02000296",10342,5555,38,164,271,301,288,539,1124,428,681,754,199
2021,"Enfield 021","E02000297",9397,6457,18,220,433,344,287,354,500,196,279,253,56
2021,"Enfield 022","E02000298",8253,6106,38,185,336,315,167,223,344,117,166,175,81
2021,"Enfield 023","E02000299",9495,4599,2,155,340,240,359,797,1397,391,569,482,164
2021,"Enfield 024","E02000300",8856,4319,13,152,304,247,310,649,1172,349,675,524,142
2021,"Enfield 025","E02000301",10220,5215,5,130,285,243,396,928,1467,417,493,484,157
2021,"Enfield 026","E02000302",8669,5107,42,237,470,347,291,476,699,203,331,307,159
2021,"Enfield 027","E02000303",8371,4396,5,110,199,194,382,829,1058,270,367,426,135
2021,"Enfield 028","E02000304",8041,5312,26,186,405,369,222,295,509,146,239,262,70
2021,"Enfield 029","E02000305",8877,5256,31,167,280,252,193,339,776,370,522,536,155
2021,"Enfield 030","E02000306",9133,4614,6,90,197,162,406,1119,1319,331,356,377,156
2021,"Enfield 031","E02000307",10112,5076,21,230,456,450,355,655,1341,408,525,439,156
2021,"Enfield 032","E02000308",8756,4638,15,133,280,302,299,536,958,312,509,590,184
2021,"Enfield 033","E02000309",11794,5530,3,93,345,232,371,1055,1888,580,687,730,280
2021,"Enfield 035","E02000311",10545,4887,15,231,472,509,403,754,1210,362,692,682,328
2021,"Enfield 036","E02000312",11303,5704,12,242,404,438,280,524,1284,512,821,834,248
2021,"Enfield 037","E02006793",9647,4700,3,97,224,198,328,1199,1372,378,453,504,191
2021,"Greenwich 001","E02000313",6487,3949,3,12,56,66,175,442,1020,225,238,237,64
2021,"Greenwich 002","E02000314",14106,7743,2,24,71,162,390,951,2424,657,767,670,245
2021,"Greenwich 003","E02000315",9873,5958,1,25,62,104,221,643,1441,385,411,437,185
2021,"Greenwich 005","E02000317",7560,4392,5,19,53,119,211,536,1071,289,362,377,126
2021,"Greenwich 006","E02000318",11065,4983,6,35,186,221,295,593,1770,723,744,1173,336
2021,"Greenwich 007","E02000319",10619,5674,7,35,143,175,257,603,1632,499,640,707,247
2021,"Greenwich 008","E02000320",7038,4256,3,24,93,102,154,381,956,260,394,320,95
2021,"Greenwich 009","E02000321",7722,4426,6,35,101,71,164,476,1156,397,365,376,149
2021,"Greenwich 011","E02000323",12862,6532,3,32,167,161,274,883,2095,537,779,1025,374
2021,"Greenwich 012","E02000324",7867,5105,7,45,95,121,175,483,939,244,276,253,124
2021,"Greenwich 014","E02000326",7797,5200,8,29,116,121,172,376,711,288,378,304,94
2021,"Greenwich 015","E02000327",6627,4011,3,17,55,96,207,442,945,223,257,251,120
2021,"Greenwich 016","E02000328",6512,4607,9,44,90,128,104,242,530,175,255,261,67
2021,"Greenwich 017","E02000329",6333,4396,5,39,145,110,119,240,606,164,255,178,76
2021,"Greenwich 019","E02000331",8239,5272,10,37,113,119,175,426,955,271,351,381,129
2021,"Greenwich 020","E02000332",7451,5152,11,39,135,109,139,334,727,211,248,269,77
2021,"Greenwich 021","E02000333",6242,4509,14,26,73,98,121,240,479,187,213,215,67
2021,"Greenwich 022","E02000334",6641,4439,6,40,98,161,185,309,633,238,255,210,67
2021,"Greenwich 023","E02000335",6674,5299,4,41,83,63,87,175,478,133,163,110,38
2021,"Greenwich 025","E02000337",8471,6173,6,38,55,84,155,370,796,193,289,240,72
2021,"Greenwich 027","E02000339",6291,4951,8,43,63,111,101,173,383,123,158,134,43
2021,"Greenwich 028","E02000340",6867,5058,19,41,106,101,78,171,553,155,231,244,110
2021,"Greenwich 029","E02000341",7991,5880,9,26,96,99,169,343,757,172,205,170,65
2021,"Greenwich 030","E02000342",6346,4756,5,29,44,51,66,186,560,190,163,163,133
2021,"Greenwich 031","E02000343",7048,5267,7,52,92,95,137,290,576,154,173,152,53
2021,"Greenwich 032","E02000344",6430,5135,9,40,90,98,105,172,466,89,97,108,21
2021,"Greenwich 033","E02006786",7558,4815,2,34,111,87,170,389,976,265,347,284,78
2021,"Greenwich 034","E02006927",12365,7918,21,82,180,156,232,575,1385,439,565,570,242
2021,"Greenwich 035","E02006928",12092,6677,4,26,70,102,235,604,1337,513,798,1006,720
2021,"Greenwich 037","E02006930",9847,6059,4,53,96,91,130,406,1047,488,573,686,214
2021,"Greenwich 038","E02006931",9462,6187,23,58,99,100,185,418,860,345,474,498,215
2021,"Greenwich 039","E02006991",6317,3136,3,9,26,51,91,285,885,437,547,624,223
2021,"Greenwich 040","E02006992",8229,4610,5,24,46,69,146,317,1019,440,659,649,245
2021,"Greenwich 041","E02006993",8400,4316,0,17,54,71,121,389,1086,486,663,811,386
2021,"Greenwich 042","E02006994",7641,3737,2,16,45,83,167,497,1283,426,526,639,220
2021,"Hackney 001","E02000345",8199,5516,22,70,170,154,198,400,614,239,353,341,122
2021,"Hackney 002","E02000346",9402,4873,5,47,117,165,449,655,1134,425,633,601,298
2021,"Hackney 003","E02000347",8156,5502,16,67,136,125,210,386,615,188,433,321,157
2021,"Hackney 004","E02000348",8106,5374,5,70,146,136,307,568,706,202,241,249,102
2021,"Hackney 006","E02000350",10241,6635,8,89,237,203,283,481,812,331,435,553,174
2021,"Hackney 007","E02000351",9288,5494,8,67,150,163,349,593,868,361,472,577,186
2021,"Hackney 008","E02000352",6747,4588,24,74,122,100,216,380,521,213,223,217,69
2021,"Hackney 009","E02000353",7762,5105,8,90,191,147,233,403,492,206,350,433,104
2021,"Hackney 010","E02000354",9609,5774,6,76,184,192,405,781,918,302,388,465,118
2021,"Hackney 011","E02000355",8195,5331,5,112,229,207,238,461,593,243,303,364,109
2021,"Hackney 012","E02000356",7035,4772,9,62,146,119,209,325,490,207,283,331,82
2021,"Hackney 013","E02000357",6845,3914,6,85,185,133,322,782,768,198,178,200,74
2021,"Hackney 014","E02000358",11088,6482,6,109,234,220,383,776,999,460,593,615,211
2021,"Hackney 015","E02000359",6698,4348,6,65,212,137,213,474,490,163,201,288,101
2021,"Hackney 016","E02000360",11512,6623,5,82,181,252,561,1137,1261,406,441,432,131
2021,"Hackney 017","E02000361",8059,4617,4,56,106,103,264,563,792,370,432,585,167
2021,"Hackney 018","E02000362",6961,4577,4,41,119,82,261,488,598,188,252,259,92
2021,"Hackney 019","E02000363",11883,7146,6,79,189,211,528,1144,1308,315,347,442,168
2021,"Hackney 020","E02000364",9218,5856,9,95,173,160,309,594,765,287,339,451,180
2021,"Hackney 022","E02000366",8329,5651,7,68,126,134,324,533,606,190,258,299,133
2021,"Hackney 023","E02000367",10422,6220,3,62,113,132,311,650,917,403,595,737,279
2021,"Hackney 024","E02000368",9922,5746,5,70,180,202,521,908,970,279,412,431,198
2021,"Hackney 025","E02000369",13458,7312,2,78,184,200,508,1062,1414,523,784,1017,374
2021,"Hackney 026","E02000370",8861,4590,2,34,81,122,306,782,987,327,495,788,347
2021,"Hackney 028","E02006918",8398,5185,1,49,115,114,303,637,954,284,363,279,114
2021,"Hackney 029","E02006921",7923,5243,8,51,165,143,306,479,641,246,270,278,93
2021,"Hackney 030","E02007108",5943,3239,3,37,63,76,134,330,534,329,466,526,206
2021,"Hackney 031","E02007109",7615,4597,4,65,164,157,301,473,591,262,374,458,169
2021,"Hackney 032","E02007110",7334,3410,1,26,68,73,198,514,782,341,503,824,594
2021,"Hackney 033","E02007111",5946,2498,1,8,35,78,98,366,513,274,475,910,690
2021,"Hammersmith and Fulham 001","E02000372",9985,5110,12,64,202,169,298,670,1066,360,509,943,582
2021,"Hammersmith and Fulham 002","E02000373",7035,3753,7,49,126,139,317,881,937,172,238,302,114
2021,"Hammersmith and Fulham 003","E02000374",6915,3968,16,64,150,134,190,496,655,202,335,457,248
2021,"Hammersmith and Fulham 004","E02000375",7486,3876,9,50,153,137,251,586,815,292,414,642,261
2021,"Hammersmith and Fulham 005","E02000376",6702,3439,6,61,160,132,195,463,602,303,490,641,210
2021,"Hammersmith and Fulham 006","E02000377",7795,4530,14,92,167,139,203,488,726,276,442,512,206
2021,"Hammersmith and Fulham 007","E02000378",6432,3080,6,36,143,130,229,427,654,322,498,665,242
2021,"Hammersmith and Fulham 008","E02000379",7388,4453,24,72,127,146,191,500,797,228,346,350,154
2021,"Hammersmith and Fulham 009","E02000380",5507,3346,18,59,114,108,165,283,425,210,279,375,125
2021,"Hammersmith and Fulham 010","E02000381",7627,4062,18,64,143,138,229,495,816,305,530,597,230
2021,"Hammersmith and Fulham 011","E02000382",6188,3422,23,46,96,104,169,321,579,269,353,489,317
2021,"Hammersmith and Fulham 012","E02000383",8462,3717,23,58,169,243,315,616,924,439,653,880,425
2021,"Hammersmith and Fulham 013","E02000384",8265,4234,18,76,148,146,216,551,762,300,529,886,399
2021,"Hammersmith and Fulham 014","E02000385",5612,2892,7,40,75,77,106,296,567,247,403,623,279
2021,"Hammersmith and Fulham 015","E02000386",7589,4114,7,44,137,157,290,620,742,267,404,574,233
2021,"Hammersmith and Fulham 016","E02000387",6028,3188,6,47,142,117,132,395,685,220,323,464,309
2021,"Hammersmith and Fulham 017","E02000388",8656,4527,16,65,146,137,198,472,855,375,617,838,410
2021,"Hammersmith and Fulham 018","E02000389",8644,4842,24,90,177,119,164,475,751,362,547,781,312
2021,"Hammersmith and Fulham 019","E02000390",6195,3659,17,49,104,108,147,293,564,221,334,502,197
2021,"Hammersmith and Fulham 020","E02000391",7585,4359,18,41,105,138,211,454,728,301,385,572,273
2021,"Hammersmith and Fulham 021","E02000392",9228,5260,14,59,117,137,243,562,904,332,521,734,345
2021,"Hammersmith and Fulham 022","E02000393",5975,3499,9,64,78,88,115,294,506,238,355,523,206
2021,"Hammersmith and Fulham 023","E02000394",9281,5135,9,51,120,138,209,645,906,346,567,788,367
2021,"Hammersmith and Fulham 024","E02000395",5680,3364,23,62,89,95,157,279,456,219,318,418,200
2021,"Hammersmith and Fulham 025","E02000396",6898,3987,17,45,89,101,193,477,650,220,426,500,193
2021,"Haringey 001","E02000397",7908,3802,11,99,189,183,247,489,1066,414,571,676,161
2021,"Haringey 002","E02000398",7519,3360,6,102,245,132,315,738,1092,330,521,540,138
2021,"Haringey 004","E02000400",7989,4610,12,128,213,173,285,646,749,266,382,405,120
2021,"Haringey 005","E02000401",6863,3660,3,70,165,140,328,833,766,194,295,253,156
2021,"Haringey 006","E02000402",6473,3391,4,61,149,114,337,772,689,231,281,314,130
2021,"Haringey 007","E02000403",7512,3241,13,98,196,164,224,408,999,502,745,732,190
2021,"Haringey 008","E02000404",7105,3032,6,95,185,223,280,655,872,366,541,560,290
2021,"Haringey 009","E02000405",6479,4706,26,77,147,124,147,243,381,164,195,228,41
2021,"Haringey 010","E02000406",6738,3196,4,81,198,191,250,559,748,301,484,556,170
2021,"Haringey 011","E02000407",7605,3330,5,88,258,132,277,668,1015,455,629,529,219
2021,"Haringey 012","E02000408",8252,3814,12,101,227,160,356,760,1133,459,496,472,262
2021,"Haringey 013","E02000409",6060,2928,7,76,189,167,437,627,700,225,285,321,98
2021,"Haringey 014","E02000410",6416,4328,11,68,123,108,140,311,469,182,282,277,117
2021,"Haringey 015","E02000411",11428,5361,8,85,249,170,364,869,1699,504,853,779,487
2021,"Haringey 016","E02000412",7324,3098,4,104,212,156,296,620,1052,407,536,627,212
2021,"Haringey 017","E02000413",7763,5356,16,70,123,135,189,431,575,182,298,286,102
2021,"Haringey 018","E02000414",7080,3332,4,93,241,159,247,525,963,349,510,486,171
2021,"Haringey 019","E02000415",7242,3283,6,107,221,237,224,496,896,384,587,623,178
2021,"Haringey 020","E02000416",8453,5358,7,76,159,125,237,591,744,311,363,385,97
2021,"Haringey 021","E02000417",6553,4350,20,66,135,147,156,313,506,214,277,282,87
2021,"Haringey 022","E02000418",5430,4116,10,74,136,94,119,198,290,92,131,131,39
2021,"Haringey 023","E02000419",8738,4129,14,105,232,211,215,529,869,464,747,943,280
2021,"Haringey 024","E02000420",7986,3687,25,85,227,202,321,622,1095,392,579,559,192
2021,"Haringey 025","E02000421",8512,3769,7,73,223,120,324,822,1039,410,612,743,370
2021,"Haringey 026","E02000422",7457,3552,8,86,227,175,289,594,864,344,562,542,214
2021,"Haringey 027","E02000423",6908,3343,9,92,171,206,185,364,647,349,603,702,237
2021,"Haringey 028","E02000424",6754,4702,12,72,147,149,183,350,426,195,223,231,64
2021,"Haringey 029","E02000425",8170,5058,7,60,189,156,206,382,715,302,482,429,184
2021,"Haringey 030","E02000426",6494,4315,28,60,121,158,193,323,510,171,202,316,97
2021,"Haringey 031","E02000427",6625,3499,7,92,175,137,201,368,621,328,414,570,213
2021,"Haringey 032","E02000428",8434,4273,6,78,180,159,335,798,849,386,536,601,233
2021,"Haringey 033","E02000429",6796,4505,22,61,127,164,168,350,547,219,280,258,95
2021,"Haringey 034","E02000430",6921,4698,11,71,144,129,159,309,457,225,320,332,66
2021,"Haringey 035","E02000431",5848,3739,20,40,83,94,125,310,479,219,338,312,89
2021,"Haringey 036","E02000432",6117,4026,11,52,119,127,176,344,459,162,297,265,79
2021,"Haringey 037","E02006794",8286,4169,3,61,182,115,306,800,1159,363,454,474,200
2021,"Harrow 001","E02000433",8600,4957,45,84,232,459,272,467,821,296,394,386,187
2021,"Harrow 002","E02000434",9848,5142,33,75,356,579,362,597,1105,331,595,472,201
2021,"Harrow 003","E02000435",8191,4463,18,63,251,457,292,562,903,236,365,404,177
2021,"Harrow 004","E02000436",5757,3535,25,51,274,531,257,264,432,85,116,116,71
2021,"Harrow 005","E02000437",8759,4713,22,94,334,421,335,491,1118,305,400,382,144
2021,"Harrow 006","E02000438",8548,4988,17,72,268,390,307,526,879,246,442,308,105
2021,"Harrow 007","E02000439",9266,3788,8,65,297,580,367,580,1399,463,741,624,354
2021,"Harrow 008","E02000440",9608,5110,11,65,401,771,439,568,991,299,399,408,146
2021,"Harrow 009","E02000441",7481,4336,15,50,198,407,270,484,769,220,282,318,132
2021,"Harrow 010","E02000442",9583,3390,9,51,339,727,441,631,1564,522,855,714,340
2021,"Harrow 011","E02000443",10748,4923,17,92,303,399,326,690,1603,614,761,778,242
2021,"Harrow 012","E02000444",8715,3739,9,58,366,759,424,555,1174,323,584,479,245
2021,"Harrow 013","E02000445",11775,5194,11,84,418,530,381,729,1680,658,853,961,276
2021,"Harrow 015","E02000447",8191,4366,11,61,308,411,347,444,1019,319,386,379,140
2021,"Harrow 016","E02000448",7072,4545,22,81,216,298,204,254,601,165,253,312,121
2021,"Harrow 017","E02000449",8295,3353,14,56,369,713,419,583,1100,328,622,494,244
2021,"Harrow 019","E02000451",6710,3651,14,69,295,474,317,331,689,145,277,317,131
2021,"Harrow 020","E02000452",9505,3924,4,57,264,324,207,477,1452,509,907,1020,360
2021,"Harrow 021","E02000453",8388,4060,9,54,256,427,282,506,1067,341,541,606,239
2021,"Harrow 022","E02000454",7340,4652,17,44,202,398,270,367,708,153,210,218,101
2021,"Harrow 023","E02000455",11668,4348,14,66,274,344,287,573,1560,607,1110,1779,706
2021,"Harrow 024","E02000456",7820,4002,8,49,236,412,295,391,999,290,452,521,165
2021,"Harrow 025","E02000457",7061,3558,15,54,285,431,322,433,881,182,314,432,154
2021,"Harrow 027","E02000459",9329,4021,8,51,264,320,333,751,1594,397,649,741,200
2021,"Harrow 028","E02000460",7312,3539,4,30,180,288,306,672,1111,283,351,410,138
2021,"Harrow 029","E02000461",7290,3872,13,44,193,265,191,337,860,346,452,494,223
2021,"Harrow 030","E02000462",6982,2874,9,61,224,344,298,496,1210,351,429,491,195
2021,"Harrow 031","E02000463",8701,4454,10,53,270,364,377,800,1317,279,359,312,106
2021,"Harrow 032","E02006795",8267,3680,6,36,281,493,366,634,1331,314,427,500,199
2021,"Harrow 033","E02006882",14394,6437,14,140,777,1483,797,880,1594,519,809,619,325
2021,"Havering 001","E02000464",7757,6179,11,21,31,31,95,222,644,179,162,132,50
2021,"Havering 002","E02000465",9346,7180,5,24,52,55,69,261,953,251,236,198,62
2021,"Havering 003","E02000466",9071,7576,5,30,70,72,114,243,508,119,154,131,49
2021,"Havering 004","E02000467",11458,8789,7,12,52,43,122,406,1075,271,363,242,76
2021,"Havering 005","E02000468",8647,6947,12,40,89,75,104,218,612,140,235,133,42
2021,"Havering 006","E02000469",7282,5404,9,24,48,52,91,256,737,209,210,177,65
2021,"Havering 007","E02000470",9783,7994,8,43,71,89,88,200,612,189,235,186,68
2021,"Havering 008","E02000471",7824,6662,15,63,89,109,79,166,298,95,92,121,35
2021,"Havering 009","E02000472",9470,7667,8,61,96,97,115,213,536,188,207,194,88
2021,"Havering 010","E02000473",10489,8890,11,56,93,127,109,190,506,146,169,141,51
2021,"Havering 011","E02000474",9187,7149,7,45,88,68,130,250,723,157,265,226,79
2021,"Havering 012","E02000475",9615,7919,16,63,135,140,110,184,471,131,220,147,79
2021,"Havering 013","E02000476",9360,6127,11,31,92,82,99,289,885,336,594,587,227
2021,"Havering 014","E02000477",9533,8326,14,48,95,101,75,128,356,104,121,129,36
2021,"Havering 015","E02000478",5985,4721,7,56,259,216,175,178,197,49,57,46,24
2021,"Havering 016","E02000479",9448,6785,10,39,87,97,83,274,793,333,453,373,121
2021,"Havering 017","E02000480",13842,9172,7,61,144,137,226,525,1451,423,662,671,363
2021,"Havering 018","E02000481",8239,7512,9,26,32,43,46,108,227,57,84,80,15
2021,"Havering 019","E02000482",6586,6040,12,34,53,57,50,67,134,44,46,32,17
2021,"Havering 020","E02000483",8000,6870,16,40,54,59,62,121,338,118,157,122,43
2021,"Havering 021","E02000484",8492,7236,22,34,82,73,109,171,373,83,142,110,57
2021,"Havering 022","E02000485",8476,7269,7,46,63,75,64,151,340,107,177,136,41
2021,"Havering 023","E02000486",7357,6237,11,41,57,64,82,142,364,89,107,111,52
2021,"Havering 024","E02000487",7913,7460,13,36,56,57,31,60,105,22,28,31,14
2021,"Havering 025","E02000488",7578,6694,16,40,74,60,70,102,277,65,77,85,18
2021,"Havering 026","E02000489",8634,6858,11,40,85,81,150,216,578,160,194,190,71
2021,"Havering 027","E02000490",8469,6889,5,30,69,61,111,237,508,152,179,165,63
2021,"Havering 028","E02000491",10637,7868,7,36,103,106,162,403,989,259,317,277,110
2021,"Havering 029","E02000492",6831,5813,15,34,70,65,86,140,313,75,101,90,29
2021,"Havering 030","E02000493",6738,4938,0,37,86,59,96,225,620,161,229,222,65
2021,"Hillingdon 001","E02000494",7955,4834,20,72,333,597,318,354,611,192,195,314,115
2021,"Hillingdon 002","E02000495",10420,6264,17,82,272,387,281,451,1028,338,548,534,218
2021,"Hillingdon 003","E02000496",7800,6490,10,29,98,108,99,169,373,92,115,167,50
2021,"Hillingdon 004","E02000497",9523,6817,23,76,197,296,216,401,734,212,237,204,110
2021,"Hillingdon 005","E02000498",6378,5200,11,57,109,111,118,165,286,89,113,81,38
2021,"Hillingdon 006","E02000499",7731,5674,22,69,214,201,197,241,557,139,166,208,43
2021,"Hillingdon 007","E02000500",8278,6122,30,72,202,224,179,237,442,160,234,271,105
2021,"Hillingdon 008","E02000501",8476,6361,16,70,150,189,164,267,641,122,205,215,76
2021,"Hillingdon 009","E02000502",8930,6388,19,65,168,170,138,308,767,228,330,268,81
2021,"Hillingdon 010","E02000503",8687,6627,21,71,144,188,132,276,649,164,196,158,61
2021,"Hillingdon 011","E02000504",7643,6108,13,42,175,194,131,208,334,89,159,119,71
2021,"Hillingdon 013","E02000506",7962,5647,18,60,302,331,276,320,424,136,180,203,65
2021,"Hillingdon 014","E02000507",8246,5773,8,59,152,210,196,348,788,175,243,207,87
2021,"Hillingdon 015","E02000508",11951,6993,17,38,155,164,202,417,1339,409,603,919,695
2021,"Hillingdon 016","E02000509",10556,6190,7,33,118,129,138,375,1160,328,517,843,718
2021,"Hillingdon 017","E02000510",9115,6031,17,58,212,184,195,422,933,220,315,361,167
2021,"Hillingdon 018","E02000511",9934,5960,16,79,198,227,235,654,1346,302,403,372,142
2021,"Hillingdon 019","E02000512",8823,5431,8,38,152,150,213,558,1092,278,347,398,158
2021,"Hillingdon 020","E02000513",9759,5268,3,44,135,159,200,825,1598,435,466,475,151
2021,"Hillingdon 021","E02000514",10673,4793,4,76,380,420,330,768,1819,511,629,632,311
2021,"Hillingdon 022","E02000515",13293,8173,8,37,119,114,220,572,1561,454,690,972,373
2021,"Hillingdon 023","E02000516",8644,4349,5,49,255,340,295,587,1309,356,426,489,184
2021,"Hillingdon 024","E02000517",10470,5739,8,52,223,242,225,781,1620,350,475,576,179
2021,"Hillingdon 025","E02000518",9632,6420,10,26,140,147,174,444,1057,381,343,376,114
2021,"Hillingdon 026","E02000519",9555,5037,9,63,262,270,281,789,1479,294,440,423,208
2021,"Hillingdon 027","E02000520",14062,6534,5,54,247,385,361,969,2332,603,871,1211,490
2021,"Hillingdon 028","E02000521",13191,7373,6,32,182,240,264,721,1916,501,638,964,354
2021,"Hillingdon 029","E02000522",9575,5922,10,44,131,162,175,451,1119,341,423,618,179
2021,"Hillingdon 030","E02000523",11368,4789,6,53,363,409,310,685,1812,561,792,1160,428
2021,"Hillingdon 031","E02000524",7535,3993,4,15,139,155,154,313,988,373,554,599,248
2021,"Hillingdon 032","E02000525",10065,4470,7,37,237,278,214,645,1626,562,835,854,300
2021,"Hillingdon 033","E02006796",9696,6491,15,79,183,224,211,396,1014,259,383,333,108
2021,"Hounslow 001","E02000526",8640,5093,47,80,145,182,195,437,745,285,478,657,296
2021,"Hounslow 004","E02000529",9713,4176,7,41,415,478,383,755,1519,403,650,694,192
2021,"Hounslow 005","E02000530",8118,3925,4,22,202,281,249,733,1256,371,425,459,191
2021,"Hounslow 006","E02000531",11583,6969,11,88,199,211,263,618,1310,476,647,563,228
2021,"Hounslow 007","E02000532",8979,5620,42,87,189,221,213,457,797,260,408,475,210
2021,"Hounslow 008","E02000533",8402,5438,23,63,144,172,223,394,721,263,372,429,160
2021,"Hounslow 009","E02000534",8558,4494,12,74,380,356,273,438,1031,336,468,493,203
2021,"Hounslow 010","E02000535",10052,4159,7,65,591,660,346,626,1317,415,724,820,322
2021,"Hounslow 011","E02000536",10841,4564,3,51,524,628,335,708,1466,456,683,939,484
2021,"Hounslow 012","E02000537",9846,3508,12,78,581,520,281,431,1418,482,826,1039,670
2021,"Hounslow 013","E02000538",10109,3690,3,39,444,446,323,624,1444,579,960,1178,379
2021,"Hounslow 014","E02000539",12224,7390,11,42,201,195,272,680,1565,454,545,663,206
2021,"Hounslow 015","E02000540",12122,5331,9,68,240,345,286,621,1845,679,972,1291,435
2021,"Hounslow 016","E02000541",10618,3992,10,48,546,411,337,665,1368,554,955,1354,378
2021,"Hounslow 017","E02000542",12304,4445,6,49,374,469,337,659,1927,665,1287,1504,582
2021,"Hounslow 018","E02000543",14001,4811,5,54,343,368,295,588,2100,818,1547,2289,783
2021,"Hounslow 019","E02000544",8557,4520,8,60,308,418,308,430,1147,354,418,434,152
2021,"Hounslow 020","E02000545",9237,5604,12,56,122,176,264,664,1076,313,367,433,150
2021,"Hounslow 021","E02000546",10425,4253,5,46,415,518,377,651,1689,561,723,866,321
2021,"Hounslow 022","E02000547",11000,6037,8,24,189,190,207,583,1639,531,666,689,237
2021,"Hounslow 023","E02000548",10574,6265,14,20,109,133,207,610,1564,410,443,508,291
2021,"Hounslow 024","E02000549",12535,6813,15,62,199,228,274,742,1961,492,640,802,307
2021,"Hounslow 025","E02000550",10715,5867,5,27,74,113,190,657,1648,444,533,819,338
2021,"Hounslow 026","E02000551",9750,5935,1,27,88,121,204,717,1379,363,432,365,118
2021,"Hounslow 027","E02000552",9257,5606,6,31,97,118,140,433,1442,373,438,434,139
2021,"Hounslow 028","E02000553",7116,4737,5,21,84,92,135,403,862,267,217,218,75
2021,"Hounslow 029","E02006792",8999,4631,42,89,204,188,215,415,877,404,640,977,317
2021,"Hounslow 030","E02006972",5410,2921,4,30,63,99,132,383,622,250,304,369,233
2021,"Hounslow 031","E02006973",8489,4762,6,41,140,116,258,614,1090,292,400,533,237
2021,"Islington 001","E02000554",9355,5855,6,96,222,176,297,713,842,267,334,397,150
2021,"Islington 002","E02000555",9571,6126,10,118,233,180,288,576,747,244,386,440,223
2021,"Islington 003","E02000556",11395,7069,8,121,244,184,398,603,861,342,581,640,344
2021,"Islington 004","E02000557",8780,5296,17,106,181,176,261,615,722,272,429,503,202
2021,"Islington 005","E02000558",9434,5224,12,91,174,177,352,898,1043,277,400,553,233
2021,"Islington 006","E02000559",9582,5979,16,80,157,163,213,592,847,336,438,561,200
2021,"Islington 007","E02000560",7355,4180,12,82,109,126,154,385,662,276,463,632,274
2021,"Islington 008","E02000561",7388,4908,27,87,152,133,165,279,503,196,348,392,198
2021,"Islington 009","E02000562",7867,5083,16,70,117,130,246,485,606,226,324,427,137
2021,"Islington 010","E02000563",8681,5186,9,72,159,161,287,570,751,268,421,514,283
2021,"Islington 011","E02000564",12417,6919,9,89,135,195,280,599,1130,474,781,1148,658
2021,"Islington 012","E02000565",8542,5412,3,48,107,104,336,683,665,230,366,402,186
2021,"Islington 013","E02000566",8554,5480,24,74,124,131,199,386,604,253,485,575,219
2021,"Islington 014","E02000567",10439,6731,6,85,161,165,254,524,730,387,478,695,223
2021,"Islington 015","E02000568",11341,6709,11,89,144,163,313,724,991,310,555,784,548
2021,"Islington 016","E02000569",9936,6311,13,52,135,174,289,578,727,297,423,694,243
2021,"Islington 017","E02000570",8287,5353,18,51,125,138,185,303,467,273,417,712,245
2021,"Islington 018","E02000571",8922,5397,9,49,113,133,218,622,702,330,439,680,230
2021,"Islington 019","E02000572",8599,4902,7,78,140,201,334,768,704,232,355,587,291
2021,"Islington 020","E02000573",10313,6082,14,56,128,145,191,486,651,333,652,1058,517
2021,"Islington 021","E02000574",7833,4238,16,50,117,114,213,384,602,250,448,720,681
2021,"Islington 022","E02000575",11313,5928,16,54,86,125,239,704,920,432,704,1126,979
2021,"Islington 023","E02000576",10677,5845,6,37,84,130,305,732,999,377,569,941,652
2021,"Kensington and Chelsea 001","E02000577",7709,4065,13,84,205,331,451,918,613,179,242,355,253
