"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
2021,"Barnet 039","E02000062",6959,3242,11,48,135,204,256,589,1107,344,438,455,130
2021,"Barnet 040","E02000063",7586,3252,21,64,201,302,254,591,1234,456,497,545,169
2021,"Barnet 041","E02000064",6674,3466,17,52,99,149,210,552,818,284,376,490,161
2021,"Barnet 042","E02006953",9170,3382,2,17,104,104,153,567,1428,657,889,1126,741
2021,"Barnet 043","E02006954",10115,4192,11,72,173,281,331,829,1624,582,836,835,349
2021,"Bexley 001","E02000065",8062,4434,3,18,65,136,243,608,1335,329,362,378,151
2021,"Bexley 002","E02000066",9431,5712,3,41,114,217,270,552,1444,317,338,307,116
2021,"Bexley 003","E02000067",10234,6673,13,46,129,123,187,450,1155,402,493,404,159
2021,"Bexley 004","E02000068",8176,5523,7,26,97,88,149,397,1014,217,276,248,134
2021,"Bexley 005","E02000069",7212,5270,6,36,138,97,119,250,648,206,215,165,62
2021,"Bexley 006","E02000070",8109,6493,8,49,143,101,98,222,507,150,155,124,59
2021,"Bexley 007","E02000071",7670,6364,7,32,86,98,104,196,425,95,120,107,36
2021,"Bexley 008","E02000072",12925,9022,3,25,58,79,232,597,1709,366,400,313,121
2021,"Bexley 009","E02000073",10726,8813,17,44,166,194,181,225,649,136,142,117,42
2021,"Bexley 010","E02000074",8860,7063,13,25,76,72,109,287,699,156,172,145,43
2021,"Bexley 011","E02000075",7985,6810,16,56,103,113,97,167,369,80,74,77,23
2021,"Bexley 013","E02000077",8140,6267,6,36,102,132,146,221,648,169,209,154,50
2021,"Bexley 014","E02000078",7933,6841,13,25,63,57,58,161,381,106,98,97,33
2021,"Bexley 015","E02000079",8766,6881,17,36,93,98,103,218,571,207,246,214,82
2021,"Bexley 016","E02000080",10065,7661,9,40,132,174,177,278,832,208,265,225,64
2021,"Bexley 017","E02000081",8304,6866,11,39,91,80,95,191,471,134,138,142,46
2021,"Bexley 018","E02000082",9334,7733,13,47,111,136,132,218,517,101,166,120,40
2021,"Bexley 019","E02000083",11270,9131,13,36,72,76,133,307,828,195,205,195,79
2021,"Bexley 020","E02000084",11113,9329,15,62,143,169,140,226,541,125,153,163,47
2021,"Bexley 021","E02000085",7962,6871,9,41,65,80,78,121,366,108,100,93,30
2021,"Bexley 022","E02000086",7176,6405,8,44,73,93,50,79,228,66,69,41,20
2021,"Bexley 023","E02000087",8208,7132,16,54,108,102,95,125,272,71,99,98,36
2021,"Bexley 024","E02000088",7750,6888,14,35,101,69,50,135,283,53,52,45,25
2021,"Bexley 025","E02000089",7873,7001,10,37,70,85,75,145,266,66,56,40,22
2021,"Bexley 026","E02000090",9637,8209,26,45,81,88,64,152,409,134,159,208,62
2021,"Bexley 027","E02000091",10164,8679,20,62,85,130,91,201,459,125,140,134,38
2021,"Bexley 028","E02000092",6754,5728,10,28,38,59,55,178,397,64,97,74,26
2021,"Bexley 029","E02006785",6625,4913,11,36,83,80,103,224,577,170,188,177,63
2021,"Brent 001","E02000093",11875,4837,10,110,531,904,602,725,1462,529,983,823,359
2021,"Brent 002","E02000094",10461,4581,24,112,398,532,441,731,1474,483,691,738,256
2021,"Brent 003","E02000095",10462,4013,20,100,493,857,487,671,1320,470,823,770,438
2021,"Brent 004","E02000096",7633,3504,16,96,480,812,370,389,766,237,390,399,174
2021,"Brent 005","E02000097",9532,4065,17,140,401,583,411,647,1383,485,562,606,232
2021,"Brent 006","E02000098",8741,3817,22,90,362,476,430,712,1095,339,600,503,295
2021,"Brent 007","E02000099",9559,3849,9,99,304,432,334,604,1343,557,839,833,356
2021,"Brent 008","E02000100",8319,3590,20,100,587,759,399,502,781,226,415,570,370
2021,"Brent 009","E02000101",9937,4428,14,102,373,428,451,800,1303,425,679,694,240
2021,"Brent 010","E02000102",8328,3646,7,106,316,408,277,554,1231,501,583,539,160
2021,"Brent 011","E02000103",9976,4622,33,187,348,325,392,911,1336,370,590,667,195
2021,"Brent 012","E02000104",7506,3044,17,105,343,478,356,509,947,331,562,597,217
2021,"Brent 013","E02000105",9845,3875,12,89,320,460,372,657,1656,507,717,777,403
2021,"Brent 014","E02000106",10354,4089,15,148,387,382,423,737,1563,545,914,848,303
2021,"Brent 015","E02000107",10939,4923,18,115,298,276,347,748,1510,503,837,1049,315
2021,"Brent 016","E02000108",7257,2883,8,68,301,348,258,530,1206,384,469,576,226
2021,"Brent 018","E02000110",8176,4233,14,120,347,323,295,460,845,312,514,527,186
2021,"Brent 019","E02000111",11283,3712,6,86,374,511,371,767,1720,797,1178,1341,420
2021,"Brent 020","E02000112",11749,3481,8,148,452,588,323,673,1509,886,1377,1695,609
2021,"Brent 021","E02000113",9629,5044,5,108,317,285,482,1092,1247,274,360,333,82
2021,"Brent 022","E02000114",9000,3906,14,93,254,282,237,535,1093,494,841,910,341
2021,"Brent 023","E02000115",8621,4192,14,106,189,205,288,640,1048,427,629,658,225
2021,"Brent 024","E02000116",8548,3666,9,62,239,250,276,668,1255,472,693,725,233
2021,"Brent 025","E02000117",12734,6376,10,163,405,338,528,1112,1862,456,582,656,246
2021,"Brent 026","E02000118",11294,3480,7,98,394,488,396,963,1847,836,1155,1191,439
2021,"Brent 027","E02000119",10626,5313,14,89,280,186,502,1096,1607,358,464,527,190
2021,"Brent 028","E02000120",9020,4486,13,81,254,203,214,564,997,469,651,797,291
2021,"Brent 029","E02000121",12242,3907,3,86,407,562,390,978,2055,977,1153,1271,453
2021,"Brent 030","E02000122",8181,4698,31,105,323,352,318,461,693,249,381,400,170
2021,"Brent 031","E02000123",13577,6588,13,171,399,318,483,1064,1974,614,780,866,307
2021,"Brent 032","E02000124",9953,5862,17,124,231,242,279,525,949,389,501,611,223
2021,"Brent 033","E02000125",9938,5928,18,169,444,382,323,529,859,274,432,418,162
2021,"Brent 034","E02000126",8194,4236,9,67,227,187,358,927,1005,303,322,398,155
2021,"Brent 035","E02006955",7508,2839,3,27,95,103,110,323,887,458,705,1205,753
2021,"Brent 036","E02006956",8829,3526,12,128,425,432,239,427,1004,468,709,1000,459
2021,"Bromley 001","E02000127",9330,7035,9,38,76,114,144,332,817,244,260,207,54
2021,"Bromley 002","E02000128",7790,6548,7,37,80,88,108,182,383,101,95,122,39
2021,"Bromley 004","E02000130",8424,6307,13,73,145,137,152,323,571,203,247,178,75
2021,"Bromley 005","E02000131",10485,7146,9,44,121,105,195,532,1032,371,441,360,129
2021,"Bromley 006","E02000132",9829,6910,20,60,120,132,151,366,881,304,403,364,118
2021,"Bromley 007","E02000133",10753,8774,28,73,169,183,168,301,552,153,159,145,48
2021,"Bromley 008","E02000134",11752,8508,23,62,116,142,170,368,845,287,461,597,173
2021,"Bromley 009","E02000135",9870,6632,16,81,148,106,248,605,980,266,346,325,117
2021,"Bromley 010","E02000136",5744,4758,28,35,78,87,91,136,312,58,75,52,34
2021,"Bromley 011","E02000137",8401,6428,20,50,147,129,132,256,571,160,249,207,52
2021,"Bromley 012","E02000138",8503,6393,32,89,129,171,137,283,591,218,197,199,64
2021,"Bromley 013","E02000139",7714,6135,9,43,99,88,124,210,459,141,169,178,59
2021,"Bromley 014","E02000140",8681,7015,9,28,58,66,118,252,667,151,147,114,56
2021,"Bromley 015","E02000141",7231,5479,6,68,127,109,131,252,486,179,174,153,67
2021,"Bromley 016","E02000142",8817,6932,21,58,139,136,127,241,474,157,190,251,91
2021,"Bromley 018","E02000144",10064,6751,24,62,135,161,148,359,807,314,465,629,209
2021,"Bromley 019","E02000145",8826,6775,9,46,61,68,112,313,787,231,184,181,59
2021,"Bromley 020","E02000146",9702,7665,17,49,83,121,126,240,608,142,243,310,98
2021,"Bromley 021","E02000147",8191,6731,19,52,139,154,127,191,376,93,119,142,48
2021,"Bromley 022","E02000148",6723,5598,10,40,89,116,110,159,324,76,68,92,41
2021,"Bromley 023","E02000149",8162,6712,10,35,52,77,88,223,499,157,141,116,52
2021,"Bromley 024","E02000150",8514,7136,13,58,117,137,164,227,333,67,96,120,46
2021,"Bromley 025","E02000151",7543,6340,12,54,83,106,101,137,392,88,121,79,30
2021,"Bromley 026","E02000152",7962,6375,9,38,60,78,129,273,518,124,140,163,55
2021,"Bromley 027","E02000153",8106,7117,10,35,69,108,85,191,270,61,62,77,21
2021,"Bromley 028","E02000154",8528,6516,19,45,89,100,90,279,623,144,257,259,107
2021,"Bromley 029","E02000155",7156,5908,13,47,69,90,77,178,436,101,101,104,32
2021,"Bromley 030","E02000156",12291,10591,26,86,180,174,148,240,431,109,114,148,44
2021,"Bromley 031","E02000157",8365,7021,23,44,93,68,74,157,461,120,135,110,59
2021,"Bromley 032","E02000158",7788,6258,12,43,73,92,92,247,583,125,109,111,43
2021,"Bromley 033","E02000159",7114,6169,11,52,88,102,89,135,211,45,61,100,51
2021,"Bromley 034","E02000160",8111,7209,16,44,72,83,83,148,227,76,78,61,14
2021,"Bromley 035","E02000161",8702,6972,13,32,77,94,74,195,711,123,160,194,57
2021,"Bromley 036","E02000162",7121,6097,14,44,54,56,71,117,323,80,98,112,55
2021,"Bromley 037","E02000163",7716,6581,13,24,70,81,74,154,410,82,86,94,47
2021,"Bromley 039","E02000165",7172,6668,9,26,42,49,47,75,153,25,38,28,12
2021,"Bromley 040","E02006782",8125,6123,13,72,131,149,198,307,569,135,192,174,62
2021,"Bromley 041","E02006787",7893,6411,14,44,98,120,156,245,370,109,143,134,49
2021,"Bromley 042","E02006789",6783,6333,15,39,48,32,33,65,110,36,45,26,1
2021,"Camden 001","E02000166",7748,5478,31,76,154,195,296,429,416,148,195,227,103
2021,"Camden 002","E02000167",7200,4122,31,72,132,171,175,401,541,271,398,624,262
2021,"Camden 003","E02000168",7813,5382,25,65,141,158,230,381,520,166,273,328,144
2021,"Camden 004","E02000169",7178,3589,43,31,118,195,245,463,651,304,464,767,308
2021,"Camden 005","E02000170",7916,4306,15,81,124,201,233,456,829,328,515,602,226
2021,"Camden 006","E02000171",7392,4574,23,54,135,165,263,470,532,201,336,450,189
2021,"Camden 007","E02000172",9997,6172,19,69,133,187,442,826,784,221,349,426,369
2021,"Camden 008","E02000173",7490,3465,28,51,109,151,228,394,785,387,619,840,433
2021,"Camden 009","E02000174",8086,5204,10,56,122,131,328,523,563,210,314,456,169
2021,"Camden 010","E02000175",9084,4769,21,53,130,172,313,570,797,405,622,888,344
2021,"Camden 011","E02000176",5914,2796,25,49,115,126,177,361,607,283,443,663,269
2021,"Camden 012","E02000177",8488,5106,16,67,111,188,348,681,671,227,352,502,219
2021,"Camden 013","E02000178",8903,4614,8,65,166,191,283,675,906,368,646,707,274
2021,"Camden 014","E02000179",5748,3053,16,36,79,143,202,512,572,215,327,394,199
2021,"Camden 015","E02000180",7877,4687,16,50,114,190,257,554,566,230,410,508,295
2021,"Camden 016","E02000181",8076,4064,21,35,99,160,240,490,843,397,637,823,267
2021,"Camden 017","E02000182",7113,3138,17,53,75,184,252,536,696,302,526,906,428
2021,"Camden 018","E02000183",7590,4423,31,78,144,198,262,471,492,218,407,568,298
2021,"Camden 019","E02000184",8908,4792,12,56,109,166,353,644,728,222,408,725,693
2021,"Camden 020","E02000185",8881,4372,27,90,156,246,405,907,967,293,508,623,287
2021,"Camden 021","E02000186",6223,3336,24,33,80,111,211,374,539,192,302,589,432
2021,"Camden 022","E02000187",9782,5289,5,46,94,165,501,884,874,201,332,705,686
2021,"Camden 023","E02000188",7179,3852,8,38,94,180,350,770,654,155,220,433,425
2021,"Camden 026","E02000191",5338,2214,10,26,68,112,154,245,393,155,284,702,975
2021,"Camden 027","E02000192",6660,3563,14,21,78,175,361,589,521,192,282,456,408
2021,"Camden 028","E02000193",5961,2811,15,31,75,130,196,358,432,146,315,683,769
2021,"Camden 029","E02007115",11590,5476,12,55,168,313,539,772,865,299,458,1028,1605
2021,"Croydon 001","E02000194",9211,6414,11,65,189,144,218,457,756,237,283,349,88
2021,"Croydon 002","E02000195",9646,5977,24,172,452,476,351,499,795,212,263,309,116
2021,"Croydon 003","E02000196",7915,4399,11,164,440,328,302,401,814,271,375,304,106
2021,"Croydon 004","E02000197",9025,4789,16,104,397,408,307,554,1120,374,412,385,159
2021,"Croydon 005","E02000198",8892,5109,7,83,229,191,246,617,1150,317,422,405,116
2021,"Croydon 006","E02000199",8417,5058,8,95,345,234,266,514,878,323,276,313,107
2021,"Croydon 007","E02000200",9050,5756,10,122,287,148,189,448,927,329,362,356,116
2021,"Croydon 008","E02000201",8691,5386,11,62,219,155,233,546,1003,278,376,330,92
2021,"Croydon 009","E02000202",8929,4501,4,136,438,392,327,538,1047,351,432,539,224
2021,"Croydon 010","E02000203",7963,4136,7,94,303,250,255,530,1055,298,353,514,168
2021,"Croydon 011","E02000204",9655,4803,5,128,468,503,384,611,1175,404,466,482,226
2021,"Croydon 013","E02000206",10817,6322,9,95,239,194,262,655,1363,468,561,478,171
2021,"Croydon 014","E02000207",8902,5975,9,71,210,146,252,503,887,232,313,225,79
2021,"Croydon 015","E02000208",10863,5654,3,69,209,228,315,777,1675,418,592,685,238
2021,"Croydon 016","E02000209",9068,4419,9,55,229,262,326,780,1491,372,441,470,214
2021,"Croydon 017","E02000210",8716,5738,7,74,191,158,204,376,883,270,396,318,101
2021,"Croydon 018","E02000211",8277,6349,21,74,204,236,223,322,482,114,99,94,59
2021,"Croydon 019","E02000212",9461,4764,2,56,178,193,308,747,1580,434,456,498,245
2021,"Croydon 020","E02000213",12800,6479,4,70,202,213,287,764,1776,623,917,1118,347
