"date","geography","geography code","Occupancy rating for rooms: Total: All households","Occupancy rating for rooms: Occupancy rating of rooms: +2 or more","Occupancy rating for rooms: Occupancy rating of rooms: +1","Occupancy rating for rooms: Occupancy rating of rooms: 0","Occupancy rating for rooms: Occupancy rating of rooms: -1","Occupancy rating for rooms: Occupancy rating of rooms: -2 or less"
2021,"Brent 009","E02000101",3386,783,716,1080,580,227
2021,"Brent 010","E02000102",2685,596,494,772,573,250
2021,"Brent 011","E02000103",3462,880,668,1174,553,187
2021,"Brent 012","E02000104",2416,839,489,605,329,154
2021,"Brent 013","E02000105",3108,760,629,918,553,248
2021,"Brent 014","E02000106",3584,951,673,999,679,282
2021,"Brent 015","E02000107",4362,986,834,1364,937,241
2021,"Brent 016","E02000108",2273,653,438,635,369,178
2021,"Brent 018","E02000110",3094,1089,624,847,438,96
2021,"Brent 019","E02000111",3190,721,633,856,571,409
2021,"Brent 020","E02000112",3495,973,630,983,510,399
2021,"Brent 021","E02000113",3288,513,607,1154,715,299
2021,"Brent 022","E02000114",3707,785,755,1241,743,183
2021,"Brent 023","E02000115",3877,563,894,1511,751,158
2021,"Brent 024","E02000116",3239,492,670,1217,658,202
2021,"Brent 025","E02000117",4759,694,935,1787,927,416
2021,"Brent 026","E02000118",3155,719,570,869,518,479
2021,"Brent 027","E02000119",3952,429,788,1815,671,249
2021,"Brent 028","E02000120",4243,771,918,1663,753,138
2021,"Brent 029","E02000121",3627,807,637,1061,690,432
2021,"Brent 030","E02000122",3160,1237,688,824,323,88
2021,"Brent 031","E02000123",5540,884,1021,2017,1274,344
2021,"Brent 032","E02000124",4162,1157,1046,1325,507,127
2021,"Brent 033","E02000125",3940,1340,961,1051,475,113
2021,"Brent 034","E02000126",3405,203,766,1653,602,181
2021,"Bromley 001","E02000127",3785,1154,954,1243,370,64
2021,"Bromley 002","E02000128",3063,1678,790,488,89,18
2021,"Bromley 004","E02000130",3665,1637,745,989,245,49
2021,"Bromley 005","E02000131",5068,761,1313,2297,617,80
2021,"Bromley 006","E02000132",4943,1218,1448,1787,448,42
2021,"Bromley 007","E02000133",4328,2935,789,497,94,13
2021,"Bromley 008","E02000134",5299,1634,1436,1693,477,59
2021,"Bromley 009","E02000135",4443,656,1059,1958,649,121
2021,"Bromley 010","E02000136",2295,1075,561,464,169,26
2021,"Bromley 011","E02000137",3674,1599,894,986,169,26
2021,"Bromley 012","E02000138",4139,1684,1181,1100,159,15
2021,"Bromley 013","E02000139",3308,1574,719,836,161,18
2021,"Bromley 014","E02000140",3340,843,883,1186,343,85
2021,"Bromley 015","E02000141",3092,1143,780,885,244,40
