"date","geography","geography code","Number of disabled people in household: Total: All households","Number of disabled people in household: No people disabled under the Equality Act in household","Number of disabled people in household: 1 person disabled under the Equality Act in household","Number of disabled people in household: 2 or more people disabled under the Equality Act in household"
2021,"Hounslow 008","E02000533",3688,2804,758,126
2021,"Hounslow 009","E02000534",2999,2315,538,146
2021,"Hounslow 010","E02000535",3005,2057,743,205
2021,"Hounslow 011","E02000536",3245,2303,696,246
2021,"Hounslow 012","E02000537",3158,2439,538,181
2021,"Hounslow 013","E02000538",3006,2183,618,205
2021,"Hounslow 014","E02000539",4733,3507,973,253
2021,"Hounslow 015","E02000540",4486,3375,908,203
2021,"Hounslow 016","E02000541",3282,2272,768,242
2021,"Hounslow 017","E02000542",3953,2880,862,211
2021,"Hounslow 018","E02000543",4890,3796,888,206
2021,"Hounslow 019","E02000544",2923,2164,605,154
2021,"Hounslow 020","E02000545",3548,2513,818,217
2021,"Hounslow 021","E02000546",3159,2202,746,211
2021,"Hounslow 022","E02000547",3852,2699,921,232
2021,"Hounslow 023","E02000548",3726,2576,877,273
2021,"Hounslow 024","E02000549",4084,2915,909,260
2021,"Hounslow 025","E02000550",3720,2702,793,225
2021,"Hounslow 026","E02000551",3415,2286,898,231
2021,"Hounslow 027","E02000552",3359,2531,662,166
2021,"Hounslow 028","E02000553",2601,1802,612,187
2021,"Islington 001","E02000554",4200,2720,1235,245
2021,"Islington 002","E02000555",4033,2789,990,254
2021,"Islington 003","E02000556",4949,3556,1143,250
2021,"Islington 004","E02000557",4139,2901,1054,184
2021,"Islington 005","E02000558",3957,2627,1097,233
2021,"Islington 006","E02000559",3995,3005,820,170
2021,"Islington 007","E02000560",3274,2365,760,149
2021,"Islington 008","E02000561",3157,2275,743,139
2021,"Islington 009","E02000562",3487,2476,856,155
2021,"Islington 010","E02000563",3858,2536,1074,248
2021,"Islington 011","E02000564",5662,4231,1215,216
2021,"Islington 012","E02000565",3495,2457,860,178
2021,"Islington 013","E02000566",3837,2875,780,182
2021,"Islington 014","E02000567",4895,3404,1225,266
2021,"Islington 015","E02000568",4669,3131,1280,258
2021,"Islington 016","E02000569",4602,3191,1157,254
2021,"Islington 017","E02000570",3988,3080,742,166
2021,"Islington 018","E02000571",4122,2959,962,201
2021,"Islington 019","E02000572",3523,2280,983,260
2021,"Islington 020","E02000573",4921,3794,927,200
2021,"Islington 021","E02000574",3604,2608,841,155
2021,"Islington 022","E02000575",5170,3826,1164,180
2021,"Islington 023","E02000576",4953,3565,1145,243
2021,"Kensington and Chelsea 001","E02000577",3177,1967,1003,207
2021,"Kensington and Chelsea 002","E02000578",2309,1369,746,194
2021,"Kensington and Chelsea 003","E02000579",3822,2683,948,191
2021,"Kensington and Chelsea 004","E02000580",3988,2737,1042,209
2021,"Kensington and Chelsea 005","E02000581",3010,1768,982,260
2021,"Kensington and Chelsea 006","E02000582",3270,2779,437,54
2021,"Kensington and Chelsea 007","E02000583",3119,2539,518,62
2021,"Kensington and Chelsea 008","E02000584",3331,2820,451,60
2021,"Kensington and Chelsea 009","E02000585",3388,2699,584,105
2021,"Kensington and Chelsea 010","E02000586",2880,2495,333,52
2021,"Kensington and Chelsea 011","E02000587",3027,2588,392,47
2021,"Kensington and Chelsea 012","E02000588",3077,2711,314,52
2021,"Kensington and Chelsea 013","E02000589",3657,3112,493,52
2021,"Kensington and Chelsea 014","E02000590",3049,2353,600,96
2021,"Kensington and Chelsea 015","E02000591",3241,2500,660,81
2021,"Kensington and Chelsea 016","E02000592",2839,2483,316,40
2021,"Kensington and Chelsea 017","E02000593",3685,2985,633,67
2021,"Kensington and Chelsea 018","E02000594",2922,2378,458,86
2021,"Kensington and Chelsea 019","E02000595",3029,2438,532,59
2021,"Kensington and Chelsea 020","E02000596",3074,2571,451,52
2021,"Kensington and Chelsea 021","E02000597",2997,2025,834,138
2021,"Kingston upon Thames 001","E02000598",2970,2252,572,146
2021,"Kingston upon Thames 002","E02000599",2352,1769,457,126
2021,"Kingston upon Thames 003","E02000600",3380,2581,674,125
2021,"Kingston upon Thames 004","E02000601",4858,3798,901,159
2021,"Kingston upon Thames 005","E02000602",4046,2881,969,196
2021,"Kingston upon Thames 006","E02000603",2953,2042,672,239
2021,"Kingston upon Thames 007","E02000604",3559,2706,710,143
2021,"Kingston upon Thames 008","E02000605",3115,2290,659,166
2021,"Kingston upon Thames 009","E02000606",4810,3727,932,151
2021,"Kingston upon Thames 010","E02000607",2586,1925,546,115
2021,"Kingston upon Thames 011","E02000608",3405,2708,613,84
2021,"Kingston upon Thames 012","E02000609",2737,1898,646,193
2021,"Kingston upon Thames 013","E02000610",3871,2938,810,123
2021,"Kingston upon Thames 014","E02000611",2652,1907,571,174
2021,"Kingston upon Thames 015","E02000612",3078,2302,604,172
2021,"Kingston upon Thames 016","E02000613",3195,2379,670,146
2021,"Kingston upon Thames 017","E02000614",3373,2456,732,185
2021,"Kingston upon Thames 018","E02000615",2958,2095,670,193
2021,"Kingston upon Thames 019","E02000616",2390,1765,492,133
2021,"Kingston upon Thames 020","E02000617",3343,2275,830,238
2021,"Lambeth 002","E02000619",4054,2905,972,177
2021,"Lambeth 003","E02000620",4589,3434,973,182
2021,"Lambeth 004","E02000621",6009,4844,997,168
2021,"Lambeth 005","E02000622",3633,2735,761,137
2021,"Lambeth 006","E02000623",3331,2422,745,164
2021,"Lambeth 007","E02000624",4270,3204,888,178
2021,"Lambeth 008","E02000625",3799,2897,737,165
2021,"Lambeth 009","E02000626",3448,2460,827,161
2021,"Lambeth 010","E02000627",3917,2887,857,173
2021,"Lambeth 011","E02000628",4483,3227,1060,196
2021,"Lambeth 012","E02000629",4017,3157,709,151
2021,"Lambeth 013","E02000630",3430,2670,643,117
2021,"Lambeth 014","E02000631",3740,2717,809,214
2021,"Lambeth 015","E02000632",4261,3414,717,130
2021,"Lambeth 016","E02000633",3962,2892,919,151
2021,"Lambeth 017","E02000634",3107,2298,708,101
2021,"Lambeth 018","E02000635",4337,3170,1016,151
2021,"Lambeth 019","E02000636",3079,2485,496,98
2021,"Lambeth 020","E02000637",3705,2855,729,121
2021,"Lambeth 021","E02000638",4107,3068,876,163
2021,"Lambeth 022","E02000639",3725,2832,760,133
2021,"Lambeth 023","E02000640",3806,2938,756,112
2021,"Lambeth 024","E02000641",3392,2366,844,182
2021,"Lambeth 025","E02000642",4170,3066,914,190
2021,"Lambeth 026","E02000643",3948,3027,778,143
2021,"Lambeth 027","E02000644",3496,2695,654,147
2021,"Lambeth 028","E02000645",4047,3035,805,207
2021,"Lambeth 029","E02000646",3905,3010,741,154
2021,"Lambeth 030","E02000647",3422,2488,787,147
2021,"Lambeth 031","E02000648",3188,2219,782,187
2021,"Lambeth 032","E02000649",5304,4123,979,202
2021,"Lambeth 033","E02000650",3278,2297,770,211
2021,"Lambeth 034","E02000651",3479,2639,699,141
2021,"Lambeth 035","E02000652",2544,1849,541,154
2021,"Lewisham 001","E02000653",5293,4034,1044,215
2021,"Lewisham 002","E02000654",3596,2531,859,206
2021,"Lewisham 003","E02000655",4007,2978,828,201
2021,"Lewisham 005","E02000657",3990,2911,894,185
2021,"Lewisham 006","E02000658",3461,2435,839,187
2021,"Lewisham 007","E02000659",3541,2619,749,173
2021,"Lewisham 008","E02000660",3604,2712,736,156
2021,"Lewisham 009","E02000661",3044,2320,612,112
2021,"Lewisham 010","E02000662",3302,2317,796,189
2021,"Lewisham 011","E02000663",2819,2043,635,141
2021,"Lewisham 013","E02000665",3414,2483,775,156
2021,"Lewisham 014","E02000666",2735,1940,626,169
2021,"Lewisham 015","E02000667",2526,1854,544,128
2021,"Lewisham 016","E02000668",2725,2047,552,126
2021,"Lewisham 017","E02000669",3311,2491,671,149
2021,"Lewisham 018","E02000670",2781,2013,647,121
2021,"Lewisham 019","E02000671",3682,2740,771,171
2021,"Lewisham 020","E02000672",4200,3009,972,219
2021,"Lewisham 021","E02000673",3493,2660,696,137
2021,"Lewisham 022","E02000674",3057,2249,621,187
2021,"Lewisham 023","E02000675",3420,2522,707,191
2021,"Lewisham 024","E02000676",3190,2381,671,138
2021,"Lewisham 025","E02000677",2642,1869,615,158
2021,"Lewisham 026","E02000678",2614,1733,675,206
2021,"Lewisham 027","E02000679",3375,2343,885,147
2021,"Lewisham 028","E02000680",2911,2082,676,153
2021,"Lewisham 029","E02000681",3353,2255,878,220
2021,"Lewisham 030","E02000682",3218,2197,828,193
2021,"Lewisham 031","E02000683",2724,1861,666,197
2021,"Lewisham 033","E02000685",3423,2371,875,177
2021,"Lewisham 034","E02000686",3044,2057,791,196
2021,"Lewisham 035","E02000687",3454,2451,826,177
2021,"Merton 001","E02000689",3512,2871,530,111
2021,"Merton 002","E02000690",2225,1733,423,69
2021,"Merton 003","E02000691",2957,2349,524,84
2021,"Merton 004","E02000692",3568,2926,553,89
2021,"Merton 005","E02000693",4282,3431,712,139
2021,"Merton 006","E02000694",3834,3016,688,130
2021,"Merton 007","E02000695",2941,2184,589,168
2021,"Merton 008","E02000696",3270,2472,631,167
2021,"Merton 009","E02000697",3666,3023,542,101
2021,"Merton 010","E02000698",3182,2497,558,127
2021,"Merton 011","E02000699",3262,2613,535,114
2021,"Merton 012","E02000700",3357,2404,740,213
2021,"Merton 013","E02000701",3114,2215,703,196
2021,"Merton 014","E02000702",3366,2416,746,204
2021,"Merton 015","E02000703",2937,2173,611,153
2021,"Merton 016","E02000704",3573,2755,656,162
2021,"Merton 017","E02000705",3115,2286,642,187
2021,"Merton 018","E02000706",3535,2449,851,235
2021,"Merton 019","E02000707",2778,1927,665,186
2021,"Merton 020","E02000708",3255,2486,608,161
2021,"Merton 021","E02000709",2872,2064,634,174
2021,"Merton 022","E02000710",3439,2462,777,200
2021,"Merton 023","E02000711",3459,2498,733,228
2021,"Merton 024","E02000712",3404,2270,880,254
2021,"Merton 025","E02000713",2831,2094,575,162
2021,"Newham 001","E02000714",2646,1898,564,184
2021,"Newham 002","E02000715",2091,1391,509,191
2021,"Newham 003","E02000716",2302,1616,532,154
2021,"Newham 004","E02000717",2395,1639,575,181
2021,"Newham 005","E02000718",2247,1526,572,149
2021,"Newham 006","E02000719",2873,2088,619,166
2021,"Newham 007","E02000720",2125,1493,471,161
2021,"Newham 008","E02000721",2764,1947,581,236
2021,"Newham 009","E02000722",2935,2122,672,141
2021,"Newham 010","E02000723",2862,1885,671,306
2021,"Newham 011","E02000724",2534,1712,556,266
2021,"Newham 012","E02000725",4000,3045,800,155
2021,"Newham 014","E02000727",2289,1606,458,225
2021,"Newham 015","E02000728",2342,1674,500,168
2021,"Newham 016","E02000729",2201,1509,496,196
2021,"Newham 017","E02000730",2566,1730,621,215
2021,"Newham 018","E02000731",2770,1946,581,243
2021,"Newham 019","E02000732",2752,1874,649,229
2021,"Newham 020","E02000733",3462,2452,760,250
2021,"Newham 021","E02000734",2495,1738,594,163
2021,"Newham 022","E02000735",2659,1869,602,188
2021,"Newham 023","E02000736",2653,1828,610,215
2021,"Newham 024","E02000737",3066,2058,764,244
2021,"Newham 025","E02000738",2788,2045,560,183
2021,"Newham 026","E02000739",2481,1758,556,167
2021,"Newham 027","E02000740",2495,1735,603,157
2021,"Newham 028","E02000741",2685,1902,594,189
2021,"Newham 029","E02000742",2528,1756,588,184
2021,"Newham 030","E02000743",3578,2577,778,223
2021,"Newham 031","E02000744",3326,2425,719,182
2021,"Newham 032","E02000745",2876,2049,651,176
2021,"Newham 033","E02000746",3394,2545,653,196
2021,"Newham 034","E02000747",5447,4165,1002,280
2021,"Newham 035","E02000748",2209,1603,459,147
2021,"Newham 036","E02000749",3330,2291,821,218
2021,"Redbridge 001","E02000751",4438,3321,924,193
2021,"Redbridge 002","E02000752",3266,2280,778,208
2021,"Redbridge 003","E02000753",2471,1708,601,162
2021,"Redbridge 004","E02000754",2590,1906,549,135
2021,"Redbridge 005","E02000755",2185,1615,460,110
2021,"Redbridge 006","E02000756",5257,3892,1051,314
2021,"Redbridge 007","E02000757",5179,4049,950,180
2021,"Redbridge 008","E02000758",2317,1593,565,159
2021,"Redbridge 009","E02000759",4820,3637,951,232
2021,"Redbridge 010","E02000760",2628,1810,651,167
2021,"Redbridge 012","E02000762",2105,1474,501,130
2021,"Redbridge 013","E02000763",2577,1824,577,176
2021,"Redbridge 014","E02000764",5368,4101,1067,200
2021,"Redbridge 015","E02000765",2427,1797,476,154
2021,"Redbridge 017","E02000767",2768,2072,563,133
2021,"Redbridge 018","E02000768",2200,1671,424,105
2021,"Redbridge 020","E02000770",2489,1752,559,178
2021,"Redbridge 022","E02000772",2538,1837,547,154
2021,"Redbridge 023","E02000773",3111,2261,671,179
2021,"Redbridge 024","E02000774",2458,1777,530,151
2021,"Redbridge 026","E02000776",2082,1525,415,142
2021,"Redbridge 027","E02000777",2324,1670,522,132
2021,"Redbridge 029","E02000779",2774,2063,559,152
2021,"Redbridge 031","E02000781",4428,3114,973,341
2021,"Redbridge 032","E02000782",3577,2637,708,232
2021,"Redbridge 033","E02000783",2115,1446,513,156
2021,"Richmond upon Thames 001","E02000784",4176,3187,799,190
2021,"Richmond upon Thames 002","E02000785",4162,3330,706,126
2021,"Richmond upon Thames 003","E02000786",4944,3874,921,149
2021,"Richmond upon Thames 004","E02000787",5174,3963,990,221
2021,"Richmond upon Thames 005","E02000788",3624,2876,636,112
2021,"Richmond upon Thames 006","E02000789",2843,2248,517,78
2021,"Richmond upon Thames 007","E02000790",2704,2198,449,57
2021,"Richmond upon Thames 008","E02000791",2969,2457,447,65
2021,"Richmond upon Thames 009","E02000792",3100,2483,531,86
2021,"Richmond upon Thames 010","E02000793",3135,2253,727,155
2021,"Richmond upon Thames 011","E02000794",2759,2154,517,88
2021,"Richmond upon Thames 012","E02000795",2587,1960,505,122
2021,"Richmond upon Thames 013","E02000796",3981,2746,948,287
2021,"Richmond upon Thames 014","E02000797",3481,2786,598,97
2021,"Richmond upon Thames 015","E02000798",4324,3238,878,208
2021,"Richmond upon Thames 016","E02000799",2440,1862,474,104
2021,"Richmond upon Thames 017","E02000800",2157,1531,506,120
2021,"Richmond upon Thames 018","E02000801",3020,2376,550,94
2021,"Richmond upon Thames 019","E02000802",2977,2285,591,101
2021,"Richmond upon Thames 020","E02000803",4097,2827,1067,203
2021,"Richmond upon Thames 021","E02000804",3168,2458,608,102
2021,"Richmond upon Thames 022","E02000805",4633,3524,955,154
2021,"Richmond upon Thames 023","E02000806",4257,3186,895,176
2021,"Southwark 001","E02000807",3734,2990,618,126
2021,"Southwark 002","E02000808",4697,3745,817,135
2021,"Southwark 004","E02000810",5395,4013,1164,218
2021,"Southwark 006","E02000812",4531,3321,989,221
2021,"Southwark 007","E02000813",4483,3355,913,215
2021,"Southwark 008","E02000814",4589,3666,745,178
2021,"Southwark 009","E02000815",3234,2574,560,100
2021,"Southwark 010","E02000816",4146,2931,1003,212
2021,"Southwark 011","E02000817",2925,1928,814,183
2021,"Southwark 012","E02000818",4489,3301,999,189
2021,"Southwark 013","E02000819",3555,2493,882,180
2021,"Southwark 014","E02000820",4228,3076,966,186
2021,"Southwark 015","E02000821",3133,2262,699,172
2021,"Southwark 016","E02000822",2773,1989,645,139
2021,"Southwark 017","E02000823",3636,2622,810,204
2021,"Southwark 018","E02000824",3791,2695,870,226
2021,"Southwark 019","E02000825",3891,2782,883,226
2021,"Southwark 020","E02000826",4023,2955,894,174
2021,"Southwark 021","E02000827",5018,3700,1134,184
2021,"Southwark 022","E02000828",3594,2565,828,201
2021,"Southwark 023","E02000829",4736,3284,1213,239
2021,"Southwark 024","E02000830",3761,2815,821,125
2021,"Southwark 025","E02000831",4052,2959,910,183
2021,"Southwark 026","E02000832",4101,2750,1101,250
2021,"Southwark 027","E02000833",3046,2227,662,157
2021,"Southwark 028","E02000834",4103,3122,821,160
2021,"Southwark 029","E02000835",3030,2234,621,175
2021,"Southwark 030","E02000836",3337,2538,658,141
2021,"Southwark 031","E02000837",3150,2393,634,123
2021,"Southwark 032","E02000838",3924,2912,817,195
2021,"Southwark 033","E02000839",3428,2571,703,154
2021,"Sutton 001","E02000840",3475,2225,936,314
2021,"Sutton 002","E02000841",3301,2146,823,332
2021,"Sutton 003","E02000842",2958,2160,595,203
2021,"Sutton 004","E02000843",3979,3014,795,170
2021,"Sutton 005","E02000844",3217,2158,808,251
2021,"Sutton 006","E02000845",3610,2699,745,166
2021,"Sutton 007","E02000846",2786,2063,567,156
2021,"Sutton 008","E02000847",3683,2693,790,200
2021,"Sutton 009","E02000848",2916,2156,616,144
2021,"Sutton 010","E02000849",3250,2299,761,190
2021,"Sutton 011","E02000850",4088,2918,895,275
2021,"Sutton 012","E02000851",5037,3718,1081,238
2021,"Sutton 013","E02000852",3250,2422,671,157
2021,"Sutton 014","E02000853",3202,2343,654,205
2021,"Sutton 015","E02000854",3085,2246,689,150
2021,"Sutton 016","E02000855",3212,2341,710,161
2021,"Sutton 017","E02000856",3800,2810,828,162
2021,"Sutton 018","E02000857",4080,3183,792,105
2021,"Sutton 019","E02000858",3310,2058,924,328
2021,"Sutton 020","E02000859",3491,2449,852,190
2021,"Sutton 021","E02000860",4119,3080,889,150
2021,"Sutton 022","E02000861",2863,2156,544,163
2021,"Sutton 024","E02000863",2423,1715,531,177
2021,"Tower Hamlets 001","E02000864",4666,3283,1108,275
2021,"Tower Hamlets 002","E02000865",2894,1922,760,212
2021,"Tower Hamlets 003","E02000866",4155,2911,1024,220
2021,"Tower Hamlets 004","E02000867",4871,3641,1022,208
2021,"Tower Hamlets 005","E02000868",2785,2043,597,145
2021,"Tower Hamlets 006","E02000869",2525,1767,652,106
2021,"Tower Hamlets 007","E02000870",2420,1631,647,142
2021,"Tower Hamlets 008","E02000871",4228,2994,961,273
2021,"Tower Hamlets 009","E02000872",3193,2353,657,183
2021,"Tower Hamlets 010","E02000873",2921,2044,703,174
2021,"Tower Hamlets 011","E02000874",2524,1731,618,175
2021,"Tower Hamlets 012","E02000875",5079,3605,1121,353
2021,"Tower Hamlets 013","E02000876",2778,1971,675,132
2021,"Tower Hamlets 014","E02000877",4913,3580,1022,311
2021,"Tower Hamlets 015","E02000878",4009,2979,828,202
2021,"Tower Hamlets 016","E02000879",3047,2039,791,217
2021,"Tower Hamlets 017","E02000880",2281,1608,542,131
2021,"Tower Hamlets 018","E02000881",3854,2734,864,256
2021,"Tower Hamlets 019","E02000882",3808,2545,963,300
2021,"Tower Hamlets 020","E02000883",3031,2000,776,255
2021,"Tower Hamlets 021","E02000884",5114,4161,766,187
2021,"Tower Hamlets 022","E02000885",2391,1565,645,181
2021,"Tower Hamlets 023","E02000886",3823,2904,759,160
2021,"Tower Hamlets 024","E02000887",3947,2819,896,232
2021,"Tower Hamlets 025","E02000888",3354,2580,604,170
2021,"Tower Hamlets 026","E02000889",3807,3069,600,138
2021,"Tower Hamlets 027","E02000890",2891,2408,410,73
2021,"Tower Hamlets 030","E02000893",2988,2145,679,164
2021,"Tower Hamlets 031","E02000894",4463,3511,765,187
2021,"Waltham Forest 001","E02000895",3277,2203,850,224
2021,"Waltham Forest 002","E02000896",3836,2802,842,192
2021,"Waltham Forest 003","E02000897",3370,2245,890,235
2021,"Waltham Forest 004","E02000898",3201,2123,882,196
2021,"Waltham Forest 005","E02000899",3226,2281,751,194
2021,"Waltham Forest 006","E02000900",3119,2144,753,222
2021,"Waltham Forest 007","E02000901",3851,2872,761,218
2021,"Waltham Forest 008","E02000902",3518,2561,770,187
2021,"Waltham Forest 009","E02000903",3469,2336,836,297
2021,"Waltham Forest 010","E02000904",3107,2297,648,162
2021,"Waltham Forest 011","E02000905",3630,2700,755,175
2021,"Waltham Forest 012","E02000906",3627,2660,783,184
2021,"Waltham Forest 013","E02000907",4067,2911,961,195
2021,"Waltham Forest 014","E02000908",5239,3962,1050,227
2021,"Waltham Forest 015","E02000909",3568,2619,780,169
2021,"Waltham Forest 016","E02000910",4404,3269,901,234
2021,"Waltham Forest 017","E02000911",4849,3617,990,242
2021,"Waltham Forest 018","E02000912",3270,2296,733,241
2021,"Waltham Forest 019","E02000913",3115,2133,728,254
2021,"Waltham Forest 020","E02000914",3972,2754,955,263
2021,"Waltham Forest 021","E02000915",3283,2438,691,154
2021,"Waltham Forest 022","E02000916",3982,3003,775,204
2021,"Waltham Forest 023","E02000917",3651,2786,710,155
2021,"Waltham Forest 024","E02000918",3405,2455,782,168
2021,"Waltham Forest 025","E02000919",3355,2520,665,170
2021,"Waltham Forest 026","E02000920",3815,2752,839,224
2021,"Waltham Forest 027","E02000921",4058,2856,946,256
2021,"Waltham Forest 028","E02000922",3635,2643,789,203
2021,"Wandsworth 001","E02000923",3469,2825,556,88
2021,"Wandsworth 003","E02000925",3363,2501,722,140
2021,"Wandsworth 004","E02000926",5552,4566,858,128
2021,"Wandsworth 005","E02000927",3233,2334,769,130
2021,"Wandsworth 006","E02000928",3614,2928,591,95
2021,"Wandsworth 007","E02000929",3495,2503,838,154
2021,"Wandsworth 008","E02000930",4261,3535,626,100
2021,"Wandsworth 009","E02000931",3486,2926,477,83
2021,"Wandsworth 010","E02000932",5930,5011,789,130
2021,"Wandsworth 011","E02000933",3931,3088,718,125
2021,"Wandsworth 012","E02000934",4196,3434,648,114
2021,"Wandsworth 013","E02000935",2436,1674,624,138
2021,"Wandsworth 014","E02000936",4384,3510,735,139
2021,"Wandsworth 015","E02000937",3127,2585,442,100
2021,"Wandsworth 016","E02000938",4344,3155,947,242
2021,"Wandsworth 017","E02000939",2836,2308,460,68
2021,"Wandsworth 018","E02000940",4214,3345,733,136
2021,"Wandsworth 019","E02000941",4138,3316,679,143
2021,"Wandsworth 020","E02000942",3816,3055,629,132
2021,"Wandsworth 021","E02000943",3811,3069,624,118
2021,"Wandsworth 022","E02000944",2890,2099,632,159
2021,"Wandsworth 023","E02000945",2764,1894,676,194
2021,"Wandsworth 024","E02000946",3107,2386,574,147
2021,"Wandsworth 025","E02000947",3919,3182,625,112
2021,"Wandsworth 026","E02000948",4382,3552,715,115
2021,"Wandsworth 027","E02000949",4255,3522,627,106
2021,"Wandsworth 028","E02000950",3110,2457,537,116
2021,"Wandsworth 029","E02000951",2823,2186,529,108
2021,"Wandsworth 030","E02000952",2657,2057,503,97
2021,"Wandsworth 031","E02000953",3211,2648,465,98
2021,"Wandsworth 032","E02000954",2246,1682,444,120
2021,"Wandsworth 033","E02000955",2676,1929,581,166
2021,"Wandsworth 034","E02000956",3030,2228,645,157
2021,"Wandsworth 035","E02000957",4420,3353,889,178
2021,"Wandsworth 036","E02000958",2915,2082,657,176
2021,"Wandsworth 037","E02000959",3104,2291,661,152
2021,"Westminster 001","E02000960",2782,2230,467,85
2021,"Westminster 002","E02000961",4068,3064,827,177
2021,"Westminster 003","E02000962",3858,3002,719,137
2021,"Westminster 004","E02000963",4135,2635,1183,317
2021,"Westminster 005","E02000964",5358,3720,1333,305
2021,"Westminster 006","E02000965",3622,2872,638,112
2021,"Westminster 007","E02000966",4108,3286,663,159
2021,"Westminster 008","E02000967",3014,2545,408,61
2021,"Westminster 009","E02000968",5617,3266,1832,519
2021,"Westminster 010","E02000969",3718,2425,1048,245
2021,"Westminster 011","E02000970",3554,3007,451,96
2021,"Westminster 012","E02000971",3722,3067,573,82
2021,"Westminster 013","E02000972",4255,3327,808,120
2021,"Westminster 014","E02000973",4797,3740,916,141
2021,"Westminster 015","E02000974",3981,3179,695,107
2021,"Westminster 016","E02000975",3801,3236,489,76
2021,"Westminster 017","E02000976",4211,3389,713,109
2021,"Westminster 018","E02000977",3435,2826,545,64
2021,"Westminster 019","E02000978",2764,2424,298,42
2021,"Westminster 020","E02000979",3926,3077,748,101
2021,"Westminster 021","E02000980",4325,3140,991,194
2021,"Westminster 022","E02000981",4157,3310,722,125
2021,"Westminster 023","E02000982",3845,2834,876,135
2021,"Westminster 024","E02000983",3757,2704,879,174
2021,"Bromley 040","E02006782",3195,2278,720,197
2021,"Lewisham 037","E02006783",2895,1929,742,224
2021,"Lewisham 038","E02006784",3125,2035,857,233
2021,"Bexley 029","E02006785",2573,1759,649,165
2021,"Greenwich 033","E02006786",2874,1967,707,200
2021,"Bromley 041","E02006787",3089,2297,639,153
2021,"Croydon 045","E02006788",2895,1957,711,227
2021,"Bromley 042","E02006789",2788,1942,649,197
2021,"Ealing 040","E02006791",3449,2793,563,93
2021,"Hounslow 029","E02006792",4147,3290,740,117
2021,"Enfield 037","E02006793",3387,2328,838,221
2021,"Haringey 037","E02006794",3125,2218,743,164
2021,"Harrow 032","E02006795",2644,1948,525,171
2021,"Hillingdon 033","E02006796",3582,2615,769,198
2021,"Lewisham 039","E02006798",3776,2741,864,171
2021,"Barking and Dagenham 023","E02006799",3889,2596,980,313
2021,"Redbridge 034","E02006800",4513,3259,977,277
2021,"Lambeth 036","E02006801",3712,2880,686,146
2021,"Southwark 034","E02006802",3938,2951,828,159
2021,"Sutton 025","E02006836",3212,2490,574,148
2021,"Tower Hamlets 032","E02006853",5042,4123,763,156
2021,"Tower Hamlets 033","E02006854",3528,3065,381,82
2021,"Harrow 033","E02006882",4396,3199,897,300
2021,"Hackney 028","E02006918",3170,2228,755,187
2021,"Hackney 029","E02006921",2782,1935,714,133
2021,"Redbridge 035","E02006924",4097,2862,937,298
2021,"Redbridge 036","E02006925",4188,2900,965,323
2021,"Greenwich 034","E02006927",5086,3719,1079,288
2021,"Greenwich 035","E02006928",5264,4235,876,153
2021,"Greenwich 037","E02006930",4226,3292,789,145
2021,"Greenwich 038","E02006931",4137,3134,843,160
2021,"Southwark 035","E02006941",2985,2617,333,35
2021,"Southwark 036","E02006942",3364,2708,572,84
2021,"Barnet 042","E02006953",3856,3133,577,146
2021,"Barnet 043","E02006954",3720,2906,654,160
2021,"Brent 035","E02006955",2710,2250,391,69
2021,"Brent 036","E02006956",2503,1888,486,129
2021,"Ealing 041","E02006968",3560,2785,667,108
2021,"Ealing 042","E02006969",2976,2396,502,78
2021,"Ealing 043","E02006970",2031,1519,384,128
2021,"Ealing 044","E02006971",2222,1528,520,174
2021,"Hounslow 030","E02006972",2333,1743,485,105
2021,"Hounslow 031","E02006973",3726,2672,878,176
2021,"Croydon 046","E02006987",3879,3215,587,77
2021,"Croydon 047","E02006988",3307,2512,685,110
2021,"Greenwich 039","E02006991",3233,2699,451,83
2021,"Greenwich 040","E02006992",3769,2946,677,146
2021,"Greenwich 041","E02006993",3622,2914,593,115
2021,"Greenwich 042","E02006994",3284,2459,698,127
2021,"Newham 038","E02006995",3239,2644,471,124
2021,"Newham 039","E02006996",3158,2532,518,108
2021,"Newham 040","E02006997",3229,2671,483,75
2021,"Newham 041","E02006998",2668,2011,542,115
2021,"Newham 042","E02006999",5051,4345,598,108
2021,"Lewisham 040","E02007008",2660,2202,384,74
2021,"Lewisham 041","E02007009",3987,2898,897,192
2021,"Redbridge 037","E02007017",2761,1990,596,175
2021,"Redbridge 038","E02007018",2530,1884,500,146
2021,"Redbridge 039","E02007019",2406,1817,482,107
2021,"Redbridge 040","E02007020",2722,1920,613,189
2021,"Wandsworth 038","E02007083",4106,3565,471,70
2021,"Wandsworth 039","E02007084",4137,3085,865,187
2021,"Hackney 030","E02007108",2801,2219,497,85
2021,"Hackney 031","E02007109",3302,2344,781,177
2021,"Hackney 032","E02007110",3361,2600,649,112
2021,"Hackney 033","E02007111",2816,2358,393,65
2021,"Tower Hamlets 034","E02007112",2917,2581,267,69
2021,"Tower Hamlets 035","E02007113",3267,2742,417,108
2021,"Tower Hamlets 036","E02007114",3033,2428,468,137
2021,"Camden 029","E02007115",4469,3068,1172,229
