"date","geography","geography code","Number of disabled people in household: Total: All households","Number of disabled people in household: No people disabled under the Equality Act in household","Number of disabled people in household: 1 person disabled under the Equality Act in household","Number of disabled people in household: 2 or more people disabled under the Equality Act in household"
2021,"Brent 028","E02000120",4241,3284,816,141
2021,"Brent 029","E02000121",3627,2803,634,190
2021,"Brent 030","E02000122",3160,2320,683,157
2021,"Brent 031","E02000123",5538,4030,1259,249
2021,"Brent 032","E02000124",4161,3237,779,145
2021,"Brent 033","E02000125",3942,2892,873,177
2021,"Brent 034","E02000126",3406,2392,836,178
2021,"Bromley 001","E02000127",3785,2533,986,266
2021,"Bromley 002","E02000128",3062,2227,674,161
2021,"Bromley 004","E02000130",3665,2714,795,156
2021,"Bromley 005","E02000131",5068,3893,1014,161
2021,"Bromley 006","E02000132",4942,3890,916,136
2021,"Bromley 007","E02000133",4328,3402,744,182
2021,"Bromley 008","E02000134",5300,3991,1130,179
2021,"Bromley 009","E02000135",4443,3068,1148,227
2021,"Bromley 010","E02000136",2295,1575,574,146
2021,"Bromley 011","E02000137",3676,2863,681,132
2021,"Bromley 012","E02000138",4139,3187,816,136
2021,"Bromley 013","E02000139",3308,2512,677,119
2021,"Bromley 014","E02000140",3338,2048,1000,290
2021,"Bromley 015","E02000141",3093,2327,637,129
2021,"Bromley 016","E02000142",3453,2662,661,130
2021,"Bromley 018","E02000144",4309,3378,776,155
2021,"Bromley 019","E02000145",3514,2292,943,279
2021,"Bromley 020","E02000146",4040,3032,837,171
2021,"Bromley 021","E02000147",3167,2428,622,117
2021,"Bromley 022","E02000148",2699,2004,582,113
2021,"Bromley 023","E02000149",3284,2289,789,206
2021,"Bromley 024","E02000150",3115,2295,663,157
2021,"Bromley 025","E02000151",2971,2218,615,138
2021,"Bromley 026","E02000152",3096,2115,750,231
2021,"Bromley 027","E02000153",2895,2183,563,149
2021,"Bromley 028","E02000154",3573,2657,746,170
2021,"Bromley 029","E02000155",3042,2057,787,198
2021,"Bromley 030","E02000156",4861,3510,1085,266
2021,"Bromley 031","E02000157",3279,2397,708,174
2021,"Bromley 032","E02000158",3034,2063,749,222
2021,"Bromley 033","E02000159",2822,2126,556,140
2021,"Bromley 034","E02000160",3042,2210,671,161
2021,"Bromley 035","E02000161",3346,2484,702,160
2021,"Bromley 036","E02000162",2964,2064,716,184
2021,"Bromley 037","E02000163",3068,2196,697,175
2021,"Bromley 039","E02000165",2741,1988,599,154
2021,"Camden 001","E02000166",3393,2304,912,177
2021,"Camden 002","E02000167",3373,2680,609,84
2021,"Camden 003","E02000168",3494,2538,806,150
2021,"Camden 004","E02000169",3027,2436,497,94
2021,"Camden 005","E02000170",3464,2657,664,143
2021,"Camden 006","E02000171",3330,2404,763,163
2021,"Camden 007","E02000172",4035,2539,1224,272
2021,"Camden 008","E02000173",3501,2830,583,88
2021,"Camden 009","E02000174",3550,2414,932,204
2021,"Camden 010","E02000175",4308,3305,841,162
2021,"Camden 011","E02000176",3001,2420,529,52
2021,"Camden 012","E02000177",3654,2427,1022,205
2021,"Camden 013","E02000178",4166,2966,1008,192
2021,"Camden 014","E02000179",2548,1936,521,91
2021,"Camden 015","E02000180",3516,2451,888,177
2021,"Camden 016","E02000181",3752,2980,655,117
2021,"Camden 017","E02000182",3082,2388,590,104
2021,"Camden 018","E02000183",3617,2623,829,165
2021,"Camden 019","E02000184",3634,2470,946,218
2021,"Camden 020","E02000185",4069,2793,1083,193
2021,"Camden 021","E02000186",2941,2184,654,103
2021,"Camden 022","E02000187",3817,2424,1121,272
2021,"Camden 023","E02000188",2719,1783,757,179
2021,"Camden 026","E02000191",2106,1621,421,64
2021,"Camden 027","E02000192",3090,2165,771,154
2021,"Camden 028","E02000193",3101,2314,698,89
2021,"Croydon 001","E02000194",4203,3177,883,143
2021,"Croydon 002","E02000195",3488,2525,787,176
2021,"Croydon 003","E02000196",2816,1941,662,213
2021,"Croydon 004","E02000197",3316,2450,665,201
2021,"Croydon 005","E02000198",3502,2529,794,179
2021,"Croydon 006","E02000199",3207,2394,637,176
2021,"Croydon 007","E02000200",4002,3019,827,156
2021,"Croydon 008","E02000201",3820,2768,878,174
2021,"Croydon 009","E02000202",3035,2155,699,181
2021,"Croydon 010","E02000203",3119,2253,705,161
2021,"Croydon 011","E02000204",3227,2288,738,201
2021,"Croydon 013","E02000206",4465,3270,992,203
2021,"Croydon 014","E02000207",3560,2464,862,234
