"date","geography","geography code","Sex: All persons; measures: Value","Sex: Female; measures: Value","Sex: Male; measures: Value"
2021,"City of London 001","E02000001",163,83,80
2021,"Barking and Dagenham 001","E02000002",11,5,6
2021,"Barking and Dagenham 002","E02000003",42,22,20
2021,"Barking and Dagenham 003","E02000004",12,7,5
2021,"Barking and Dagenham 004","E02000005",22,13,9
2021,"Barking and Dagenham 006","E02000007",18,10,8
2021,"Barking and Dagenham 007","E02000008",44,17,27
2021,"Barking and Dagenham 008","E02000009",36,16,20
2021,"Barking and Dagenham 009","E02000010",20,11,9
2021,"Barking and Dagenham 010","E02000011",21,13,8
2021,"Barking and Dagenham 011","E02000012",19,12,7
2021,"Barking and Dagenham 012","E02000013",14,9,5
2021,"Barking and Dagenham 013","E02000014",28,19,9
2021,"Barking and Dagenham 014","E02000015",24,15,9
2021,"Barking and Dagenham 015","E02000016",75,47,28
2021,"Barking and Dagenham 016","E02000017",40,19,21
2021,"Barking and Dagenham 017","E02000018",17,10,7
2021,"Barking and Dagenham 018","E02000019",23,9,14
2021,"Barking and Dagenham 019","E02000020",45,23,22
2021,"Barking and Dagenham 020","E02000021",35,16,19
2021,"Barking and Dagenham 021","E02000022",21,11,10
2021,"Barking and Dagenham 022","E02000023",25,14,11
2021,"Barking and Dagenham 023","E02006799",41,23,18
2021,"Barnet 001","E02000024",23,11,12
2021,"Barnet 002","E02000025",20,13,7
2021,"Barnet 003","E02000026",6,4,2
2021,"Barnet 004","E02000027",20,12,8
2021,"Barnet 005","E02000028",11,7,4
2021,"Barnet 006","E02000029",14,8,6
2021,"Barnet 007","E02000030",22,15,7
2021,"Barnet 008","E02000031",28,16,12
2021,"Barnet 009","E02000032",14,5,9
2021,"Barnet 010","E02000033",23,15,8
2021,"Barnet 011","E02000034",21,15,6
2021,"Barnet 012","E02000035",43,21,22
2021,"Barnet 013","E02000036",24,17,7
2021,"Barnet 014","E02000037",31,19,12
2021,"Barnet 015","E02000038",26,18,8
2021,"Barnet 016","E02000039",23,13,10
2021,"Barnet 017","E02000040",57,27,30
2021,"Barnet 018","E02000041",33,15,18
2021,"Barnet 019","E02000042",46,24,22
2021,"Barnet 020","E02000043",23,17,6
2021,"Barnet 021","E02000044",24,13,11
2021,"Barnet 022","E02000045",24,14,10
2021,"Barnet 023","E02000046",19,12,7
2021,"Barnet 024","E02000047",61,29,32
2021,"Barnet 025","E02000048",25,12,13
