"date","geography","geography code","Tenure of household: Total: All households","Tenure of household: Owned","Tenure of household: Owned: Owns outright","Tenure of household: Owned: Owns with a mortgage or loan","Tenure of household: Shared ownership","Tenure of household: Shared ownership: Shared ownership","Tenure of household: Social rented","Tenure of household: Social rented: Rents from council or Local Authority","Tenure of household: Social rented: Other social rented","Tenure of household: Private rented","Tenure of household: Private rented: Private landlord or letting agency","Tenure of household: Private rented: Other private rented","Tenure of household: Lives rent free"
2021,"Greenwich 032","E02000344",2448,1819,853,966,12,12,292,203,89,320,273,47,5
2021,"Hackney 001","E02000345",2589,661,381,280,99,99,575,191,384,1252,1130,122,2
2021,"Hackney 002","E02000346",3972,557,230,327,185,185,1886,1123,763,1329,1240,89,15
2021,"Hackney 003","E02000347",2582,614,299,315,27,27,866,483,383,1071,1016,55,4
2021,"Hackney 004","E02000348",2721,467,254,213,36,36,1344,527,817,865,809,56,9
2021,"Hackney 006","E02000350",3696,1154,516,638,76,76,888,274,614,1574,1473,101,4
2021,"Hackney 007","E02000351",4228,1239,445,794,97,97,1181,573,608,1690,1615,75,21
2021,"Hackney 008","E02000352",2686,924,390,534,57,57,995,480,515,704,652,52,6
2021,"Hackney 009","E02000353",3156,1319,564,755,21,21,654,315,339,1160,1095,65,2
2021,"Hackney 010","E02000354",3989,1026,317,709,68,68,1777,961,816,1109,1042,67,9
2021,"Hackney 011","E02000355",3114,1291,591,700,48,48,745,319,426,1024,948,76,6
2021,"Hackney 012","E02000356",3061,1276,480,796,37,37,731,401,330,1013,959,54,4
2021,"Hackney 013","E02000357",2721,447,173,274,14,14,1812,847,965,440,402,38,8
2021,"Hackney 014","E02000358",4817,1340,465,875,80,80,1787,958,829,1599,1480,119,11
2021,"Hackney 015","E02000359",2434,995,402,593,22,22,780,400,380,636,608,28,1
2021,"Hackney 016","E02000360",4850,862,300,562,103,103,2838,813,2025,1035,966,69,12
2021,"Hackney 017","E02000361",3679,833,306,527,74,74,1288,618,670,1480,1419,61,4
2021,"Hackney 018","E02000362",2805,646,201,445,132,132,1251,572,679,772,710,62,4
2021,"Hackney 019","E02000363",4442,749,254,495,170,170,2742,1743,999,766,716,50,15
2021,"Hackney 020","E02000364",4099,1288,558,730,98,98,1583,655,928,1125,1029,96,5
2021,"Hackney 022","E02000366",3540,814,340,474,53,53,1973,689,1284,688,637,51,12
2021,"Hackney 023","E02000367",4593,1129,373,756,189,189,1583,605,978,1682,1574,108,10
2021,"Hackney 024","E02000368",4154,783,276,507,55,55,2402,1770,632,902,827,75,12
2021,"Hackney 025","E02000369",5929,1011,344,667,360,360,2732,1654,1078,1808,1658,150,18
2021,"Hackney 026","E02000370",3992,770,303,467,186,186,1885,1425,460,1140,1048,92,11
2021,"Hammersmith and Fulham 001","E02000372",3877,804,436,368,109,109,1970,488,1482,987,874,113,7
2021,"Hammersmith and Fulham 002","E02000373",2536,449,180,269,65,65,1579,1419,160,426,406,20,17
2021,"Hammersmith and Fulham 003","E02000374",2621,880,416,464,30,30,967,357,610,742,674,68,2
2021,"Hammersmith and Fulham 004","E02000375",3498,769,390,379,40,40,1424,774,650,1249,1158,91,16
2021,"Hammersmith and Fulham 005","E02000376",3181,732,307,425,45,45,1045,358,687,1353,1275,78,6
2021,"Hammersmith and Fulham 006","E02000377",3446,971,441,530,65,65,1184,446,738,1219,1150,69,7
2021,"Hammersmith and Fulham 007","E02000378",3250,927,406,521,20,20,883,496,387,1409,1332,77,11
2021,"Hammersmith and Fulham 008","E02000379",3104,1342,632,710,118,118,772,261,511,872,804,68,0
2021,"Hammersmith and Fulham 009","E02000380",2497,1039,499,540,19,19,639,145,494,797,729,68,3
2021,"Hammersmith and Fulham 010","E02000381",3546,1192,591,601,9,9,934,343,591,1407,1319,88,4
2021,"Hammersmith and Fulham 011","E02000382",2772,1009,531,478,73,73,650,246,404,1038,964,74,2
2021,"Hammersmith and Fulham 012","E02000383",4112,1241,688,553,25,25,919,432,487,1917,1794,123,10
2021,"Hammersmith and Fulham 013","E02000384",3807,835,396,439,42,42,1485,732,753,1431,1313,118,14
2021,"Hammersmith and Fulham 014","E02000385",2853,905,408,497,21,21,494,201,293,1430,1312,118,3
2021,"Hammersmith and Fulham 015","E02000386",3366,655,293,362,35,35,1539,1138,401,1127,1056,71,10
2021,"Hammersmith and Fulham 016","E02000387",2583,665,299,366,16,16,1074,661,413,823,757,66,5
2021,"Hammersmith and Fulham 017","E02000388",4133,1210,543,667,58,58,1146,403,743,1715,1571,144,4
2021,"Hammersmith and Fulham 018","E02000389",3678,1759,837,922,42,42,533,365,168,1343,1224,119,1
2021,"Hammersmith and Fulham 019","E02000390",2719,991,456,535,12,12,648,244,404,1062,976,86,6
2021,"Hammersmith and Fulham 020","E02000391",3279,1375,688,687,22,22,764,398,366,1113,1010,103,5
2021,"Hammersmith and Fulham 021","E02000392",4039,1405,664,741,46,46,1014,750,264,1567,1458,109,7
2021,"Hammersmith and Fulham 022","E02000393",2587,1206,554,652,18,18,306,138,168,1051,982,69,6
2021,"Hammersmith and Fulham 023","E02000394",4346,1394,583,811,201,201,1191,434,757,1555,1399,156,5
2021,"Hammersmith and Fulham 024","E02000395",2642,1267,738,529,31,31,311,145,166,1030,929,101,3
2021,"Hammersmith and Fulham 025","E02000396",2769,1065,506,559,45,45,764,468,296,893,816,77,2
2021,"Haringey 001","E02000397",3474,1068,495,573,38,38,858,406,452,1502,1408,94,8
2021,"Haringey 002","E02000398",2879,639,296,343,31,31,1229,887,342,965,917,48,15
2021,"Haringey 004","E02000400",3122,1269,635,634,70,70,921,502,419,847,800,47,15
2021,"Haringey 005","E02000401",2477,867,341,526,20,20,1088,842,246,488,454,34,14
2021,"Haringey 006","E02000402",2426,660,260,400,30,30,1104,822,282,612,574,38,20
2021,"Haringey 007","E02000403",2991,1030,492,538,30,30,462,218,244,1466,1390,76,3
2021,"Haringey 008","E02000404",2665,909,468,441,27,27,805,595,210,909,854,55,15
2021,"Haringey 009","E02000405",2462,1688,816,872,9,9,187,113,74,576,540,36,2
2021,"Haringey 010","E02000406",2594,825,374,451,20,20,901,829,72,830,757,73,18
2021,"Haringey 011","E02000407",3006,794,353,441,60,60,913,370,543,1225,1163,62,14
2021,"Haringey 012","E02000408",3000,738,348,390,71,71,1201,739,462,973,904,69,17
2021,"Haringey 013","E02000409",2367,755,343,412,19,19,1023,691,332,545,495,50,25
2021,"Haringey 014","E02000410",2614,1499,681,818,9,9,187,58,129,918,873,45,1
2021,"Haringey 015","E02000411",3952,1204,502,702,129,129,1209,637,572,1387,1300,87,23
2021,"Haringey 016","E02000412",2870,725,357,368,97,97,995,498,497,1045,985,60,8
2021,"Haringey 017","E02000413",2966,1625,789,836,46,46,459,313,146,827,784,43,9
2021,"Haringey 018","E02000414",2717,1057,499,558,19,19,449,172,277,1185,1088,97,7
2021,"Haringey 019","E02000415",2836,1086,550,536,49,49,446,212,234,1251,1137,114,4
2021,"Haringey 020","E02000416",3919,1261,461,800,144,144,1199,758,441,1297,1239,58,18
2021,"Haringey 021","E02000417",2865,1619,851,768,17,17,245,128,117,980,919,61,4
2021,"Haringey 022","E02000418",2208,1505,733,772,28,28,243,208,35,428,390,38,4
2021,"Haringey 023","E02000419",3645,1278,575,703,35,35,496,221,275,1831,1764,67,5
2021,"Haringey 024","E02000420",3434,981,424,557,58,58,1078,477,601,1294,1219,75,23
2021,"Haringey 025","E02000421",3141,640,286,354,105,105,1252,649,603,1125,1037,88,19
2021,"Haringey 026","E02000422",2887,931,420,511,47,47,838,562,276,1041,964,77,30
2021,"Haringey 027","E02000423",2672,1029,480,549,27,27,432,293,139,1180,1121,59,4
2021,"Haringey 028","E02000424",2983,1407,511,896,25,25,761,277,484,786,737,49,4
2021,"Haringey 029","E02000425",2160,603,367,236,48,48,422,226,196,1081,993,88,6
2021,"Haringey 030","E02000426",2747,1469,819,650,22,22,444,308,136,808,716,92,4
2021,"Haringey 031","E02000427",2868,1157,515,642,46,46,359,148,211,1303,1244,59,3
2021,"Haringey 032","E02000428",2920,670,303,367,45,45,1114,827,287,1083,1022,61,8
2021,"Haringey 033","E02000429",3202,1674,833,841,91,91,411,148,263,1022,961,61,4
2021,"Haringey 034","E02000430",3249,1462,629,833,35,35,418,148,270,1331,1274,57,3
2021,"Haringey 035","E02000431",2846,1369,670,699,8,8,196,92,104,1268,1197,71,5
2021,"Haringey 036","E02000432",2800,1085,416,669,11,11,706,421,285,992,931,61,6
2021,"Harrow 001","E02000433",3542,2193,1251,942,31,31,410,123,287,906,813,93,2
2021,"Harrow 002","E02000434",3638,2140,1180,960,100,100,310,154,156,1083,958,125,5
2021,"Harrow 003","E02000435",2809,1623,870,753,36,36,541,369,172,599,466,133,10
2021,"Harrow 004","E02000436",2043,1720,934,786,6,6,70,57,13,246,215,31,1
2021,"Harrow 005","E02000437",3088,1956,1039,917,23,23,338,156,182,767,708,59,4
2021,"Harrow 006","E02000438",3046,1709,894,815,12,12,626,378,248,690,629,61,9
2021,"Harrow 007","E02000439",2948,1585,847,738,31,31,304,245,59,1022,957,65,6
2021,"Harrow 008","E02000440",3055,2335,1183,1152,6,6,99,79,20,612,539,73,3
2021,"Harrow 009","E02000441",2795,1668,888,780,23,23,501,380,121,593,539,54,10
2021,"Harrow 010","E02000442",2667,1541,840,701,9,9,111,64,47,1006,929,77,0
2021,"Harrow 011","E02000443",3546,1606,751,855,34,34,545,326,219,1352,1274,78,9
2021,"Harrow 012","E02000444",2670,1760,946,814,9,9,73,37,36,824,755,69,4
2021,"Harrow 013","E02000445",3820,1773,874,899,116,116,524,188,336,1399,1322,77,8
2021,"Harrow 015","E02000447",2744,1984,873,1111,19,19,201,109,92,539,489,50,1
2021,"Harrow 016","E02000448",2759,1927,1081,846,29,29,212,129,83,589,555,34,2
2021,"Harrow 017","E02000449",2527,1335,771,564,15,15,425,306,119,742,659,83,10
2021,"Harrow 019","E02000451",2329,1791,949,842,21,21,44,30,14,470,417,53,3
2021,"Harrow 020","E02000452",3451,1484,655,829,41,41,227,71,156,1695,1601,94,4
2021,"Harrow 021","E02000453",3046,1641,820,821,56,56,226,85,141,1116,1055,61,7
2021,"Harrow 022","E02000454",2524,2056,1014,1042,3,3,101,67,34,362,330,32,2
2021,"Harrow 023","E02000455",4758,1839,761,1078,80,80,636,289,347,2193,2096,97,10
2021,"Harrow 024","E02000456",2716,1584,820,764,32,32,273,161,112,818,770,48,9
2021,"Harrow 025","E02000457",2563,1603,827,776,65,65,190,32,158,701,641,60,4
2021,"Harrow 027","E02000459",3418,1493,701,792,59,59,593,316,277,1266,1209,57,7
2021,"Harrow 028","E02000460",2415,1159,431,728,19,19,659,156,503,574,523,51,4
2021,"Harrow 029","E02000461",2557,1349,632,717,30,30,138,94,44,1037,882,155,3
2021,"Harrow 030","E02000462",2285,1262,652,610,20,20,182,48,134,821,745,76,0
2021,"Harrow 031","E02000463",2834,1650,740,910,14,14,518,387,131,640,593,47,12
2021,"Havering 001","E02000464",2873,1726,756,970,15,15,799,676,123,331,293,38,2
2021,"Havering 002","E02000465",3494,1845,679,1166,29,29,1150,994,156,466,421,45,4
2021,"Havering 003","E02000466",3293,2111,1037,1074,37,37,760,591,169,384,331,53,1
2021,"Havering 004","E02000467",4289,1616,573,1043,51,51,2040,1719,321,563,492,71,19
2021,"Havering 005","E02000468",3167,2324,1121,1203,25,25,366,254,112,447,394,53,5
2021,"Havering 006","E02000469",2699,1503,615,888,17,17,815,654,161,357,320,37,7
2021,"Havering 007","E02000470",4132,3012,1438,1574,43,43,322,140,182,752,670,82,3
2021,"Havering 008","E02000471",2943,2644,1507,1137,9,9,58,42,16,230,196,34,2
2021,"Havering 009","E02000472",3527,2781,1356,1425,20,20,242,215,27,484,427,57,0
2021,"Havering 010","E02000473",4022,3104,1439,1665,97,97,247,105,142,572,529,43,2
2021,"Havering 011","E02000474",3531,2317,1038,1279,56,56,516,411,105,639,592,47,3
2021,"Havering 012","E02000475",3958,2765,1433,1332,35,35,412,241,171,742,689,53,4
2021,"Havering 013","E02000476",4198,1757,758,999,150,150,752,276,476,1537,1456,81,2
2021,"Havering 014","E02000477",3714,3137,1615,1522,6,6,99,62,37,472,431,41,0
2021,"Havering 015","E02000478",2150,1902,1111,791,3,3,114,15,99,130,111,19,1
2021,"Havering 016","E02000479",3789,2141,907,1234,47,47,460,319,141,1133,1061,72,8
2021,"Havering 017","E02000480",5012,2659,1110,1549,84,84,948,378,570,1311,1217,94,10
2021,"Havering 018","E02000481",3246,2636,1484,1152,19,19,239,217,22,349,281,68,3
2021,"Havering 019","E02000482",2577,2317,1308,1009,4,4,49,40,9,207,184,23,0
2021,"Havering 020","E02000483",3473,2283,1272,1011,6,6,470,286,184,712,663,49,2
2021,"Havering 021","E02000484",3253,2663,1363,1300,13,13,194,150,44,380,331,49,3
2021,"Havering 022","E02000485",3458,2609,1315,1294,10,10,198,171,27,640,579,61,1
2021,"Havering 023","E02000486",2990,2422,1299,1123,4,4,100,62,38,463,402,61,1
2021,"Havering 024","E02000487",2944,2740,1603,1137,5,5,39,27,12,160,130,30,0
2021,"Havering 025","E02000488",3014,2642,1497,1145,17,17,87,53,34,268,225,43,0
2021,"Havering 026","E02000489",3260,2312,1138,1174,27,27,488,404,84,430,376,54,3
2021,"Havering 027","E02000490",3227,2366,1216,1150,16,16,428,306,122,414,356,58,3
2021,"Havering 028","E02000491",3931,2338,1018,1320,102,102,936,386,550,550,484,66,5
2021,"Havering 029","E02000492",2625,2196,1244,952,10,10,128,40,88,287,255,32,4
2021,"Havering 030","E02000493",2497,1511,668,843,23,23,352,193,159,609,556,53,2
2021,"Hillingdon 001","E02000494",3219,2163,1161,1002,8,8,426,117,309,622,536,86,0
2021,"Hillingdon 002","E02000495",4304,2307,1238,1069,18,18,571,346,225,1408,1322,86,0
2021,"Hillingdon 003","E02000496",3176,2089,1049,1040,20,20,637,504,133,428,366,62,2
2021,"Hillingdon 004","E02000497",3695,2395,1172,1223,39,39,700,462,238,558,487,71,3
2021,"Hillingdon 005","E02000498",2637,1860,943,917,22,22,424,257,167,329,284,45,2
2021,"Hillingdon 006","E02000499",3014,2406,1338,1068,10,10,171,133,38,427,395,32,0
2021,"Hillingdon 007","E02000500",3306,2357,1322,1035,35,35,195,27,168,719,669,50,0
2021,"Hillingdon 008","E02000501",3274,2514,1211,1303,12,12,239,120,119,506,453,53,3
2021,"Hillingdon 009","E02000502",3534,2347,1114,1233,52,52,193,114,79,940,739,201,2
2021,"Hillingdon 010","E02000503",3255,2555,1184,1371,22,22,113,37,76,563,435,128,2
2021,"Hillingdon 011","E02000504",2922,2385,1287,1098,9,9,112,85,27,414,317,97,2
2021,"Hillingdon 013","E02000506",2899,2328,1287,1041,5,5,175,53,122,391,335,56,0
2021,"Hillingdon 014","E02000507",2785,2023,866,1157,17,17,262,191,71,483,441,42,0
2021,"Hillingdon 015","E02000508",4340,2034,772,1262,98,98,733,387,346,1471,1243,228,4
2021,"Hillingdon 016","E02000509",3402,1386,661,725,66,66,813,582,231,1127,1045,82,10
2021,"Hillingdon 017","E02000510",3260,2083,1011,1072,14,14,410,189,221,750,688,62,3
2021,"Hillingdon 018","E02000511",3262,2196,990,1206,68,68,267,150,117,730,656,74,1
2021,"Hillingdon 019","E02000512",3106,1435,607,828,35,35,804,574,230,828,776,52,4
2021,"Hillingdon 020","E02000513",3320,1405,535,870,42,42,959,703,256,910,851,59,4
2021,"Hillingdon 021","E02000514",3180,1812,856,956,26,26,237,109,128,1104,996,108,1
2021,"Hillingdon 022","E02000515",5345,2213,887,1326,148,148,1144,626,518,1831,1722,109,9
2021,"Hillingdon 023","E02000516",2818,1464,657,807,54,54,537,102,435,760,699,61,3
2021,"Hillingdon 024","E02000517",3320,1533,588,945,38,38,831,548,283,916,863,53,2
2021,"Hillingdon 025","E02000518",3330,1544,649,895,39,39,1031,741,290,710,656,54,6
2021,"Hillingdon 026","E02000519",3024,1214,508,706,49,49,1019,694,325,723,663,60,19
2021,"Hillingdon 027","E02000520",4455,1787,720,1067,96,96,942,467,475,1619,1507,112,11
2021,"Hillingdon 028","E02000521",4352,1878,658,1220,129,129,1156,492,664,1184,1110,74,5
2021,"Hillingdon 029","E02000522",3490,1679,745,934,47,47,867,484,383,894,816,78,3
2021,"Hillingdon 030","E02000523",3683,1673,746,927,87,87,415,96,319,1497,1403,94,11
2021,"Hillingdon 031","E02000524",2639,1124,601,523,14,14,362,161,201,1136,1072,64,3
2021,"Hillingdon 032","E02000525",3318,1346,609,737,22,22,537,364,173,1396,1312,84,17
2021,"Hounslow 001","E02000526",3617,1881,978,903,48,48,407,215,192,1280,1200,80,1
2021,"Hounslow 004","E02000529",3037,1514,643,871,52,52,555,367,188,906,819,87,10
2021,"Hounslow 005","E02000530",2516,846,355,491,35,35,1066,915,151,551,493,58,18
2021,"Hounslow 006","E02000531",4936,2249,950,1299,204,204,1059,755,304,1412,1308,104,12
2021,"Hounslow 007","E02000532",3819,2106,1079,1027,15,15,769,583,186,917,829,88,12
2021,"Hounslow 008","E02000533",3689,1947,925,1022,16,16,643,395,248,1073,991,82,10
2021,"Hounslow 009","E02000534",3001,1711,833,878,53,53,200,34,166,1037,930,107,0
2021,"Hounslow 010","E02000535",3006,1664,909,755,27,27,408,246,162,897,823,74,10
2021,"Hounslow 011","E02000536",3246,1625,839,786,78,78,523,179,344,1004,932,72,16
2021,"Hounslow 012","E02000537",3158,1652,909,743,8,8,86,35,51,1408,1318,90,4
2021,"Hounslow 013","E02000538",3004,1266,669,597,38,38,449,383,66,1243,1100,143,8
2021,"Hounslow 014","E02000539",4737,2215,815,1400,131,131,1085,507,578,1302,1198,104,4
2021,"Hounslow 015","E02000540",4487,1791,767,1024,204,204,919,346,573,1561,1486,75,12
2021,"Hounslow 016","E02000541",3281,1150,682,468,28,28,952,327,625,1137,1047,90,14
2021,"Hounslow 017","E02000542",3952,1249,635,614,116,116,950,519,431,1623,1536,87,14
2021,"Hounslow 018","E02000543",4894,1560,759,801,113,113,648,277,371,2564,2458,106,9
2021,"Hounslow 019","E02000544",2923,1989,1007,982,22,22,142,78,64,765,702,63,5
2021,"Hounslow 020","E02000545",3548,1591,648,943,40,40,1180,966,214,733,687,46,4
2021,"Hounslow 021","E02000546",3157,1471,727,744,54,54,486,218,268,1144,1078,66,2
2021,"Hounslow 022","E02000547",3852,1920,844,1076,31,31,920,755,165,944,871,73,37
2021,"Hounslow 023","E02000548",3726,1433,549,884,269,269,1237,688,549,777,726,51,10
2021,"Hounslow 024","E02000549",4078,2335,1033,1302,50,50,738,487,251,946,836,110,9
2021,"Hounslow 025","E02000550",3718,1437,494,943,128,128,1226,737,489,922,858,64,5
2021,"Hounslow 026","E02000551",3415,1253,500,753,68,68,1473,823,650,605,562,43,16
2021,"Hounslow 027","E02000552",3360,1914,738,1176,106,106,387,161,226,947,899,48,6
2021,"Hounslow 028","E02000553",2599,1552,691,861,52,52,550,458,92,439,400,39,6
2021,"Islington 001","E02000554",4200,982,385,597,36,36,2173,1584,589,973,921,52,36
2021,"Islington 002","E02000555",4032,1366,589,777,74,74,1489,1028,461,1093,1035,58,10
2021,"Islington 003","E02000556",4949,1444,555,889,58,58,1552,957,595,1855,1756,99,40
2021,"Islington 004","E02000557",4139,968,388,580,38,38,1811,963,848,1311,1238,73,11
2021,"Islington 005","E02000558",3957,576,257,319,28,28,2308,1633,675,1020,954,66,25
2021,"Islington 006","E02000559",3998,1532,635,897,53,53,1039,531,508,1372,1277,95,2
2021,"Islington 007","E02000560",3273,945,400,545,30,30,817,428,389,1474,1382,92,7
2021,"Islington 008","E02000561",3158,1442,691,751,19,19,758,270,488,937,864,73,2
2021,"Islington 009","E02000562",3488,1193,503,690,34,34,1321,971,350,923,852,71,17
2021,"Islington 010","E02000563",3859,866,337,529,48,48,1857,1358,499,1070,984,86,18
2021,"Islington 011","E02000564",5663,1356,493,863,276,276,1906,957,949,2115,1995,120,10
2021,"Islington 012","E02000565",3496,809,317,492,34,34,1633,1297,336,1009,923,86,11
2021,"Islington 013","E02000566",3839,1405,666,739,62,62,1070,570,500,1294,1206,88,8
2021,"Islington 014","E02000567",4894,1422,551,871,51,51,1970,1460,510,1442,1348,94,9
2021,"Islington 015","E02000568",4669,832,325,507,140,140,2426,1269,1157,1252,1171,81,19
2021,"Islington 016","E02000569",4603,1170,536,634,73,73,2171,1373,798,1176,1075,101,13
2021,"Islington 017","E02000570",3990,1498,738,760,14,14,1077,530,547,1397,1294,103,4
2021,"Islington 018","E02000571",4122,1035,419,616,45,45,1888,1211,677,1139,1068,71,15
2021,"Islington 019","E02000572",3523,464,209,255,46,46,2147,918,1229,854,809,45,12
2021,"Islington 020","E02000573",4920,1508,798,710,178,178,1433,733,700,1799,1694,105,2
2021,"Islington 021","E02000574",3605,894,445,449,54,54,1331,829,502,1318,1227,91,8
2021,"Islington 022","E02000575",5170,1209,559,650,64,64,2028,1584,444,1855,1709,146,14
2021,"Islington 023","E02000576",4949,822,354,468,129,129,2581,1628,953,1403,1302,101,14
2021,"Kensington and Chelsea 001","E02000577",3175,352,156,196,67,67,2252,1317,935,491,421,70,13
2021,"Kensington and Chelsea 002","E02000578",2309,274,140,134,87,87,1676,527,1149,246,200,46,26
2021,"Kensington and Chelsea 003","E02000579",3820,1089,583,506,88,88,1740,549,1191,895,798,97,8
2021,"Kensington and Chelsea 004","E02000580",3989,677,349,328,33,33,2185,571,1614,1082,986,96,12
2021,"Kensington and Chelsea 005","E02000581",3011,350,199,151,88,88,2098,1234,864,458,414,44,17
2021,"Kensington and Chelsea 006","E02000582",3270,1177,763,414,46,46,484,128,356,1557,1383,174,6
2021,"Kensington and Chelsea 007","E02000583",3119,1269,786,483,21,21,693,126,567,1135,991,144,1
2021,"Kensington and Chelsea 008","E02000584",3331,1528,1015,513,22,22,277,130,147,1501,1317,184,3
2021,"Kensington and Chelsea 009","E02000585",3387,1333,844,489,34,34,572,147,425,1446,1287,159,2
2021,"Kensington and Chelsea 010","E02000586",2883,1211,843,368,14,14,130,25,105,1526,1337,189,2
2021,"Kensington and Chelsea 011","E02000587",3026,1304,871,433,6,6,153,38,115,1561,1425,136,2
2021,"Kensington and Chelsea 012","E02000588",3077,1064,728,336,17,17,145,78,67,1849,1604,245,2
2021,"Kensington and Chelsea 013","E02000589",3660,1123,665,458,17,17,372,28,344,2148,1981,167,0
2021,"Kensington and Chelsea 014","E02000590",3047,820,576,244,8,8,984,352,632,1231,1108,123,4
2021,"Kensington and Chelsea 015","E02000591",3241,767,456,311,36,36,1019,164,855,1415,1322,93,4
2021,"Kensington and Chelsea 016","E02000592",2840,1081,723,358,8,8,226,30,196,1525,1357,168,0
2021,"Kensington and Chelsea 017","E02000593",3684,1171,640,531,16,16,639,161,478,1851,1699,152,7
2021,"Kensington and Chelsea 018","E02000594",2922,1183,805,378,8,8,487,132,355,1240,1037,203,4
2021,"Kensington and Chelsea 019","E02000595",3025,1353,914,439,10,10,499,338,161,1156,984,172,7
2021,"Kensington and Chelsea 020","E02000596",3073,1252,790,462,11,11,354,194,160,1454,1300,154,2
2021,"Kensington and Chelsea 021","E02000597",2997,813,456,357,38,38,1448,886,562,694,610,84,4
2021,"Kingston upon Thames 001","E02000598",2970,2275,1137,1138,21,21,216,56,160,455,422,33,3
2021,"Kingston upon Thames 002","E02000599",2354,1806,996,810,5,5,80,66,14,461,403,58,2
2021,"Kingston upon Thames 003","E02000600",3377,1732,798,934,8,8,418,329,89,1211,1112,99,8
2021,"Kingston upon Thames 004","E02000601",4857,2555,1129,1426,95,95,571,283,288,1628,1441,187,8
2021,"Kingston upon Thames 005","E02000602",4049,1614,660,954,35,35,1159,908,251,1225,1152,73,16
2021,"Kingston upon Thames 006","E02000603",2953,1444,648,796,53,53,689,453,236,762,706,56,5
2021,"Kingston upon Thames 007","E02000604",3559,2189,1011,1178,36,36,236,168,68,1096,1014,82,2
2021,"Kingston upon Thames 008","E02000605",3115,2203,1103,1100,7,7,184,110,74,718,657,61,3
2021,"Kingston upon Thames 009","E02000606",4811,2211,1018,1193,25,25,336,162,174,2236,2114,122,3
2021,"Kingston upon Thames 010","E02000607",2583,1663,750,913,5,5,205,139,66,709,667,42,1
2021,"Kingston upon Thames 011","E02000608",3405,1495,599,896,13,13,313,98,215,1582,1508,74,2
2021,"Kingston upon Thames 012","E02000609",2740,1861,980,881,10,10,342,294,48,522,470,52,5
2021,"Kingston upon Thames 013","E02000610",3871,1631,661,970,21,21,650,408,242,1561,1488,73,8
2021,"Kingston upon Thames 014","E02000611",2652,2299,1200,1099,12,12,68,44,24,272,245,27,1
2021,"Kingston upon Thames 015","E02000612",3080,2453,1277,1176,8,8,135,81,54,483,435,48,1
2021,"Kingston upon Thames 016","E02000613",3192,2055,798,1257,13,13,349,207,142,774,733,41,1
2021,"Kingston upon Thames 017","E02000614",3374,2094,863,1231,35,35,295,181,114,946,856,90,4
2021,"Kingston upon Thames 018","E02000615",2956,2239,1053,1186,18,18,209,165,44,488,425,63,2
2021,"Kingston upon Thames 019","E02000616",2390,1915,843,1072,21,21,132,75,57,321,284,37,1
2021,"Kingston upon Thames 020","E02000617",3344,2205,994,1211,18,18,656,419,237,463,403,60,2
2021,"Lambeth 002","E02000619",4054,1037,418,619,47,47,2135,1361,774,825,732,93,10
2021,"Lambeth 003","E02000620",4590,1111,506,605,219,219,1886,1133,753,1370,1223,147,4
2021,"Lambeth 004","E02000621",6007,1474,655,819,183,183,1761,548,1213,2582,2389,193,7
2021,"Lambeth 005","E02000622",3633,1004,388,616,22,22,1363,664,699,1238,1145,93,6
2021,"Lambeth 006","E02000623",3330,696,303,393,18,18,1762,1006,756,843,770,73,11
2021,"Lambeth 007","E02000624",4272,1110,339,771,158,158,1746,1072,674,1246,1169,77,12
2021,"Lambeth 008","E02000625",3799,680,216,464,58,58,1855,1143,712,1200,1115,85,6
2021,"Lambeth 009","E02000626",3449,647,170,477,31,31,2176,1627,549,578,531,47,17
2021,"Lambeth 010","E02000627",3915,990,375,615,82,82,1641,502,1139,1193,1125,68,9
2021,"Lambeth 011","E02000628",4481,884,249,635,146,146,2342,1289,1053,1094,1012,82,15
2021,"Lambeth 012","E02000629",4017,1310,480,830,79,79,1122,685,437,1503,1402,101,3
2021,"Lambeth 013","E02000630",3431,1271,545,726,39,39,835,625,210,1281,1187,94,5
2021,"Lambeth 014","E02000631",3739,1490,549,941,50,50,1040,281,759,1158,1067,91,1
2021,"Lambeth 015","E02000632",4259,1390,453,937,55,55,914,276,638,1899,1782,117,1
2021,"Lambeth 016","E02000633",3962,965,366,599,92,92,1753,913,840,1142,1025,117,10
2021,"Lambeth 017","E02000634",3108,737,276,461,28,28,1323,1008,315,1015,942,73,5
2021,"Lambeth 018","E02000635",4335,1398,485,913,211,211,1585,479,1106,1139,1032,107,2
2021,"Lambeth 019","E02000636",3081,1557,583,974,16,16,462,298,164,1043,966,77,3
2021,"Lambeth 020","E02000637",3704,1526,566,960,22,22,718,282,436,1438,1352,86,0
2021,"Lambeth 021","E02000638",4107,1326,378,948,79,79,1503,1042,461,1192,1099,93,7
2021,"Lambeth 022","E02000639",3726,779,267,512,170,170,1621,568,1053,1150,1026,124,6
2021,"Lambeth 023","E02000640",3804,1761,598,1163,17,17,918,498,420,1105,1033,72,3
2021,"Lambeth 024","E02000641",3391,792,238,554,46,46,1923,1026,897,627,571,56,3
2021,"Lambeth 025","E02000642",4170,1640,634,1006,31,31,1380,436,944,1114,1031,83,5
2021,"Lambeth 026","E02000643",3946,1571,492,1079,54,54,971,689,282,1343,1269,74,7
2021,"Lambeth 027","E02000644",3496,1734,582,1152,25,25,672,350,322,1064,976,88,1
2021,"Lambeth 028","E02000645",4048,1730,614,1116,61,61,850,436,414,1401,1311,90,6
