"date","geography","geography code","Tenure of household: Total: All households","Tenure of household: Owned","Tenure of household: Owned: Owns outright","Tenure of household: Owned: Owns with a mortgage or loan","Tenure of household: Shared ownership","Tenure of household: Shared ownership: Shared ownership","Tenure of household: Social rented","Tenure of household: Social rented: Rents from council or Local Authority","Tenure of household: Social rented: Other social rented","Tenure of household: Private rented","Tenure of household: Private rented: Private landlord or letting agency","Tenure of household: Private rented: Other private rented","Tenure of household: Lives rent free"
2021,"Brent 034","E02000126",3405,529,188,341,83,83,2114,1264,850,672,617,55,7
2021,"Bromley 001","E02000127",3789,1854,733,1121,38,38,1237,174,1063,656,565,91,4
2021,"Bromley 002","E02000128",3063,2213,1007,1206,13,13,361,24,337,476,417,59,0
2021,"Bromley 004","E02000130",3662,2159,845,1314,44,44,641,65,576,816,755,61,2
2021,"Bromley 005","E02000131",5067,2081,535,1546,67,67,1157,119,1038,1759,1671,88,3
2021,"Bromley 006","E02000132",4942,2549,1168,1381,103,103,649,53,596,1640,1521,119,1
2021,"Bromley 007","E02000133",4328,3493,1759,1734,51,51,150,7,143,634,575,59,0
2021,"Bromley 008","E02000134",5300,2835,1183,1652,16,16,773,71,702,1669,1546,123,7
2021,"Bromley 009","E02000135",4439,1171,358,813,92,92,2062,311,1751,1108,1028,80,6
2021,"Bromley 010","E02000136",2294,1646,875,771,10,10,434,57,377,203,172,31,1
2021,"Bromley 011","E02000137",3676,2520,1232,1288,16,16,243,20,223,896,824,72,1
2021,"Bromley 012","E02000138",4139,2748,1574,1174,17,17,164,11,153,1209,1103,106,1
2021,"Bromley 013","E02000139",3310,2149,802,1347,36,36,449,39,410,675,617,58,1
2021,"Bromley 014","E02000140",3337,1552,619,933,53,53,1397,220,1177,335,301,34,0
2021,"Bromley 015","E02000141",3092,1945,770,1175,28,28,418,61,357,701,652,49,0
2021,"Bromley 016","E02000142",3454,2572,1172,1400,13,13,189,14,175,680,622,58,0
2021,"Bromley 018","E02000144",4312,2594,1176,1418,64,64,241,30,211,1411,1313,98,2
2021,"Bromley 019","E02000145",3514,1758,747,1011,79,79,1163,206,957,514,453,61,0
2021,"Bromley 020","E02000146",4039,2723,1085,1638,60,60,332,26,306,924,851,73,0
2021,"Bromley 021","E02000147",3166,2564,1363,1201,2,2,133,14,119,466,419,47,1
2021,"Bromley 022","E02000148",2699,2200,1169,1031,8,8,196,12,184,295,267,28,0
2021,"Bromley 023","E02000149",3284,2138,995,1143,37,37,642,70,572,465,419,46,2
2021,"Bromley 024","E02000150",3115,2488,1132,1356,17,17,286,18,268,324,277,47,0
2021,"Bromley 025","E02000151",2972,2664,1401,1263,4,4,66,10,56,237,210,27,1
2021,"Bromley 026","E02000152",3096,1881,762,1119,34,34,843,108,735,338,303,35,0
2021,"Bromley 027","E02000153",2895,2634,1242,1392,4,4,113,10,103,144,119,25,0
2021,"Bromley 028","E02000154",3573,2561,1312,1249,27,27,281,31,250,704,632,72,0
2021,"Bromley 029","E02000155",3040,2452,1403,1049,26,26,254,36,218,307,258,49,1
2021,"Bromley 030","E02000156",4862,4018,2213,1805,22,22,258,16,242,563,492,71,1
2021,"Bromley 031","E02000157",3280,2909,1609,1300,4,4,64,7,57,303,268,35,0
2021,"Bromley 032","E02000158",3033,2125,1191,934,28,28,638,79,559,238,212,26,4
2021,"Bromley 033","E02000159",2821,2438,1318,1120,10,10,78,8,70,295,245,50,0
2021,"Bromley 034","E02000160",3042,2572,1350,1222,20,20,104,6,98,343,303,40,3
2021,"Bromley 035","E02000161",3345,2914,1540,1374,3,3,82,13,69,346,303,43,0
2021,"Bromley 036","E02000162",2965,2159,1192,967,10,10,499,20,479,297,249,48,0
2021,"Bromley 037","E02000163",3068,2579,1371,1208,14,14,196,19,177,278,237,41,1
2021,"Bromley 039","E02000165",2741,2363,1057,1306,17,17,125,15,110,234,198,36,2
2021,"Camden 001","E02000166",3395,1506,867,639,29,29,1217,1061,156,626,544,82,17
2021,"Camden 002","E02000167",3375,1776,1143,633,14,14,317,205,112,1258,1133,125,10
2021,"Camden 003","E02000168",3494,1415,713,702,19,19,983,543,440,1069,981,88,8
2021,"Camden 004","E02000169",3027,1527,890,637,27,27,267,151,116,1203,1088,115,3
2021,"Camden 005","E02000170",3462,1530,715,815,24,24,410,202,208,1497,1416,81,1
2021,"Camden 006","E02000171",3330,1392,736,656,35,35,895,598,297,1005,908,97,3
2021,"Camden 007","E02000172",4036,899,433,466,37,37,2237,1803,434,842,786,56,21
2021,"Camden 008","E02000173",3503,1245,728,517,9,9,585,319,266,1659,1531,128,5
2021,"Camden 009","E02000174",3551,1025,484,541,9,9,1507,1195,312,1003,926,77,7
2021,"Camden 010","E02000175",4309,1261,592,669,35,35,909,429,480,2091,1983,108,13
2021,"Camden 011","E02000176",3000,1156,653,503,14,14,307,134,173,1522,1429,93,1
2021,"Camden 012","E02000177",3654,910,438,472,10,10,1703,1584,119,1020,921,99,11
2021,"Camden 013","E02000178",4166,977,365,612,43,43,1334,866,468,1798,1720,78,14
2021,"Camden 014","E02000179",2549,911,531,380,5,5,748,648,100,877,808,69,8
2021,"Camden 015","E02000180",3514,938,461,477,34,34,1364,969,395,1169,1068,101,9
2021,"Camden 016","E02000181",3749,1315,650,665,19,19,657,363,294,1754,1661,93,4
2021,"Camden 017","E02000182",3083,986,576,410,34,34,643,460,183,1414,1284,130,6
2021,"Camden 018","E02000183",3616,1248,703,545,15,15,1176,484,692,1169,1069,100,8
2021,"Camden 019","E02000184",3633,670,333,337,85,85,1599,1207,392,1264,1158,106,15
2021,"Camden 020","E02000185",4071,747,334,413,43,43,1844,1386,458,1415,1318,97,22
2021,"Camden 021","E02000186",2940,755,435,320,18,18,885,466,419,1276,1154,122,6
2021,"Camden 022","E02000187",3817,458,261,197,52,52,2454,1554,900,837,770,67,16
2021,"Camden 023","E02000188",2719,321,188,133,13,13,1819,1245,574,550,515,35,16
2021,"Camden 026","E02000191",2107,507,320,187,18,18,511,305,206,1065,969,96,6
2021,"Camden 027","E02000192",3090,559,297,262,9,9,1568,1032,536,939,849,90,15
2021,"Camden 028","E02000193",3100,727,475,252,38,38,1064,480,584,1262,1105,157,9
2021,"Croydon 001","E02000194",4203,2041,786,1255,49,49,956,510,446,1151,1063,88,6
2021,"Croydon 002","E02000195",3493,2488,1147,1341,55,55,271,180,91,678,562,116,1
2021,"Croydon 003","E02000196",2813,1557,785,772,24,24,540,394,146,682,623,59,10
2021,"Croydon 004","E02000197",3317,1724,806,918,43,43,530,379,151,1018,932,86,2
2021,"Croydon 005","E02000198",3501,1655,638,1017,59,59,719,307,412,1057,976,81,11
2021,"Croydon 006","E02000199",3207,1970,830,1140,25,25,352,128,224,854,766,88,6
2021,"Croydon 007","E02000200",4000,2024,692,1332,31,31,530,185,345,1409,1327,82,6
2021,"Croydon 008","E02000201",3820,1418,527,891,22,22,1131,550,581,1239,1180,59,10
2021,"Croydon 009","E02000202",3037,1851,866,985,17,17,229,107,122,938,856,82,2
2021,"Croydon 010","E02000203",3117,1258,530,728,77,77,659,351,308,1115,1009,106,8
2021,"Croydon 011","E02000204",3227,1780,923,857,37,37,378,199,179,1025,926,99,7
2021,"Croydon 013","E02000206",4466,1678,597,1081,91,91,1120,500,620,1564,1464,100,13
2021,"Croydon 014","E02000207",3560,1643,612,1031,96,96,961,327,634,855,795,60,5
2021,"Croydon 015","E02000208",4098,1202,421,781,156,156,1269,594,675,1445,1334,111,26
2021,"Croydon 016","E02000209",3063,1566,591,975,22,22,582,182,400,888,810,78,5
2021,"Croydon 017","E02000210",3446,2051,811,1240,62,62,439,165,274,892,812,80,2
2021,"Croydon 018","E02000211",3291,2737,1367,1370,8,8,203,30,173,342,293,49,1
2021,"Croydon 019","E02000212",3262,1296,516,780,70,70,851,472,379,1029,955,74,16
2021,"Croydon 020","E02000213",5388,1233,463,770,106,106,1451,773,678,2591,2495,96,7
2021,"Croydon 021","E02000214",2325,1793,924,869,22,22,127,21,106,383,346,37,0
2021,"Croydon 022","E02000215",5255,1953,814,1139,62,62,892,434,458,2329,2219,110,19
2021,"Croydon 023","E02000216",2942,1478,775,703,9,9,341,33,308,1113,1049,64,1
2021,"Croydon 024","E02000217",5021,2024,677,1347,115,115,1093,463,630,1777,1666,111,12
2021,"Croydon 025","E02000218",2351,1368,716,652,6,6,759,614,145,208,185,23,10
2021,"Croydon 026","E02000219",2983,2567,1487,1080,8,8,87,33,54,320,268,52,1
2021,"Croydon 028","E02000221",3988,1798,705,1093,114,114,1235,775,460,830,752,78,11
2021,"Croydon 029","E02000222",3637,2127,862,1265,43,43,363,103,260,1102,1034,68,2
2021,"Croydon 030","E02000223",2788,733,316,417,6,6,1780,1531,249,257,238,19,12
2021,"Croydon 031","E02000224",3271,1897,721,1176,49,49,301,118,183,1016,948,68,8
2021,"Croydon 032","E02000225",2658,1383,662,721,25,25,994,671,323,246,212,34,10
2021,"Croydon 033","E02000226",2781,2440,1315,1125,15,15,63,45,18,262,226,36,1
2021,"Croydon 034","E02000227",4837,3381,1614,1767,30,30,630,425,205,787,714,73,9
2021,"Croydon 035","E02000228",3008,2643,1455,1188,5,5,70,45,25,289,256,33,1
2021,"Croydon 036","E02000229",2236,920,407,513,19,19,1044,788,256,247,222,25,6
2021,"Croydon 037","E02000230",4231,2775,1308,1467,100,100,413,156,257,937,868,69,6
2021,"Croydon 038","E02000231",2752,2302,1077,1225,6,6,79,29,50,365,326,39,0
2021,"Croydon 039","E02000232",2367,1954,1048,906,23,23,236,196,40,154,126,28,0
2021,"Croydon 040","E02000233",2395,1687,640,1047,40,40,327,201,126,337,306,31,4
2021,"Croydon 041","E02000234",3720,2349,1000,1349,182,182,580,202,378,606,561,45,3
2021,"Croydon 042","E02000235",2656,2101,970,1131,33,33,259,111,148,263,228,35,0
2021,"Croydon 043","E02000236",3308,2776,1070,1706,22,22,245,110,135,264,238,26,1
2021,"Croydon 044","E02000237",3034,2468,1309,1159,6,6,361,333,28,194,165,29,5
2021,"Ealing 001","E02000238",3735,1855,814,1041,38,38,641,264,377,1198,1113,85,3
2021,"Ealing 002","E02000239",2929,1941,1030,911,22,22,88,24,64,878,797,81,0
