"date","geography","geography code","National identity (detailed): Total: All usual residents","National identity (detailed): UK identity","National identity (detailed): UK identity: British only identity","National identity (detailed): UK identity: English only identity","National identity (detailed): UK identity: English and British only identity","National identity (detailed): UK identity:  Welsh only identity","National identity (detailed): UK identity: Welsh and British only identity","National identity (detailed): UK identity: Scottish only identity","National identity (detailed): UK identity:  Scottish and British only identity","National identity (detailed): UK identity: Northern Irish only identity","National identity (detailed): UK identity: Northern Irish and British only identity","National identity (detailed): UK identity: Cornish only identity","National identity (detailed): UK identity: Cornish and British only identity","National identity (detailed): UK identity: Any other combination of UK identities (UK only)","National identity (detailed): UK identity: Other identity and at least one UK identity","National identity (detailed): Other identity only","National identity (detailed): Other identity only: Guernsey Islander","National identity (detailed): Other identity only: Jersey Islander","National identity (detailed): Other identity only: Isle of Man (Manx)","National identity (detailed): Other identity only: Channel Islander not otherwise specified","National identity (detailed): Other identity only: Irish only identity","National identity (detailed): Other identity only: Irish and at least one UK identity","National identity (detailed): Other identity only: European","National identity (detailed): Other identity only: European: EU countries","National identity (detailed): Other identity only: European: EU countries: French","National identity (detailed): Other identity only: European: EU countries: German","National identity (detailed): Other identity only: European: EU countries: Italian","National identity (detailed): Other identity only: European: EU countries: Portuguese","National identity (detailed): Other identity only: European: EU countries: Spanish (including Canary Islander)","National identity (detailed): Other identity only: European: EU countries: Other member countries in March 2001","National identity (detailed): Other identity only: European: EU countries:  Lithuanian","National identity (detailed): Other identity only: European: EU countries:  Polish","National identity (detailed): Other identity only: European: EU countries: Romanian","National identity (detailed): Other identity only: European: EU countries: Other member countries","National identity (detailed): Other identity only: European: Non-EU countries","National identity (detailed): Other identity only: European: Non-EU countries: Turkish","National identity (detailed): Other identity only: European: Non-EU countries: Other European","National identity (detailed): Other identity only: African","National identity (detailed): Other identity only: African: North African","National identity (detailed): Other identity only: African: Central and Western African","National identity (detailed): Other identity only: African: Central and Western African: Ghanaian","National identity (detailed): Other identity only: African: Central and Western African: Nigerian","National identity (detailed): Other identity only: African: Central and Western African: Other Central and Western African","National identity (detailed): Other identity only: African: South and Eastern African","National identity (detailed): Other identity only: African: South and Eastern African: Kenyan","National identity (detailed): Other identity only: African: South and Eastern African: Somali","National identity (detailed): Other identity only: African: South and Eastern African: South African","National identity (detailed): Other identity only: African: South and Eastern African: Zimbabwean","National identity (detailed): Other identity only: African: South and Eastern African: Other South and Eastern African","National identity (detailed): Other identity only: Middle Eastern and Asian","National identity (detailed): Other identity only: Middle Eastern and Asian: Middle Eastern","National identity (detailed): Other identity only: Middle Eastern and Asian: Middle Eastern: Kurdish","National identity (detailed): Other identity only: Middle Eastern and Asian: Middle Eastern: Iranian","National identity (detailed): Other identity only: Middle Eastern and Asian: Middle Eastern: Iraqi","National identity (detailed): Other identity only: Middle Eastern and Asian: Middle Eastern: Other Middle Eastern","National identity (detailed): Other identity only: Middle Eastern and Asian: Eastern Asian","National identity (detailed): Other identity only: Middle Eastern and Asian: Eastern Asian: Chinese","National identity (detailed): Other identity only: Middle Eastern and Asian: Eastern Asian: Hong Kong Chinese","National identity (detailed): Other identity only: Middle Eastern and Asian: Eastern Asian: Japanese","National identity (detailed): Other identity only: Middle Eastern and Asian: Eastern Asian: Other Eastern Asian","National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian","National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Afghan","National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Bangladeshi","National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Indian","National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Pakistani","National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Sri Lankan","National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Other Southern Asian","National identity (detailed): Other identity only: Middle Eastern and Asian: South-East Asian","National identity (detailed): Other identity only: Middle Eastern and Asian: South-East Asian: Filipino","National identity (detailed): Other identity only: Middle Eastern and Asian: South-East Asian: Malaysian","National identity (detailed): Other identity only: Middle Eastern and Asian: South-East Asian: Singaporean","National identity (detailed): Other identity only: Middle Eastern and Asian: South-East Asian: Other South-East Asian","National identity (detailed): Other identity only: Middle Eastern and Asian: Central Asian","National identity (detailed): Other identity only: Middle Eastern and Asian: Asian not otherwise specified","National identity (detailed): Other identity only: American and Caribbean","National identity (detailed): Other identity only: American and Caribbean: North American","National identity (detailed): Other identity only: American and Caribbean: North American: Canadian","National identity (detailed): Other identity only: American and Caribbean: North American: US Citizen","National identity (detailed): Other identity only: American and Caribbean: North American: Other North American","National identity (detailed): Other identity only: American and Caribbean: Central American","National identity (detailed): Other identity only: American and Caribbean: South American","National identity (detailed): Other identity only: American and Caribbean: Caribbean","National identity (detailed): Other identity only: American and Caribbean: Caribbean: Jamaican","National identity (detailed): Other identity only: American and Caribbean: Caribbean: Other Caribbean","National identity (detailed): Other identity only: Antarctican and Oceanian","National identity (detailed): Other identity only: Antarctican and Oceanian: Australasian","National identity (detailed): Other identity only: Antarctican and Oceanian: Australasian: Australian","National identity (detailed): Other identity only: Antarctican and Oceanian: Australasian: New Zealander","National identity (detailed): Other identity only: Antarctican and Oceanian: Australasian: Other Australasian","National identity (detailed): Other identity only: Antarctican and Oceanian: Other Oceanian","National identity (detailed): Other identity only: Other"
2021,"City of London 001","E02000001",8583,5697,3706,547,615,34,15,51,34,28,1,3,3,18,642,2886,0,0,0,0,103,40,1457,1141,164,94,186,60,138,236,21,79,36,127,316,27,289,71,21,23,5,9,9,27,1,1,18,2,5,690,57,1,17,2,37,365,234,42,61,28,138,0,28,102,6,0,2,117,15,35,45,22,6,7,332,219,60,159,0,14,89,10,1,9,142,142,117,25,0,0,51
2021,"Barking and Dagenham 001","E02000002",8281,6795,5044,966,528,10,0,11,5,4,0,0,0,4,223,1486,0,0,0,0,65,3,844,711,17,13,49,55,15,32,104,86,276,64,133,4,129,210,14,154,29,74,51,42,7,2,3,5,25,303,5,1,2,1,1,4,2,2,0,0,257,14,31,104,84,19,5,33,24,2,0,7,1,3,38,4,0,4,0,0,4,30,21,9,5,5,2,3,0,0,18
2021,"Barking and Dagenham 002","E02000003",11544,8706,6706,1056,576,9,2,11,1,9,0,1,0,13,322,2838,0,0,0,0,103,6,1783,1641,35,34,126,79,43,61,195,106,823,139,142,7,135,199,8,126,32,64,30,65,7,10,0,7,41,686,9,0,4,4,1,15,8,6,0,1,617,9,122,237,220,23,6,33,23,2,0,8,1,11,45,6,1,5,0,0,21,18,11,7,3,3,2,1,0,0,13
2021,"Barking and Dagenham 003","E02000004",6640,5635,3668,1177,641,5,1,12,2,5,1,0,0,6,117,1005,0,0,0,0,37,5,631,553,19,5,26,20,8,46,125,40,207,57,78,14,64,111,6,82,17,51,14,23,2,2,1,8,10,187,13,2,6,5,0,8,7,1,0,0,136,16,16,51,34,11,8,20,13,2,0,5,0,10,19,8,1,7,0,0,4,7,1,6,0,0,0,0,0,0,15
2021,"Barking and Dagenham 004","E02000005",11076,8596,6283,1176,736,6,1,2,4,5,0,0,0,2,381,2480,0,0,0,0,45,7,1396,1281,22,34,112,106,50,71,229,71,466,120,115,12,103,309,14,240,64,114,62,55,4,12,3,14,22,652,8,3,4,0,1,16,9,2,3,2,586,5,79,312,164,18,8,20,6,10,4,0,4,18,44,6,3,3,0,0,17,21,11,10,2,2,0,2,0,0,25
2021,"Barking and Dagenham 006","E02000007",10164,8164,5709,1299,922,2,7,13,3,8,0,0,0,9,192,2000,0,0,0,0,38,2,1205,1102,43,41,94,94,29,63,205,77,351,105,103,5,98,385,12,323,80,166,77,50,10,4,1,6,29,323,16,10,6,0,0,13,11,0,0,2,259,2,74,80,81,11,11,30,18,4,0,8,0,5,36,5,2,3,0,0,12,19,10,9,1,1,1,0,0,0,10
2021,"Barking and Dagenham 007","E02000008",13260,10372,7148,1830,1088,6,1,14,6,3,1,0,0,6,269,2888,0,0,1,0,58,9,1858,1667,38,25,154,142,66,64,368,116,561,133,191,16,175,382,9,309,66,166,77,64,8,2,7,19,28,496,17,0,3,7,7,14,9,0,3,2,446,13,112,123,172,18,8,15,6,3,0,6,0,4,49,6,2,4,0,0,14,29,15,14,2,2,1,1,0,0,33
2021,"Barking and Dagenham 008","E02000009",12864,9544,7152,1142,819,4,1,9,2,8,1,0,0,11,395,3320,0,0,0,0,31,2,2213,2026,51,32,204,168,62,168,343,93,608,297,187,13,174,398,18,295,67,159,69,85,8,28,2,6,41,579,7,0,1,2,4,26,16,3,6,1,501,18,123,190,140,20,10,28,19,0,2,7,0,17,64,26,1,25,0,0,24,14,7,7,5,5,1,4,0,0,28
2021,"Barking and Dagenham 009","E02000010",9491,7302,4994,1253,775,4,1,5,2,2,2,0,0,3,261,2189,0,0,0,0,39,5,1502,1362,21,13,83,85,57,70,330,92,477,134,140,11,129,309,11,258,73,135,50,40,7,1,1,13,18,269,11,2,8,0,1,2,2,0,0,0,226,3,76,57,43,4,43,25,21,1,0,3,2,3,26,3,0,3,0,0,9,14,5,9,1,1,0,1,0,0,38
2021,"Barking and Dagenham 010","E02000011",7035,5350,3668,968,481,3,0,7,1,3,1,0,0,3,215,1685,0,0,0,0,39,4,1109,1032,16,8,62,64,13,50,197,45,448,129,77,6,71,233,6,209,41,109,59,18,1,6,3,0,8,240,4,0,2,1,1,23,21,0,2,0,189,4,88,43,36,9,9,21,12,3,0,6,1,2,18,1,0,1,0,0,6,11,8,3,0,0,0,0,0,0,42
2021,"Barking and Dagenham 011","E02000012",11513,9616,8049,768,492,4,0,11,2,7,2,1,0,4,276,1897,0,0,0,0,25,4,1027,918,36,28,116,53,55,43,112,46,333,96,109,7,102,165,14,127,33,66,28,24,1,2,4,0,17,605,4,2,2,0,0,13,3,3,3,4,555,27,214,133,159,20,2,14,3,5,1,5,3,16,52,15,6,8,1,0,9,28,14,14,0,0,0,0,0,0,19
2021,"Barking and Dagenham 012","E02000013",9395,7284,5186,1185,651,6,6,13,1,6,1,0,0,6,223,2111,0,0,0,0,26,2,1493,1344,38,12,79,105,25,66,312,71,497,139,149,28,121,257,10,213,52,112,49,34,4,2,1,3,24,286,5,0,4,0,1,14,9,0,2,3,241,9,65,76,83,3,5,21,7,2,0,12,1,4,32,6,1,5,0,0,10,16,3,13,1,1,1,0,0,0,14
