"date","geography","geography code","Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census","Occupation (current): 1. Managers, directors and senior officials","Occupation (current): 2. Professional occupations","Occupation (current): 3. Associate professional and technical occupations","Occupation (current): 4. Administrative and secretarial occupations","Occupation (current): 5. Skilled trades occupations","Occupation (current): 6. Caring, leisure and other service occupations","Occupation (current): 7. Sales and customer service occupations","Occupation (current): 8. Process, plant and machine operatives","Occupation (current): 9. Elementary occupations"
2021,"Bexley 016","E02000080",4949,637,972,693,720,578,398,299,264,388
2021,"Bexley 017","E02000081",3846,541,742,532,521,420,282,279,213,316
2021,"Bexley 018","E02000082",4851,571,926,679,730,574,380,318,321,352
2021,"Bexley 019","E02000083",5630,691,1076,764,689,599,448,436,407,520
2021,"Bexley 020","E02000084",5504,819,1267,786,790,578,362,324,256,322
2021,"Bexley 021","E02000085",4028,480,689,556,644,516,349,256,244,294
2021,"Bexley 022","E02000086",3618,551,655,529,602,421,252,197,189,222
2021,"Bexley 023","E02000087",3985,729,998,640,559,299,252,197,131,180
2021,"Bexley 024","E02000088",3890,556,842,616,622,411,259,198,177,209
2021,"Bexley 025","E02000089",3744,536,861,583,570,404,244,204,149,193
2021,"Bexley 026","E02000090",4721,686,1110,831,655,414,335,247,164,279
2021,"Bexley 027","E02000091",4753,722,1137,734,645,397,344,282,226,266
2021,"Bexley 028","E02000092",2917,337,541,361,357,330,313,214,211,253
2021,"Brent 001","E02000093",5983,668,1038,625,539,933,434,515,429,802
2021,"Brent 002","E02000094",5098,566,1047,562,467,662,345,429,417,603
2021,"Brent 003","E02000095",5112,618,920,512,524,795,352,403,354,634
2021,"Brent 004","E02000096",3678,573,1071,395,432,317,217,229,166,278
2021,"Brent 005","E02000097",4566,481,727,433,431,657,421,400,415,601
2021,"Brent 006","E02000098",3881,491,837,422,371,434,301,298,295,432
2021,"Brent 007","E02000099",4710,486,831,419,431,728,330,396,412,677
2021,"Brent 008","E02000100",4208,631,1298,458,413,302,258,268,230,350
2021,"Brent 009","E02000101",4291,519,848,414,386,444,419,374,341,546
2021,"Brent 010","E02000102",3226,271,402,282,271,447,351,294,357,551
2021,"Brent 011","E02000103",4257,494,715,451,379,426,483,400,351,558
2021,"Brent 012","E02000104",3588,447,724,348,305,381,274,306,302,501
2021,"Brent 013","E02000105",4612,468,750,426,377,504,437,496,423,731
2021,"Brent 014","E02000106",4490,417,586,367,351,686,446,410,423,804
2021,"Brent 015","E02000107",5526,700,1157,710,351,540,503,404,321,840
2021,"Brent 016","E02000108",3512,348,608,347,319,326,291,374,327,572
2021,"Brent 018","E02000110",3972,523,1034,645,293,334,306,253,197,387
2021,"Brent 019","E02000111",5306,456,676,446,438,492,380,650,695,1073
2021,"Brent 020","E02000112",6084,457,826,570,543,602,496,605,711,1274
2021,"Brent 021","E02000113",3446,193,421,341,283,305,501,386,461,555
2021,"Brent 022","E02000114",4798,620,972,787,339,466,407,356,233,618
2021,"Brent 023","E02000115",4434,665,1337,818,327,274,287,214,176,336
2021,"Brent 024","E02000116",3722,354,557,373,282,406,503,325,276,646
2021,"Brent 025","E02000117",5020,390,683,564,440,487,644,446,538,828
2021,"Brent 026","E02000118",5649,403,642,409,381,617,392,663,840,1302
2021,"Brent 027","E02000119",4419,435,910,549,366,278,558,426,378,519
2021,"Brent 028","E02000120",5051,785,1434,976,331,278,343,288,200,416
2021,"Brent 029","E02000121",5892,504,795,513,436,604,415,676,809,1140
2021,"Brent 030","E02000122",4090,867,1085,721,337,189,298,195,106,292
2021,"Brent 031","E02000123",6210,599,944,820,529,549,814,468,449,1038
2021,"Brent 032","E02000124",5305,1081,1487,1088,327,208,364,245,160,345
2021,"Brent 033","E02000125",5227,869,1313,1055,369,325,403,258,241,394
2021,"Brent 034","E02000126",3764,450,811,561,308,228,436,330,260,380
2021,"Bromley 001","E02000127",4261,541,830,517,464,519,437,306,238,409
2021,"Bromley 002","E02000128",3740,699,984,574,422,315,244,150,153,199
2021,"Bromley 004","E02000130",4556,806,1354,900,374,261,261,242,112,246
2021,"Bromley 005","E02000131",6241,935,1834,1253,489,363,419,301,215,432
2021,"Bromley 006","E02000132",5533,951,1648,1037,503,327,352,252,155,308
2021,"Bromley 007","E02000133",5207,1407,1614,880,502,192,201,195,99,117
2021,"Bromley 008","E02000134",6147,999,1783,1053,628,401,405,287,221,370
2021,"Bromley 009","E02000135",4867,504,1043,750,488,395,545,338,265,539
2021,"Bromley 010","E02000136",2495,479,583,322,293,217,203,152,82,164
2021,"Bromley 011","E02000137",4253,805,1366,670,447,265,232,167,118,183
2021,"Bromley 012","E02000138",4371,897,1365,743,462,245,204,175,111,169
2021,"Bromley 013","E02000139",4141,726,1273,720,385,285,258,188,108,198
2021,"Bromley 014","E02000140",3815,422,625,447,402,483,437,316,283,400
2021,"Bromley 015","E02000141",3913,596,1023,699,378,296,304,183,160,274
2021,"Bromley 016","E02000142",4417,834,1333,739,465,305,239,191,112,199
2021,"Bromley 018","E02000144",5502,899,1853,923,566,357,275,232,150,247
2021,"Bromley 019","E02000145",3939,445,752,486,440,444,415,319,248,390
2021,"Bromley 020","E02000146",5155,830,1524,884,576,362,322,266,176,215
