"date","geography","geography code","Number of people in household who previously served in UK armed forces: Total: All households","Number of people in household who previously served in UK armed forces: No people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 1 person in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 2 people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 3 or more people in the household previously served in UK armed forces"
2021,"Croydon 043","E02000236",3308,3164,143,1,0
2021,"Croydon 044","E02000237",3034,2837,192,4,1
2021,"Ealing 001","E02000238",3736,3625,107,4,0
2021,"Ealing 002","E02000239",2929,2853,73,3,0
2021,"Ealing 003","E02000240",3897,3719,170,8,0
2021,"Ealing 004","E02000241",2601,2483,110,7,1
2021,"Ealing 005","E02000242",2231,2193,36,0,2
2021,"Ealing 006","E02000243",3128,3029,96,3,0
2021,"Ealing 007","E02000244",2939,2880,54,5,0
2021,"Ealing 008","E02000245",3354,3267,83,4,0
2021,"Ealing 009","E02000246",3072,2963,103,6,0
2021,"Ealing 010","E02000247",3893,3767,114,10,2
2021,"Ealing 011","E02000248",2990,2934,54,0,2
2021,"Ealing 012","E02000249",2913,2836,77,0,0
2021,"Ealing 013","E02000250",2544,2465,77,2,0
2021,"Ealing 014","E02000251",2542,2492,46,4,0
2021,"Ealing 015","E02000252",4410,4319,89,2,0
2021,"Ealing 016","E02000253",3839,3753,81,4,1
2021,"Ealing 017","E02000254",2610,2560,50,0,0
2021,"Ealing 018","E02000255",3790,3718,72,0,0
2021,"Ealing 019","E02000256",4028,3941,86,1,0
2021,"Ealing 021","E02000258",2602,2538,58,5,1
2021,"Ealing 022","E02000259",2395,2333,61,1,0
2021,"Ealing 023","E02000260",2754,2726,27,1,0
2021,"Ealing 024","E02000261",4977,4905,66,5,1
2021,"Ealing 025","E02000262",3946,3873,70,3,0
2021,"Ealing 026","E02000263",3646,3606,37,3,0
2021,"Ealing 027","E02000264",3543,3450,93,0,0
2021,"Ealing 028","E02000265",4733,4651,81,1,0
2021,"Ealing 029","E02000266",4296,4215,79,0,2
2021,"Ealing 030","E02000267",3219,3146,72,1,0
2021,"Ealing 031","E02000268",3863,3728,126,8,1
2021,"Ealing 032","E02000269",3303,3221,82,0,0
2021,"Ealing 033","E02000270",4116,4029,86,1,0
2021,"Ealing 034","E02000271",2978,2895,81,2,0
2021,"Ealing 035","E02000272",2540,2475,64,1,0
2021,"Ealing 038","E02000275",2348,2320,26,2,0
2021,"Ealing 039","E02000276",2724,2643,81,0,0
2021,"Enfield 001","E02000277",2627,2539,87,1,0
2021,"Enfield 002","E02000278",3342,3268,71,3,0
2021,"Enfield 003","E02000279",4418,4315,100,3,0
2021,"Enfield 004","E02000280",3413,3286,125,2,0
2021,"Enfield 005","E02000281",3549,3454,92,3,0
2021,"Enfield 006","E02000282",3467,3380,85,2,0
2021,"Enfield 007","E02000283",2800,2725,72,3,0
2021,"Enfield 008","E02000284",3616,3506,110,0,0
2021,"Enfield 009","E02000285",2460,2338,121,1,0
2021,"Enfield 010","E02000286",4002,3826,172,4,0
2021,"Enfield 011","E02000287",2873,2775,97,1,0
2021,"Enfield 012","E02000288",4053,3961,91,1,0
2021,"Enfield 013","E02000289",2425,2319,104,2,0
2021,"Enfield 014","E02000290",2519,2486,31,1,1
2021,"Enfield 015","E02000291",4330,4190,137,3,0
2021,"Enfield 016","E02000292",3571,3473,94,1,3
2021,"Enfield 017","E02000293",2491,2376,113,1,1
2021,"Enfield 018","E02000294",3086,3018,67,1,0
2021,"Enfield 019","E02000295",3350,3248,100,2,0
2021,"Enfield 020","E02000296",4039,3938,94,6,1
2021,"Enfield 021","E02000297",3475,3350,119,5,1
2021,"Enfield 022","E02000298",3056,2959,96,1,0
2021,"Enfield 023","E02000299",3314,3255,59,0,0
2021,"Enfield 024","E02000300",2998,2932,65,1,0
2021,"Enfield 025","E02000301",3725,3654,70,0,1
2021,"Enfield 026","E02000302",3114,3036,63,15,0
2021,"Enfield 027","E02000303",2976,2908,67,1,0
2021,"Enfield 028","E02000304",2910,2828,78,4,0
2021,"Enfield 029","E02000305",3453,3385,64,4,0
2021,"Enfield 030","E02000306",3398,3350,45,3,0
2021,"Enfield 031","E02000307",3343,3287,53,3,0
2021,"Enfield 032","E02000308",3226,3152,73,1,0
2021,"Enfield 033","E02000309",3988,3918,67,3,0
2021,"Enfield 035","E02000311",3634,3572,62,0,0
2021,"Enfield 036","E02000312",4496,4420,74,1,1
2021,"Greenwich 001","E02000313",2596,2513,83,0,0
2021,"Greenwich 002","E02000314",4536,4434,99,3,0
2021,"Greenwich 003","E02000315",3490,3376,114,0,0
2021,"Greenwich 005","E02000317",2822,2744,75,3,0
2021,"Greenwich 006","E02000318",3581,3275,270,33,3
2021,"Greenwich 007","E02000319",3918,3752,147,19,0
2021,"Greenwich 008","E02000320",2556,2467,83,5,1
2021,"Greenwich 009","E02000321",2958,2850,102,6,0
2021,"Greenwich 011","E02000323",4820,4636,173,11,0
2021,"Greenwich 012","E02000324",2854,2743,109,2,0
2021,"Greenwich 014","E02000326",3049,2955,91,3,0
2021,"Greenwich 015","E02000327",2636,2547,86,3,0
2021,"Greenwich 016","E02000328",2945,2841,101,3,0
2021,"Greenwich 017","E02000329",2462,2359,98,5,0
2021,"Greenwich 019","E02000331",3191,3076,111,3,1
2021,"Greenwich 020","E02000332",2998,2868,124,6,0
2021,"Greenwich 021","E02000333",2884,2759,111,14,0
2021,"Greenwich 022","E02000334",2543,2446,97,0,0
2021,"Greenwich 023","E02000335",2592,2451,139,2,0
2021,"Greenwich 025","E02000337",3085,2961,109,13,2
2021,"Greenwich 027","E02000339",2591,2462,127,2,0
2021,"Greenwich 028","E02000340",3022,2882,131,9,0
2021,"Greenwich 029","E02000341",2941,2828,110,3,0
2021,"Greenwich 030","E02000342",2343,2253,87,3,0
2021,"Greenwich 031","E02000343",2695,2570,122,3,0
2021,"Greenwich 032","E02000344",2448,2322,119,7,0
2021,"Hackney 001","E02000345",2589,2565,24,0,0
2021,"Hackney 002","E02000346",3972,3908,61,3,0
2021,"Hackney 003","E02000347",2582,2537,44,0,1
2021,"Hackney 004","E02000348",2723,2695,27,1,0
2021,"Hackney 006","E02000350",3694,3632,59,2,1
2021,"Hackney 007","E02000351",4231,4174,57,0,0
2021,"Hackney 008","E02000352",2685,2645,40,0,0
2021,"Hackney 009","E02000353",3155,3106,49,0,0
2021,"Hackney 010","E02000354",3989,3924,63,2,0
2021,"Hackney 011","E02000355",3114,3058,56,0,0
2021,"Hackney 012","E02000356",3060,3028,32,0,0
2021,"Hackney 013","E02000357",2721,2669,52,0,0
2021,"Hackney 014","E02000358",4816,4740,75,1,0
2021,"Hackney 015","E02000359",2439,2394,45,0,0
2021,"Hackney 016","E02000360",4851,4774,75,1,1
2021,"Hackney 017","E02000361",3679,3638,41,0,0
2021,"Hackney 018","E02000362",2805,2760,45,0,0
2021,"Hackney 019","E02000363",4441,4378,62,1,0
2021,"Hackney 020","E02000364",4101,4038,61,1,1
2021,"Hackney 022","E02000366",3539,3473,65,1,0
2021,"Hackney 023","E02000367",4594,4517,77,0,0
2021,"Hackney 024","E02000368",4152,4093,57,2,0
2021,"Hackney 025","E02000369",5929,5858,70,1,0
2021,"Hackney 026","E02000370",3991,3930,61,0,0
2021,"Hammersmith and Fulham 001","E02000372",3876,3789,85,2,0
2021,"Hammersmith and Fulham 002","E02000373",2537,2496,39,2,0
2021,"Hammersmith and Fulham 003","E02000374",2615,2552,54,9,0
2021,"Hammersmith and Fulham 004","E02000375",3498,3420,78,0,0
2021,"Hammersmith and Fulham 005","E02000376",3183,3130,52,1,0
2021,"Hammersmith and Fulham 006","E02000377",3445,3369,75,1,0
2021,"Hammersmith and Fulham 007","E02000378",3251,3182,69,0,0
2021,"Hammersmith and Fulham 008","E02000379",3104,3016,88,0,0
2021,"Hammersmith and Fulham 009","E02000380",2498,2427,69,2,0
2021,"Hammersmith and Fulham 010","E02000381",3547,3449,94,4,0
2021,"Hammersmith and Fulham 011","E02000382",2772,2701,69,2,0
2021,"Hammersmith and Fulham 012","E02000383",4111,4014,95,2,0
2021,"Hammersmith and Fulham 013","E02000384",3807,3733,69,5,0
2021,"Hammersmith and Fulham 014","E02000385",2851,2788,60,3,0
2021,"Hammersmith and Fulham 015","E02000386",3367,3287,75,5,0
2021,"Hammersmith and Fulham 016","E02000387",2587,2519,68,0,0
2021,"Hammersmith and Fulham 017","E02000388",4133,4021,109,3,0
2021,"Hammersmith and Fulham 018","E02000389",3677,3550,127,0,0
2021,"Hammersmith and Fulham 019","E02000390",2722,2636,85,1,0
2021,"Hammersmith and Fulham 020","E02000391",3281,3103,178,0,0
2021,"Hammersmith and Fulham 021","E02000392",4039,3936,100,3,0
2021,"Hammersmith and Fulham 022","E02000393",2588,2510,78,0,0
2021,"Hammersmith and Fulham 023","E02000394",4346,4255,88,3,0
2021,"Hammersmith and Fulham 024","E02000395",2642,2529,109,4,0
2021,"Hammersmith and Fulham 025","E02000396",2770,2692,77,1,0
2021,"Haringey 001","E02000397",3472,3408,61,3,0
2021,"Haringey 002","E02000398",2882,2845,36,0,1
2021,"Haringey 004","E02000400",3120,3061,58,1,0
2021,"Haringey 005","E02000401",2478,2427,50,1,0
2021,"Haringey 006","E02000402",2426,2383,43,0,0
2021,"Haringey 007","E02000403",2989,2942,46,1,0
2021,"Haringey 008","E02000404",2669,2629,38,2,0
2021,"Haringey 009","E02000405",2462,2418,44,0,0
2021,"Haringey 010","E02000406",2596,2555,41,0,0
2021,"Haringey 011","E02000407",3005,2955,49,1,0
2021,"Haringey 012","E02000408",3001,2949,50,1,1
2021,"Haringey 013","E02000409",2370,2341,27,2,0
2021,"Haringey 014","E02000410",2616,2569,45,2,0
2021,"Haringey 015","E02000411",3952,3911,40,0,1
2021,"Haringey 016","E02000412",2870,2833,34,3,0
2021,"Haringey 017","E02000413",2963,2893,69,1,0
2021,"Haringey 018","E02000414",2718,2684,34,0,0
2021,"Haringey 019","E02000415",2835,2795,37,3,0
2021,"Haringey 020","E02000416",3919,3855,64,0,0
2021,"Haringey 021","E02000417",2867,2802,63,2,0
2021,"Haringey 022","E02000418",2208,2155,53,0,0
2021,"Haringey 023","E02000419",3645,3590,54,1,0
2021,"Haringey 024","E02000420",3436,3370,63,3,0
2021,"Haringey 025","E02000421",3140,3098,40,2,0
2021,"Haringey 026","E02000422",2887,2846,39,1,1
2021,"Haringey 027","E02000423",2672,2624,46,2,0
2021,"Haringey 028","E02000424",2984,2938,45,1,0
2021,"Haringey 029","E02000425",2163,2116,47,0,0
2021,"Haringey 030","E02000426",2744,2669,74,1,0
2021,"Haringey 031","E02000427",2869,2819,50,0,0
2021,"Haringey 032","E02000428",2922,2886,35,1,0
2021,"Haringey 033","E02000429",3202,3138,63,1,0
2021,"Haringey 034","E02000430",3249,3202,45,2,0
2021,"Haringey 035","E02000431",2845,2786,59,0,0
2021,"Haringey 036","E02000432",2798,2755,41,2,0
2021,"Harrow 001","E02000433",3544,3412,129,3,0
2021,"Harrow 002","E02000434",3638,3559,79,0,0
2021,"Harrow 003","E02000435",2812,2714,97,1,0
2021,"Harrow 004","E02000436",2044,1956,84,3,1
2021,"Harrow 005","E02000437",3089,2969,116,4,0
2021,"Harrow 006","E02000438",3044,2908,129,6,1
2021,"Harrow 007","E02000439",2948,2878,65,5,0
2021,"Harrow 008","E02000440",3055,2974,79,2,0
2021,"Harrow 009","E02000441",2795,2701,91,3,0
2021,"Harrow 010","E02000442",2667,2618,46,3,0
2021,"Harrow 011","E02000443",3546,3458,75,13,0
2021,"Harrow 012","E02000444",2670,2623,45,2,0
2021,"Harrow 013","E02000445",3820,3718,102,0,0
2021,"Harrow 015","E02000447",2744,2673,71,0,0
2021,"Harrow 016","E02000448",2759,2635,122,2,0
2021,"Harrow 017","E02000449",2528,2468,57,2,1
2021,"Harrow 019","E02000451",2329,2242,86,1,0
2021,"Harrow 020","E02000452",3451,3389,59,3,0
2021,"Harrow 021","E02000453",3047,2977,68,2,0
2021,"Harrow 022","E02000454",2524,2417,105,2,0
2021,"Harrow 023","E02000455",4759,4662,95,2,0
2021,"Harrow 024","E02000456",2717,2641,75,0,1
2021,"Harrow 025","E02000457",2562,2480,82,0,0
2021,"Harrow 027","E02000459",3418,3332,82,4,0
2021,"Harrow 028","E02000460",2414,2363,50,1,0
2021,"Harrow 029","E02000461",2559,2485,72,2,0
2021,"Harrow 030","E02000462",2285,2168,109,8,0
2021,"Harrow 031","E02000463",2834,2761,67,6,0
2021,"Havering 001","E02000464",2872,2714,154,4,0
2021,"Havering 002","E02000465",3492,3365,124,3,0
2021,"Havering 003","E02000466",3293,3136,156,1,0
2021,"Havering 004","E02000467",4291,4136,146,9,0
2021,"Havering 005","E02000468",3165,3015,148,1,1
2021,"Havering 006","E02000469",2699,2573,125,1,0
2021,"Havering 007","E02000470",4131,3937,190,3,1
2021,"Havering 008","E02000471",2939,2767,167,5,0
2021,"Havering 009","E02000472",3526,3351,172,3,0
2021,"Havering 010","E02000473",4022,3820,201,1,0
2021,"Havering 011","E02000474",3532,3372,154,6,0
2021,"Havering 012","E02000475",3958,3796,157,5,0
2021,"Havering 013","E02000476",4198,4059,137,2,0
2021,"Havering 014","E02000477",3715,3521,193,1,0
2021,"Havering 015","E02000478",2151,2033,118,0,0
2021,"Havering 016","E02000479",3789,3674,109,6,0
2021,"Havering 017","E02000480",5012,4853,154,4,1
2021,"Havering 018","E02000481",3246,3016,226,4,0
2021,"Havering 019","E02000482",2578,2400,174,4,0
2021,"Havering 020","E02000483",3473,3301,168,4,0
2021,"Havering 021","E02000484",3254,3086,166,2,0
2021,"Havering 022","E02000485",3456,3281,172,3,0
2021,"Havering 023","E02000486",2990,2817,168,5,0
2021,"Havering 024","E02000487",2944,2793,148,3,0
2021,"Havering 025","E02000488",3012,2845,163,4,0
2021,"Havering 026","E02000489",3261,3102,153,6,0
2021,"Havering 027","E02000490",3225,3044,178,3,0
2021,"Havering 028","E02000491",3934,3751,179,4,0
2021,"Havering 029","E02000492",2622,2453,167,2,0
2021,"Havering 030","E02000493",2497,2397,96,4,0
2021,"Hillingdon 001","E02000494",3217,3075,139,3,0
2021,"Hillingdon 002","E02000495",4305,4140,160,5,0
2021,"Hillingdon 003","E02000496",3176,2973,193,10,0
2021,"Hillingdon 004","E02000497",3693,3500,191,2,0
2021,"Hillingdon 005","E02000498",2638,2498,138,2,0
2021,"Hillingdon 006","E02000499",3014,2856,154,4,0
2021,"Hillingdon 007","E02000500",3306,3120,179,7,0
2021,"Hillingdon 008","E02000501",3273,3105,165,3,0
2021,"Hillingdon 009","E02000502",3530,3351,173,6,0
2021,"Hillingdon 010","E02000503",3254,3099,151,4,0
2021,"Hillingdon 011","E02000504",2922,2740,181,1,0
2021,"Hillingdon 013","E02000506",2899,2735,155,9,0
2021,"Hillingdon 014","E02000507",2781,2658,115,8,0
2021,"Hillingdon 015","E02000508",4340,4191,140,9,0
2021,"Hillingdon 016","E02000509",3401,3296,102,3,0
2021,"Hillingdon 017","E02000510",3261,3107,149,5,0
2021,"Hillingdon 018","E02000511",3262,3104,152,6,0
2021,"Hillingdon 019","E02000512",3106,2985,116,5,0
2021,"Hillingdon 020","E02000513",3323,3235,84,4,0
2021,"Hillingdon 021","E02000514",3180,3099,80,1,0
2021,"Hillingdon 022","E02000515",5344,5114,222,7,1
2021,"Hillingdon 023","E02000516",2820,2744,72,4,0
2021,"Hillingdon 024","E02000517",3321,3211,106,4,0
2021,"Hillingdon 025","E02000518",3329,3183,141,5,0
2021,"Hillingdon 026","E02000519",3022,2928,90,4,0
2021,"Hillingdon 027","E02000520",4454,4301,148,5,0
2021,"Hillingdon 028","E02000521",4351,4210,138,3,0
2021,"Hillingdon 029","E02000522",3487,3343,140,4,0
2021,"Hillingdon 030","E02000523",3683,3589,90,3,1
2021,"Hillingdon 031","E02000524",2639,2522,114,3,0
2021,"Hillingdon 032","E02000525",3318,3197,117,4,0
2021,"Hounslow 001","E02000526",3617,3515,99,3,0
2021,"Hounslow 004","E02000529",3034,2991,42,1,0
2021,"Hounslow 005","E02000530",2517,2459,56,2,0
2021,"Hounslow 006","E02000531",4936,4790,143,2,1
2021,"Hounslow 007","E02000532",3817,3675,139,3,0
2021,"Hounslow 008","E02000533",3686,3563,123,0,0
2021,"Hounslow 009","E02000534",2998,2908,89,1,0
2021,"Hounslow 010","E02000535",3005,2939,64,1,1
2021,"Hounslow 011","E02000536",3245,3174,69,2,0
2021,"Hounslow 012","E02000537",3158,3081,70,5,2
2021,"Hounslow 013","E02000538",3005,2928,73,3,1
2021,"Hounslow 014","E02000539",4734,4613,117,4,0
2021,"Hounslow 015","E02000540",4486,4355,129,2,0
2021,"Hounslow 016","E02000541",3281,3179,97,4,1
2021,"Hounslow 017","E02000542",3952,3853,94,4,1
2021,"Hounslow 018","E02000543",4892,4795,92,5,0
2021,"Hounslow 019","E02000544",2922,2789,126,6,1
2021,"Hounslow 020","E02000545",3545,3443,101,1,0
2021,"Hounslow 021","E02000546",3159,3081,76,2,0
2021,"Hounslow 022","E02000547",3852,3648,193,11,0
2021,"Hounslow 023","E02000548",3728,3512,208,5,3
2021,"Hounslow 024","E02000549",4083,3822,243,18,0
2021,"Hounslow 025","E02000550",3720,3591,122,6,1
2021,"Hounslow 026","E02000551",3417,3293,120,2,2
2021,"Hounslow 027","E02000552",3359,3205,148,6,0
2021,"Hounslow 028","E02000553",2600,2474,123,3,0
2021,"Islington 001","E02000554",4201,4139,61,1,0
2021,"Islington 002","E02000555",4033,3969,60,4,0
2021,"Islington 003","E02000556",4949,4884,63,2,0
2021,"Islington 004","E02000557",4138,4071,66,1,0
2021,"Islington 005","E02000558",3957,3894,61,2,0
2021,"Islington 006","E02000559",3995,3946,47,1,1
2021,"Islington 007","E02000560",3273,3231,41,0,1
2021,"Islington 008","E02000561",3158,3106,51,1,0
2021,"Islington 009","E02000562",3487,3425,61,1,0
2021,"Islington 010","E02000563",3858,3787,69,1,1
2021,"Islington 011","E02000564",5664,5584,78,2,0
2021,"Islington 012","E02000565",3497,3434,63,0,0
2021,"Islington 013","E02000566",3837,3783,54,0,0
2021,"Islington 014","E02000567",4895,4821,73,1,0
2021,"Islington 015","E02000568",4669,4602,66,1,0
2021,"Islington 016","E02000569",4602,4500,101,1,0
2021,"Islington 017","E02000570",3990,3902,85,3,0
2021,"Islington 018","E02000571",4122,4057,64,1,0
2021,"Islington 019","E02000572",3523,3464,58,1,0
2021,"Islington 020","E02000573",4921,4846,71,3,1
2021,"Islington 021","E02000574",3606,3535,68,3,0
2021,"Islington 022","E02000575",5170,5073,95,1,1
2021,"Islington 023","E02000576",4953,4846,104,3,0
2021,"Kensington and Chelsea 001","E02000577",3175,3121,52,2,0
2021,"Kensington and Chelsea 002","E02000578",2309,2272,36,1,0
2021,"Kensington and Chelsea 003","E02000579",3819,3737,81,1,0
2021,"Kensington and Chelsea 004","E02000580",3988,3904,83,1,0
2021,"Kensington and Chelsea 005","E02000581",3009,2929,79,1,0
2021,"Kensington and Chelsea 006","E02000582",3270,3188,82,0,0
2021,"Kensington and Chelsea 007","E02000583",3118,2996,120,2,0
2021,"Kensington and Chelsea 008","E02000584",3331,3229,97,5,0
2021,"Kensington and Chelsea 009","E02000585",3386,3309,76,1,0
2021,"Kensington and Chelsea 010","E02000586",2880,2809,71,0,0
2021,"Kensington and Chelsea 011","E02000587",3027,2962,64,1,0
2021,"Kensington and Chelsea 012","E02000588",3077,2987,86,4,0
2021,"Kensington and Chelsea 013","E02000589",3658,3601,57,0,0
2021,"Kensington and Chelsea 014","E02000590",3049,2954,95,0,0
2021,"Kensington and Chelsea 015","E02000591",3241,3188,53,0,0
2021,"Kensington and Chelsea 016","E02000592",2839,2772,65,2,0
2021,"Kensington and Chelsea 017","E02000593",3685,3615,70,0,0
2021,"Kensington and Chelsea 018","E02000594",2921,2797,122,2,0
2021,"Kensington and Chelsea 019","E02000595",3029,2934,94,1,0
2021,"Kensington and Chelsea 020","E02000596",3075,2967,106,2,0
2021,"Kensington and Chelsea 021","E02000597",2997,2912,84,1,0
2021,"Kingston upon Thames 001","E02000598",2971,2843,125,3,0
2021,"Kingston upon Thames 002","E02000599",2352,2248,102,2,0
2021,"Kingston upon Thames 003","E02000600",3378,3259,116,3,0
2021,"Kingston upon Thames 004","E02000601",4858,4697,151,10,0
2021,"Kingston upon Thames 005","E02000602",4042,3925,117,0,0
2021,"Kingston upon Thames 006","E02000603",2953,2859,94,0,0
2021,"Kingston upon Thames 007","E02000604",3559,3441,118,0,0
2021,"Kingston upon Thames 008","E02000605",3115,3008,107,0,0
2021,"Kingston upon Thames 009","E02000606",4811,4651,157,3,0
2021,"Kingston upon Thames 010","E02000607",2582,2496,84,2,0
2021,"Kingston upon Thames 011","E02000608",3406,3323,80,3,0
2021,"Kingston upon Thames 012","E02000609",2737,2598,136,3,0
2021,"Kingston upon Thames 013","E02000610",3870,3735,133,2,0
2021,"Kingston upon Thames 014","E02000611",2652,2512,138,2,0
2021,"Kingston upon Thames 015","E02000612",3078,2927,145,6,0
2021,"Kingston upon Thames 016","E02000613",3195,3060,128,7,0
2021,"Kingston upon Thames 017","E02000614",3374,3256,115,3,0
2021,"Kingston upon Thames 018","E02000615",2956,2828,123,5,0
2021,"Kingston upon Thames 019","E02000616",2388,2277,111,0,0
2021,"Kingston upon Thames 020","E02000617",3343,3188,152,3,0
2021,"Lambeth 002","E02000619",4055,3950,102,3,0
2021,"Lambeth 003","E02000620",4586,4483,100,3,0
2021,"Lambeth 004","E02000621",6009,5904,101,3,1
2021,"Lambeth 005","E02000622",3634,3539,92,3,0
2021,"Lambeth 006","E02000623",3331,3258,72,1,0
2021,"Lambeth 007","E02000624",4272,4191,79,2,0
2021,"Lambeth 008","E02000625",3797,3744,51,2,0
2021,"Lambeth 009","E02000626",3451,3398,53,0,0
2021,"Lambeth 010","E02000627",3917,3834,82,1,0
2021,"Lambeth 011","E02000628",4483,4406,77,0,0
2021,"Lambeth 012","E02000629",4016,3925,88,3,0
2021,"Lambeth 013","E02000630",3430,3345,80,5,0
2021,"Lambeth 014","E02000631",3738,3658,80,0,0
2021,"Lambeth 015","E02000632",4261,4173,86,2,0
2021,"Lambeth 016","E02000633",3959,3874,85,0,0
2021,"Lambeth 017","E02000634",3107,3048,58,1,0
2021,"Lambeth 018","E02000635",4338,4253,81,4,0
2021,"Lambeth 019","E02000636",3079,3003,75,1,0
2021,"Lambeth 020","E02000637",3705,3632,72,1,0
2021,"Lambeth 021","E02000638",4106,4010,91,5,0
2021,"Lambeth 022","E02000639",3725,3661,63,1,0
2021,"Lambeth 023","E02000640",3804,3646,152,6,0
2021,"Lambeth 024","E02000641",3391,3346,45,0,0
2021,"Lambeth 025","E02000642",4170,4055,111,4,0
2021,"Lambeth 026","E02000643",3949,3869,77,3,0
2021,"Lambeth 027","E02000644",3496,3431,64,0,1
2021,"Lambeth 028","E02000645",4047,3947,97,3,0
2021,"Lambeth 029","E02000646",3907,3818,88,1,0
2021,"Lambeth 030","E02000647",3422,3342,78,2,0
2021,"Lambeth 031","E02000648",3188,3113,75,0,0
2021,"Lambeth 032","E02000649",5304,5208,95,1,0
2021,"Lambeth 033","E02000650",3277,3205,72,0,0
2021,"Lambeth 034","E02000651",3479,3398,80,1,0
2021,"Lambeth 035","E02000652",2544,2472,69,2,1
2021,"Lewisham 001","E02000653",5293,5203,88,2,0
2021,"Lewisham 002","E02000654",3596,3529,64,3,0
2021,"Lewisham 003","E02000655",4007,3942,65,0,0
2021,"Lewisham 005","E02000657",3989,3925,63,1,0
2021,"Lewisham 006","E02000658",3456,3399,57,0,0
2021,"Lewisham 007","E02000659",3540,3456,83,1,0
2021,"Lewisham 008","E02000660",3603,3535,66,2,0
2021,"Lewisham 009","E02000661",3044,2930,109,5,0
2021,"Lewisham 010","E02000662",3304,3235,65,4,0
2021,"Lewisham 011","E02000663",2819,2758,61,0,0
2021,"Lewisham 013","E02000665",3414,3330,82,1,1
2021,"Lewisham 014","E02000666",2735,2680,53,2,0
2021,"Lewisham 015","E02000667",2524,2466,52,6,0
2021,"Lewisham 016","E02000668",2726,2650,75,1,0
2021,"Lewisham 017","E02000669",3308,3250,57,1,0
2021,"Lewisham 018","E02000670",2782,2726,56,0,0
2021,"Lewisham 019","E02000671",3682,3586,94,2,0
2021,"Lewisham 020","E02000672",4200,4112,86,2,0
2021,"Lewisham 021","E02000673",3496,3419,77,0,0
2021,"Lewisham 022","E02000674",3057,2985,67,4,1
2021,"Lewisham 023","E02000675",3419,3292,125,2,0
2021,"Lewisham 024","E02000676",3190,3128,61,1,0
2021,"Lewisham 025","E02000677",2642,2575,64,3,0
2021,"Lewisham 026","E02000678",2614,2530,83,1,0
2021,"Lewisham 027","E02000679",3375,3268,106,1,0
2021,"Lewisham 028","E02000680",2913,2848,65,0,0
2021,"Lewisham 029","E02000681",3351,3271,76,4,0
2021,"Lewisham 030","E02000682",3219,3123,95,1,0
2021,"Lewisham 031","E02000683",2724,2650,73,1,0
2021,"Lewisham 033","E02000685",3423,3332,90,1,0
2021,"Lewisham 034","E02000686",3045,2991,54,0,0
2021,"Lewisham 035","E02000687",3455,3375,79,1,0
2021,"Merton 001","E02000689",3512,3401,111,0,0
2021,"Merton 002","E02000690",2225,2102,121,2,0
2021,"Merton 003","E02000691",2956,2866,87,3,0
2021,"Merton 004","E02000692",3568,3438,129,1,0
2021,"Merton 005","E02000693",4282,4194,87,1,0
2021,"Merton 006","E02000694",3834,3736,95,3,0
2021,"Merton 007","E02000695",2942,2864,73,3,2
2021,"Merton 008","E02000696",3270,3212,55,3,0
2021,"Merton 009","E02000697",3666,3581,84,1,0
2021,"Merton 010","E02000698",3182,3074,107,1,0
2021,"Merton 011","E02000699",3262,3167,92,3,0
2021,"Merton 012","E02000700",3359,3290,67,1,1
2021,"Merton 013","E02000701",3116,3028,85,3,0
2021,"Merton 014","E02000702",3366,3283,80,3,0
2021,"Merton 015","E02000703",2937,2844,92,1,0
2021,"Merton 016","E02000704",3572,3462,107,3,0
2021,"Merton 017","E02000705",3115,3037,73,5,0
2021,"Merton 018","E02000706",3535,3441,92,1,1
2021,"Merton 019","E02000707",2778,2706,72,0,0
2021,"Merton 020","E02000708",3255,3148,104,3,0
2021,"Merton 021","E02000709",2869,2732,133,4,0
2021,"Merton 022","E02000710",3438,3314,120,4,0
2021,"Merton 023","E02000711",3454,3333,119,2,0
2021,"Merton 024","E02000712",3403,3021,375,7,0
2021,"Merton 025","E02000713",2832,2711,118,3,0
2021,"Newham 001","E02000714",2647,2601,43,2,1
2021,"Newham 002","E02000715",2092,2061,29,2,0
2021,"Newham 003","E02000716",2302,2254,47,0,1
2021,"Newham 004","E02000717",2395,2364,29,1,1
2021,"Newham 005","E02000718",2249,2217,30,2,0
2021,"Newham 006","E02000719",2875,2828,47,0,0
2021,"Newham 007","E02000720",2125,2086,37,2,0
2021,"Newham 008","E02000721",2764,2739,23,2,0
2021,"Newham 009","E02000722",2935,2887,46,2,0
2021,"Newham 010","E02000723",2862,2833,28,1,0
2021,"Newham 011","E02000724",2538,2499,36,1,2
2021,"Newham 012","E02000725",4001,3936,62,3,0
2021,"Newham 014","E02000727",2290,2259,29,2,0
2021,"Newham 015","E02000728",2342,2312,26,4,0
2021,"Newham 016","E02000729",2201,2149,52,0,0
2021,"Newham 017","E02000730",2565,2528,35,2,0
2021,"Newham 018","E02000731",2769,2733,33,2,1
2021,"Newham 019","E02000732",2749,2707,40,2,0
2021,"Newham 020","E02000733",3461,3403,57,1,0
2021,"Newham 021","E02000734",2495,2454,39,1,1
2021,"Newham 022","E02000735",2659,2619,39,1,0
2021,"Newham 023","E02000736",2655,2599,52,4,0
2021,"Newham 024","E02000737",3066,3013,53,0,0
