"date","geography","geography code","Number of people in household who previously served in UK armed forces: Total: All households","Number of people in household who previously served in UK armed forces: No people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 1 person in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 2 people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 3 or more people in the household previously served in UK armed forces"
2021,"Wandsworth 022","E02000944",2890,2834,55,1,0
2021,"Wandsworth 023","E02000945",2764,2684,77,3,0
2021,"Wandsworth 024","E02000946",3107,3011,95,1,0
2021,"Wandsworth 025","E02000947",3919,3798,119,2,0
2021,"Wandsworth 026","E02000948",4382,4273,103,6,0
2021,"Wandsworth 027","E02000949",4255,4118,132,5,0
2021,"Wandsworth 028","E02000950",3111,3009,100,2,0
2021,"Wandsworth 029","E02000951",2822,2735,84,3,0
2021,"Wandsworth 030","E02000952",2656,2580,73,3,0
2021,"Wandsworth 031","E02000953",3212,3120,92,0,0
2021,"Wandsworth 032","E02000954",2247,2201,44,2,0
2021,"Wandsworth 033","E02000955",2676,2618,57,1,0
2021,"Wandsworth 034","E02000956",3033,2960,70,3,0
2021,"Wandsworth 035","E02000957",4421,4331,90,0,0
2021,"Wandsworth 036","E02000958",2914,2835,78,1,0
2021,"Wandsworth 037","E02000959",3104,3039,64,1,0
2021,"Westminster 001","E02000960",2782,2716,66,0,0
2021,"Westminster 002","E02000961",4068,3987,79,2,0
2021,"Westminster 003","E02000962",3858,3784,71,3,0
2021,"Westminster 004","E02000963",4135,4071,64,0,0
2021,"Westminster 005","E02000964",5358,5287,71,0,0
2021,"Westminster 006","E02000965",3623,3567,56,0,0
2021,"Westminster 007","E02000966",4110,4019,89,2,0
2021,"Westminster 008","E02000967",3013,2938,75,0,0
2021,"Westminster 009","E02000968",5617,5509,108,0,0
2021,"Westminster 010","E02000969",3718,3669,49,0,0
2021,"Westminster 011","E02000970",3556,3477,78,1,0
2021,"Westminster 012","E02000971",3721,3645,74,2,0
2021,"Westminster 013","E02000972",4255,4178,74,3,0
2021,"Westminster 014","E02000973",4797,4686,108,2,1
2021,"Westminster 015","E02000974",3982,3888,93,1,0
2021,"Westminster 016","E02000975",3799,3743,56,0,0
2021,"Westminster 017","E02000976",4212,4136,75,0,1
2021,"Westminster 018","E02000977",3435,3347,87,1,0
2021,"Westminster 019","E02000978",2764,2675,88,1,0
2021,"Westminster 020","E02000979",3926,3790,136,0,0
2021,"Westminster 021","E02000980",4325,4179,139,7,0
2021,"Westminster 022","E02000981",4157,4047,110,0,0
2021,"Westminster 023","E02000982",3844,3736,106,2,0
2021,"Westminster 024","E02000983",3757,3642,114,1,0
2021,"Bromley 040","E02006782",3196,3048,143,5,0
2021,"Lewisham 037","E02006783",2892,2803,88,1,0
2021,"Lewisham 038","E02006784",3125,3022,99,3,1
2021,"Bexley 029","E02006785",2574,2427,141,6,0
2021,"Greenwich 033","E02006786",2874,2748,122,4,0
2021,"Bromley 041","E02006787",3089,2961,123,5,0
2021,"Croydon 045","E02006788",2895,2818,75,2,0
2021,"Bromley 042","E02006789",2787,2569,211,7,0
2021,"Ealing 040","E02006791",3449,3372,77,0,0
2021,"Hounslow 029","E02006792",4147,4031,113,3,0
2021,"Enfield 037","E02006793",3388,3340,44,4,0
2021,"Haringey 037","E02006794",3125,3062,61,0,2
2021,"Harrow 032","E02006795",2644,2574,67,3,0
2021,"Hillingdon 033","E02006796",3579,3440,136,3,0
2021,"Lewisham 039","E02006798",3776,3722,53,1,0
2021,"Barking and Dagenham 023","E02006799",3890,3769,120,1,0
2021,"Redbridge 034","E02006800",4514,4440,74,0,0
2021,"Lambeth 036","E02006801",3713,3619,90,4,0
2021,"Southwark 034","E02006802",3938,3861,73,3,1
2021,"Sutton 025","E02006836",3213,3060,150,3,0
2021,"Tower Hamlets 032","E02006853",5040,4989,49,2,0
2021,"Tower Hamlets 033","E02006854",3528,3484,44,0,0
2021,"Harrow 033","E02006882",4395,4298,96,1,0
2021,"Hackney 028","E02006918",3171,3132,39,0,0
2021,"Hackney 029","E02006921",2782,2746,34,2,0
2021,"Redbridge 035","E02006924",4098,4007,89,2,0
2021,"Redbridge 036","E02006925",4186,4081,104,1,0
2021,"Greenwich 034","E02006927",5085,4919,163,3,0
2021,"Greenwich 035","E02006928",5265,5157,104,4,0
2021,"Greenwich 037","E02006930",4227,4120,104,3,0
2021,"Greenwich 038","E02006931",4140,4014,119,7,0
2021,"Southwark 035","E02006941",2985,2938,47,0,0
2021,"Southwark 036","E02006942",3364,3314,48,2,0
2021,"Barnet 042","E02006953",3855,3797,49,9,0
2021,"Barnet 043","E02006954",3720,3652,68,0,0
2021,"Brent 035","E02006955",2709,2679,29,1,0
2021,"Brent 036","E02006956",2505,2468,36,1,0
2021,"Ealing 041","E02006968",3560,3493,64,3,0
2021,"Ealing 042","E02006969",2975,2931,44,0,0
2021,"Ealing 043","E02006970",2028,2010,18,0,0
2021,"Ealing 044","E02006971",2223,2203,20,0,0
2021,"Hounslow 030","E02006972",2334,2298,36,0,0
2021,"Hounslow 031","E02006973",3726,3639,82,5,0
2021,"Croydon 046","E02006987",3879,3820,58,1,0
2021,"Croydon 047","E02006988",3307,3232,72,3,0
2021,"Greenwich 039","E02006991",3233,3136,93,4,0
2021,"Greenwich 040","E02006992",3769,3663,102,4,0
2021,"Greenwich 041","E02006993",3625,3565,60,0,0
2021,"Greenwich 042","E02006994",3283,3202,76,5,0
2021,"Newham 038","E02006995",3237,3168,67,2,0
2021,"Newham 039","E02006996",3158,3117,40,1,0
2021,"Newham 040","E02006997",3232,3198,28,6,0
2021,"Newham 041","E02006998",2668,2620,44,4,0
2021,"Newham 042","E02006999",5051,4987,63,1,0
2021,"Lewisham 040","E02007008",2660,2625,34,1,0
2021,"Lewisham 041","E02007009",3987,3913,71,3,0
2021,"Redbridge 037","E02007017",2761,2656,103,2,0
2021,"Redbridge 038","E02007018",2529,2482,44,3,0
2021,"Redbridge 039","E02007019",2406,2375,31,0,0
2021,"Redbridge 040","E02007020",2723,2684,33,6,0
2021,"Wandsworth 038","E02007083",4106,4039,62,5,0
2021,"Wandsworth 039","E02007084",4136,4050,85,1,0
2021,"Hackney 030","E02007108",2802,2769,33,0,0
2021,"Hackney 031","E02007109",3302,3238,64,0,0
2021,"Hackney 032","E02007110",3363,3321,39,3,0
2021,"Hackney 033","E02007111",2816,2783,32,1,0
2021,"Tower Hamlets 034","E02007112",2920,2885,35,0,0
2021,"Tower Hamlets 035","E02007113",3267,3224,43,0,0
2021,"Tower Hamlets 036","E02007114",3032,2983,48,1,0
2021,"Camden 029","E02007115",4469,4385,84,0,0
