"date","geography","geography code","Passports held: Total; measures: Value","Passports held: Europe; measures: Value","Passports held: Europe: United Kingdom; measures: Value","Passports held: Europe: Ireland; measures: Value","Passports held: Europe: Other Europe; measures: Value","Passports held: Europe: Other Europe: EU Member countries; measures: Value","Passports held: Europe: Other Europe: EU Member countries: France; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value","Passports held: Europe: Other Europe: Rest of Europe; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value","Passports held: Africa; measures: Value","Passports held: Africa: North Africa; measures: Value","Passports held: Africa: Central and Western Africa; measures: Value","Passports held: Africa: South and Eastern Africa; measures: Value","Passports held: Middle East and Asia; measures: Value","Passports held: Middle East and Asia: Middle East; measures: Value","Passports held: Middle East and Asia: Eastern Asia; measures: Value","Passports held: Middle East and Asia: Southern Asia; measures: Value","Passports held: Middle East and Asia: South-East Asia; measures: Value","Passports held: Middle East and Asia: Central Asia; measures: Value","Passports held: The Americas and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: North America and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: Central and South America; measures: Value","Passports held: Antarctica and Oceania, including Australasia; measures: Value","Passports held: British Overseas Territories; measures: Value","Passports held: No passport held; measures: Value"
2021,"Wandsworth 021","E02000943",8718,8023,6867,217,939,874,150,55,178,62,112,18,74,27,198,65,12,53,55,10,11,34,73,3,23,28,19,0,161,125,36,161,0,245
2021,"Wandsworth 022","E02000944",7638,6548,5044,88,1416,1322,79,192,228,89,142,44,189,58,301,94,26,68,97,19,36,42,313,20,64,146,81,2,164,57,107,31,0,485
2021,"Wandsworth 023","E02000945",7842,6752,4919,85,1748,1630,98,138,190,101,114,69,392,98,430,118,32,86,146,32,66,48,278,22,21,141,90,4,115,50,65,29,0,522
2021,"Wandsworth 024","E02000946",8434,7508,6464,188,856,780,66,70,118,54,92,10,81,33,256,76,5,71,158,5,29,124,112,3,24,58,27,0,101,70,31,77,0,478
2021,"Wandsworth 025","E02000947",9343,8456,7110,217,1129,1043,155,76,176,62,102,19,95,39,319,86,31,55,109,11,9,89,176,6,48,62,57,3,160,92,68,114,0,328
2021,"Wandsworth 026","E02000948",10027,9202,7937,293,972,926,131,43,168,78,121,20,136,23,206,46,7,39,87,9,15,63,140,6,38,65,31,0,188,141,47,128,0,282
2021,"Wandsworth 027","E02000949",10007,9265,8215,261,789,750,127,34,161,47,92,8,76,30,175,39,7,32,72,13,15,44,116,3,34,45,34,0,152,115,37,124,0,278
2021,"Wandsworth 028","E02000950",7582,6622,4929,122,1571,1448,92,145,218,114,112,29,235,72,431,123,36,87,102,27,15,60,300,12,88,127,67,6,188,64,124,38,0,332
2021,"Wandsworth 029","E02000951",6431,5843,5092,143,608,577,73,33,92,49,73,14,88,22,133,31,3,28,55,15,20,20,106,2,20,68,16,0,131,86,45,79,0,217
2021,"Wandsworth 030","E02000952",6148,5665,4866,183,616,591,60,32,91,31,87,11,133,22,124,25,9,16,34,6,6,22,46,3,9,25,9,0,115,69,46,68,0,220
2021,"Wandsworth 031","E02000953",7505,6676,5734,195,747,715,46,58,135,66,81,22,107,29,171,32,13,19,112,14,22,76,235,5,29,112,88,1,114,69,45,48,0,320
2021,"Wandsworth 032","E02000954",6098,5490,4719,148,623,597,54,50,121,34,90,7,74,27,140,26,5,21,75,11,15,49,142,1,7,109,25,0,95,48,47,69,0,227
2021,"Wandsworth 033","E02000955",6891,6116,5146,162,808,747,92,63,123,36,60,6,130,37,200,61,26,35,79,21,18,40,177,5,18,138,16,0,112,57,55,50,0,357
2021,"Wandsworth 034","E02000956",7415,6407,5160,173,1074,1022,73,48,137,59,116,55,239,26,269,52,4,48,121,35,40,46,297,13,27,175,80,2,126,50,76,81,0,383
2021,"Wandsworth 035","E02000957",10867,9543,7745,285,1513,1405,109,94,230,91,209,32,304,48,288,108,5,103,124,30,45,49,437,17,22,286,111,1,187,77,110,74,0,502
2021,"Wandsworth 036","E02000958",8272,7520,6434,140,946,895,75,48,115,95,103,23,215,29,192,51,11,40,58,11,25,22,165,3,13,110,39,0,134,48,86,29,0,366
2021,"Wandsworth 037","E02000959",7865,7017,5216,189,1612,1547,99,42,176,195,216,26,347,79,367,65,5,60,118,19,67,32,139,5,11,89,34,0,165,69,96,36,0,390
2021,"Wandsworth 038","E02007083",7712,6219,4263,108,1848,1425,139,89,312,89,191,35,88,38,444,423,173,250,93,32,25,36,701,225,266,89,78,43,370,270,100,79,0,250
2021,"Wandsworth 039","E02007084",9888,8597,6622,145,1830,1724,126,59,410,168,302,33,142,64,420,106,24,82,158,22,97,39,246,24,59,80,78,5,254,112,142,71,0,562
2021,"Westminster 001","E02000960",6157,4885,3692,71,1122,943,217,45,147,51,96,14,37,33,303,179,78,101,63,21,18,24,541,62,261,137,71,10,503,422,81,47,0,118
2021,"Westminster 002","E02000961",9816,8326,6493,127,1706,1547,260,106,219,118,134,24,49,84,553,159,37,122,114,60,26,28,466,94,134,152,76,10,596,508,88,78,0,236
2021,"Westminster 003","E02000962",7711,6055,4492,123,1440,1257,205,92,270,71,114,21,53,55,376,183,34,149,145,76,46,23,742,108,302,246,78,8,537,396,141,50,0,182
2021,"Westminster 004","E02000963",10522,9486,8160,166,1160,1103,104,55,204,198,168,11,102,56,205,57,5,52,109,49,28,32,290,69,25,90,102,4,173,107,66,50,0,414
2021,"Westminster 005","E02000964",12140,10913,8813,217,1883,1760,232,75,370,162,206,40,134,49,492,123,26,97,137,56,42,39,303,72,53,85,93,0,225,140,85,80,0,482
2021,"Westminster 006","E02000965",7872,6899,5116,147,1636,1489,242,100,394,124,147,24,73,35,350,147,39,108,70,23,12,35,314,82,89,78,61,4,300,222,78,115,0,174
2021,"Westminster 007","E02000966",9250,8048,5847,140,2061,1763,323,130,344,72,165,18,158,35,518,298,90,208,61,24,12,25,449,74,121,143,108,3,436,346,90,91,0,165
2021,"Westminster 008","E02000967",6056,4678,3220,61,1397,1235,318,109,203,48,115,10,23,37,372,162,40,122,77,28,20,29,722,89,249,285,94,5,396,313,83,73,0,110
2021,"Westminster 009","E02000968",14480,12876,10656,153,2067,1925,250,126,358,165,205,22,69,72,658,142,25,117,207,125,48,34,504,78,119,179,118,10,226,116,110,33,0,634
2021,"Westminster 010","E02000969",9606,8556,7109,93,1354,1253,132,37,250,177,181,18,42,47,369,101,24,77,134,69,30,35,358,64,72,87,133,2,129,72,57,30,0,399
2021,"Westminster 011","E02000970",6837,5624,3901,89,1634,1418,365,141,220,77,117,7,33,53,405,216,35,181,60,31,11,18,488,87,129,169,97,6,489,427,62,69,0,107
2021,"Westminster 012","E02000971",7473,5963,3848,85,2030,1824,406,105,335,66,241,25,49,64,533,206,32,174,97,60,15,22,575,101,196,144,124,10,581,451,130,86,0,171
2021,"Westminster 013","E02000972",7879,6514,4407,119,1988,1760,340,133,303,95,219,37,66,41,526,228,55,173,74,34,16,24,591,66,227,122,168,8,395,308,87,98,0,207
2021,"Westminster 014","E02000973",9956,8484,6183,152,2149,1955,371,137,387,84,233,15,61,49,618,194,39,155,96,34,26,36,462,57,115,88,199,3,467,365,102,223,1,223
2021,"Westminster 015","E02000974",8704,6714,4842,75,1797,1597,274,101,304,61,169,30,50,75,533,200,26,174,195,112,49,34,1158,181,264,349,358,6,358,261,97,59,0,220
2021,"Westminster 016","E02000975",7416,6088,3866,108,2114,1916,346,127,405,91,264,29,80,88,486,198,49,149,100,36,22,42,642,77,318,128,108,11,312,224,88,124,0,150
2021,"Westminster 017","E02000976",8432,6773,4390,108,2275,2056,383,129,394,105,220,50,88,101,586,219,30,189,133,59,39,35,807,100,344,143,211,9,432,314,118,94,0,193
2021,"Westminster 018","E02000977",6389,5020,3618,95,1307,1122,186,97,216,75,92,19,47,34,356,185,27,158,66,22,27,17,712,72,319,144,168,9,322,223,99,89,0,180
2021,"Westminster 019","E02000978",7121,5812,3972,98,1742,1538,264,86,260,109,194,10,38,172,405,204,31,173,77,43,14,20,683,106,308,144,110,15,370,298,72,76,0,103
2021,"Westminster 020","E02000979",8088,6765,5088,128,1549,1357,250,86,320,97,189,10,54,47,304,192,28,164,87,46,20,21,634,68,331,116,94,25,280,205,75,76,0,246
2021,"Westminster 021","E02000980",8725,7558,5797,129,1632,1439,181,76,261,241,195,25,54,50,356,193,35,158,91,36,27,28,536,28,222,141,113,32,197,133,64,59,0,284
2021,"Westminster 022","E02000981",8267,7225,5678,136,1411,1309,220,96,284,82,180,37,58,26,326,102,22,80,74,26,24,24,339,37,130,54,114,4,273,210,63,89,1,266
2021,"Westminster 023","E02000982",7638,6682,5235,101,1346,1192,158,74,217,204,155,17,61,32,274,154,53,101,67,28,16,23,357,66,120,90,74,7,206,140,66,40,0,286
2021,"Westminster 024","E02000983",7693,6641,5358,108,1175,1080,103,79,202,155,171,10,76,33,251,95,20,75,65,30,18,17,432,43,228,82,68,11,180,104,76,54,0,321
