"date","geography","geography code","Economic activity status: Total: All usual residents aged 16 years and over","Economic activity status: Economically active (excluding full-time students)","Economic activity status: Economically active (excluding full-time students):In employment","Economic activity status: Economically active (excluding full-time students):In employment:Employee","Economic activity status: Economically active (excluding full-time students): In employment: Employee: Part-time","Economic activity status: Economically active (excluding full-time students): In employment: Employee: Full-time","Economic activity status: Economically active (excluding full-time students):In employment:Self-employed with employees","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time","Economic activity status: Economically active (excluding full-time students):In employment:Self-employed without employees","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time","Economic activity status: Economically active (excluding full-time students): Unemployed","Economic activity status: Economically active and a full-time student","Economic activity status: Economically active and a full-time student:In employment","Economic activity status: Economically active and a full-time student:In employment:Employee","Economic activity status: Economically active and a full-time student: In employment: Employee: Part-time","Economic activity status: Economically active and a full-time student: In employment: Employee: Full-time","Economic activity status: Economically active and a full-time student:In employment:Self-employed with employees","Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Part-time","Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Full-time","Economic activity status: Economically active and a full-time student:In employment:Self-employed without employees","Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Part-time","Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Full-time","Economic activity status: Economically active and a full-time student: Unemployed","Economic activity status: Economically inactive","Economic activity status: Economically inactive: Retired","Economic activity status: Economically inactive: Student","Economic activity status: Economically inactive: Looking after home or family","Economic activity status: Economically inactive: Long-term sick or disabled","Economic activity status: Economically inactive: Other"
2021,"Lambeth 018","E02000635",8476,6268,5899,4832,723,4109,119,28,91,948,422,526,369,222,170,136,92,44,2,1,1,32,25,7,52,1986,574,499,256,374,283
2021,"Lambeth 019","E02000636",6508,5132,4953,4141,382,3759,130,24,106,682,316,366,179,93,69,52,34,18,1,1,0,16,13,3,24,1283,516,246,250,102,169
2021,"Lambeth 020","E02000637",7408,5781,5493,4578,645,3933,91,23,68,824,357,467,288,179,138,114,78,36,0,0,0,24,17,7,41,1448,514,322,193,168,251
2021,"Lambeth 021","E02000638",8756,6004,5596,4651,919,3732,113,37,76,832,384,448,408,224,152,125,95,30,4,3,1,23,13,10,72,2528,552,493,335,337,811
2021,"Lambeth 022","E02000639",7157,4972,4542,3827,836,2991,75,20,55,640,309,331,430,210,171,145,104,41,5,5,0,21,15,6,39,1975,513,486,323,277,376
2021,"Lambeth 023","E02000640",7712,5881,5622,4844,560,4284,120,34,86,658,308,350,259,130,97,86,55,31,3,1,2,8,6,2,33,1701,664,386,255,182,214
2021,"Lambeth 024","E02000641",6825,4389,4002,3357,926,2431,100,27,73,545,258,287,387,230,144,130,93,37,2,2,0,12,9,3,86,2206,569,554,378,353,352
2021,"Lambeth 025","E02000642",8014,5550,5250,4247,809,3438,119,28,91,884,427,457,300,146,96,84,57,27,0,0,0,12,10,2,50,2318,911,513,335,280,279
2021,"Lambeth 026","E02000643",7881,5774,5439,4388,731,3657,106,22,84,945,423,522,335,168,119,104,69,35,2,1,1,13,7,6,49,1939,576,514,326,266,257
2021,"Lambeth 027","E02000644",6916,5077,4785,3745,720,3025,128,37,91,912,383,529,292,118,89,79,55,24,0,0,0,10,10,0,29,1721,610,430,271,169,241
2021,"Lambeth 028","E02000645",7702,5395,5059,4026,777,3249,128,29,99,905,456,449,336,153,114,97,57,40,1,1,0,16,12,4,39,2154,707,382,321,379,365
2021,"Lambeth 029","E02000646",7964,5791,5486,4416,782,3634,142,36,106,928,454,474,305,136,114,94,62,32,1,1,0,19,11,8,22,2037,764,370,363,252,288
2021,"Lambeth 030","E02000647",6933,4683,4382,3377,757,2620,116,23,93,889,432,457,301,139,104,97,74,23,0,0,0,7,7,0,35,2111,915,384,261,274,277
2021,"Lambeth 031","E02000648",6074,3899,3556,2933,704,2229,89,36,53,534,242,292,343,185,107,101,79,22,0,0,0,6,3,3,78,1990,623,397,305,391,274
2021,"Lambeth 032","E02000649",10421,7755,7264,5682,1033,4649,184,48,136,1398,611,787,491,224,172,155,107,48,0,0,0,17,10,7,52,2442,706,465,455,405,411
2021,"Lambeth 033","E02000650",6164,4244,3922,3151,646,2505,86,20,66,685,325,360,322,124,80,70,54,16,1,1,0,9,6,3,44,1796,593,334,280,352,237
2021,"Lambeth 034","E02000651",7209,5016,4697,3634,747,2887,125,31,94,938,440,498,319,137,107,92,68,24,1,1,0,14,9,5,30,2056,870,388,337,200,261
2021,"Lambeth 035","E02000652",6166,4042,3763,2896,696,2200,130,33,97,737,326,411,279,178,120,97,82,15,2,1,1,21,16,5,58,1946,792,394,306,161,293
2021,"Lewisham 001","E02000653",10607,7372,6847,5949,988,4961,113,47,66,785,359,426,525,400,309,272,191,81,5,3,2,32,26,6,91,2835,553,856,501,436,489
2021,"Lewisham 002","E02000654",7017,4508,4053,3422,907,2515,81,21,60,550,251,299,455,329,233,212,164,48,0,0,0,21,14,7,96,2180,471,536,378,385,410
2021,"Lewisham 003","E02000655",8398,5539,5021,4205,962,3243,108,25,83,708,302,406,518,495,338,291,237,54,2,0,2,45,32,13,157,2364,495,787,351,317,414
2021,"Lewisham 005","E02000657",8350,5253,4855,3848,868,2980,105,24,81,902,420,482,398,445,287,232,193,39,2,2,0,53,50,3,158,2652,579,1096,345,282,350
2021,"Lewisham 006","E02000658",7293,5016,4625,3662,809,2853,105,28,77,858,441,417,391,276,190,158,127,31,0,0,0,32,25,7,86,2001,610,509,258,302,322
2021,"Lewisham 007","E02000659",6672,4560,4267,3519,622,2897,93,28,65,655,323,332,293,170,123,98,75,23,3,2,1,22,13,9,47,1942,684,422,382,228,226
2021,"Lewisham 008","E02000660",6897,5103,4800,3833,713,3120,107,30,77,860,432,428,303,230,157,125,87,38,2,0,2,30,24,6,73,1564,486,413,232,218,215
2021,"Lewisham 009","E02000661",5415,3752,3478,2800,507,2293,77,19,58,601,292,309,274,135,95,78,52,26,2,1,1,15,12,3,40,1528,771,244,210,149,154
2021,"Lewisham 010","E02000662",6598,4585,4266,3425,818,2607,97,25,72,744,349,395,319,203,144,121,96,25,3,2,1,20,15,5,59,1810,507,411,307,295,290
2021,"Lewisham 011","E02000663",5654,3903,3641,2874,553,2321,78,17,61,689,304,385,262,188,135,119,92,27,1,1,0,15,15,0,53,1563,615,317,262,154,215
2021,"Lewisham 013","E02000665",6570,4493,4207,3389,703,2686,94,16,78,724,342,382,286,141,112,93,68,25,5,3,2,14,8,6,29,1936,824,347,294,204,267
2021,"Lewisham 014","E02000666",5764,3947,3710,2977,684,2293,75,19,56,658,301,357,237,146,111,97,79,18,1,1,0,13,10,3,35,1671,624,339,241,254,213
2021,"Lewisham 015","E02000667",5334,3775,3588,2842,605,2237,89,23,66,657,293,364,187,108,82,67,58,9,1,1,0,14,10,4,26,1451,646,349,155,108,193
2021,"Lewisham 016","E02000668",5293,3531,3301,2649,562,2087,82,21,61,570,274,296,230,141,106,96,71,25,2,0,2,8,7,1,35,1621,759,297,277,136,152
2021,"Lewisham 017","E02000669",6442,4512,4175,3379,714,2665,101,21,80,695,314,381,337,152,121,95,67,28,4,3,1,22,17,5,31,1778,599,285,293,312,289
2021,"Lewisham 018","E02000670",5389,3557,3311,2694,755,1939,70,17,53,547,241,306,246,125,99,86,53,33,0,0,0,13,7,6,26,1707,601,322,282,242,260
2021,"Lewisham 019","E02000671",6991,5081,4779,3756,745,3011,91,15,76,932,439,493,302,146,114,92,68,24,0,0,0,22,15,7,32,1764,739,320,269,232,204
2021,"Lewisham 020","E02000672",8217,5626,5202,4171,962,3209,172,56,116,859,403,456,424,184,140,107,75,32,10,1,9,23,16,7,44,2407,729,453,401,487,337
2021,"Lewisham 021","E02000673",6630,4887,4593,3524,642,2882,114,28,86,955,446,509,294,135,99,83,57,26,3,3,0,13,13,0,36,1608,726,308,220,155,199
2021,"Lewisham 022","E02000674",6793,4442,4111,3311,798,2513,104,30,74,696,306,390,331,136,107,97,67,30,0,0,0,10,5,5,29,2215,928,463,285,265,274
2021,"Lewisham 023","E02000675",6832,4468,4186,3351,792,2559,133,35,98,702,312,390,282,143,101,80,54,26,0,0,0,21,12,9,42,2221,1088,350,296,250,237
2021,"Lewisham 024","E02000676",6250,4509,4268,3410,694,2716,95,23,72,763,353,410,241,133,93,72,54,18,1,0,1,20,16,4,40,1608,683,288,235,188,214
2021,"Lewisham 025","E02000677",5868,3744,3477,2794,658,2136,122,25,97,561,271,290,267,139,114,104,90,14,1,1,0,9,9,0,25,1985,916,302,298,230,239
2021,"Lewisham 026","E02000678",5332,3300,3035,2417,674,1743,82,24,58,536,234,302,265,137,101,97,67,30,0,0,0,4,4,0,36,1895,616,405,320,272,282
2021,"Lewisham 027","E02000679",6406,4328,4000,3176,714,2462,110,29,81,714,342,372,328,145,119,97,72,25,4,3,1,18,12,6,26,1933,776,326,297,290,244
2021,"Lewisham 028","E02000680",5508,3704,3431,2736,616,2120,85,26,59,610,297,313,273,132,104,88,66,22,5,3,2,11,7,4,28,1672,633,305,308,212,214
2021,"Lewisham 029","E02000681",6673,4105,3808,3080,800,2280,123,32,91,605,303,302,297,181,125,110,83,27,1,1,0,14,10,4,56,2387,924,445,351,313,354
2021,"Lewisham 030","E02000682",6834,4085,3711,2990,966,2024,144,53,91,577,242,335,374,189,128,122,98,24,1,1,0,5,5,0,61,2560,873,574,465,307,341
2021,"Lewisham 031","E02000683",5416,3412,3112,2520,691,1829,89,32,57,503,199,304,300,130,108,94,74,20,0,0,0,14,9,5,22,1874,699,314,291,276,294
