"date","geography","geography code","Second address type: Total: All usual residents","Second address type: Armed forces base address","Second address type: Another address when working away from home","Second address type: Holiday home","Second address type: Student's term-time address","Second address type: Student's home address","Second address type: Another parent or guardian's address","Second address type: Partner's address","Second address type: Other","Second address type: Second address type not specified"
2021,"Bexley 022","E02000086",214,0,15,59,1,12,56,32,39,0
2021,"Bexley 023","E02000087",304,3,18,95,0,10,75,30,73,0
2021,"Bexley 024","E02000088",312,3,25,59,2,32,104,34,53,0
2021,"Bexley 025","E02000089",248,1,25,45,1,38,74,25,39,0
2021,"Bexley 026","E02000090",736,5,20,53,2,334,183,62,77,0
2021,"Bexley 027","E02000091",481,3,27,48,4,106,145,71,77,0
2021,"Bexley 028","E02000092",219,1,13,26,0,27,64,30,58,0
2021,"Brent 001","E02000093",511,1,46,100,2,7,109,59,187,0
2021,"Brent 002","E02000094",437,1,43,70,3,10,120,59,131,0
2021,"Brent 003","E02000095",466,0,48,92,4,15,71,63,173,0
2021,"Brent 004","E02000096",309,0,35,66,1,10,44,46,107,0
2021,"Brent 005","E02000097",366,0,37,53,0,14,77,50,135,0
2021,"Brent 006","E02000098",381,0,29,71,1,13,83,32,152,0
2021,"Brent 007","E02000099",452,1,35,88,2,14,88,66,158,0
2021,"Brent 008","E02000100",685,0,42,68,1,207,189,51,127,0
2021,"Brent 009","E02000101",460,1,68,62,4,18,104,50,153,0
2021,"Brent 010","E02000102",249,1,13,68,1,6,51,24,85,0
2021,"Brent 011","E02000103",391,0,38,54,0,15,95,51,138,0
2021,"Brent 012","E02000104",345,1,56,45,4,11,73,31,124,0
2021,"Brent 013","E02000105",359,0,31,35,0,32,84,40,137,0
2021,"Brent 014","E02000106",425,1,27,58,3,17,108,57,154,0
2021,"Brent 015","E02000107",598,0,33,76,4,49,195,89,152,0
2021,"Brent 016","E02000108",292,1,22,42,2,13,49,43,120,0
2021,"Brent 018","E02000110",486,0,63,55,1,56,124,51,136,0
2021,"Brent 019","E02000111",428,1,33,44,2,28,122,56,142,0
2021,"Brent 020","E02000112",495,0,27,70,0,26,149,72,151,0
2021,"Brent 021","E02000113",236,0,15,27,0,13,60,23,98,0
2021,"Brent 022","E02000114",591,0,24,79,0,78,213,61,136,0
