"date","geography","geography code","Household language (English and Welsh): Total: All households","Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language"
2021,"Brent 016","E02000108",2274,1151,443,166,514
2021,"Brent 018","E02000110",3094,2014,443,74,563
2021,"Brent 019","E02000111",3190,1470,648,254,818
2021,"Brent 020","E02000112",3496,1732,700,193,871
2021,"Brent 021","E02000113",3289,1998,609,180,502
2021,"Brent 022","E02000114",3705,2229,541,124,811
2021,"Brent 023","E02000115",3879,2615,417,128,719
2021,"Brent 024","E02000116",3237,1819,483,231,704
2021,"Brent 025","E02000117",4759,2956,635,265,903
2021,"Brent 026","E02000118",3156,1420,692,183,861
2021,"Brent 027","E02000119",3952,2499,567,225,661
2021,"Brent 028","E02000120",4243,2918,434,109,782
2021,"Brent 029","E02000121",3627,1517,813,243,1054
2021,"Brent 030","E02000122",3160,2266,428,66,400
2021,"Brent 031","E02000123",5539,3359,686,305,1189
2021,"Brent 032","E02000124",4161,3096,496,103,466
2021,"Brent 033","E02000125",3941,2901,490,99,451
2021,"Brent 034","E02000126",3405,2289,503,132,481
2021,"Bromley 001","E02000127",3785,3243,222,96,224
2021,"Bromley 002","E02000128",3064,2785,135,49,95
2021,"Bromley 004","E02000130",3665,3209,218,55,183
2021,"Bromley 005","E02000131",5068,4244,311,98,415
2021,"Bromley 006","E02000132",4943,4239,294,71,339
2021,"Bromley 007","E02000133",4328,3984,207,39,98
2021,"Bromley 008","E02000134",5297,4487,299,107,404
2021,"Bromley 009","E02000135",4442,3647,302,127,366
2021,"Bromley 010","E02000136",2295,2110,95,26,64
2021,"Bromley 011","E02000137",3674,3276,171,56,171
2021,"Bromley 012","E02000138",4139,3674,203,55,207
2021,"Bromley 013","E02000139",3310,2978,156,38,138
2021,"Bromley 014","E02000140",3340,2984,146,65,145
2021,"Bromley 015","E02000141",3092,2714,183,51,144
2021,"Bromley 016","E02000142",3452,3063,188,53,148
2021,"Bromley 018","E02000144",4312,3511,313,128,360
2021,"Bromley 019","E02000145",3512,3090,156,89,177
2021,"Bromley 020","E02000146",4042,3627,180,75,160
2021,"Bromley 021","E02000147",3167,2873,139,45,110
2021,"Bromley 022","E02000148",2699,2494,115,34,56
2021,"Bromley 023","E02000149",3284,2982,124,58,120
2021,"Bromley 024","E02000150",3115,2852,160,37,66
2021,"Bromley 025","E02000151",2968,2735,126,44,63
2021,"Bromley 026","E02000152",3095,2765,150,61,119
2021,"Bromley 027","E02000153",2895,2689,123,40,43
2021,"Bromley 028","E02000154",3573,3127,159,81,206
2021,"Bromley 029","E02000155",3041,2792,127,37,85
2021,"Bromley 030","E02000156",4862,4550,182,40,90
2021,"Bromley 031","E02000157",3279,3037,106,55,81
2021,"Bromley 032","E02000158",3034,2703,151,56,124
2021,"Bromley 033","E02000159",2822,2654,99,20,49
2021,"Bromley 034","E02000160",3042,2865,104,32,41
2021,"Bromley 035","E02000161",3344,2999,133,94,118
2021,"Bromley 036","E02000162",2964,2770,86,40,68
2021,"Bromley 037","E02000163",3069,2839,121,39,70
2021,"Bromley 039","E02000165",2739,2655,51,9,24
2021,"Camden 001","E02000166",3396,2882,305,39,170
2021,"Camden 002","E02000167",3373,2723,295,63,292
2021,"Camden 003","E02000168",3493,2859,333,46,255
2021,"Camden 004","E02000169",3024,2249,327,85,363
2021,"Camden 005","E02000170",3465,2530,388,64,483
2021,"Camden 006","E02000171",3330,2628,363,57,282
2021,"Camden 007","E02000172",4035,2965,544,86,440
2021,"Camden 008","E02000173",3501,2465,339,95,602
2021,"Camden 009","E02000174",3552,2768,401,67,316
2021,"Camden 010","E02000175",4309,3161,434,47,667
2021,"Camden 011","E02000176",3001,2261,254,80,406
2021,"Camden 012","E02000177",3654,2692,490,75,397
2021,"Camden 013","E02000178",4166,2875,465,99,727
2021,"Camden 014","E02000179",2547,1827,351,56,313
2021,"Camden 015","E02000180",3515,2569,442,66,438
2021,"Camden 016","E02000181",3751,2684,437,68,562
2021,"Camden 017","E02000182",3082,1985,393,87,617
2021,"Camden 018","E02000183",3617,2864,337,53,363
2021,"Camden 019","E02000184",3635,2477,583,71,504
2021,"Camden 020","E02000185",4069,2581,521,154,813
2021,"Camden 021","E02000186",2941,2070,355,48,468
2021,"Camden 022","E02000187",3817,2483,708,106,520
2021,"Camden 023","E02000188",2719,1675,564,77,403
2021,"Camden 026","E02000191",2105,1411,251,14,429
2021,"Camden 027","E02000192",3089,2170,449,56,414
2021,"Camden 028","E02000193",3101,2243,312,21,525
2021,"Croydon 001","E02000194",4204,3555,285,79,285
2021,"Croydon 002","E02000195",3489,2684,387,118,300
2021,"Croydon 003","E02000196",2815,1961,367,79,408
2021,"Croydon 004","E02000197",3318,2308,407,131,472
2021,"Croydon 005","E02000198",3502,2693,293,133,383
2021,"Croydon 006","E02000199",3207,2570,265,93,279
2021,"Croydon 007","E02000200",4001,3271,276,100,354
2021,"Croydon 008","E02000201",3820,3091,256,127,346
2021,"Croydon 009","E02000202",3035,2072,413,125,425
2021,"Croydon 010","E02000203",3120,2275,293,104,448
