"date","geography","geography code","Household reference person previously served in UK armed forces: Total: All households","Household reference person previously served in UK armed forces: Household reference person previously served in regular UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in both regular and reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person has not previously served in regular or reserve UK armed forces"
2021,"Havering 010","E02000473",4022,107,37,7,3871
2021,"Havering 011","E02000474",3533,80,38,7,3408
2021,"Havering 012","E02000475",3958,105,29,6,3818
2021,"Havering 013","E02000476",4194,76,31,1,4086
2021,"Havering 014","E02000477",3715,116,24,5,3570
2021,"Havering 015","E02000478",2151,71,19,1,2060
2021,"Havering 016","E02000479",3789,58,22,9,3700
2021,"Havering 017","E02000480",5012,77,26,5,4904
2021,"Havering 018","E02000481",3244,150,30,4,3060
2021,"Havering 019","E02000482",2578,111,33,5,2429
2021,"Havering 020","E02000483",3473,97,32,9,3335
2021,"Havering 021","E02000484",3252,102,25,4,3121
2021,"Havering 022","E02000485",3457,109,23,9,3316
2021,"Havering 023","E02000486",2991,105,30,6,2850
2021,"Havering 024","E02000487",2944,82,29,4,2829
2021,"Havering 025","E02000488",3012,102,31,3,2876
2021,"Havering 026","E02000489",3261,99,25,3,3134
2021,"Havering 027","E02000490",3226,124,26,7,3069
2021,"Havering 028","E02000491",3934,100,23,7,3804
2021,"Havering 029","E02000492",2621,113,30,0,2478
2021,"Havering 030","E02000493",2497,62,20,1,2414
2021,"Hillingdon 001","E02000494",3215,81,20,6,3108
2021,"Hillingdon 002","E02000495",4305,89,36,8,4172
2021,"Hillingdon 003","E02000496",3176,115,29,10,3022
2021,"Hillingdon 004","E02000497",3693,114,37,8,3534
2021,"Hillingdon 005","E02000498",2638,80,22,5,2531
2021,"Hillingdon 006","E02000499",3013,95,24,8,2886
2021,"Hillingdon 007","E02000500",3305,105,33,4,3163
2021,"Hillingdon 008","E02000501",3273,85,32,3,3153
2021,"Hillingdon 009","E02000502",3530,95,29,4,3402
2021,"Hillingdon 010","E02000503",3254,80,29,5,3140
2021,"Hillingdon 011","E02000504",2922,110,23,6,2783
2021,"Hillingdon 013","E02000506",2900,99,23,3,2775
2021,"Hillingdon 014","E02000507",2781,74,18,2,2687
2021,"Hillingdon 015","E02000508",4338,88,22,4,4224
2021,"Hillingdon 016","E02000509",3403,60,22,3,3318
2021,"Hillingdon 017","E02000510",3260,93,26,2,3139
2021,"Hillingdon 018","E02000511",3263,88,24,4,3147
2021,"Hillingdon 019","E02000512",3106,65,23,3,3015
2021,"Hillingdon 020","E02000513",3324,49,15,3,3257
2021,"Hillingdon 021","E02000514",3180,49,7,4,3120
2021,"Hillingdon 022","E02000515",5343,130,37,6,5170
2021,"Hillingdon 023","E02000516",2819,33,14,3,2769
2021,"Hillingdon 024","E02000517",3322,62,14,3,3243
2021,"Hillingdon 025","E02000518",3329,81,19,4,3225
2021,"Hillingdon 026","E02000519",3023,51,17,3,2952
2021,"Hillingdon 027","E02000520",4456,92,20,6,4338
2021,"Hillingdon 028","E02000521",4349,77,22,5,4245
2021,"Hillingdon 029","E02000522",3486,83,26,3,3374
2021,"Hillingdon 030","E02000523",3682,54,9,0,3619
2021,"Hillingdon 031","E02000524",2639,56,20,3,2560
2021,"Hillingdon 032","E02000525",3317,72,18,6,3221
2021,"Hounslow 001","E02000526",3616,51,29,1,3535
2021,"Hounslow 004","E02000529",3035,17,9,1,3008
2021,"Hounslow 005","E02000530",2517,27,6,2,2482
2021,"Hounslow 006","E02000531",4935,79,35,1,4820
2021,"Hounslow 007","E02000532",3818,84,24,5,3705
2021,"Hounslow 008","E02000533",3688,57,30,8,3593
2021,"Hounslow 009","E02000534",2997,43,19,1,2934
2021,"Hounslow 010","E02000535",3004,27,10,3,2964
2021,"Hounslow 011","E02000536",3246,38,8,2,3198
2021,"Hounslow 012","E02000537",3158,40,6,3,3109
2021,"Hounslow 013","E02000538",3010,31,13,3,2963
2021,"Hounslow 014","E02000539",4733,58,27,5,4643
2021,"Hounslow 015","E02000540",4486,76,21,2,4387
2021,"Hounslow 016","E02000541",3279,63,13,5,3198
2021,"Hounslow 017","E02000542",3951,58,19,3,3871
2021,"Hounslow 018","E02000543",4890,55,12,2,4821
2021,"Hounslow 019","E02000544",2922,80,21,6,2815
2021,"Hounslow 020","E02000545",3548,48,24,4,3472
2021,"Hounslow 021","E02000546",3159,47,5,2,3105
2021,"Hounslow 022","E02000547",3854,143,15,11,3685
2021,"Hounslow 023","E02000548",3725,117,26,15,3567
2021,"Hounslow 024","E02000549",4084,152,27,6,3899
2021,"Hounslow 025","E02000550",3720,78,14,2,3626
2021,"Hounslow 026","E02000551",3415,59,25,4,3327
2021,"Hounslow 027","E02000552",3360,73,24,11,3252
2021,"Hounslow 028","E02000553",2600,76,15,3,2506
2021,"Islington 001","E02000554",4200,25,18,3,4154
2021,"Islington 002","E02000555",4034,31,19,2,3982
2021,"Islington 003","E02000556",4949,24,18,2,4905
2021,"Islington 004","E02000557",4139,29,19,1,4090
2021,"Islington 005","E02000558",3955,29,18,0,3908
2021,"Islington 006","E02000559",3994,20,16,2,3956
2021,"Islington 007","E02000560",3274,13,15,0,3246
2021,"Islington 008","E02000561",3159,21,14,3,3121
2021,"Islington 009","E02000562",3487,26,22,1,3438
2021,"Islington 010","E02000563",3857,32,28,0,3797
2021,"Islington 011","E02000564",5663,35,24,1,5603
2021,"Islington 012","E02000565",3493,35,10,1,3447
2021,"Islington 013","E02000566",3835,23,13,2,3797
2021,"Islington 014","E02000567",4894,36,16,3,4839
2021,"Islington 015","E02000568",4668,33,16,4,4615
2021,"Islington 016","E02000569",4602,55,24,7,4516
2021,"Islington 017","E02000570",3990,32,27,4,3927
2021,"Islington 018","E02000571",4122,31,18,0,4073
2021,"Islington 019","E02000572",3523,28,14,1,3480
2021,"Islington 020","E02000573",4921,26,16,2,4877
2021,"Islington 021","E02000574",3603,38,21,1,3543
2021,"Islington 022","E02000575",5169,57,17,4,5091
2021,"Islington 023","E02000576",4952,60,25,2,4865
2021,"Kensington and Chelsea 001","E02000577",3175,18,12,2,3143
2021,"Kensington and Chelsea 002","E02000578",2310,15,11,1,2283
2021,"Kensington and Chelsea 003","E02000579",3819,45,23,1,3750
2021,"Kensington and Chelsea 004","E02000580",3988,50,13,2,3923
2021,"Kensington and Chelsea 005","E02000581",3010,46,14,1,2949
2021,"Kensington and Chelsea 006","E02000582",3270,50,20,4,3196
2021,"Kensington and Chelsea 007","E02000583",3118,62,26,6,3024
2021,"Kensington and Chelsea 008","E02000584",3331,65,19,1,3246
2021,"Kensington and Chelsea 009","E02000585",3384,47,11,5,3321
2021,"Kensington and Chelsea 010","E02000586",2876,37,17,1,2821
2021,"Kensington and Chelsea 011","E02000587",3025,29,19,3,2974
2021,"Kensington and Chelsea 012","E02000588",3077,38,26,6,3007
2021,"Kensington and Chelsea 013","E02000589",3655,26,15,0,3614
2021,"Kensington and Chelsea 014","E02000590",3048,52,25,1,2970
2021,"Kensington and Chelsea 015","E02000591",3236,28,12,0,3196
2021,"Kensington and Chelsea 016","E02000592",2835,41,15,2,2777
2021,"Kensington and Chelsea 017","E02000593",3684,33,21,3,3627
2021,"Kensington and Chelsea 018","E02000594",2922,77,23,3,2819
2021,"Kensington and Chelsea 019","E02000595",3027,49,23,3,2952
2021,"Kensington and Chelsea 020","E02000596",3071,53,38,3,2977
2021,"Kensington and Chelsea 021","E02000597",2994,48,17,3,2926
2021,"Kingston upon Thames 001","E02000598",2972,76,18,7,2871
2021,"Kingston upon Thames 002","E02000599",2352,58,17,4,2273
2021,"Kingston upon Thames 003","E02000600",3378,59,34,7,3278
2021,"Kingston upon Thames 004","E02000601",4855,77,22,8,4748
2021,"Kingston upon Thames 005","E02000602",4045,66,21,6,3952
2021,"Kingston upon Thames 006","E02000603",2953,50,19,2,2882
2021,"Kingston upon Thames 007","E02000604",3562,59,25,3,3475
2021,"Kingston upon Thames 008","E02000605",3115,63,16,2,3034
2021,"Kingston upon Thames 009","E02000606",4810,85,41,2,4682
2021,"Kingston upon Thames 010","E02000607",2582,46,18,2,2516
2021,"Kingston upon Thames 011","E02000608",3406,48,15,2,3341
2021,"Kingston upon Thames 012","E02000609",2737,76,29,7,2625
2021,"Kingston upon Thames 013","E02000610",3868,77,36,3,3752
2021,"Kingston upon Thames 014","E02000611",2651,78,30,10,2533
2021,"Kingston upon Thames 015","E02000612",3077,86,23,8,2960
2021,"Kingston upon Thames 016","E02000613",3194,70,28,2,3094
2021,"Kingston upon Thames 017","E02000614",3374,64,17,0,3293
2021,"Kingston upon Thames 018","E02000615",2956,55,30,4,2867
2021,"Kingston upon Thames 019","E02000616",2390,65,26,1,2298
2021,"Kingston upon Thames 020","E02000617",3342,73,27,8,3234
2021,"Lambeth 002","E02000619",4053,42,27,6,3978
2021,"Lambeth 003","E02000620",4588,57,30,0,4501
2021,"Lambeth 004","E02000621",6012,48,27,4,5933
2021,"Lambeth 005","E02000622",3632,45,16,1,3570
2021,"Lambeth 006","E02000623",3330,39,10,1,3280
2021,"Lambeth 007","E02000624",4274,30,27,4,4213
2021,"Lambeth 008","E02000625",3797,26,16,0,3755
2021,"Lambeth 009","E02000626",3448,19,9,3,3417
2021,"Lambeth 010","E02000627",3916,31,23,0,3862
2021,"Lambeth 011","E02000628",4483,29,25,1,4428
2021,"Lambeth 012","E02000629",4016,33,33,1,3949
2021,"Lambeth 013","E02000630",3430,30,22,3,3375
2021,"Lambeth 014","E02000631",3739,26,24,2,3687
2021,"Lambeth 015","E02000632",4259,31,22,3,4203
2021,"Lambeth 016","E02000633",3962,24,27,2,3909
2021,"Lambeth 017","E02000634",3107,25,17,2,3063
2021,"Lambeth 018","E02000635",4336,26,22,1,4287
2021,"Lambeth 019","E02000636",3077,32,18,1,3026
2021,"Lambeth 020","E02000637",3705,31,21,3,3650
2021,"Lambeth 021","E02000638",4108,43,28,3,4034
2021,"Lambeth 022","E02000639",3722,30,12,3,3677
2021,"Lambeth 023","E02000640",3805,86,29,5,3685
2021,"Lambeth 024","E02000641",3391,24,7,2,3358
2021,"Lambeth 025","E02000642",4169,49,29,4,4087
2021,"Lambeth 026","E02000643",3949,33,25,0,3891
2021,"Lambeth 027","E02000644",3495,34,16,1,3444
2021,"Lambeth 028","E02000645",4048,28,41,3,3976
2021,"Lambeth 029","E02000646",3902,39,12,3,3848
2021,"Lambeth 030","E02000647",3422,40,15,0,3367
2021,"Lambeth 031","E02000648",3188,34,22,2,3130
2021,"Lambeth 032","E02000649",5305,35,31,2,5237
2021,"Lambeth 033","E02000650",3277,34,16,3,3224
2021,"Lambeth 034","E02000651",3478,26,21,1,3430
2021,"Lambeth 035","E02000652",2545,30,20,0,2495
2021,"Lewisham 001","E02000653",5291,39,29,2,5221
2021,"Lewisham 002","E02000654",3596,35,11,2,3548
2021,"Lewisham 003","E02000655",4007,26,14,2,3965
2021,"Lewisham 005","E02000657",3990,31,16,1,3942
2021,"Lewisham 006","E02000658",3458,21,16,2,3419
2021,"Lewisham 007","E02000659",3541,42,21,6,3472
2021,"Lewisham 008","E02000660",3602,23,24,1,3554
2021,"Lewisham 009","E02000661",3044,58,23,3,2960
2021,"Lewisham 010","E02000662",3302,24,16,3,3259
2021,"Lewisham 011","E02000663",2819,23,15,4,2777
2021,"Lewisham 013","E02000665",3414,41,20,0,3353
2021,"Lewisham 014","E02000666",2733,19,13,2,2699
2021,"Lewisham 015","E02000667",2524,37,8,1,2478
2021,"Lewisham 016","E02000668",2723,33,11,4,2675
2021,"Lewisham 017","E02000669",3308,26,11,1,3270
2021,"Lewisham 018","E02000670",2784,17,12,1,2754
2021,"Lewisham 019","E02000671",3683,42,26,4,3611
2021,"Lewisham 020","E02000672",4199,33,33,1,4132
2021,"Lewisham 021","E02000673",3497,32,23,5,3437
2021,"Lewisham 022","E02000674",3056,35,19,5,2997
2021,"Lewisham 023","E02000675",3420,73,22,3,3322
2021,"Lewisham 024","E02000676",3189,28,13,1,3147
2021,"Lewisham 025","E02000677",2640,39,7,1,2593
2021,"Lewisham 026","E02000678",2613,34,11,1,2567
2021,"Lewisham 027","E02000679",3375,63,26,1,3285
2021,"Lewisham 028","E02000680",2917,38,14,2,2863
2021,"Lewisham 029","E02000681",3351,40,21,4,3286
2021,"Lewisham 030","E02000682",3218,40,26,3,3149
2021,"Lewisham 031","E02000683",2724,35,14,2,2673
2021,"Lewisham 033","E02000685",3423,42,11,3,3367
2021,"Lewisham 034","E02000686",3042,31,9,0,3002
2021,"Lewisham 035","E02000687",3454,47,16,2,3389
2021,"Merton 001","E02000689",3509,50,26,2,3431
2021,"Merton 002","E02000690",2226,62,22,10,2132
2021,"Merton 003","E02000691",2957,45,24,2,2886
2021,"Merton 004","E02000692",3569,75,21,11,3462
2021,"Merton 005","E02000693",4282,34,27,1,4220
2021,"Merton 006","E02000694",3834,45,25,3,3761
2021,"Merton 007","E02000695",2941,34,15,1,2891
2021,"Merton 008","E02000696",3269,25,13,4,3227
2021,"Merton 009","E02000697",3663,38,19,4,3602
2021,"Merton 010","E02000698",3183,59,26,2,3096
2021,"Merton 011","E02000699",3261,40,19,3,3199
2021,"Merton 012","E02000700",3356,28,19,4,3305
2021,"Merton 013","E02000701",3113,38,21,2,3052
2021,"Merton 014","E02000702",3366,41,15,4,3306
2021,"Merton 015","E02000703",2935,42,19,2,2872
2021,"Merton 016","E02000704",3573,57,28,2,3486
2021,"Merton 017","E02000705",3113,37,20,4,3052
2021,"Merton 018","E02000706",3535,42,29,3,3461
2021,"Merton 019","E02000707",2778,36,15,1,2726
2021,"Merton 020","E02000708",3254,61,17,3,3173
2021,"Merton 021","E02000709",2869,72,29,6,2762
2021,"Merton 022","E02000710",3439,72,25,7,3335
2021,"Merton 023","E02000711",3457,62,22,1,3372
2021,"Merton 024","E02000712",3401,270,27,10,3094
2021,"Merton 025","E02000713",2831,63,23,3,2742
2021,"Newham 001","E02000714",2646,18,15,1,2612
2021,"Newham 002","E02000715",2088,13,5,0,2070
2021,"Newham 003","E02000716",2302,22,7,0,2273
2021,"Newham 004","E02000717",2394,10,9,0,2375
2021,"Newham 005","E02000718",2247,12,10,0,2225
2021,"Newham 006","E02000719",2876,21,11,2,2842
2021,"Newham 007","E02000720",2125,22,7,1,2095
2021,"Newham 008","E02000721",2763,9,5,0,2749
2021,"Newham 009","E02000722",2935,26,5,1,2903
2021,"Newham 010","E02000723",2861,10,5,0,2846
2021,"Newham 011","E02000724",2534,15,6,1,2512
2021,"Newham 012","E02000725",3999,31,14,2,3952
2021,"Newham 014","E02000727",2288,11,4,0,2273
2021,"Newham 015","E02000728",2340,10,5,1,2324
2021,"Newham 016","E02000729",2201,27,9,0,2165
2021,"Newham 017","E02000730",2567,15,8,2,2542
2021,"Newham 018","E02000731",2770,15,10,1,2744
2021,"Newham 019","E02000732",2750,15,7,1,2727
2021,"Newham 020","E02000733",3461,23,12,0,3426
2021,"Newham 021","E02000734",2494,23,3,1,2467
2021,"Newham 022","E02000735",2657,17,12,0,2628
2021,"Newham 023","E02000736",2651,23,9,0,2619
2021,"Newham 024","E02000737",3066,23,10,0,3033
2021,"Newham 025","E02000738",2784,21,22,1,2740
2021,"Newham 026","E02000739",2478,22,12,0,2444
2021,"Newham 027","E02000740",2493,21,12,0,2460
2021,"Newham 028","E02000741",2684,27,3,1,2653
2021,"Newham 029","E02000742",2528,22,10,0,2496
2021,"Newham 030","E02000743",3577,29,20,0,3528
2021,"Newham 031","E02000744",3325,36,12,0,3277
2021,"Newham 032","E02000745",2877,24,12,2,2839
2021,"Newham 033","E02000746",3394,31,13,13,3337
2021,"Newham 034","E02000747",5447,46,20,2,5379
2021,"Newham 035","E02000748",2209,21,10,2,2176
2021,"Newham 036","E02000749",3329,34,12,0,3283
2021,"Redbridge 001","E02000751",4440,106,34,5,4295
2021,"Redbridge 002","E02000752",3266,53,22,0,3191
2021,"Redbridge 003","E02000753",2471,44,21,1,2405
2021,"Redbridge 004","E02000754",2589,43,22,0,2524
2021,"Redbridge 005","E02000755",2185,28,9,4,2144
2021,"Redbridge 006","E02000756",5257,74,25,7,5151
2021,"Redbridge 007","E02000757",5180,78,37,3,5062
2021,"Redbridge 008","E02000758",2317,36,14,2,2265
2021,"Redbridge 009","E02000759",4818,74,37,3,4704
2021,"Redbridge 010","E02000760",2627,48,11,1,2567
2021,"Redbridge 012","E02000762",2106,47,10,4,2045
2021,"Redbridge 013","E02000763",2576,29,6,1,2540
2021,"Redbridge 014","E02000764",5367,88,46,7,5226
2021,"Redbridge 015","E02000765",2426,26,14,1,2385
2021,"Redbridge 017","E02000767",2768,44,17,2,2705
2021,"Redbridge 018","E02000768",2200,43,23,3,2131
2021,"Redbridge 020","E02000770",2489,32,6,2,2449
2021,"Redbridge 022","E02000772",2538,22,10,2,2504
2021,"Redbridge 023","E02000773",3110,25,15,0,3070
2021,"Redbridge 024","E02000774",2458,17,14,1,2426
2021,"Redbridge 026","E02000776",2082,17,8,0,2057
2021,"Redbridge 027","E02000777",2325,41,20,3,2261
2021,"Redbridge 029","E02000779",2774,26,13,2,2733
2021,"Redbridge 031","E02000781",4429,58,16,4,4351
2021,"Redbridge 032","E02000782",3576,32,11,0,3533
2021,"Redbridge 033","E02000783",2115,9,5,0,2101
2021,"Richmond upon Thames 001","E02000784",4175,105,52,11,4007
2021,"Richmond upon Thames 002","E02000785",4165,91,43,5,4026
2021,"Richmond upon Thames 003","E02000786",4940,92,56,4,4788
2021,"Richmond upon Thames 004","E02000787",5170,104,37,5,5024
2021,"Richmond upon Thames 005","E02000788",3624,62,37,9,3516
2021,"Richmond upon Thames 006","E02000789",2841,55,20,4,2762
2021,"Richmond upon Thames 007","E02000790",2702,54,18,3,2627
2021,"Richmond upon Thames 008","E02000791",2969,66,24,3,2876
2021,"Richmond upon Thames 009","E02000792",3104,52,30,1,3021
2021,"Richmond upon Thames 010","E02000793",3135,72,28,5,3030
2021,"Richmond upon Thames 011","E02000794",2760,58,30,5,2667
2021,"Richmond upon Thames 012","E02000795",2587,64,29,4,2490
2021,"Richmond upon Thames 013","E02000796",3981,110,29,5,3837
2021,"Richmond upon Thames 014","E02000797",3478,55,22,5,3396
2021,"Richmond upon Thames 015","E02000798",4322,92,37,0,4193
2021,"Richmond upon Thames 016","E02000799",2440,50,20,3,2367
2021,"Richmond upon Thames 017","E02000800",2156,50,26,5,2075
2021,"Richmond upon Thames 018","E02000801",3017,45,32,3,2937
2021,"Richmond upon Thames 019","E02000802",2974,62,26,5,2881
2021,"Richmond upon Thames 020","E02000803",4096,134,36,6,3920
2021,"Richmond upon Thames 021","E02000804",3168,76,30,4,3058
2021,"Richmond upon Thames 022","E02000805",4634,112,45,10,4467
2021,"Richmond upon Thames 023","E02000806",4254,122,32,8,4092
2021,"Southwark 001","E02000807",3735,38,22,0,3675
2021,"Southwark 002","E02000808",4695,41,22,1,4631
2021,"Southwark 004","E02000810",5395,70,23,3,5299
2021,"Southwark 006","E02000812",4534,31,16,2,4485
2021,"Southwark 007","E02000813",4483,49,33,2,4399
2021,"Southwark 008","E02000814",4589,33,24,1,4531
2021,"Southwark 009","E02000815",3231,20,14,1,3196
2021,"Southwark 010","E02000816",4146,42,22,0,4082
2021,"Southwark 011","E02000817",2925,35,14,2,2874
2021,"Southwark 012","E02000818",4490,40,25,0,4425
2021,"Southwark 013","E02000819",3555,48,20,3,3484
2021,"Southwark 014","E02000820",4227,41,14,2,4170
2021,"Southwark 015","E02000821",3132,27,29,0,3076
2021,"Southwark 016","E02000822",2771,24,14,1,2732
2021,"Southwark 017","E02000823",3634,40,15,1,3578
2021,"Southwark 018","E02000824",3794,29,17,1,3747
2021,"Southwark 019","E02000825",3890,21,18,4,3847
2021,"Southwark 020","E02000826",4023,23,21,3,3976
2021,"Southwark 021","E02000827",5020,38,19,5,4958
2021,"Southwark 022","E02000828",3594,25,16,1,3552
2021,"Southwark 023","E02000829",4735,27,34,5,4669
2021,"Southwark 024","E02000830",3761,37,23,2,3699
2021,"Southwark 025","E02000831",4051,32,27,3,3989
2021,"Southwark 026","E02000832",4103,46,20,3,4034
2021,"Southwark 027","E02000833",3043,30,16,0,2997
2021,"Southwark 028","E02000834",4103,35,24,1,4043
2021,"Southwark 029","E02000835",3030,26,16,1,2987
2021,"Southwark 030","E02000836",3337,29,21,0,3287
2021,"Southwark 031","E02000837",3148,45,28,3,3072
2021,"Southwark 032","E02000838",3924,32,25,3,3864
2021,"Southwark 033","E02000839",3426,59,30,5,3332
2021,"Sutton 001","E02000840",3475,56,33,5,3381
2021,"Sutton 002","E02000841",3301,56,19,5,3221
2021,"Sutton 003","E02000842",2958,70,30,6,2852
2021,"Sutton 004","E02000843",3981,70,33,5,3873
2021,"Sutton 005","E02000844",3213,79,17,6,3111
2021,"Sutton 006","E02000845",3609,75,24,0,3510
2021,"Sutton 007","E02000846",2786,72,33,6,2675
2021,"Sutton 008","E02000847",3683,107,30,2,3544
2021,"Sutton 009","E02000848",2916,68,37,5,2806
2021,"Sutton 010","E02000849",3253,70,28,10,3145
2021,"Sutton 011","E02000850",4089,105,39,12,3933
2021,"Sutton 012","E02000851",5037,91,32,1,4913
2021,"Sutton 013","E02000852",3250,74,31,2,3143
2021,"Sutton 014","E02000853",3200,67,20,2,3111
2021,"Sutton 015","E02000854",3087,78,26,6,2977
2021,"Sutton 016","E02000855",3212,94,32,2,3084
2021,"Sutton 017","E02000856",3801,84,27,7,3683
2021,"Sutton 018","E02000857",4078,73,29,3,3973
2021,"Sutton 019","E02000858",3309,65,22,3,3219
2021,"Sutton 020","E02000859",3491,93,30,9,3359
2021,"Sutton 021","E02000860",4119,78,26,5,4010
2021,"Sutton 022","E02000861",2863,95,24,4,2740
2021,"Sutton 024","E02000863",2424,64,27,6,2327
2021,"Tower Hamlets 001","E02000864",4663,38,21,5,4599
2021,"Tower Hamlets 002","E02000865",2894,26,11,0,2857
2021,"Tower Hamlets 003","E02000866",4155,25,21,5,4104
2021,"Tower Hamlets 004","E02000867",4867,25,25,2,4815
2021,"Tower Hamlets 005","E02000868",2784,23,11,1,2749
2021,"Tower Hamlets 006","E02000869",2523,22,15,3,2483
2021,"Tower Hamlets 007","E02000870",2420,24,9,0,2387
2021,"Tower Hamlets 008","E02000871",4228,25,15,1,4187
2021,"Tower Hamlets 009","E02000872",3193,19,9,1,3164
2021,"Tower Hamlets 010","E02000873",2921,17,9,1,2894
2021,"Tower Hamlets 011","E02000874",2523,14,7,0,2502
2021,"Tower Hamlets 012","E02000875",5079,28,14,0,5037
2021,"Tower Hamlets 013","E02000876",2777,15,8,0,2754
2021,"Tower Hamlets 014","E02000877",4913,20,18,0,4875
2021,"Tower Hamlets 015","E02000878",4011,22,10,0,3979
2021,"Tower Hamlets 016","E02000879",3046,30,10,5,3001
2021,"Tower Hamlets 017","E02000880",2281,12,8,1,2260
2021,"Tower Hamlets 018","E02000881",3852,29,9,0,3814
2021,"Tower Hamlets 019","E02000882",3809,26,12,0,3771
2021,"Tower Hamlets 020","E02000883",3028,21,13,1,2993
2021,"Tower Hamlets 021","E02000884",5111,31,17,2,5061
2021,"Tower Hamlets 022","E02000885",2390,23,6,1,2360
2021,"Tower Hamlets 023","E02000886",3821,21,18,1,3781
2021,"Tower Hamlets 024","E02000887",3947,21,11,2,3913
2021,"Tower Hamlets 025","E02000888",3353,28,14,1,3310
2021,"Tower Hamlets 026","E02000889",3805,29,25,1,3750
2021,"Tower Hamlets 027","E02000890",2890,40,26,2,2822
2021,"Tower Hamlets 030","E02000893",2986,42,13,3,2928
2021,"Tower Hamlets 031","E02000894",4462,35,25,2,4400
2021,"Waltham Forest 001","E02000895",3277,106,25,4,3142
2021,"Waltham Forest 002","E02000896",3835,102,23,4,3706
2021,"Waltham Forest 003","E02000897",3370,82,16,5,3267
2021,"Waltham Forest 004","E02000898",3200,88,30,3,3079
2021,"Waltham Forest 005","E02000899",3227,71,21,5,3130
2021,"Waltham Forest 006","E02000900",3119,43,21,1,3054
2021,"Waltham Forest 007","E02000901",3851,80,23,6,3742
2021,"Waltham Forest 008","E02000902",3517,44,20,2,3451
2021,"Waltham Forest 009","E02000903",3467,23,12,2,3430
2021,"Waltham Forest 010","E02000904",3107,35,9,1,3062
2021,"Waltham Forest 011","E02000905",3630,34,17,2,3577
2021,"Waltham Forest 012","E02000906",3627,28,13,4,3582
2021,"Waltham Forest 013","E02000907",4066,31,27,1,4007
2021,"Waltham Forest 014","E02000908",5239,34,32,3,5170
2021,"Waltham Forest 015","E02000909",3568,24,16,2,3526
2021,"Waltham Forest 016","E02000910",4403,29,11,3,4360
2021,"Waltham Forest 017","E02000911",4847,24,21,1,4801
2021,"Waltham Forest 018","E02000912",3272,34,13,1,3224
2021,"Waltham Forest 019","E02000913",3116,27,15,2,3072
2021,"Waltham Forest 020","E02000914",3971,23,14,0,3934
2021,"Waltham Forest 021","E02000915",3283,29,22,0,3232
2021,"Waltham Forest 022","E02000916",3983,36,24,1,3922
2021,"Waltham Forest 023","E02000917",3650,19,15,2,3614
2021,"Waltham Forest 024","E02000918",3408,25,22,1,3360
2021,"Waltham Forest 025","E02000919",3358,26,15,2,3315
2021,"Waltham Forest 026","E02000920",3815,32,15,2,3766
2021,"Waltham Forest 027","E02000921",4058,35,14,2,4007
2021,"Waltham Forest 028","E02000922",3634,35,18,0,3581
2021,"Wandsworth 001","E02000923",3469,94,33,7,3335
2021,"Wandsworth 003","E02000925",3363,46,15,1,3301
2021,"Wandsworth 004","E02000926",5549,70,25,2,5452
2021,"Wandsworth 005","E02000927",3235,54,27,1,3153
2021,"Wandsworth 006","E02000928",3610,66,37,4,3503
2021,"Wandsworth 007","E02000929",3495,29,15,2,3449
2021,"Wandsworth 008","E02000930",4260,37,32,5,4186
2021,"Wandsworth 009","E02000931",3485,47,23,4,3411
2021,"Wandsworth 010","E02000932",5935,73,60,18,5784
2021,"Wandsworth 011","E02000933",3928,60,35,3,3830
2021,"Wandsworth 012","E02000934",4197,50,34,5,4108
2021,"Wandsworth 013","E02000935",2437,29,21,4,2383
2021,"Wandsworth 014","E02000936",4384,59,37,3,4285
2021,"Wandsworth 015","E02000937",3127,55,34,5,3033
2021,"Wandsworth 016","E02000938",4346,77,32,3,4234
2021,"Wandsworth 017","E02000939",2836,71,27,4,2734
2021,"Wandsworth 018","E02000940",4214,46,22,4,4142
2021,"Wandsworth 019","E02000941",4137,56,33,8,4040
2021,"Wandsworth 020","E02000942",3815,61,35,4,3715
2021,"Wandsworth 021","E02000943",3812,40,23,4,3745
2021,"Wandsworth 022","E02000944",2889,31,13,3,2842
2021,"Wandsworth 023","E02000945",2763,40,19,4,2700
2021,"Wandsworth 024","E02000946",3108,41,24,4,3039
2021,"Wandsworth 025","E02000947",3919,52,31,5,3831
2021,"Wandsworth 026","E02000948",4382,46,37,1,4298
2021,"Wandsworth 027","E02000949",4255,56,42,8,4149
2021,"Wandsworth 028","E02000950",3110,49,26,2,3033
2021,"Wandsworth 029","E02000951",2822,35,23,1,2763
2021,"Wandsworth 030","E02000952",2656,31,17,3,2605
2021,"Wandsworth 031","E02000953",3212,46,20,2,3144
2021,"Wandsworth 032","E02000954",2247,22,12,0,2213
2021,"Wandsworth 033","E02000955",2676,22,19,0,2635
2021,"Wandsworth 034","E02000956",3032,21,27,2,2982
2021,"Wandsworth 035","E02000957",4418,37,13,2,4366
2021,"Wandsworth 036","E02000958",2917,35,20,0,2862
2021,"Wandsworth 037","E02000959",3103,33,16,2,3052
2021,"Westminster 001","E02000960",2781,35,22,3,2721
2021,"Westminster 002","E02000961",4068,32,20,8,4008
2021,"Westminster 003","E02000962",3858,43,19,2,3794
2021,"Westminster 004","E02000963",4135,23,14,0,4098
