"date","geography","geography code","Household reference person previously served in UK armed forces: Total: All households","Household reference person previously served in UK armed forces: Household reference person previously served in regular UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in both regular and reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person has not previously served in regular or reserve UK armed forces"
2021,"Brent 016","E02000108",2273,18,5,0,2250
2021,"Brent 018","E02000110",3094,30,11,2,3051
2021,"Brent 019","E02000111",3190,36,13,2,3139
2021,"Brent 020","E02000112",3496,12,10,0,3474
2021,"Brent 021","E02000113",3288,20,11,1,3256
2021,"Brent 022","E02000114",3707,31,15,1,3660
2021,"Brent 023","E02000115",3878,38,14,1,3825
2021,"Brent 024","E02000116",3237,15,6,0,3216
2021,"Brent 025","E02000117",4757,25,11,4,4717
2021,"Brent 026","E02000118",3156,40,6,0,3110
2021,"Brent 027","E02000119",3950,22,10,1,3917
2021,"Brent 028","E02000120",4242,24,15,0,4203
2021,"Brent 029","E02000121",3627,31,6,0,3590
2021,"Brent 030","E02000122",3160,24,14,3,3119
2021,"Brent 031","E02000123",5534,36,16,5,5477
2021,"Brent 032","E02000124",4160,31,29,1,4099
2021,"Brent 033","E02000125",3940,42,15,1,3882
2021,"Brent 034","E02000126",3405,21,7,0,3377
2021,"Bromley 001","E02000127",3785,78,21,3,3683
2021,"Bromley 002","E02000128",3062,77,26,5,2954
2021,"Bromley 004","E02000130",3667,62,23,5,3577
2021,"Bromley 005","E02000131",5068,45,39,0,4984
2021,"Bromley 006","E02000132",4942,83,32,4,4823
2021,"Bromley 007","E02000133",4327,123,50,6,4148
2021,"Bromley 008","E02000134",5300,80,39,7,5174
2021,"Bromley 009","E02000135",4441,44,19,4,4374
2021,"Bromley 010","E02000136",2295,88,26,10,2171
2021,"Bromley 011","E02000137",3674,102,25,6,3541
2021,"Bromley 012","E02000138",4137,135,45,6,3951
2021,"Bromley 013","E02000139",3307,67,19,1,3220
2021,"Bromley 014","E02000140",3338,69,26,2,3241
2021,"Bromley 015","E02000141",3091,40,28,4,3019
2021,"Bromley 016","E02000142",3452,84,27,2,3339
2021,"Bromley 018","E02000144",4310,80,29,3,4198
2021,"Bromley 019","E02000145",3514,81,29,6,3398
2021,"Bromley 020","E02000146",4039,85,35,3,3916
2021,"Bromley 021","E02000147",3168,93,25,9,3041
