"date","geography","geography code","Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census","Unemployment history: Not in employment: Worked in the last 12 months","Unemployment history: Not in employment: Not worked in the last 12 months","Unemployment history: Not in employment: Never worked"
2021,"Brent 026","E02000118",3601,559,1340,1702
2021,"Brent 027","E02000119",3755,605,1341,1809
2021,"Brent 028","E02000120",2558,476,1209,873
2021,"Brent 029","E02000121",3953,631,1418,1904
2021,"Brent 030","E02000122",2596,469,1213,914
2021,"Brent 031","E02000123",4578,814,1832,1932
2021,"Brent 032","E02000124",2812,537,1435,840
2021,"Brent 033","E02000125",2840,453,1473,914
2021,"Brent 034","E02000126",2811,468,1116,1227
2021,"Bromley 001","E02000127",2959,412,1693,854
2021,"Bromley 002","E02000128",2360,303,1545,512
2021,"Bromley 004","E02000130",2263,338,1355,570
2021,"Bromley 005","E02000131",2393,467,1203,723
2021,"Bromley 006","E02000132",2693,420,1716,557
2021,"Bromley 007","E02000133",3493,390,2417,686
2021,"Bromley 008","E02000134",3299,496,1980,823
2021,"Bromley 009","E02000135",3105,465,1478,1162
2021,"Bromley 010","E02000136",2155,224,1456,475
2021,"Bromley 011","E02000137",2570,311,1791,468
2021,"Bromley 012","E02000138",2859,335,2084,440
2021,"Bromley 013","E02000139",2001,314,1229,458
2021,"Bromley 014","E02000140",2770,359,1504,907
2021,"Bromley 015","E02000141",1913,300,1125,488
2021,"Bromley 016","E02000142",2594,352,1695,547
2021,"Bromley 018","E02000144",2604,385,1659,560
2021,"Bromley 019","E02000145",2742,360,1504,878
2021,"Bromley 020","E02000146",2579,328,1690,561
2021,"Bromley 021","E02000147",2794,311,1961,522
2021,"Bromley 022","E02000148",2277,267,1586,424
2021,"Bromley 023","E02000149",2518,291,1544,683
2021,"Bromley 024","E02000150",2577,369,1621,587
2021,"Bromley 025","E02000151",2498,257,1849,392
2021,"Bromley 026","E02000152",2388,280,1353,755
2021,"Bromley 027","E02000153",2436,277,1678,481
2021,"Bromley 028","E02000154",2751,306,1916,529
2021,"Bromley 029","E02000155",2689,252,1865,572
2021,"Bromley 030","E02000156",4289,433,3091,765
2021,"Bromley 031","E02000157",2827,276,2094,457
2021,"Bromley 032","E02000158",2755,300,1819,636
2021,"Bromley 033","E02000159",2554,290,1741,523
2021,"Bromley 034","E02000160",2729,320,1926,483
2021,"Bromley 035","E02000161",2772,297,1909,566
2021,"Bromley 036","E02000162",2637,275,1820,542
2021,"Bromley 037","E02000163",2606,291,1828,487
2021,"Bromley 039","E02000165",2060,279,1367,414
2021,"Camden 001","E02000166",2858,396,1647,815
2021,"Camden 002","E02000167",2175,278,1456,441
2021,"Camden 003","E02000168",2285,400,1235,650
2021,"Camden 004","E02000169",2184,296,1275,613
2021,"Camden 005","E02000170",2131,358,1131,642
2021,"Camden 006","E02000171",2250,366,1222,662
2021,"Camden 007","E02000172",3851,640,1618,1593
2021,"Camden 008","E02000173",2053,367,1155,531
2021,"Camden 009","E02000174",2688,482,1254,952
2021,"Camden 010","E02000175",2554,490,1189,875
2021,"Camden 011","E02000176",1506,243,938,325
2021,"Camden 012","E02000177",3056,493,1415,1148
2021,"Camden 013","E02000178",2785,436,1256,1093
2021,"Camden 014","E02000179",1866,272,971,623
2021,"Camden 015","E02000180",2684,567,1206,911
2021,"Camden 016","E02000181",2001,380,1040,581
2021,"Camden 017","E02000182",2393,374,1123,896
2021,"Camden 018","E02000183",2600,425,1443,732
2021,"Camden 019","E02000184",3800,852,1411,1537
2021,"Camden 020","E02000185",3361,519,1454,1388
2021,"Camden 021","E02000186",2324,493,988,843
2021,"Camden 022","E02000187",4382,758,1625,1999
2021,"Camden 023","E02000188",3240,686,1132,1422
2021,"Camden 026","E02000191",2880,687,880,1313
2021,"Camden 027","E02000192",2593,415,1151,1027
2021,"Camden 028","E02000193",2677,499,1139,1039
2021,"Croydon 001","E02000194",2479,383,1383,713
2021,"Croydon 002","E02000195",3156,475,1738,943
2021,"Croydon 003","E02000196",2725,370,1374,981
2021,"Croydon 004","E02000197",2858,432,1458,968
2021,"Croydon 005","E02000198",2746,519,1207,1020
2021,"Croydon 006","E02000199",2499,436,1216,847
2021,"Croydon 007","E02000200",2615,474,1336,805
2021,"Croydon 008","E02000201",2590,443,1276,871
2021,"Croydon 009","E02000202",3023,485,1424,1114
2021,"Croydon 010","E02000203",2572,382,1137,1053
2021,"Croydon 011","E02000204",3271,510,1436,1325
2021,"Croydon 013","E02000206",3238,598,1448,1192
2021,"Croydon 014","E02000207",2851,459,1318,1074
2021,"Croydon 015","E02000208",3413,548,1432,1433
2021,"Croydon 016","E02000209",2769,443,1096,1230
2021,"Croydon 017","E02000210",2362,411,1235,716
2021,"Croydon 018","E02000211",2747,346,1771,630
2021,"Croydon 019","E02000212",2979,472,1206,1301
2021,"Croydon 020","E02000213",3891,737,1654,1500
2021,"Croydon 021","E02000214",1991,266,1259,466
2021,"Croydon 022","E02000215",3360,590,1686,1084
2021,"Croydon 023","E02000216",2282,281,1375,626
2021,"Croydon 024","E02000217",3109,567,1455,1087
2021,"Croydon 025","E02000218",2332,322,1270,740
2021,"Croydon 026","E02000219",2861,321,1897,643
2021,"Croydon 028","E02000221",3370,515,1627,1228
2021,"Croydon 029","E02000222",2234,318,1326,590
2021,"Croydon 030","E02000223",2813,331,1269,1213
2021,"Croydon 031","E02000224",2050,342,1091,617
2021,"Croydon 032","E02000225",2443,319,1267,857
2021,"Croydon 033","E02000226",2731,313,1793,625
2021,"Croydon 034","E02000227",3656,490,2318,848
2021,"Croydon 035","E02000228",2740,255,1940,545
2021,"Croydon 036","E02000229",2187,266,1124,797
2021,"Croydon 037","E02000230",3491,450,2098,943
2021,"Croydon 038","E02000231",2688,361,1659,668
2021,"Croydon 039","E02000232",2171,266,1441,464
2021,"Croydon 040","E02000233",1821,251,1114,456
2021,"Croydon 041","E02000234",2855,356,1780,719
2021,"Croydon 042","E02000235",2156,268,1490,398
2021,"Croydon 043","E02000236",2404,339,1542,523
2021,"Croydon 044","E02000237",2614,319,1829,466
2021,"Ealing 001","E02000238",3102,519,1406,1177
2021,"Ealing 002","E02000239",2869,393,1478,998
2021,"Ealing 003","E02000240",3810,574,1622,1614
2021,"Ealing 004","E02000241",2330,338,1092,900
2021,"Ealing 005","E02000242",2356,363,1060,933
2021,"Ealing 006","E02000243",2958,430,1396,1132
2021,"Ealing 007","E02000244",2615,380,1274,961
2021,"Ealing 008","E02000245",3017,450,1213,1354
2021,"Ealing 009","E02000246",3128,447,1273,1408
2021,"Ealing 010","E02000247",3826,530,1663,1633
2021,"Ealing 011","E02000248",2426,337,1185,904
