"date","geography","geography code","Disability: Total: All usual residents","Disability: Disabled under the Equality Act","Disability: Disabled under the Equality Act: Day-to-day activities limited a lot","Disability: Disabled under the Equality Act: Day-to-day activities limited a little","Disability: Not disabled under the Equality Act","Disability: Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited","Disability: Not disabled under the Equality Act: No long term physical or mental health conditions"
2021,"Bexley 025","E02000089",7869,1134,492,642,6735,521,6214
2021,"Bexley 026","E02000090",9641,1540,681,859,8101,672,7429
2021,"Bexley 027","E02000091",10164,1669,720,949,8495,695,7800
2021,"Bexley 028","E02000092",6754,1306,638,668,5448,397,5051
2021,"Brent 001","E02000093",11877,1232,549,683,10645,396,10249
2021,"Brent 002","E02000094",10461,1174,556,618,9287,388,8899
2021,"Brent 003","E02000095",10462,1089,480,609,9373,386,8987
2021,"Brent 004","E02000096",7632,932,431,501,6700,327,6373
2021,"Brent 005","E02000097",9534,1142,529,613,8392,349,8043
2021,"Brent 006","E02000098",8742,1174,628,546,7568,323,7245
2021,"Brent 007","E02000099",9560,918,396,522,8642,300,8342
2021,"Brent 008","E02000100",8319,996,396,600,7323,342,6981
2021,"Brent 009","E02000101",9938,1411,737,674,8527,320,8207
2021,"Brent 010","E02000102",8328,1016,510,506,7312,238,7074
2021,"Brent 011","E02000103",9973,1274,588,686,8699,354,8345
2021,"Brent 012","E02000104",7505,1096,550,546,6409,265,6144
2021,"Brent 013","E02000105",9843,1106,476,630,8737,324,8413
2021,"Brent 014","E02000106",10355,1247,584,663,9108,332,8776
2021,"Brent 015","E02000107",10939,1329,586,743,9610,466,9144
2021,"Brent 016","E02000108",7259,767,340,427,6492,272,6220
2021,"Brent 018","E02000110",8175,1103,507,596,7072,446,6626
2021,"Brent 019","E02000111",11284,1186,593,593,10098,302,9796
2021,"Brent 020","E02000112",11749,1167,569,598,10582,368,10214
2021,"Brent 021","E02000113",9630,1568,784,784,8062,325,7737
2021,"Brent 022","E02000114",8996,1106,465,641,7890,387,7503
2021,"Brent 023","E02000115",8622,1247,564,683,7375,462,6913
2021,"Brent 024","E02000116",8549,1201,548,653,7348,337,7011
2021,"Brent 025","E02000117",12733,1919,986,933,10814,467,10347
2021,"Brent 026","E02000118",11293,959,464,495,10334,316,10018
2021,"Brent 027","E02000119",10625,1535,799,736,9090,361,8729
2021,"Brent 028","E02000120",9017,1130,489,641,7887,510,7377
2021,"Brent 029","E02000121",12240,1056,466,590,11184,361,10823
2021,"Brent 030","E02000122",8178,1034,439,595,7144,371,6773
2021,"Brent 031","E02000123",13578,1834,840,994,11744,533,11211
2021,"Brent 032","E02000124",9954,1112,435,677,8842,565,8277
2021,"Brent 033","E02000125",9940,1268,559,709,8672,506,8166
2021,"Brent 034","E02000126",8195,1265,580,685,6930,366,6564
2021,"Bromley 001","E02000127",9330,1610,787,823,7720,526,7194
2021,"Bromley 002","E02000128",7788,1076,430,646,6712,486,6226
2021,"Bromley 004","E02000130",8427,1133,432,701,7294,664,6630
2021,"Bromley 005","E02000131",10485,1371,513,858,9114,730,8384
2021,"Bromley 006","E02000132",9834,1237,452,785,8597,724,7873
2021,"Bromley 007","E02000133",10753,1216,489,727,9537,745,8792
2021,"Bromley 008","E02000134",11751,1593,643,950,10158,785,9373
2021,"Bromley 009","E02000135",9871,1809,858,951,8062,499,7563
2021,"Bromley 010","E02000136",5744,982,466,516,4762,345,4417
2021,"Bromley 011","E02000137",8400,1048,425,623,7352,576,6776
2021,"Bromley 012","E02000138",8503,1107,393,714,7396,596,6800
2021,"Bromley 013","E02000139",7714,984,385,599,6730,575,6155
2021,"Bromley 014","E02000140",8680,1693,779,914,6987,474,6513
2021,"Bromley 015","E02000141",7233,947,384,563,6286,529,5757
2021,"Bromley 016","E02000142",8817,1072,434,638,7745,601,7144
2021,"Bromley 018","E02000144",10063,1141,377,764,8922,652,8270
2021,"Bromley 019","E02000145",8824,1574,748,826,7250,443,6807
2021,"Bromley 020","E02000146",9702,1363,582,781,8339,689,7650
2021,"Bromley 021","E02000147",8190,873,288,585,7317,584,6733
2021,"Bromley 022","E02000148",6723,823,288,535,5900,453,5447
2021,"Bromley 023","E02000149",8166,1242,523,719,6924,504,6420
2021,"Bromley 024","E02000150",8516,1086,399,687,7430,632,6798
2021,"Bromley 025","E02000151",7543,902,303,599,6641,518,6123
2021,"Bromley 026","E02000152",7963,1268,602,666,6695,449,6246
2021,"Bromley 027","E02000153",8103,890,323,567,7213,512,6701
2021,"Bromley 028","E02000154",8528,1121,400,721,7407,607,6800
2021,"Bromley 029","E02000155",7155,1214,512,702,5941,537,5404
2021,"Bromley 030","E02000156",12293,1721,645,1076,10572,897,9675
2021,"Bromley 031","E02000157",8367,1075,318,757,7292,632,6660
2021,"Bromley 032","E02000158",7788,1236,534,702,6552,514,6038
2021,"Bromley 033","E02000159",7117,869,355,514,6248,493,5755
2021,"Bromley 034","E02000160",8108,1088,384,704,7020,605,6415
2021,"Bromley 035","E02000161",8702,1088,390,698,7614,604,7010
2021,"Bromley 036","E02000162",7121,1172,462,710,5949,477,5472
2021,"Bromley 037","E02000163",7716,1087,389,698,6629,578,6051
2021,"Bromley 039","E02000165",7172,930,324,606,6242,504,5738
2021,"Camden 001","E02000166",7741,1336,612,724,6405,540,5865
2021,"Camden 002","E02000167",7198,789,267,522,6409,517,5892
2021,"Camden 003","E02000168",7813,1214,497,717,6599,545,6054
2021,"Camden 004","E02000169",7177,698,249,449,6479,399,6080
2021,"Camden 005","E02000170",7916,1007,430,577,6909,500,6409
2021,"Camden 006","E02000171",7391,1130,432,698,6261,465,5796
2021,"Camden 007","E02000172",9998,1949,971,978,8049,518,7531
2021,"Camden 008","E02000173",7493,787,313,474,6706,398,6308
2021,"Camden 009","E02000174",8085,1396,610,786,6689,494,6195
2021,"Camden 010","E02000175",9084,1211,517,694,7873,544,7329
2021,"Camden 011","E02000176",5914,646,249,397,5268,347,4921
2021,"Camden 012","E02000177",8488,1534,725,809,6954,445,6509
2021,"Camden 013","E02000178",8903,1443,701,742,7460,472,6988
2021,"Camden 014","E02000179",5747,733,311,422,5014,340,4674
2021,"Camden 015","E02000180",7878,1312,563,749,6566,467,6099
2021,"Camden 016","E02000181",8076,908,357,551,7168,489,6679
2021,"Camden 017","E02000182",7116,846,361,485,6270,320,5950
2021,"Camden 018","E02000183",7591,1192,523,669,6399,455,5944
2021,"Camden 019","E02000184",8911,1543,684,859,7368,513,6855
2021,"Camden 020","E02000185",8882,1508,734,774,7374,377,6997
2021,"Camden 021","E02000186",6223,897,371,526,5326,386,4940
2021,"Camden 022","E02000187",9784,1744,830,914,8040,418,7622
2021,"Camden 023","E02000188",7180,1196,589,607,5984,333,5651
2021,"Camden 026","E02000191",5337,739,249,490,4598,352,4246
2021,"Camden 027","E02000192",6659,1145,552,593,5514,378,5136
2021,"Camden 028","E02000193",5960,969,426,543,4991,351,4640
2021,"Croydon 001","E02000194",9211,1304,469,835,7907,649,7258
2021,"Croydon 002","E02000195",9649,1222,557,665,8427,540,7887
2021,"Croydon 003","E02000196",7914,1229,588,641,6685,374,6311
2021,"Croydon 004","E02000197",9025,1138,531,607,7887,439,7448
2021,"Croydon 005","E02000198",8888,1223,533,690,7665,468,7197
2021,"Croydon 006","E02000199",8414,1017,415,602,7397,487,6910
2021,"Croydon 007","E02000200",9049,1255,513,742,7794,553,7241
2021,"Croydon 008","E02000201",8692,1272,523,749,7420,444,6976
2021,"Croydon 009","E02000202",8928,1183,503,680,7745,392,7353
2021,"Croydon 010","E02000203",7965,1145,577,568,6820,338,6482
2021,"Croydon 011","E02000204",9655,1218,570,648,8437,403,8034
2021,"Croydon 013","E02000206",10817,1533,690,843,9284,514,8770
2021,"Croydon 014","E02000207",8899,1409,666,743,7490,499,6991
2021,"Croydon 015","E02000208",10863,1539,770,769,9324,462,8862
2021,"Croydon 016","E02000209",9068,1066,468,598,8002,397,7605
2021,"Croydon 017","E02000210",8714,1132,442,690,7582,502,7080
2021,"Croydon 018","E02000211",8274,1121,452,669,7153,536,6617
2021,"Croydon 019","E02000212",9461,1272,566,706,8189,350,7839
2021,"Croydon 020","E02000213",12798,1696,796,900,11102,569,10533
2021,"Croydon 021","E02000214",6236,828,302,526,5408,442,4966
2021,"Croydon 022","E02000215",11826,1731,769,962,10095,615,9480
2021,"Croydon 023","E02000216",7162,933,406,527,6229,403,5826
2021,"Croydon 024","E02000217",11925,1562,653,909,10363,605,9758
2021,"Croydon 025","E02000218",6669,945,396,549,5724,347,5377
2021,"Croydon 026","E02000219",7629,1120,445,675,6509,527,5982
2021,"Croydon 028","E02000221",10858,1678,786,892,9180,554,8626
2021,"Croydon 029","E02000222",8350,1092,419,673,7258,511,6747
2021,"Croydon 030","E02000223",8530,1545,728,817,6985,336,6649
2021,"Croydon 031","E02000224",8053,938,337,601,7115,528,6587
2021,"Croydon 032","E02000225",7499,1328,598,730,6171,364,5807
2021,"Croydon 033","E02000226",7614,1029,395,634,6585,533,6052
2021,"Croydon 034","E02000227",11680,1822,693,1129,9858,832,9026
2021,"Croydon 035","E02000228",7959,1036,416,620,6923,545,6378
2021,"Croydon 036","E02000229",6235,1306,675,631,4929,345,4584
2021,"Croydon 037","E02000230",10502,1544,706,838,8958,716,8242
2021,"Croydon 038","E02000231",7930,1061,471,590,6869,506,6363
2021,"Croydon 039","E02000232",6198,968,412,556,5230,457,4773
2021,"Croydon 040","E02000233",6364,867,415,452,5497,389,5108
2021,"Croydon 041","E02000234",9449,1389,567,822,8060,574,7486
2021,"Croydon 042","E02000235",6893,921,392,529,5972,531,5441
2021,"Croydon 043","E02000236",9130,1036,406,630,8094,679,7415
2021,"Croydon 044","E02000237",7600,1126,440,686,6474,523,5951
2021,"Ealing 001","E02000238",10706,1102,483,619,9604,446,9158
2021,"Ealing 002","E02000239",9042,958,394,564,8084,351,7733
2021,"Ealing 003","E02000240",11209,1467,705,762,9742,449,9293
2021,"Ealing 004","E02000241",7395,841,327,514,6554,347,6207
2021,"Ealing 005","E02000242",6885,774,354,420,6111,239,5872
2021,"Ealing 006","E02000243",8722,1184,569,615,7538,320,7218
2021,"Ealing 007","E02000244",7889,883,401,482,7006,313,6693
2021,"Ealing 008","E02000245",9308,1291,577,714,8017,346,7671
2021,"Ealing 009","E02000246",9461,1202,555,647,8259,355,7904
2021,"Ealing 010","E02000247",11155,1585,792,793,9570,437,9133
2021,"Ealing 011","E02000248",7716,883,393,490,6833,321,6512
2021,"Ealing 012","E02000249",8378,1079,520,559,7299,314,6985
2021,"Ealing 013","E02000250",6483,735,269,466,5748,419,5329
2021,"Ealing 014","E02000251",8313,982,455,527,7331,311,7020
2021,"Ealing 015","E02000252",12238,1502,609,893,10736,596,10140
2021,"Ealing 016","E02000253",10344,1607,757,850,8737,468,8269
2021,"Ealing 017","E02000254",9209,1133,547,586,8076,283,7793
2021,"Ealing 018","E02000255",9862,1268,553,715,8594,563,8031
2021,"Ealing 019","E02000256",9183,1017,408,609,8166,578,7588
2021,"Ealing 021","E02000258",6901,804,354,450,6097,341,5756
2021,"Ealing 022","E02000259",6585,817,298,519,5768,385,5383
2021,"Ealing 023","E02000260",9837,1302,686,616,8535,286,8249
2021,"Ealing 024","E02000261",12652,1459,620,839,11193,546,10647
2021,"Ealing 025","E02000262",9348,1284,547,737,8064,478,7586
2021,"Ealing 026","E02000263",13706,1613,773,840,12093,343,11750
2021,"Ealing 027","E02000264",8494,1042,470,572,7452,520,6932
2021,"Ealing 028","E02000265",11232,1577,687,890,9655,590,9065
2021,"Ealing 029","E02000266",13114,1926,964,962,11188,543,10645
2021,"Ealing 030","E02000267",8151,926,361,565,7225,460,6765
2021,"Ealing 031","E02000268",9251,1290,535,755,7961,584,7377
2021,"Ealing 032","E02000269",8168,870,325,545,7298,544,6754
2021,"Ealing 033","E02000270",9607,1203,567,636,8404,475,7929
2021,"Ealing 034","E02000271",6950,589,191,398,6361,499,5862
2021,"Ealing 035","E02000272",6713,804,323,481,5909,440,5469
2021,"Ealing 038","E02000275",8169,1039,516,523,7130,287,6843
2021,"Ealing 039","E02000276",6761,755,270,485,6006,430,5576
2021,"Enfield 001","E02000277",7523,1143,562,581,6380,305,6075
2021,"Enfield 002","E02000278",9430,1609,820,789,7821,325,7496
2021,"Enfield 003","E02000279",12320,1682,804,878,10638,453,10185
2021,"Enfield 004","E02000280",8634,1349,605,744,7285,515,6770
2021,"Enfield 005","E02000281",9652,1381,710,671,8271,421,7850
2021,"Enfield 006","E02000282",9951,1514,814,700,8437,368,8069
2021,"Enfield 007","E02000283",8538,1191,557,634,7347,334,7013
2021,"Enfield 008","E02000284",8741,1255,511,744,7486,576,6910
2021,"Enfield 009","E02000285",6643,824,327,497,5819,386,5433
2021,"Enfield 010","E02000286",8688,1167,459,708,7521,572,6949
2021,"Enfield 011","E02000287",7355,939,439,500,6416,353,6063
2021,"Enfield 012","E02000288",12787,1671,844,827,11116,381,10735
