"date","geography","geography code","Type of central heating in household: Total: All households","Type of central heating in household: No central heating","Type of central heating in household: Mains gas only","Type of central heating in household: Tank or bottled gas only","Type of central heating in household: Electric only","Type of central heating in household: Oil only","Type of central heating in household: Wood only","Type of central heating in household: Solid fuel only","Type of central heating in household: Renewable energy only","Type of central heating in household: District or communal heat networks only","Type of central heating in household: Other central heating only","Type of central heating in household: Two or more types of central heating (not including renewable energy)","Type of central heating in household: Two or more types of central heating (including renewable energy)"
2021,"Bromley 039","E02000165",2740,17,2341,10,102,19,0,2,0,2,12,219,16
2021,"Camden 001","E02000166",3397,64,2190,24,246,8,0,1,13,533,45,251,22
2021,"Camden 002","E02000167",3374,91,2589,14,243,6,0,0,6,108,32,271,14
2021,"Camden 003","E02000168",3494,59,2745,16,270,6,0,0,8,59,34,269,28
2021,"Camden 004","E02000169",3026,59,2184,19,335,6,0,0,13,121,50,224,15
2021,"Camden 005","E02000170",3464,95,2518,17,350,7,0,0,3,107,57,297,13
2021,"Camden 006","E02000171",3328,79,2432,23,303,3,0,0,2,186,53,234,13
2021,"Camden 007","E02000172",4037,93,2198,35,397,12,0,0,11,836,106,320,29
2021,"Camden 008","E02000173",3500,88,2370,25,415,15,0,0,8,193,91,280,15
2021,"Camden 009","E02000174",3550,82,2537,41,268,6,0,0,6,211,64,320,15
2021,"Camden 010","E02000175",4308,108,2850,29,621,9,0,0,5,247,101,329,9
2021,"Camden 011","E02000176",2998,95,2091,17,302,34,0,1,1,163,41,242,11
2021,"Camden 012","E02000177",3655,81,2090,32,317,21,0,0,4,667,102,334,7
2021,"Camden 013","E02000178",4166,118,2579,40,537,7,0,1,6,411,102,353,12
2021,"Camden 014","E02000179",2547,83,1805,23,279,6,0,0,6,96,53,191,5
2021,"Camden 015","E02000180",3517,101,2224,30,396,10,0,0,11,387,68,276,14
2021,"Camden 016","E02000181",3751,72,2869,20,328,6,0,1,11,120,58,251,15
2021,"Camden 017","E02000182",3081,96,1700,33,468,36,0,0,7,381,89,259,12
2021,"Camden 018","E02000183",3617,91,2309,27,520,17,1,0,13,267,73,288,11
2021,"Camden 019","E02000184",3635,121,2267,25,489,4,0,0,6,299,81,333,10
2021,"Camden 020","E02000185",4070,142,1958,47,661,11,1,1,5,727,170,341,6
2021,"Camden 021","E02000186",2942,116,1704,20,589,1,0,0,6,190,69,239,8
2021,"Camden 022","E02000187",3819,120,1795,51,647,9,0,3,12,692,127,345,18
2021,"Camden 023","E02000188",2718,92,1638,26,367,10,0,0,5,201,111,261,7
2021,"Camden 026","E02000191",2106,66,1122,22,436,13,0,0,6,199,62,174,6
2021,"Camden 027","E02000192",3091,81,1690,24,556,3,0,0,8,424,67,231,7
2021,"Camden 028","E02000193",3102,115,1638,17,681,41,0,0,8,307,58,226,11
2021,"Croydon 001","E02000194",4205,115,3120,24,489,3,0,0,6,39,60,322,27
2021,"Croydon 002","E02000195",3490,55,2835,14,228,1,0,0,4,5,49,275,24
2021,"Croydon 003","E02000196",2817,43,2107,15,319,2,0,0,2,35,54,235,5
2021,"Croydon 004","E02000197",3317,79,2428,14,411,1,1,1,2,12,59,304,5
2021,"Croydon 005","E02000198",3500,85,2551,27,392,3,0,2,2,18,81,322,17
2021,"Croydon 006","E02000199",3207,66,2581,20,191,1,0,1,4,9,47,279,8
2021,"Croydon 007","E02000200",4003,116,2842,29,581,3,1,0,8,26,57,321,19
2021,"Croydon 008","E02000201",3820,104,2571,19,679,3,0,0,3,27,78,327,9
2021,"Croydon 009","E02000202",3036,67,2367,27,229,2,0,0,0,13,64,261,6
2021,"Croydon 010","E02000203",3119,91,2258,27,291,0,0,0,1,13,67,363,8
2021,"Croydon 011","E02000204",3226,66,2468,24,226,1,0,0,0,22,66,344,9
2021,"Croydon 013","E02000206",4468,112,3285,29,440,2,0,0,5,28,92,453,22
2021,"Croydon 014","E02000207",3559,104,2675,23,317,2,0,2,6,23,63,340,4
2021,"Croydon 015","E02000208",4098,113,2532,38,696,4,0,0,4,158,131,410,12
2021,"Croydon 016","E02000209",3063,71,2242,33,285,3,0,2,4,24,76,309,14
2021,"Croydon 017","E02000210",3444,76,2738,17,286,0,0,0,2,5,58,256,6
2021,"Croydon 018","E02000211",3295,34,2814,12,141,4,0,0,1,14,40,224,11
2021,"Croydon 019","E02000212",3263,90,2340,35,323,6,4,1,3,45,88,316,12
2021,"Croydon 020","E02000213",5390,155,3035,35,1135,6,0,0,12,289,180,522,21
2021,"Croydon 021","E02000214",2326,34,1980,6,123,4,0,0,2,1,18,149,9
2021,"Croydon 022","E02000215",5258,150,3579,23,763,5,0,0,12,151,101,462,12
2021,"Croydon 023","E02000216",2942,63,2100,13,443,3,0,0,1,52,53,201,13
2021,"Croydon 024","E02000217",5020,122,2981,22,881,0,0,0,22,415,135,422,20
2021,"Croydon 025","E02000218",2353,36,1933,28,76,0,0,0,2,2,36,237,3
2021,"Croydon 026","E02000219",2987,29,2597,6,115,4,2,0,2,1,20,201,10
2021,"Croydon 028","E02000221",3988,82,2877,21,592,1,0,0,5,43,55,291,21
2021,"Croydon 029","E02000222",3633,53,2839,12,396,2,0,0,4,11,41,261,14
2021,"Croydon 030","E02000223",2794,60,2090,41,187,0,2,0,0,4,76,323,11
2021,"Croydon 031","E02000224",3271,66,2604,17,269,1,1,1,4,14,42,247,5
2021,"Croydon 032","E02000225",2659,56,2217,24,81,0,0,0,4,3,41,227,6
2021,"Croydon 033","E02000226",2780,34,2443,8,84,2,0,0,4,1,24,170,10
2021,"Croydon 034","E02000227",4838,68,3950,17,368,3,0,1,2,6,96,321,6
