"date","geography","geography code","Type of central heating in household: Total: All households","Type of central heating in household: No central heating","Type of central heating in household: Mains gas only","Type of central heating in household: Tank or bottled gas only","Type of central heating in household: Electric only","Type of central heating in household: Oil only","Type of central heating in household: Wood only","Type of central heating in household: Solid fuel only","Type of central heating in household: Renewable energy only","Type of central heating in household: District or communal heat networks only","Type of central heating in household: Other central heating only","Type of central heating in household: Two or more types of central heating (not including renewable energy)","Type of central heating in household: Two or more types of central heating (including renewable energy)"
2021,"Hammersmith and Fulham 015","E02000386",3368,88,2329,41,309,5,0,0,5,162,85,339,5
2021,"Hammersmith and Fulham 016","E02000387",2589,74,1641,35,260,6,0,0,4,274,71,217,7
2021,"Hammersmith and Fulham 017","E02000388",4133,109,2693,18,644,2,0,0,6,192,66,390,13
2021,"Hammersmith and Fulham 018","E02000389",3679,72,2615,20,411,7,0,2,11,172,51,302,16
2021,"Hammersmith and Fulham 019","E02000390",2720,65,2074,22,211,2,1,0,4,39,43,252,7
2021,"Hammersmith and Fulham 020","E02000391",3282,67,2299,24,411,8,0,0,8,111,38,306,10
2021,"Hammersmith and Fulham 021","E02000392",4039,97,2971,19,460,2,0,0,6,36,68,376,4
2021,"Hammersmith and Fulham 022","E02000393",2590,34,2047,14,196,4,1,0,1,28,19,236,10
2021,"Hammersmith and Fulham 023","E02000394",4346,134,1972,27,1446,4,0,0,10,285,107,325,36
2021,"Hammersmith and Fulham 024","E02000395",2638,67,1849,13,332,7,0,1,2,98,21,232,16
2021,"Hammersmith and Fulham 025","E02000396",2771,43,2118,17,217,1,0,1,2,71,31,263,7
2021,"Haringey 001","E02000397",3471,98,2540,19,339,2,0,0,3,58,75,330,7
2021,"Haringey 002","E02000398",2883,100,1906,37,348,1,0,0,5,21,88,371,6
2021,"Haringey 004","E02000400",3122,66,2266,15,396,1,0,0,3,29,44,288,14
2021,"Haringey 005","E02000401",2474,46,1831,22,224,1,0,0,3,51,49,245,2
2021,"Haringey 006","E02000402",2424,60,1589,32,407,4,0,0,0,11,57,259,5
2021,"Haringey 007","E02000403",2990,70,2259,22,285,3,0,0,2,20,52,272,5
2021,"Haringey 008","E02000404",2664,72,2041,20,186,2,0,0,6,15,66,253,3
2021,"Haringey 009","E02000405",2464,34,2142,2,90,2,0,0,4,9,12,158,11
2021,"Haringey 010","E02000406",2598,41,2036,18,149,1,0,1,1,10,56,281,4
2021,"Haringey 011","E02000407",3006,71,2154,21,310,5,3,0,1,8,106,324,3
2021,"Haringey 012","E02000408",2999,87,1960,32,407,1,0,0,6,93,107,294,12
2021,"Haringey 013","E02000409",2371,46,1256,11,566,15,0,0,7,166,69,225,10
2021,"Haringey 014","E02000410",2613,53,2045,8,178,3,0,0,0,71,18,226,11
2021,"Haringey 015","E02000411",3951,111,2205,37,835,2,6,2,11,317,82,329,14
2021,"Haringey 016","E02000412",2870,70,1944,20,379,0,0,1,4,127,81,237,7
2021,"Haringey 017","E02000413",2964,48,2442,13,193,0,0,0,4,29,32,197,6
2021,"Haringey 018","E02000414",2718,66,2125,20,201,2,0,0,1,15,50,233,5
2021,"Haringey 019","E02000415",2838,48,2162,14,283,1,0,0,3,12,66,241,8
2021,"Haringey 020","E02000416",3915,108,2403,17,860,2,0,0,6,185,59,269,6
2021,"Haringey 021","E02000417",2867,53,2218,9,251,1,0,0,9,83,29,202,12
2021,"Haringey 022","E02000418",2208,31,1889,4,91,0,0,0,2,24,11,144,12
2021,"Haringey 023","E02000419",3642,98,2596,15,462,2,0,0,5,89,66,298,11
2021,"Haringey 024","E02000420",3436,101,2224,35,500,0,2,1,6,138,88,327,14
2021,"Haringey 025","E02000421",3133,86,2175,20,372,3,1,0,1,33,72,366,4
2021,"Haringey 026","E02000422",2886,62,2168,24,229,0,1,0,6,24,72,292,8
2021,"Haringey 027","E02000423",2668,67,2055,9,220,0,0,0,3,24,53,233,4
2021,"Haringey 028","E02000424",2985,42,2382,11,223,1,0,0,5,22,36,253,10
2021,"Haringey 029","E02000425",2167,54,1601,28,233,3,0,2,2,9,68,163,4
2021,"Haringey 030","E02000426",2744,37,2151,9,197,2,0,0,9,76,28,227,8
2021,"Haringey 031","E02000427",2871,55,2242,18,260,0,0,0,2,20,46,219,9
2021,"Haringey 032","E02000428",2921,63,2146,28,264,1,0,0,3,19,82,306,9
2021,"Haringey 033","E02000429",3201,60,2491,13,258,2,1,0,5,102,34,226,9
2021,"Haringey 034","E02000430",3249,79,2521,12,317,1,0,0,9,23,29,248,10
2021,"Haringey 035","E02000431",2844,74,2081,7,280,4,0,1,4,112,37,240,4
2021,"Haringey 036","E02000432",2800,52,2283,17,150,3,1,0,2,12,46,228,6
2021,"Harrow 001","E02000433",3544,38,2710,16,399,0,0,0,4,78,54,228,17
2021,"Harrow 002","E02000434",3638,45,2672,28,391,0,0,0,8,157,63,265,9
2021,"Harrow 003","E02000435",2813,20,2344,27,132,2,0,0,3,26,34,211,14
2021,"Harrow 004","E02000436",2041,10,1796,4,54,5,0,0,1,18,18,121,14
2021,"Harrow 005","E02000437",3088,36,2481,18,222,3,0,0,3,15,50,250,10
2021,"Harrow 006","E02000438",3044,43,2397,17,301,1,0,1,4,11,38,227,4
2021,"Harrow 007","E02000439",2948,56,2329,20,266,0,0,2,0,15,52,202,6
2021,"Harrow 008","E02000440",3055,31,2657,15,85,3,0,0,0,4,24,229,7
2021,"Harrow 009","E02000441",2794,28,2184,15,287,3,0,0,3,12,32,218,12
2021,"Harrow 010","E02000442",2667,30,2181,19,129,0,1,0,0,3,42,260,2
2021,"Harrow 011","E02000443",3544,67,2648,28,432,0,0,0,0,29,68,260,12
2021,"Harrow 012","E02000444",2670,22,2269,9,130,0,0,0,2,3,53,174,8
2021,"Harrow 013","E02000445",3820,80,2862,32,445,4,0,0,3,18,71,297,8
2021,"Harrow 015","E02000447",2743,27,2272,15,185,3,0,1,2,12,24,184,18
2021,"Harrow 016","E02000448",2758,22,2272,7,221,1,0,0,6,20,24,181,4
2021,"Harrow 017","E02000449",2525,43,2010,25,185,1,0,0,0,30,45,178,8
2021,"Harrow 019","E02000451",2327,17,2039,10,87,0,0,0,1,0,17,146,10
2021,"Harrow 020","E02000452",3452,72,2432,17,495,2,0,0,2,83,59,282,8
2021,"Harrow 021","E02000453",3047,42,2456,6,231,0,0,1,4,27,43,230,7
2021,"Harrow 022","E02000454",2523,20,2237,8,46,0,0,1,3,4,20,176,8
2021,"Harrow 023","E02000455",4757,112,2532,22,1223,5,0,0,13,333,124,355,38
2021,"Harrow 024","E02000456",2717,77,2135,15,257,3,1,10,0,7,34,175,3
2021,"Harrow 025","E02000457",2562,28,2017,13,268,0,0,0,1,21,32,176,6
2021,"Harrow 027","E02000459",3422,58,2317,21,492,1,1,0,3,95,58,364,12
2021,"Harrow 028","E02000460",2415,45,1913,12,110,6,0,0,3,7,41,258,20
2021,"Harrow 029","E02000461",2559,38,1982,10,256,3,0,0,2,24,30,212,2
2021,"Harrow 030","E02000462",2286,51,1830,8,126,3,0,0,1,16,42,201,8
2021,"Harrow 031","E02000463",2833,41,2293,17,178,1,0,0,0,20,43,234,6
2021,"Havering 001","E02000464",2874,32,2308,63,115,10,2,3,5,33,30,239,34
2021,"Havering 002","E02000465",3491,58,2872,17,144,1,0,0,6,38,45,283,27
2021,"Havering 003","E02000466",3298,40,2765,19,143,8,3,2,9,4,45,247,13
2021,"Havering 004","E02000467",4289,76,3297,32,246,2,2,0,4,168,88,356,18
2021,"Havering 005","E02000468",3164,37,2676,25,111,4,0,1,4,6,32,264,4
2021,"Havering 006","E02000469",2695,44,2228,14,126,0,0,0,0,34,37,205,7
2021,"Havering 007","E02000470",4131,62,3290,16,343,11,0,1,5,38,38,310,17
2021,"Havering 008","E02000471",2944,35,2611,5,87,0,0,1,4,1,15,180,5
2021,"Havering 009","E02000472",3526,47,3027,12,155,1,0,1,0,5,25,245,8
2021,"Havering 010","E02000473",4022,50,3318,4,297,4,0,0,5,16,31,281,16
2021,"Havering 011","E02000474",3529,58,2818,13,291,1,0,3,3,7,36,289,10
2021,"Havering 012","E02000475",3953,47,3216,7,324,1,0,0,2,24,28,292,12
2021,"Havering 013","E02000476",4199,72,2595,10,1076,0,0,1,5,75,55,300,10
2021,"Havering 014","E02000477",3713,34,3220,9,162,7,0,1,6,0,18,249,7
2021,"Havering 015","E02000478",2149,20,1829,5,108,2,1,0,3,16,7,148,10
2021,"Havering 016","E02000479",3789,89,2916,10,457,0,0,0,1,4,46,249,17
2021,"Havering 017","E02000480",5011,88,3494,33,647,5,1,1,5,232,84,407,14
2021,"Havering 018","E02000481",3245,38,2804,19,119,11,1,5,2,3,24,208,11
2021,"Havering 019","E02000482",2576,14,2272,4,121,2,0,0,2,1,6,146,8
2021,"Havering 020","E02000483",3472,59,2710,3,416,1,1,0,3,23,22,226,8
2021,"Havering 021","E02000484",3255,35,2842,14,125,1,1,0,1,12,9,202,13
2021,"Havering 022","E02000485",3451,44,2932,8,214,2,0,0,0,9,19,219,4
2021,"Havering 023","E02000486",2991,75,2499,6,187,1,0,1,2,6,18,191,5
2021,"Havering 024","E02000487",2944,21,2637,18,45,22,1,0,2,1,5,187,5
2021,"Havering 025","E02000488",3014,30,2656,7,95,1,0,0,2,5,18,185,15
2021,"Havering 026","E02000489",3262,48,2743,13,152,0,0,0,4,29,34,227,12
2021,"Havering 027","E02000490",3224,38,2764,11,122,1,0,1,3,12,30,233,9
2021,"Havering 028","E02000491",3929,66,2840,11,413,3,0,1,19,189,56,315,16
2021,"Havering 029","E02000492",2622,30,2264,15,102,1,1,1,4,2,16,176,10
2021,"Havering 030","E02000493",2497,46,1939,11,238,1,2,0,0,21,25,210,4
2021,"Hillingdon 001","E02000494",3217,20,2588,12,285,5,2,0,11,24,28,228,14
2021,"Hillingdon 002","E02000495",4306,63,3405,18,418,1,0,0,10,31,37,307,16
2021,"Hillingdon 003","E02000496",3175,37,2556,29,216,18,3,8,5,19,18,258,8
2021,"Hillingdon 004","E02000497",3694,43,3121,18,167,3,3,0,5,55,33,240,6
2021,"Hillingdon 005","E02000498",2635,37,2191,9,143,1,0,0,2,47,21,179,5
2021,"Hillingdon 006","E02000499",3014,33,2550,5,223,1,0,0,6,11,10,172,3
2021,"Hillingdon 007","E02000500",3307,39,2701,11,312,1,1,0,10,18,29,176,9
2021,"Hillingdon 008","E02000501",3275,34,2770,12,218,1,0,0,6,14,24,190,6
2021,"Hillingdon 009","E02000502",3532,38,2795,22,298,1,0,0,12,57,39,248,22
2021,"Hillingdon 010","E02000503",3253,45,2789,16,159,2,0,1,1,5,25,205,5
2021,"Hillingdon 011","E02000504",2924,24,2574,7,89,5,0,0,3,17,19,178,8
2021,"Hillingdon 013","E02000506",2899,13,2517,11,130,5,0,0,4,2,20,180,17
2021,"Hillingdon 014","E02000507",2778,28,2432,6,81,0,0,0,0,5,25,198,3
2021,"Hillingdon 015","E02000508",4338,71,2958,19,692,1,0,0,19,136,80,331,31
2021,"Hillingdon 016","E02000509",3400,70,2349,34,568,2,2,1,6,49,45,264,10
2021,"Hillingdon 017","E02000510",3259,43,2658,26,213,3,0,0,1,13,42,251,9
2021,"Hillingdon 018","E02000511",3262,58,2632,19,231,0,1,0,4,3,42,267,5
2021,"Hillingdon 019","E02000512",3106,46,2337,20,356,1,0,2,1,19,59,259,6
2021,"Hillingdon 020","E02000513",3323,82,2528,27,268,4,0,0,4,13,86,304,7
2021,"Hillingdon 021","E02000514",3177,73,2511,15,204,3,0,0,0,6,72,289,4
2021,"Hillingdon 022","E02000515",5345,146,3009,34,1416,13,1,9,17,154,111,412,23
2021,"Hillingdon 023","E02000516",2817,57,2143,28,254,2,0,2,1,7,57,256,10
2021,"Hillingdon 024","E02000517",3317,56,2568,46,219,1,0,0,6,4,73,318,26
2021,"Hillingdon 025","E02000518",3330,41,2660,25,221,1,1,0,2,33,40,298,8
2021,"Hillingdon 026","E02000519",3022,68,2095,14,458,3,0,0,2,35,63,278,6
2021,"Hillingdon 027","E02000520",4456,80,2836,33,767,8,0,0,20,164,109,397,42
2021,"Hillingdon 028","E02000521",4353,82,2521,32,1032,3,0,0,9,264,74,318,18
2021,"Hillingdon 029","E02000522",3485,66,2759,26,257,2,0,0,1,33,58,279,4
2021,"Hillingdon 030","E02000523",3683,85,2459,24,580,3,0,1,5,145,90,279,12
2021,"Hillingdon 031","E02000524",2643,47,1749,43,522,8,1,0,3,4,47,217,2
2021,"Hillingdon 032","E02000525",3316,91,2235,42,549,4,1,0,4,19,83,285,3
2021,"Hounslow 001","E02000526",3619,56,2906,15,262,2,0,0,11,72,22,259,14
2021,"Hounslow 004","E02000529",3039,73,2185,27,373,1,0,1,4,42,73,237,23
2021,"Hounslow 005","E02000530",2516,61,1672,43,250,10,0,1,4,140,88,241,6
2021,"Hounslow 006","E02000531",4936,102,3125,34,853,6,0,1,9,318,87,359,42
2021,"Hounslow 007","E02000532",3818,57,3097,16,236,6,2,1,4,35,44,303,17
2021,"Hounslow 008","E02000533",3683,48,2701,16,317,17,1,1,7,214,34,316,11
2021,"Hounslow 009","E02000534",2997,40,2289,15,349,0,2,2,6,14,51,223,6
2021,"Hounslow 010","E02000535",3007,50,2286,27,300,1,1,0,1,32,70,225,14
2021,"Hounslow 011","E02000536",3247,72,2306,27,432,4,0,0,7,60,78,254,7
2021,"Hounslow 012","E02000537",3157,64,2389,22,377,1,0,0,1,13,52,227,11
2021,"Hounslow 013","E02000538",3007,80,2171,26,280,2,1,0,2,44,105,291,5
2021,"Hounslow 014","E02000539",4734,103,3243,21,754,2,3,0,7,178,91,325,7
2021,"Hounslow 015","E02000540",4485,129,2643,23,1127,5,2,1,4,138,90,310,13
2021,"Hounslow 016","E02000541",3278,56,2482,23,248,4,0,0,3,72,97,285,8
2021,"Hounslow 017","E02000542",3955,112,2352,27,841,2,0,3,13,172,116,296,21
2021,"Hounslow 018","E02000543",4891,171,2667,31,1381,5,0,0,9,129,124,364,10
2021,"Hounslow 019","E02000544",2924,61,2397,22,164,1,0,0,0,6,37,228,8
2021,"Hounslow 020","E02000545",3548,68,2221,22,668,5,0,0,9,244,61,242,8
2021,"Hounslow 021","E02000546",3159,76,2034,22,672,3,0,0,2,54,56,232,8
2021,"Hounslow 022","E02000547",3850,88,2865,25,344,3,0,0,3,76,88,350,8
2021,"Hounslow 023","E02000548",3724,68,2518,40,595,3,0,1,2,150,61,278,8
2021,"Hounslow 024","E02000549",4080,71,3194,31,310,7,0,1,4,73,50,330,9
2021,"Hounslow 025","E02000550",3719,100,2156,52,881,4,0,0,3,197,62,257,7
2021,"Hounslow 026","E02000551",3418,74,2204,27,437,4,0,1,2,278,69,307,15
2021,"Hounslow 027","E02000552",3360,101,2348,14,597,0,0,1,0,17,46,226,10
2021,"Hounslow 028","E02000553",2601,47,2046,18,166,0,1,0,0,62,39,213,9
2021,"Islington 001","E02000554",4199,105,3004,46,385,4,0,0,6,109,83,449,8
2021,"Islington 002","E02000555",4032,62,2708,33,363,2,0,1,4,433,62,351,13
2021,"Islington 003","E02000556",4950,99,3643,39,500,1,0,0,12,128,102,409,17
2021,"Islington 004","E02000557",4138,91,3024,58,480,4,1,0,4,66,67,328,15
2021,"Islington 005","E02000558",3957,122,2521,61,738,5,1,0,2,45,96,365,1
2021,"Islington 006","E02000559",3993,77,2722,23,441,3,0,1,15,288,71,321,31
2021,"Islington 007","E02000560",3274,101,2071,20,711,0,0,0,5,33,47,267,19
2021,"Islington 008","E02000561",3156,51,2587,9,195,0,1,0,6,14,34,242,17
2021,"Islington 009","E02000562",3488,72,2648,25,236,4,0,0,8,121,61,300,13
2021,"Islington 010","E02000563",3859,103,2695,40,438,3,0,1,4,139,70,350,16
2021,"Islington 011","E02000564",5663,167,3306,41,1360,3,0,0,12,251,79,426,18
2021,"Islington 012","E02000565",3497,66,2658,57,234,5,0,0,3,36,65,360,13
2021,"Islington 013","E02000566",3835,74,2918,24,345,2,0,0,12,63,47,324,26
2021,"Islington 014","E02000567",4891,98,3805,32,327,4,1,1,7,88,51,454,23
2021,"Islington 015","E02000568",4668,115,2685,51,830,6,1,1,18,354,87,455,65
2021,"Islington 016","E02000569",4602,101,3251,53,475,2,0,0,1,219,79,408,13
2021,"Islington 017","E02000570",3988,88,2958,19,511,4,0,0,7,22,46,321,12
2021,"Islington 018","E02000571",4122,94,2665,38,608,7,2,0,11,224,79,378,16
2021,"Islington 019","E02000572",3524,91,2117,47,412,7,0,1,8,420,97,308,16
2021,"Islington 020","E02000573",4922,112,3038,29,955,5,1,0,21,278,68,389,26
2021,"Islington 021","E02000574",3604,113,2027,27,734,10,2,5,2,314,62,292,16
2021,"Islington 022","E02000575",5171,173,2809,54,942,11,0,0,15,613,103,429,22
2021,"Islington 023","E02000576",4951,170,2325,37,1057,7,1,0,19,763,127,429,16
2021,"Kensington and Chelsea 001","E02000577",3172,88,1688,27,645,5,1,1,14,290,99,311,3
2021,"Kensington and Chelsea 002","E02000578",2309,50,1610,20,240,8,0,0,1,81,63,232,4
2021,"Kensington and Chelsea 003","E02000579",3821,93,2873,27,296,2,0,0,2,100,79,331,18
2021,"Kensington and Chelsea 004","E02000580",3987,135,2779,20,383,7,0,0,2,115,80,463,3
2021,"Kensington and Chelsea 005","E02000581",3010,71,1865,28,301,9,0,0,2,413,76,242,3
2021,"Kensington and Chelsea 006","E02000582",3273,134,2075,20,572,13,0,1,4,105,68,268,13
2021,"Kensington and Chelsea 007","E02000583",3116,83,2245,24,328,4,1,0,2,72,37,300,20
2021,"Kensington and Chelsea 008","E02000584",3331,116,2154,21,404,33,1,0,9,194,72,318,9
2021,"Kensington and Chelsea 009","E02000585",3383,121,2169,26,461,37,0,0,1,196,80,284,8
2021,"Kensington and Chelsea 010","E02000586",2880,114,1805,23,499,13,1,2,4,102,50,262,5
2021,"Kensington and Chelsea 011","E02000587",3028,106,1885,35,405,33,0,1,4,215,64,273,7
2021,"Kensington and Chelsea 012","E02000588",3078,141,1879,27,457,21,0,0,4,148,78,309,14
2021,"Kensington and Chelsea 013","E02000589",3658,198,2056,36,820,11,0,0,5,125,91,312,4
2021,"Kensington and Chelsea 014","E02000590",3052,78,1747,21,450,25,0,1,4,338,102,284,2
2021,"Kensington and Chelsea 015","E02000591",3240,148,1778,39,643,28,0,0,8,213,92,286,5
2021,"Kensington and Chelsea 016","E02000592",2837,101,1824,20,443,14,0,0,8,112,52,255,8
2021,"Kensington and Chelsea 017","E02000593",3687,155,2478,33,464,10,0,0,4,133,63,342,5
2021,"Kensington and Chelsea 018","E02000594",2925,97,1912,16,357,27,0,0,4,173,41,292,6
2021,"Kensington and Chelsea 019","E02000595",3025,87,1964,11,371,16,0,0,0,242,44,283,7
2021,"Kensington and Chelsea 020","E02000596",3074,104,2132,11,396,8,0,0,3,68,48,297,7
2021,"Kensington and Chelsea 021","E02000597",2998,82,1523,24,480,9,0,1,2,520,99,253,5
2021,"Kingston upon Thames 001","E02000598",2971,26,2588,9,124,0,0,0,7,0,22,175,20
2021,"Kingston upon Thames 002","E02000599",2357,21,1980,10,78,2,1,0,14,4,18,204,25
2021,"Kingston upon Thames 003","E02000600",3377,73,2443,13,485,5,0,1,2,64,43,236,12
2021,"Kingston upon Thames 004","E02000601",4859,102,3182,15,1007,5,0,0,30,144,43,293,38
2021,"Kingston upon Thames 005","E02000602",4046,104,2870,25,624,4,1,1,6,28,49,323,11
2021,"Kingston upon Thames 006","E02000603",2954,58,2359,14,250,0,1,0,4,3,38,217,10
2021,"Kingston upon Thames 007","E02000604",3558,73,2751,11,398,0,0,0,7,32,31,243,12
2021,"Kingston upon Thames 008","E02000605",3115,32,2581,12,237,1,0,0,7,13,22,197,13
2021,"Kingston upon Thames 009","E02000606",4812,89,3448,20,845,3,0,2,8,12,40,336,9
2021,"Kingston upon Thames 010","E02000607",2581,57,2109,5,189,1,0,0,1,5,13,189,12
2021,"Kingston upon Thames 011","E02000608",3406,105,2357,11,592,4,2,0,3,38,33,249,12
2021,"Kingston upon Thames 012","E02000609",2734,40,2265,7,149,3,0,0,2,12,22,221,13
2021,"Kingston upon Thames 013","E02000610",3872,104,2656,15,787,2,0,0,4,19,29,247,9
2021,"Kingston upon Thames 014","E02000611",2653,28,2376,9,56,1,0,1,4,1,12,150,15
2021,"Kingston upon Thames 015","E02000612",3079,42,2606,9,207,1,1,3,1,1,17,183,8
2021,"Kingston upon Thames 016","E02000613",3196,49,2623,9,273,2,0,0,2,15,19,192,12
2021,"Kingston upon Thames 017","E02000614",3373,70,2639,43,288,2,0,0,8,15,40,262,6
2021,"Kingston upon Thames 018","E02000615",2957,41,2492,14,166,4,0,3,5,10,18,196,8
2021,"Kingston upon Thames 019","E02000616",2392,31,2104,6,87,0,0,0,1,4,15,138,6
2021,"Kingston upon Thames 020","E02000617",3342,38,2814,22,168,7,2,0,5,1,26,251,8
2021,"Lambeth 002","E02000619",4053,130,2168,47,691,8,0,0,13,473,125,384,14
2021,"Lambeth 003","E02000620",4587,114,2711,53,918,4,4,1,8,254,104,387,29
2021,"Lambeth 004","E02000621",6008,254,2832,40,1884,4,0,0,30,345,167,409,43
2021,"Lambeth 005","E02000622",3633,67,2749,27,258,17,0,0,4,131,62,305,13
2021,"Lambeth 006","E02000623",3333,124,2286,31,339,3,0,0,6,134,89,319,2
2021,"Lambeth 007","E02000624",4273,108,2313,36,647,7,0,0,13,680,97,356,16
2021,"Lambeth 008","E02000625",3797,128,2672,24,349,3,0,0,7,89,118,394,13
2021,"Lambeth 009","E02000626",3446,118,2277,35,280,3,0,0,6,195,143,379,10
2021,"Lambeth 010","E02000627",3917,124,2580,31,589,8,0,0,3,147,91,329,15
2021,"Lambeth 011","E02000628",4483,119,2753,44,563,4,1,0,8,354,148,470,19
2021,"Lambeth 012","E02000629",4017,79,3063,25,333,8,0,0,5,60,72,363,9
2021,"Lambeth 013","E02000630",3431,71,2497,23,384,2,1,0,9,97,38,301,8
2021,"Lambeth 014","E02000631",3742,57,2870,15,249,7,1,0,5,96,59,331,52
2021,"Lambeth 015","E02000632",4266,90,3170,23,420,5,0,0,5,96,47,396,14
2021,"Lambeth 016","E02000633",3962,91,2640,25,417,10,0,0,7,256,106,396,14
2021,"Lambeth 017","E02000634",3108,74,1891,38,411,2,0,0,7,316,65,298,6
2021,"Lambeth 018","E02000635",4340,92,2855,25,634,2,0,0,12,276,86,336,22
2021,"Lambeth 019","E02000636",3079,40,2419,19,246,2,0,0,5,62,33,239,14
2021,"Lambeth 020","E02000637",3703,67,2925,20,262,15,0,1,2,38,53,305,15
2021,"Lambeth 021","E02000638",4107,114,2726,24,474,6,0,0,8,304,92,348,11
2021,"Lambeth 022","E02000639",3725,125,2353,44,466,4,0,0,12,283,80,341,17
2021,"Lambeth 023","E02000640",3804,75,3049,16,232,3,1,0,2,53,40,324,9
2021,"Lambeth 024","E02000641",3393,108,2386,34,221,2,0,0,1,144,105,387,5
2021,"Lambeth 025","E02000642",4168,82,3220,32,346,2,0,0,2,31,79,361,13
2021,"Lambeth 026","E02000643",3948,91,2793,26,420,3,0,0,5,160,73,366,11
2021,"Lambeth 027","E02000644",3497,75,2830,22,184,1,0,0,2,18,60,292,13
2021,"Lambeth 028","E02000645",4049,113,3101,23,289,0,4,2,1,59,81,360,16
2021,"Lambeth 029","E02000646",3904,75,3018,18,371,4,0,0,2,37,74,301,4
2021,"Lambeth 030","E02000647",3422,64,2670,21,244,2,0,1,9,78,53,265,15
2021,"Lambeth 031","E02000648",3186,74,2396,32,165,1,0,0,6,88,59,358,7
2021,"Lambeth 032","E02000649",5305,189,3686,35,657,5,2,2,6,120,98,493,12
2021,"Lambeth 033","E02000650",3276,94,2511,20,238,2,1,1,3,51,58,290,7
2021,"Lambeth 034","E02000651",3479,90,2796,13,215,1,0,0,4,16,57,279,8
2021,"Lambeth 035","E02000652",2543,59,2009,25,167,2,1,0,0,11,44,214,11
2021,"Lewisham 001","E02000653",5295,157,2352,47,1390,6,1,1,22,625,135,534,25
2021,"Lewisham 002","E02000654",3593,117,2094,29,703,1,0,0,6,209,82,340,12
2021,"Lewisham 003","E02000655",4006,149,2207,27,1004,3,0,0,7,115,90,385,19
2021,"Lewisham 005","E02000657",3988,100,2736,33,532,2,1,0,3,152,68,346,15
2021,"Lewisham 006","E02000658",3460,76,2617,13,302,5,0,0,4,45,62,322,14
2021,"Lewisham 007","E02000659",3540,78,2278,13,525,4,0,0,13,268,50,298,13
2021,"Lewisham 008","E02000660",3604,140,2357,13,736,3,0,0,6,45,53,243,8
2021,"Lewisham 009","E02000661",3043,68,2342,8,251,2,0,1,3,62,37,261,8
2021,"Lewisham 010","E02000662",3307,68,2501,18,277,2,1,0,8,43,49,331,9
2021,"Lewisham 011","E02000663",2819,49,2276,13,170,2,0,0,4,29,43,221,12
2021,"Lewisham 013","E02000665",3414,67,2720,13,242,5,1,0,1,34,45,272,14
2021,"Lewisham 014","E02000666",2738,42,2258,17,152,0,1,0,1,21,36,204,6
2021,"Lewisham 015","E02000667",2524,40,2125,10,111,1,1,0,1,3,22,198,12
2021,"Lewisham 016","E02000668",2727,40,2308,6,116,1,0,0,4,10,25,209,8
2021,"Lewisham 017","E02000669",3311,106,2263,11,590,0,0,0,5,33,52,239,12
2021,"Lewisham 018","E02000670",2782,60,2083,22,253,3,0,0,5,26,55,261,14
2021,"Lewisham 019","E02000671",3679,69,2947,6,258,1,0,1,7,17,36,329,8
2021,"Lewisham 020","E02000672",4197,125,2670,18,588,3,3,0,6,272,87,416,9
2021,"Lewisham 021","E02000673",3495,63,2747,4,298,2,0,0,8,43,38,267,25
2021,"Lewisham 022","E02000674",3060,64,2511,11,145,1,0,0,2,9,47,267,3
2021,"Lewisham 023","E02000675",3422,62,2679,13,313,1,0,0,2,4,41,304,3
2021,"Lewisham 024","E02000676",3192,67,2616,9,162,0,0,0,3,23,50,258,4
2021,"Lewisham 025","E02000677",2640,55,2167,8,127,3,0,0,1,7,34,230,8
2021,"Lewisham 026","E02000678",2610,65,1768,15,447,3,0,0,2,10,54,241,5
2021,"Lewisham 027","E02000679",3375,76,2520,22,297,2,0,0,4,70,54,314,16
2021,"Lewisham 028","E02000680",2913,64,2257,20,209,3,0,0,6,29,49,268,8
2021,"Lewisham 029","E02000681",3349,88,2563,22,286,0,2,1,4,17,64,298,4
2021,"Lewisham 030","E02000682",3217,65,2528,25,215,2,0,0,2,14,65,294,7
2021,"Lewisham 031","E02000683",2722,48,2105,20,228,2,0,0,2,30,38,244,5
2021,"Lewisham 033","E02000685",3420,86,2567,18,292,1,0,0,1,66,53,323,13
2021,"Lewisham 034","E02000686",3045,56,2239,23,281,3,0,0,2,45,65,322,9
2021,"Lewisham 035","E02000687",3454,83,2745,8,240,3,0,1,2,37,52,280,3
2021,"Merton 001","E02000689",3514,73,2356,11,766,0,0,3,16,29,27,213,20
2021,"Merton 002","E02000690",2224,16,1799,9,100,6,0,0,11,45,17,186,35
2021,"Merton 003","E02000691",2957,45,2397,15,245,1,0,0,5,9,19,214,7
2021,"Merton 004","E02000692",3568,76,2597,13,468,9,0,1,10,83,40,248,23
2021,"Merton 005","E02000693",4282,110,2881,16,871,4,1,0,8,58,52,270,11
2021,"Merton 006","E02000694",3830,59,3139,15,286,1,0,1,1,16,25,274,13
2021,"Merton 007","E02000695",2942,51,2433,19,149,2,0,0,4,3,32,243,6
2021,"Merton 008","E02000696",3269,87,2329,20,505,1,0,0,5,6,46,253,17
2021,"Merton 009","E02000697",3666,73,2778,2,499,1,0,0,12,21,27,241,12
2021,"Merton 010","E02000698",3182,51,2538,14,275,0,0,1,9,33,10,223,28
2021,"Merton 011","E02000699",3263,69,2684,6,233,2,1,0,16,11,20,211,10
2021,"Merton 012","E02000700",3356,110,2456,33,380,2,1,2,2,11,70,281,8
