"date","geography","geography code","Number of rooms (VOA): Total: All households","Number of rooms (VOA): 1 room","Number of rooms (VOA): 2 rooms","Number of rooms (VOA): 3 rooms","Number of rooms (VOA): 4 rooms","Number of rooms (VOA): 5 rooms","Number of rooms (VOA): 6 rooms","Number of rooms (VOA): 7 rooms","Number of rooms (VOA): 8 rooms","Number of rooms (VOA): 9 or more rooms"
2021,"Hammersmith and Fulham 001","E02000372",3876,382,783,1208,863,471,110,34,9,16
2021,"Hammersmith and Fulham 002","E02000373",2536,62,440,957,745,294,27,3,2,6
2021,"Hammersmith and Fulham 003","E02000374",2615,80,445,606,594,616,176,70,17,11
2021,"Hammersmith and Fulham 004","E02000375",3498,287,1180,1013,592,202,128,60,25,11
2021,"Hammersmith and Fulham 005","E02000376",3184,268,1188,862,401,174,121,87,51,32
2021,"Hammersmith and Fulham 006","E02000377",3446,193,1180,914,543,299,185,84,28,20
2021,"Hammersmith and Fulham 007","E02000378",3251,305,1261,987,342,148,97,61,27,23
2021,"Hammersmith and Fulham 008","E02000379",3104,159,705,876,523,338,272,135,51,45
2021,"Hammersmith and Fulham 009","E02000380",2498,101,714,635,417,292,195,90,32,22
2021,"Hammersmith and Fulham 010","E02000381",3547,294,1054,1023,413,255,219,145,84,60
2021,"Hammersmith and Fulham 011","E02000382",2773,172,757,762,451,253,150,91,65,72
2021,"Hammersmith and Fulham 012","E02000383",4109,326,1329,1247,648,324,119,41,29,46
2021,"Hammersmith and Fulham 013","E02000384",3809,187,1271,1247,622,274,102,47,29,30
2021,"Hammersmith and Fulham 014","E02000385",2849,207,1044,793,418,233,96,33,13,12
2021,"Hammersmith and Fulham 015","E02000386",3367,191,1034,1136,665,216,65,26,8,26
2021,"Hammersmith and Fulham 016","E02000387",2587,149,667,644,638,333,110,25,14,7
2021,"Hammersmith and Fulham 017","E02000388",4134,182,1430,1208,616,345,184,125,31,13
2021,"Hammersmith and Fulham 018","E02000389",3678,108,683,1099,630,601,361,109,47,40
2021,"Hammersmith and Fulham 019","E02000390",2720,127,637,647,676,398,142,62,20,11
2021,"Hammersmith and Fulham 020","E02000391",3281,115,682,834,550,365,336,200,131,68
2021,"Hammersmith and Fulham 021","E02000392",4035,151,942,1232,698,466,269,190,54,33
2021,"Hammersmith and Fulham 022","E02000393",2588,55,517,834,520,358,199,74,24,7
2021,"Hammersmith and Fulham 023","E02000394",4346,220,958,2056,663,228,130,55,21,15
2021,"Hammersmith and Fulham 024","E02000395",2640,84,537,740,427,317,247,144,95,49
2021,"Hammersmith and Fulham 025","E02000396",2770,110,432,889,523,353,236,120,66,41
2021,"Haringey 001","E02000397",3474,354,949,1067,512,355,164,39,20,14
2021,"Haringey 002","E02000398",2877,160,668,826,420,453,274,45,19,12
2021,"Haringey 004","E02000400",3120,104,524,1016,415,839,153,44,12,13
2021,"Haringey 005","E02000401",2477,44,229,677,765,677,58,14,8,5
2021,"Haringey 006","E02000402",2425,73,371,601,701,530,121,14,10,4
2021,"Haringey 007","E02000403",2990,259,635,948,342,519,197,47,30,13
2021,"Haringey 008","E02000404",2664,67,499,659,608,699,99,23,6,4
2021,"Haringey 009","E02000405",2461,46,274,592,323,375,537,223,64,27
2021,"Haringey 010","E02000406",2597,71,376,543,899,576,93,23,7,9
2021,"Haringey 011","E02000407",3004,173,784,952,281,382,337,71,15,9
2021,"Haringey 012","E02000408",3001,84,622,811,662,647,131,26,15,3
2021,"Haringey 013","E02000409",2368,44,684,652,442,411,99,18,8,10
2021,"Haringey 014","E02000410",2614,111,535,787,224,178,405,197,101,76
2021,"Haringey 015","E02000411",3952,85,870,1222,816,710,208,25,10,6
2021,"Haringey 016","E02000412",2872,189,843,673,487,414,170,54,12,30
2021,"Haringey 017","E02000413",2966,139,369,614,596,368,467,272,86,55
2021,"Haringey 018","E02000414",2718,140,463,522,571,656,245,76,22,23
2021,"Haringey 019","E02000415",2836,161,583,686,607,588,133,41,21,16
2021,"Haringey 020","E02000416",3920,180,1261,1321,615,358,89,59,30,7
2021,"Haringey 021","E02000417",2866,131,502,859,338,343,240,181,160,112
2021,"Haringey 022","E02000418",2204,44,288,490,242,369,430,285,37,19
2021,"Haringey 023","E02000419",3645,391,793,1064,315,464,383,197,24,14
2021,"Haringey 024","E02000420",3436,292,922,827,796,463,87,22,12,15
2021,"Haringey 025","E02000421",3141,109,988,871,568,343,188,35,16,23
2021,"Haringey 026","E02000422",2887,149,656,628,790,453,159,27,18,7
2021,"Haringey 027","E02000423",2672,201,519,461,392,445,541,79,15,19
2021,"Haringey 028","E02000424",2984,122,777,923,381,262,275,110,105,29
2021,"Haringey 029","E02000425",2163,118,332,294,434,524,252,101,54,54
2021,"Haringey 030","E02000426",2745,103,331,829,454,240,257,183,136,212
2021,"Haringey 031","E02000427",2869,322,639,725,285,291,377,163,46,21
2021,"Haringey 032","E02000428",2921,128,768,797,612,273,221,28,21,73
2021,"Haringey 033","E02000429",3202,216,820,1020,330,275,244,125,108,64
2021,"Haringey 034","E02000430",3249,263,900,1025,318,267,153,154,99,70
2021,"Haringey 035","E02000431",2846,207,590,979,312,245,208,121,111,73
2021,"Haringey 036","E02000432",2799,235,701,980,273,178,126,182,86,38
2021,"Harrow 001","E02000433",3544,130,354,1210,506,467,247,246,175,209
2021,"Harrow 002","E02000434",3640,126,384,883,483,1045,368,208,82,61
2021,"Harrow 003","E02000435",2810,40,255,620,634,737,236,123,100,65
2021,"Harrow 004","E02000436",2042,18,49,180,226,730,394,239,116,90
2021,"Harrow 005","E02000437",3090,47,269,584,488,1335,218,89,37,23
2021,"Harrow 006","E02000438",3045,25,377,902,399,845,265,121,59,52
2021,"Harrow 007","E02000439",2948,73,295,622,515,1281,108,29,9,16
2021,"Harrow 008","E02000440",3056,16,71,243,358,1826,337,132,47,26
2021,"Harrow 009","E02000441",2796,21,358,781,610,494,281,137,64,50
2021,"Harrow 010","E02000442",2667,42,164,269,380,1651,104,33,16,8
2021,"Harrow 011","E02000443",3545,68,634,586,462,1611,122,44,11,7
2021,"Harrow 012","E02000444",2670,5,130,514,236,1576,134,44,20,11
2021,"Harrow 013","E02000445",3820,73,608,967,631,1338,115,57,17,14
2021,"Harrow 015","E02000447",2743,15,217,450,239,1311,360,98,32,21
2021,"Harrow 016","E02000448",2759,113,248,632,242,597,480,245,118,84
2021,"Harrow 017","E02000449",2525,23,214,396,408,1366,71,30,13,4
2021,"Harrow 019","E02000451",2329,19,129,261,227,1335,253,69,27,9
2021,"Harrow 020","E02000452",3455,195,722,1140,242,798,223,83,22,30
2021,"Harrow 021","E02000453",3047,58,540,796,221,1014,275,98,23,22
2021,"Harrow 022","E02000454",2525,6,39,351,186,1297,420,139,62,25
2021,"Harrow 023","E02000455",4759,221,1281,1934,337,604,184,98,51,49
2021,"Harrow 024","E02000456",2718,80,344,403,465,1180,153,63,23,7
2021,"Harrow 025","E02000457",2565,63,356,405,173,1303,183,52,21,9
2021,"Harrow 027","E02000459",3417,138,742,1020,333,991,104,43,27,19
2021,"Harrow 028","E02000460",2414,7,285,712,372,897,86,41,7,7
2021,"Harrow 029","E02000461",2557,53,353,929,388,463,154,87,56,74
2021,"Harrow 030","E02000462",2286,24,259,415,247,1192,100,34,7,8
2021,"Harrow 031","E02000463",2835,17,238,485,597,1331,118,39,10,0
2021,"Havering 001","E02000464",2876,13,356,844,1048,404,168,22,14,7
2021,"Havering 002","E02000465",3495,32,518,946,1407,472,82,25,6,7
2021,"Havering 003","E02000466",3295,9,156,841,828,1203,182,44,16,16
2021,"Havering 004","E02000467",4289,59,1049,1335,1211,515,99,14,4,3
2021,"Havering 005","E02000468",3165,10,139,429,1412,1013,112,31,10,9
2021,"Havering 006","E02000469",2699,9,281,1004,959,375,44,15,7,5
2021,"Havering 007","E02000470",4131,23,550,982,1256,923,253,96,23,25
2021,"Havering 008","E02000471",2941,1,23,297,904,1303,291,87,21,14
2021,"Havering 009","E02000472",3527,5,129,607,660,1905,135,59,20,7
2021,"Havering 010","E02000473",4022,19,303,655,1018,1611,272,98,29,17
2021,"Havering 011","E02000474",3532,14,415,806,1082,1021,127,45,8,14
2021,"Havering 012","E02000475",3963,27,336,1036,498,1135,567,221,90,53
2021,"Havering 013","E02000476",4197,133,1139,1545,439,637,180,71,39,14
2021,"Havering 014","E02000477",3714,1,100,505,628,1933,350,108,63,26
2021,"Havering 015","E02000478",2154,47,51,220,306,443,371,272,191,253
2021,"Havering 016","E02000479",3791,36,596,986,776,1191,124,42,23,17
2021,"Havering 017","E02000480",5013,68,585,1519,1234,1425,123,34,15,10
2021,"Havering 018","E02000481",3245,4,61,626,1184,1070,199,65,27,9
2021,"Havering 019","E02000482",2578,1,55,293,558,995,395,162,59,60
2021,"Havering 020","E02000483",3473,18,504,1019,610,1083,160,51,19,9
2021,"Havering 021","E02000484",3256,6,198,434,548,1694,224,90,22,40
2021,"Havering 022","E02000485",3458,8,108,978,1019,1061,178,62,30,14
2021,"Havering 023","E02000486",2989,3,232,438,1033,1124,132,22,3,2
2021,"Havering 024","E02000487",2941,0,19,201,545,1607,358,136,47,28
2021,"Havering 025","E02000488",3015,1,124,394,1248,951,211,72,10,4
2021,"Havering 026","E02000489",3263,0,253,475,933,1228,312,38,15,9
2021,"Havering 027","E02000490",3225,13,182,433,1504,936,121,24,8,4
2021,"Havering 028","E02000491",3936,15,373,936,1309,1085,165,28,13,12
2021,"Havering 029","E02000492",2619,9,60,443,1209,652,160,53,17,16
2021,"Havering 030","E02000493",2499,26,240,455,825,869,54,19,6,5
2021,"Hillingdon 001","E02000494",3220,58,415,621,470,490,467,316,198,185
2021,"Hillingdon 002","E02000495",4303,96,712,1356,870,806,287,103,44,29
2021,"Hillingdon 003","E02000496",3178,16,428,898,827,708,184,68,29,20
2021,"Hillingdon 004","E02000497",3692,37,331,977,789,1068,253,158,63,16
2021,"Hillingdon 005","E02000498",2638,75,284,578,620,745,208,86,25,17
2021,"Hillingdon 006","E02000499",3014,12,200,493,414,1472,263,99,37,24
2021,"Hillingdon 007","E02000500",3306,46,276,691,503,978,520,210,60,22
2021,"Hillingdon 008","E02000501",3276,9,199,842,730,1220,193,64,11,8
2021,"Hillingdon 009","E02000502",3530,41,279,1182,786,871,255,74,34,8
2021,"Hillingdon 010","E02000503",3255,10,122,861,1021,940,207,72,13,9
2021,"Hillingdon 011","E02000504",2925,16,131,441,595,1175,388,127,34,18
2021,"Hillingdon 013","E02000506",2899,14,232,346,465,884,542,230,125,61
2021,"Hillingdon 014","E02000507",2780,32,114,368,535,1596,88,29,12,6
2021,"Hillingdon 015","E02000508",4336,184,927,1300,916,623,216,126,33,11
2021,"Hillingdon 016","E02000509",3405,116,879,885,737,591,108,41,30,18
2021,"Hillingdon 017","E02000510",3261,71,281,649,879,1079,152,102,30,18
2021,"Hillingdon 018","E02000511",3260,43,221,788,806,1251,101,29,9,12
2021,"Hillingdon 019","E02000512",3104,53,437,926,923,610,105,31,12,7
2021,"Hillingdon 020","E02000513",3323,70,436,1543,636,571,33,18,8,8
2021,"Hillingdon 021","E02000514",3185,39,188,538,1006,1290,84,19,12,9
2021,"Hillingdon 022","E02000515",5342,373,1227,1788,1066,615,159,66,27,21
2021,"Hillingdon 023","E02000516",2817,29,339,869,507,918,113,20,16,6
2021,"Hillingdon 024","E02000517",3321,43,424,807,1226,662,102,36,15,6
2021,"Hillingdon 025","E02000518",3328,35,392,649,1264,872,71,28,8,9
2021,"Hillingdon 026","E02000519",3023,31,509,759,457,1140,75,35,9,8
2021,"Hillingdon 027","E02000520",4455,101,752,1062,874,1484,109,34,22,17
2021,"Hillingdon 028","E02000521",4352,83,552,1165,1419,997,92,26,13,5
2021,"Hillingdon 029","E02000522",3488,56,440,1160,876,752,135,43,14,12
2021,"Hillingdon 030","E02000523",3684,180,538,767,691,1385,79,33,6,5
2021,"Hillingdon 031","E02000524",2639,191,441,560,606,701,64,37,24,15
2021,"Hillingdon 032","E02000525",3319,162,510,1243,690,613,50,28,13,10
2021,"Hounslow 001","E02000526",3616,76,614,796,636,504,423,282,157,128
2021,"Hounslow 004","E02000529",3036,56,359,804,433,1203,115,36,21,9
2021,"Hounslow 005","E02000530",2521,57,336,885,517,664,45,10,2,5
2021,"Hounslow 006","E02000531",4938,166,1078,1581,1003,799,204,61,21,25
2021,"Hounslow 007","E02000532",3817,138,593,916,559,735,477,190,133,76
2021,"Hounslow 008","E02000533",3685,98,658,1070,637,548,325,170,101,78
2021,"Hounslow 009","E02000534",2999,85,354,732,294,989,331,112,60,42
2021,"Hounslow 010","E02000535",3003,21,298,406,374,1684,131,55,21,13
2021,"Hounslow 011","E02000536",3245,44,356,621,679,1258,192,48,29,18
2021,"Hounslow 012","E02000537",3157,75,228,719,440,1223,324,78,35,35
2021,"Hounslow 013","E02000538",3005,52,261,633,418,1425,147,36,15,18
2021,"Hounslow 014","E02000539",4732,56,814,1715,1079,856,158,32,11,11
2021,"Hounslow 015","E02000540",4484,164,1042,1384,627,1020,149,53,24,21
2021,"Hounslow 016","E02000541",3281,74,495,785,535,1200,125,34,18,15
2021,"Hounslow 017","E02000542",3950,317,734,1189,657,844,138,39,14,18
2021,"Hounslow 018","E02000543",4890,259,1219,1540,583,981,173,68,34,33
2021,"Hounslow 019","E02000544",2923,60,201,289,381,1749,183,35,19,6
2021,"Hounslow 020","E02000545",3550,36,683,1137,827,637,159,35,6,30
2021,"Hounslow 021","E02000546",3159,61,380,816,542,1180,122,31,16,11
2021,"Hounslow 022","E02000547",3854,38,515,1209,897,1047,80,32,16,20
2021,"Hounslow 023","E02000548",3728,57,719,1144,770,907,85,29,7,10
2021,"Hounslow 024","E02000549",4082,86,272,1054,838,1629,129,49,11,14
2021,"Hounslow 025","E02000550",3720,35,440,1367,1274,479,102,16,3,4
2021,"Hounslow 026","E02000551",3417,72,569,1099,833,752,61,15,11,5
2021,"Hounslow 027","E02000552",3360,127,398,1275,888,577,74,10,4,7
2021,"Hounslow 028","E02000553",2602,36,234,653,719,790,112,44,12,2
2021,"Islington 001","E02000554",4203,145,1338,1331,866,264,147,72,24,16
2021,"Islington 002","E02000555",4035,128,1006,1037,876,456,279,144,77,32
2021,"Islington 003","E02000556",4950,226,1645,1490,821,395,243,93,17,20
2021,"Islington 004","E02000557",4139,195,1475,1301,680,256,155,40,26,11
2021,"Islington 005","E02000558",3957,100,1435,1216,813,259,89,25,11,9
2021,"Islington 006","E02000559",3995,97,1061,1207,591,494,353,107,30,55
2021,"Islington 007","E02000560",3274,148,1089,1050,435,243,190,81,18,20
2021,"Islington 008","E02000561",3160,139,891,839,395,270,295,213,84,34
2021,"Islington 009","E02000562",3488,104,998,1143,609,270,146,121,65,32
2021,"Islington 010","E02000563",3859,161,1205,1431,633,256,108,30,19,16
2021,"Islington 011","E02000564",5663,259,1947,2186,810,220,136,69,24,12
2021,"Islington 012","E02000565",3497,86,990,1220,750,243,106,72,14,16
2021,"Islington 013","E02000566",3838,139,947,1121,692,319,357,147,62,54
2021,"Islington 014","E02000567",4896,114,1593,1758,768,302,197,100,40,24
2021,"Islington 015","E02000568",4667,116,1593,1561,814,386,152,24,4,17
2021,"Islington 016","E02000569",4602,66,1300,1710,887,310,139,101,45,44
2021,"Islington 017","E02000570",3990,141,1164,1187,584,311,272,169,84,78
2021,"Islington 018","E02000571",4120,104,1172,1566,642,371,162,82,12,9
2021,"Islington 019","E02000572",3523,95,926,1271,854,237,101,32,4,3
2021,"Islington 020","E02000573",4921,156,1478,1646,663,377,335,141,59,66
2021,"Islington 021","E02000574",3603,141,1105,1495,506,176,104,40,28,8
2021,"Islington 022","E02000575",5169,196,1722,2061,867,153,97,38,19,16
2021,"Islington 023","E02000576",4954,213,1590,2131,837,135,26,14,4,4
2021,"Kensington and Chelsea 001","E02000577",3175,285,925,992,722,159,34,22,8,28
2021,"Kensington and Chelsea 002","E02000578",2310,97,505,874,520,209,53,23,12,17
2021,"Kensington and Chelsea 003","E02000579",3821,306,937,1116,639,345,237,116,42,83
2021,"Kensington and Chelsea 004","E02000580",3988,368,1423,1176,674,160,63,49,28,47
2021,"Kensington and Chelsea 005","E02000581",3007,291,694,870,764,262,69,21,17,19
2021,"Kensington and Chelsea 006","E02000582",3268,497,832,950,358,203,116,88,76,148
2021,"Kensington and Chelsea 007","E02000583",3118,293,736,796,395,230,175,137,131,225
2021,"Kensington and Chelsea 008","E02000584",3330,286,630,851,470,368,257,156,119,193
2021,"Kensington and Chelsea 009","E02000585",3383,244,670,1029,499,262,217,138,89,235
2021,"Kensington and Chelsea 010","E02000586",2881,202,478,779,494,250,229,137,82,230
2021,"Kensington and Chelsea 011","E02000587",3026,223,566,757,355,275,269,157,167,257
2021,"Kensington and Chelsea 012","E02000588",3075,208,541,830,523,362,255,138,76,142
2021,"Kensington and Chelsea 013","E02000589",3660,615,860,1154,475,239,156,88,33,40
2021,"Kensington and Chelsea 014","E02000590",3046,553,613,828,474,198,126,73,71,110
2021,"Kensington and Chelsea 015","E02000591",3240,556,868,1192,356,126,46,38,17,41
2021,"Kensington and Chelsea 016","E02000592",2841,285,574,884,461,238,157,91,62,89
2021,"Kensington and Chelsea 017","E02000593",3681,450,1023,1225,476,191,178,52,28,58
2021,"Kensington and Chelsea 018","E02000594",2920,182,625,738,388,289,263,133,124,178
2021,"Kensington and Chelsea 019","E02000595",3032,269,736,662,384,220,226,169,122,244
2021,"Kensington and Chelsea 020","E02000596",3075,209,687,917,418,280,162,179,77,146
2021,"Kensington and Chelsea 021","E02000597",2997,215,705,1159,488,201,101,54,32,42
2021,"Kingston upon Thames 001","E02000598",2969,3,139,570,361,1064,514,187,84,47
2021,"Kingston upon Thames 002","E02000599",2353,2,68,188,248,573,419,326,218,311
2021,"Kingston upon Thames 003","E02000600",3378,39,514,1069,639,544,302,137,68,66
2021,"Kingston upon Thames 004","E02000601",4858,46,875,1460,743,1190,335,121,51,37
2021,"Kingston upon Thames 005","E02000602",4043,91,931,1242,641,733,216,137,31,21
2021,"Kingston upon Thames 006","E02000603",2954,25,273,518,951,816,227,93,24,27
2021,"Kingston upon Thames 007","E02000604",3557,79,440,733,394,1194,455,187,44,31
2021,"Kingston upon Thames 008","E02000605",3117,33,301,417,440,1294,342,170,79,41
2021,"Kingston upon Thames 009","E02000606",4807,183,1019,1917,520,534,267,197,87,83
2021,"Kingston upon Thames 010","E02000607",2584,45,293,485,320,844,327,141,74,55
2021,"Kingston upon Thames 011","E02000608",3406,251,1010,1315,323,283,98,54,31,41
2021,"Kingston upon Thames 012","E02000609",2736,43,186,356,319,1112,464,158,49,49
2021,"Kingston upon Thames 013","E02000610",3870,168,1055,1455,374,381,165,127,65,80
2021,"Kingston upon Thames 014","E02000611",2652,36,64,183,180,1444,467,195,69,14
2021,"Kingston upon Thames 015","E02000612",3077,9,180,243,308,1588,487,180,62,20
2021,"Kingston upon Thames 016","E02000613",3194,54,369,873,494,779,324,171,72,58
2021,"Kingston upon Thames 017","E02000614",3374,34,326,531,530,1727,142,50,22,12
2021,"Kingston upon Thames 018","E02000615",2958,29,149,475,756,1228,241,54,17,9
2021,"Kingston upon Thames 019","E02000616",2391,8,109,379,861,806,155,50,16,7
2021,"Kingston upon Thames 020","E02000617",3344,32,166,941,800,1073,227,66,19,20
2021,"Lambeth 002","E02000619",4055,126,1189,1372,819,315,158,36,25,15
2021,"Lambeth 003","E02000620",4592,137,1221,1828,916,313,76,44,28,29
2021,"Lambeth 004","E02000621",6010,336,1912,2293,846,297,153,73,45,55
2021,"Lambeth 005","E02000622",3633,201,803,1171,804,371,130,84,39,30
2021,"Lambeth 006","E02000623",3334,171,594,1366,847,167,73,42,32,42
2021,"Lambeth 007","E02000624",4271,192,1026,1747,866,259,81,44,33,23
2021,"Lambeth 008","E02000625",3797,268,650,1669,836,234,93,34,11,2
2021,"Lambeth 009","E02000626",3447,216,760,1246,787,252,93,48,28,17
2021,"Lambeth 010","E02000627",3914,100,894,1555,654,390,120,112,60,29
2021,"Lambeth 011","E02000628",4484,192,1140,1499,1058,460,76,32,10,17
2021,"Lambeth 012","E02000629",4015,77,1002,1311,874,311,157,122,82,79
2021,"Lambeth 013","E02000630",3427,115,800,1220,568,326,128,121,77,72
2021,"Lambeth 014","E02000631",3739,148,687,976,680,623,394,130,50,51
2021,"Lambeth 015","E02000632",4264,63,1113,1407,775,450,252,137,39,28
2021,"Lambeth 016","E02000633",3961,142,1046,1396,567,533,144,95,22,16
2021,"Lambeth 017","E02000634",3109,94,864,1105,662,229,62,34,16,43
2021,"Lambeth 018","E02000635",4333,124,1281,1269,625,557,259,129,39,50
2021,"Lambeth 019","E02000636",3079,36,505,800,499,352,393,270,147,77
2021,"Lambeth 020","E02000637",3705,172,925,1172,444,488,299,130,47,28
2021,"Lambeth 021","E02000638",4106,123,833,1552,1011,331,141,85,20,10
2021,"Lambeth 022","E02000639",3725,164,830,1540,817,260,31,38,22,23
2021,"Lambeth 023","E02000640",3804,70,524,1189,860,741,292,84,28,16
2021,"Lambeth 024","E02000641",3392,71,644,1208,875,433,132,12,11,6
2021,"Lambeth 025","E02000642",4171,112,926,1046,771,734,314,104,83,81
2021,"Lambeth 026","E02000643",3948,147,912,1260,631,357,330,212,62,37
2021,"Lambeth 027","E02000644",3496,105,646,1012,542,655,206,187,78,65
2021,"Lambeth 028","E02000645",4045,153,879,1350,645,423,252,163,92,88
2021,"Lambeth 029","E02000646",3904,160,820,1140,552,442,231,203,219,137
2021,"Lambeth 030","E02000647",3419,60,603,945,480,795,309,142,54,31
2021,"Lambeth 031","E02000648",3188,78,624,881,983,420,157,25,8,12
2021,"Lambeth 032","E02000649",5302,384,1290,1921,700,443,219,170,97,78
2021,"Lambeth 033","E02000650",3276,81,739,863,828,490,157,63,30,25
2021,"Lambeth 034","E02000651",3478,160,655,892,421,631,390,195,72,62
2021,"Lambeth 035","E02000652",2544,17,115,230,219,1771,117,50,13,12
2021,"Lewisham 001","E02000653",5293,185,1524,2235,827,313,143,34,18,14
2021,"Lewisham 002","E02000654",3593,157,1001,1335,713,264,91,15,10,7
2021,"Lewisham 003","E02000655",4007,264,1202,1167,627,595,102,36,10,4
2021,"Lewisham 005","E02000657",3990,185,1037,1249,639,577,183,71,31,18
2021,"Lewisham 006","E02000658",3462,113,916,987,563,391,107,184,116,85
2021,"Lewisham 007","E02000659",3540,85,752,1330,596,319,206,100,47,105
2021,"Lewisham 008","E02000660",3605,126,1071,1300,411,358,208,59,37,35
2021,"Lewisham 009","E02000661",3046,232,557,964,590,412,134,81,34,42
2021,"Lewisham 010","E02000662",3304,64,716,1117,574,529,171,91,22,20
2021,"Lewisham 011","E02000663",2819,62,531,738,359,732,206,90,58,43
2021,"Lewisham 013","E02000665",3415,41,740,894,637,794,215,61,21,12
2021,"Lewisham 014","E02000666",2736,58,457,681,391,766,247,91,32,13
2021,"Lewisham 015","E02000667",2524,33,252,350,329,1304,176,56,19,5
2021,"Lewisham 016","E02000668",2730,43,299,714,442,930,141,76,43,42
2021,"Lewisham 017","E02000669",3307,112,876,1056,452,494,210,76,20,11
2021,"Lewisham 018","E02000670",2783,56,653,926,410,359,274,67,22,16
2021,"Lewisham 019","E02000671",3682,116,633,1046,694,855,231,63,32,12
2021,"Lewisham 020","E02000672",4200,232,1104,1217,555,702,271,62,33,24
2021,"Lewisham 021","E02000673",3497,98,681,1081,547,687,184,114,57,48
2021,"Lewisham 022","E02000674",3057,55,296,411,619,1254,318,72,20,12
2021,"Lewisham 023","E02000675",3423,43,481,860,570,1204,160,66,26,13
2021,"Lewisham 024","E02000676",3191,97,540,956,505,692,238,83,46,34
2021,"Lewisham 025","E02000677",2640,101,311,513,442,763,284,140,60,26
2021,"Lewisham 026","E02000678",2614,124,280,574,834,723,50,14,9,6
2021,"Lewisham 027","E02000679",3374,174,568,971,592,732,217,56,25,39
2021,"Lewisham 028","E02000680",2912,123,443,1084,642,475,74,43,12,16
2021,"Lewisham 029","E02000681",3351,94,517,634,1095,895,79,15,11,11
2021,"Lewisham 030","E02000682",3218,56,257,713,772,1326,60,24,8,2
2021,"Lewisham 031","E02000683",2724,76,415,852,722,569,43,27,10,10
2021,"Lewisham 033","E02000685",3426,124,588,1169,847,510,117,41,17,13
2021,"Lewisham 034","E02000686",3041,91,536,1267,807,283,31,12,6,8
2021,"Lewisham 035","E02000687",3455,95,708,1042,672,520,263,95,43,17
2021,"Merton 001","E02000689",3512,131,524,685,387,1076,361,161,79,108
2021,"Merton 002","E02000690",2225,29,184,385,247,250,247,287,193,403
2021,"Merton 003","E02000691",2958,64,493,858,396,405,316,257,120,49
2021,"Merton 004","E02000692",3565,170,624,1176,510,383,188,189,104,221
2021,"Merton 005","E02000693",4283,90,994,1471,777,673,180,57,23,18
2021,"Merton 006","E02000694",3833,56,716,905,922,962,201,48,10,13
2021,"Merton 007","E02000695",2941,38,217,277,343,1805,184,48,11,18
2021,"Merton 008","E02000696",3270,62,756,762,716,724,204,17,19,10
2021,"Merton 009","E02000697",3666,76,761,1046,507,913,241,72,23,27
2021,"Merton 010","E02000698",3181,38,262,565,494,736,499,309,133,145
2021,"Merton 011","E02000699",3262,55,457,721,493,1055,300,109,47,25
2021,"Merton 012","E02000700",3356,86,682,1142,874,465,81,10,5,11
2021,"Merton 013","E02000701",3113,23,364,611,476,1428,149,30,17,15
2021,"Merton 014","E02000702",3366,34,647,857,460,1214,117,23,9,5
2021,"Merton 015","E02000703",2935,24,216,424,213,1406,415,143,50,44
2021,"Merton 016","E02000704",3572,112,670,999,630,867,209,49,19,17
2021,"Merton 017","E02000705",3116,9,130,407,296,2035,164,35,23,17
2021,"Merton 018","E02000706",3535,16,728,956,885,842,75,18,4,11
2021,"Merton 019","E02000707",2780,97,285,308,398,1516,135,22,9,10
2021,"Merton 020","E02000708",3255,66,206,396,224,2008,275,55,10,15
2021,"Merton 021","E02000709",2867,4,183,133,199,1991,252,61,28,16
2021,"Merton 022","E02000710",3438,76,578,1010,431,1094,170,35,19,25
2021,"Merton 023","E02000711",3453,14,423,939,1034,931,77,22,8,5
2021,"Merton 024","E02000712",3404,18,296,856,967,1090,128,28,10,11
2021,"Merton 025","E02000713",2831,3,49,429,422,1741,131,31,18,7
2021,"Newham 001","E02000714",2646,30,448,674,677,465,266,62,15,9
2021,"Newham 002","E02000715",2089,31,385,439,623,473,107,23,4,4
2021,"Newham 003","E02000716",2302,27,466,553,525,398,216,82,22,13
2021,"Newham 004","E02000717",2396,45,501,560,542,531,162,40,12,3
2021,"Newham 005","E02000718",2248,4,432,709,707,295,85,12,3,1
2021,"Newham 006","E02000719",2875,83,682,818,561,410,232,49,24,16
2021,"Newham 007","E02000720",2123,16,330,327,467,573,249,77,42,42
2021,"Newham 008","E02000721",2764,70,544,584,463,689,288,78,23,25
2021,"Newham 009","E02000722",2936,34,686,983,601,472,108,32,15,5
2021,"Newham 010","E02000723",2861,34,379,313,591,960,496,57,24,7
2021,"Newham 011","E02000724",2536,5,356,300,816,843,169,25,16,6
2021,"Newham 012","E02000725",3999,253,1010,1474,897,239,64,27,9,26
2021,"Newham 014","E02000727",2289,35,392,473,659,517,153,48,12,0
2021,"Newham 015","E02000728",2344,18,326,300,743,787,111,32,19,8
2021,"Newham 016","E02000729",2203,56,429,409,541,466,203,59,23,17
2021,"Newham 017","E02000730",2566,32,453,456,435,660,381,86,48,15
2021,"Newham 018","E02000731",2768,38,476,499,899,613,187,45,6,5
2021,"Newham 019","E02000732",2750,18,651,676,854,440,91,13,4,3
2021,"Newham 020","E02000733",3464,23,764,1069,1048,407,114,30,4,5
2021,"Newham 021","E02000734",2496,25,617,715,564,410,132,21,8,4
2021,"Newham 022","E02000735",2658,49,557,623,777,462,140,39,6,5
2021,"Newham 023","E02000736",2653,25,288,595,944,716,69,10,3,3
