"date","geography","geography code","Accommodation type: Total: All households","Accommodation type: Detached","Accommodation type: Semi-detached","Accommodation type: Terraced","Accommodation type: In a purpose-built block of flats or tenement","Accommodation type: Part of a converted or shared house, including bedsits","Accommodation type: Part of another converted building, for example, former school, church or warehouse","Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop","Accommodation type: A caravan or other mobile or temporary structure"
2021,"Hammersmith and Fulham 014","E02000385",2850,11,41,305,1464,989,15,25,0
2021,"Hammersmith and Fulham 015","E02000386",3366,35,87,300,2042,831,32,39,0
2021,"Hammersmith and Fulham 016","E02000387",2586,17,79,603,1463,379,26,18,1
2021,"Hammersmith and Fulham 017","E02000388",4133,28,120,668,2077,1102,46,91,1
2021,"Hammersmith and Fulham 018","E02000389",3676,30,216,1037,1369,918,47,55,4
2021,"Hammersmith and Fulham 019","E02000390",2720,29,99,966,898,615,52,60,1
2021,"Hammersmith and Fulham 020","E02000391",3281,47,167,1146,1110,721,31,58,1
2021,"Hammersmith and Fulham 021","E02000392",4039,28,109,946,1654,1168,27,105,2
2021,"Hammersmith and Fulham 022","E02000393",2587,26,76,799,650,976,30,29,1
2021,"Hammersmith and Fulham 023","E02000394",4346,20,62,388,2804,1024,30,16,2
2021,"Hammersmith and Fulham 024","E02000395",2641,39,316,482,1360,359,30,53,2
2021,"Hammersmith and Fulham 025","E02000396",2768,42,119,829,1142,529,63,44,0
2021,"Haringey 001","E02000397",3474,109,237,565,1453,1003,35,70,2
2021,"Haringey 002","E02000398",2880,144,293,612,1455,338,18,17,3
2021,"Haringey 004","E02000400",3120,80,615,656,1409,331,10,18,1
2021,"Haringey 005","E02000401",2476,163,546,1132,511,101,1,20,2
2021,"Haringey 006","E02000402",2426,164,501,921,733,97,3,5,2
2021,"Haringey 007","E02000403",2990,114,280,635,872,1044,15,27,3
2021,"Haringey 008","E02000404",2665,151,342,842,1020,251,21,34,4
2021,"Haringey 009","E02000405",2462,111,404,854,410,634,20,29,0
2021,"Haringey 010","E02000406",2596,166,274,1216,447,441,16,36,0
2021,"Haringey 011","E02000407",3005,126,184,690,1008,857,73,59,8
2021,"Haringey 012","E02000408",3001,153,230,807,1493,239,28,45,6
2021,"Haringey 013","E02000409",2370,84,179,644,1156,285,6,13,3
2021,"Haringey 014","E02000410",2612,54,342,580,712,846,21,56,1
2021,"Haringey 015","E02000411",3952,175,293,970,2197,288,13,3,13
2021,"Haringey 016","E02000412",2872,77,199,573,1352,544,19,105,3
2021,"Haringey 017","E02000413",2963,142,589,951,760,472,24,24,1
2021,"Haringey 018","E02000414",2718,175,211,1124,382,780,22,20,4
2021,"Haringey 019","E02000415",2835,103,230,893,664,848,11,35,51
2021,"Haringey 020","E02000416",3918,57,141,730,2167,713,58,48,4
2021,"Haringey 021","E02000417",2868,83,417,546,813,885,36,87,1
2021,"Haringey 022","E02000418",2208,31,237,1004,432,478,10,16,0
2021,"Haringey 023","E02000419",3645,77,259,836,1079,1212,39,142,1
2021,"Haringey 024","E02000420",3436,144,279,1006,1367,467,79,90,4
2021,"Haringey 025","E02000421",3140,109,192,563,1565,517,158,34,2
2021,"Haringey 026","E02000422",2887,119,202,868,1165,491,19,21,2
2021,"Haringey 027","E02000423",2675,89,141,930,739,662,25,86,3
2021,"Haringey 028","E02000424",2985,25,129,673,635,1412,59,52,0
2021,"Haringey 029","E02000425",2163,152,241,933,436,355,18,24,4
2021,"Haringey 030","E02000426",2744,356,403,443,1060,417,29,35,1
2021,"Haringey 031","E02000427",2869,78,135,774,568,1253,15,45,1
2021,"Haringey 032","E02000428",2922,89,144,570,1467,478,138,30,6
2021,"Haringey 033","E02000429",3200,87,301,494,1444,830,28,13,3
2021,"Haringey 034","E02000430",3248,51,207,490,850,1432,64,154,0
2021,"Haringey 035","E02000431",2845,74,233,426,854,1129,54,70,5
2021,"Haringey 036","E02000432",2797,23,83,439,650,1549,17,32,4
2021,"Harrow 001","E02000433",3543,1047,309,235,1745,85,48,73,1
2021,"Harrow 002","E02000434",3639,584,1240,187,1434,133,17,41,3
2021,"Harrow 003","E02000435",2812,523,1072,409,739,47,6,14,2
2021,"Harrow 004","E02000436",2045,999,734,87,192,30,0,3,0
2021,"Harrow 005","E02000437",3091,467,1521,332,594,133,14,29,1
2021,"Harrow 006","E02000438",3046,507,1036,532,813,89,10,57,2
2021,"Harrow 007","E02000439",2945,110,1686,151,746,176,19,54,3
2021,"Harrow 008","E02000440",3055,400,2209,128,246,43,9,20,0
2021,"Harrow 009","E02000441",2793,753,610,326,1044,43,6,11,0
2021,"Harrow 010","E02000442",2669,168,1145,928,210,128,50,39,1
2021,"Harrow 011","E02000443",3546,166,1007,1048,853,414,17,40,1
2021,"Harrow 012","E02000444",2671,134,1854,59,418,158,4,42,2
2021,"Harrow 013","E02000445",3820,174,985,1008,1225,373,13,40,2
2021,"Harrow 015","E02000447",2748,215,1533,418,394,167,4,17,0
2021,"Harrow 016","E02000448",2759,927,566,250,815,122,13,65,1
2021,"Harrow 017","E02000449",2527,125,783,1083,357,160,8,10,1
2021,"Harrow 019","E02000451",2330,352,1407,165,262,87,0,57,0
2021,"Harrow 020","E02000452",3454,109,776,305,1239,905,34,85,1
2021,"Harrow 021","E02000453",3048,148,820,596,832,596,17,39,0
2021,"Harrow 022","E02000454",2524,556,1508,166,230,46,8,10,0
2021,"Harrow 023","E02000455",4758,205,650,347,3119,294,55,86,2
2021,"Harrow 024","E02000456",2722,107,995,742,493,362,7,14,2
2021,"Harrow 025","E02000457",2562,291,1462,40,613,70,28,57,1
2021,"Harrow 027","E02000459",3420,173,664,690,1583,249,28,30,3
2021,"Harrow 028","E02000460",2415,98,554,878,802,60,5,17,1
2021,"Harrow 029","E02000461",2561,290,453,372,1123,193,86,44,0
2021,"Harrow 030","E02000462",2285,126,979,480,417,198,4,80,1
2021,"Harrow 031","E02000463",2834,103,1196,988,412,105,5,23,2
2021,"Havering 001","E02000464",2872,246,930,1087,406,21,5,6,171
2021,"Havering 002","E02000465",3496,106,1337,1270,728,34,4,15,2
2021,"Havering 003","E02000466",3294,360,1486,627,749,44,5,15,8
2021,"Havering 004","E02000467",4290,127,1137,1566,1370,46,0,39,5
2021,"Havering 005","E02000468",3166,203,1473,1119,266,40,0,59,6
2021,"Havering 006","E02000469",2698,188,903,929,636,24,6,9,3
2021,"Havering 007","E02000470",4131,472,1810,779,912,96,29,27,6
2021,"Havering 008","E02000471",2942,439,2042,351,88,6,1,13,2
2021,"Havering 009","E02000472",3527,245,1591,1204,381,75,8,22,1
2021,"Havering 010","E02000473",4021,434,1812,992,716,33,1,33,0
2021,"Havering 011","E02000474",3530,293,1263,1082,772,93,7,19,1
2021,"Havering 012","E02000475",3958,1065,1123,291,1278,77,70,54,0
2021,"Havering 013","E02000476",4198,243,798,326,2318,261,85,165,2
2021,"Havering 014","E02000477",3715,567,1595,1166,283,53,21,26,4
2021,"Havering 015","E02000478",2150,1452,415,51,221,5,0,4,2
2021,"Havering 016","E02000479",3789,216,1407,780,1099,214,21,50,2
2021,"Havering 017","E02000480",5012,188,1361,1320,1987,99,5,48,4
2021,"Havering 018","E02000481",3247,412,1527,811,434,18,3,22,20
2021,"Havering 019","E02000482",2579,501,1717,148,171,12,8,22,0
2021,"Havering 020","E02000483",3473,215,1406,430,1172,94,13,143,0
2021,"Havering 021","E02000484",3253,423,1160,1322,265,34,12,35,2
2021,"Havering 022","E02000485",3455,233,1948,421,652,81,17,102,1
2021,"Havering 023","E02000486",2990,144,1714,654,360,43,7,67,1
2021,"Havering 024","E02000487",2944,552,2152,170,46,9,0,7,8
2021,"Havering 025","E02000488",3012,173,2004,652,146,20,0,16,1
2021,"Havering 026","E02000489",3261,122,1227,1305,524,30,20,32,1
2021,"Havering 027","E02000490",3225,185,1313,1296,347,40,4,27,13
2021,"Havering 028","E02000491",3935,564,1075,1068,1121,79,2,25,1
2021,"Havering 029","E02000492",2619,747,1179,509,154,16,6,3,5
2021,"Havering 030","E02000493",2497,165,825,917,498,32,9,48,3
2021,"Hillingdon 001","E02000494",3216,1558,259,366,872,141,6,12,2
2021,"Hillingdon 002","E02000495",4309,646,1129,543,1549,292,15,127,8
2021,"Hillingdon 003","E02000496",3177,494,1202,690,602,80,44,39,26
2021,"Hillingdon 004","E02000497",3694,734,1223,692,913,106,6,18,2
2021,"Hillingdon 005","E02000498",2638,690,827,472,602,36,1,9,1
2021,"Hillingdon 006","E02000499",3016,469,1850,91,496,51,4,53,2
2021,"Hillingdon 007","E02000500",3306,1481,756,87,720,84,24,153,1
2021,"Hillingdon 008","E02000501",3274,477,1534,721,421,68,13,37,3
2021,"Hillingdon 009","E02000502",3530,388,1062,844,1125,80,5,26,0
2021,"Hillingdon 010","E02000503",3257,89,551,2337,191,70,6,9,4
2021,"Hillingdon 011","E02000504",2920,1047,1337,170,267,47,13,34,5
2021,"Hillingdon 013","E02000506",2898,1711,553,126,447,41,7,12,1
2021,"Hillingdon 014","E02000507",2781,88,926,1431,254,55,2,23,2
2021,"Hillingdon 015","E02000508",4338,479,925,742,1998,104,29,58,3
2021,"Hillingdon 016","E02000509",3402,199,975,632,1279,176,46,84,11
2021,"Hillingdon 017","E02000510",3262,707,1236,718,487,47,5,60,2
2021,"Hillingdon 018","E02000511",3263,131,2167,278,578,58,8,41,2
2021,"Hillingdon 019","E02000512",3106,335,1197,726,678,109,7,50,4
2021,"Hillingdon 020","E02000513",3325,138,949,700,1361,149,4,22,2
2021,"Hillingdon 021","E02000514",3180,181,1678,821,258,83,49,108,2
2021,"Hillingdon 022","E02000515",5345,332,1230,842,2630,178,26,63,44
2021,"Hillingdon 023","E02000516",2820,358,1040,877,455,60,8,12,10
2021,"Hillingdon 024","E02000517",3321,200,1499,649,812,138,10,13,0
2021,"Hillingdon 025","E02000518",3329,188,1641,748,617,98,12,17,8
2021,"Hillingdon 026","E02000519",3022,198,1219,729,796,60,4,14,2
2021,"Hillingdon 027","E02000520",4453,206,1646,779,1530,133,26,131,2
2021,"Hillingdon 028","E02000521",4350,186,1528,1147,1399,65,4,16,5
2021,"Hillingdon 029","E02000522",3491,376,1120,637,1167,122,17,50,2
2021,"Hillingdon 030","E02000523",3682,255,1641,466,1085,122,16,48,49
2021,"Hillingdon 031","E02000524",2633,332,1019,402,658,87,44,18,73
2021,"Hillingdon 032","E02000525",3317,199,954,772,1230,101,20,39,2
2021,"Hounslow 001","E02000526",3617,90,754,849,872,860,55,135,2
2021,"Hounslow 004","E02000529",3035,167,1126,517,1138,52,5,26,4
2021,"Hounslow 005","E02000530",2518,90,554,529,1251,43,0,13,38
2021,"Hounslow 006","E02000531",4937,137,684,1304,2258,422,71,44,17
2021,"Hounslow 007","E02000532",3818,187,833,969,1409,342,42,24,12
2021,"Hounslow 008","E02000533",3690,142,538,947,1500,505,29,25,4
2021,"Hounslow 009","E02000534",2999,290,1206,225,979,175,102,18,4
2021,"Hounslow 010","E02000535",3005,185,1706,471,551,66,4,18,4
2021,"Hounslow 011","E02000536",3244,221,1649,397,781,147,10,39,0
2021,"Hounslow 012","E02000537",3159,268,1471,486,707,187,15,24,1
2021,"Hounslow 013","E02000538",3005,282,1074,777,691,153,5,22,1
2021,"Hounslow 014","E02000539",4735,117,755,1607,1953,205,59,38,1
2021,"Hounslow 015","E02000540",4486,173,1049,620,2200,314,34,89,7
2021,"Hounslow 016","E02000541",3282,208,1105,672,1032,198,7,46,14
2021,"Hounslow 017","E02000542",3953,192,986,520,1853,267,77,54,4
2021,"Hounslow 018","E02000543",4892,319,953,626,2214,593,43,138,6
2021,"Hounslow 019","E02000544",2922,183,1625,717,262,111,4,18,2
2021,"Hounslow 020","E02000545",3550,81,671,833,1818,70,41,31,5
2021,"Hounslow 021","E02000546",3158,198,1355,687,671,208,8,27,4
2021,"Hounslow 022","E02000547",3852,237,1527,613,1224,217,9,25,0
2021,"Hounslow 023","E02000548",3726,180,1379,740,1318,58,12,36,3
2021,"Hounslow 024","E02000549",4084,293,1743,1040,784,138,29,33,24
2021,"Hounslow 025","E02000550",3720,122,1132,968,1403,36,5,54,0
2021,"Hounslow 026","E02000551",3414,85,825,889,1485,85,10,30,5
2021,"Hounslow 027","E02000552",3359,154,945,1028,1140,52,6,31,3
2021,"Hounslow 028","E02000553",2600,213,931,725,636,67,12,13,3
2021,"Islington 001","E02000554",4198,42,123,340,2679,897,49,64,4
2021,"Islington 002","E02000555",4032,42,136,902,1931,930,40,48,3
2021,"Islington 003","E02000556",4949,50,107,890,1768,1898,79,155,2
2021,"Islington 004","E02000557",4141,19,99,418,2410,989,117,87,2
2021,"Islington 005","E02000558",3957,30,78,314,2742,619,67,102,5
2021,"Islington 006","E02000559",3999,46,102,1153,1550,818,249,75,6
2021,"Islington 007","E02000560",3275,28,77,485,1544,760,256,123,2
2021,"Islington 008","E02000561",3158,33,186,699,518,1670,35,13,4
2021,"Islington 009","E02000562",3487,28,127,416,1888,939,58,26,5
2021,"Islington 010","E02000563",3858,39,77,234,2765,650,57,33,3
2021,"Islington 011","E02000564",5662,18,96,279,3906,1153,142,63,5
2021,"Islington 012","E02000565",3497,32,76,280,1907,1054,72,73,3
2021,"Islington 013","E02000566",3837,62,217,829,1432,1109,94,93,1
2021,"Islington 014","E02000567",4895,37,148,592,1922,2013,138,43,2
2021,"Islington 015","E02000568",4670,47,171,559,3404,354,77,57,1
2021,"Islington 016","E02000569",4602,37,202,496,3246,494,42,84,1
2021,"Islington 017","E02000570",3990,42,154,856,1362,1360,132,82,2
2021,"Islington 018","E02000571",4121,40,189,677,2588,450,114,57,6
2021,"Islington 019","E02000572",3526,35,65,255,2887,204,39,38,3
2021,"Islington 020","E02000573",4919,51,112,1065,2342,972,200,174,3
2021,"Islington 021","E02000574",3605,24,36,247,2122,829,218,106,23
2021,"Islington 022","E02000575",5173,27,44,229,3983,309,428,151,2
2021,"Islington 023","E02000576",4951,15,17,49,4455,52,285,76,2
2021,"Kensington and Chelsea 001","E02000577",3172,44,40,107,2705,196,25,51,4
2021,"Kensington and Chelsea 002","E02000578",2309,20,73,229,1695,244,33,13,2
2021,"Kensington and Chelsea 003","E02000579",3820,45,138,540,1588,1439,23,33,14
2021,"Kensington and Chelsea 004","E02000580",3989,8,44,256,1945,1571,34,129,2
2021,"Kensington and Chelsea 005","E02000581",3008,22,64,286,2318,264,31,21,2
2021,"Kensington and Chelsea 006","E02000582",3267,46,119,385,1474,1111,73,56,3
2021,"Kensington and Chelsea 007","E02000583",3120,32,194,772,1007,1039,28,46,2
2021,"Kensington and Chelsea 008","E02000584",3331,50,100,701,1694,655,62,67,2
2021,"Kensington and Chelsea 009","E02000585",3386,92,96,475,1602,1074,28,17,2
2021,"Kensington and Chelsea 010","E02000586",2880,43,150,422,1544,630,57,30,4
2021,"Kensington and Chelsea 011","E02000587",3029,62,156,639,1608,496,28,38,2
2021,"Kensington and Chelsea 012","E02000588",3076,30,108,574,1745,543,32,43,1
2021,"Kensington and Chelsea 013","E02000589",3657,24,45,233,2264,987,52,52,0
2021,"Kensington and Chelsea 014","E02000590",3049,43,56,381,2249,157,25,137,1
2021,"Kensington and Chelsea 015","E02000591",3239,9,32,48,2239,836,37,36,2
2021,"Kensington and Chelsea 016","E02000592",2839,17,79,310,1425,911,48,47,2
2021,"Kensington and Chelsea 017","E02000593",3686,20,33,176,2050,1336,35,36,0
2021,"Kensington and Chelsea 018","E02000594",2919,33,66,643,1608,510,26,32,1
2021,"Kensington and Chelsea 019","E02000595",3032,52,204,664,1625,418,25,40,4
2021,"Kensington and Chelsea 020","E02000596",3071,27,222,494,1469,763,32,62,2
2021,"Kensington and Chelsea 021","E02000597",2997,44,47,226,2052,543,35,30,20
2021,"Kingston upon Thames 001","E02000598",2972,528,1077,835,447,78,0,7,0
2021,"Kingston upon Thames 002","E02000599",2352,1236,664,159,171,95,12,13,2
2021,"Kingston upon Thames 003","E02000600",3377,337,607,495,1628,221,42,41,6
2021,"Kingston upon Thames 004","E02000601",4858,684,1048,512,2337,202,30,44,1
2021,"Kingston upon Thames 005","E02000602",4046,315,852,434,2038,306,37,63,1
2021,"Kingston upon Thames 006","E02000603",2953,178,1327,859,483,60,10,35,1
2021,"Kingston upon Thames 007","E02000604",3559,302,1145,803,985,210,29,83,2
2021,"Kingston upon Thames 008","E02000605",3117,403,1293,750,529,111,4,26,1
2021,"Kingston upon Thames 009","E02000606",4810,297,751,262,2555,750,58,129,8
2021,"Kingston upon Thames 010","E02000607",2583,363,1130,253,535,261,11,29,1
2021,"Kingston upon Thames 011","E02000608",3406,74,348,260,1809,742,40,119,14
2021,"Kingston upon Thames 012","E02000609",2737,766,1099,237,548,62,3,20,2
2021,"Kingston upon Thames 013","E02000610",3870,320,312,422,2164,529,65,58,0
2021,"Kingston upon Thames 014","E02000611",2652,421,1993,47,104,67,2,18,0
2021,"Kingston upon Thames 015","E02000612",3076,548,1506,621,355,28,1,17,0
2021,"Kingston upon Thames 016","E02000613",3197,542,955,465,832,341,20,41,1
2021,"Kingston upon Thames 017","E02000614",3373,135,1266,1099,614,88,23,113,35
2021,"Kingston upon Thames 018","E02000615",2956,301,1643,524,377,29,9,58,15
2021,"Kingston upon Thames 019","E02000616",2393,150,510,1425,260,37,4,4,3
2021,"Kingston upon Thames 020","E02000617",3343,385,1268,840,763,59,9,17,2
2021,"Lambeth 002","E02000619",4053,26,72,467,3165,183,111,22,7
2021,"Lambeth 003","E02000620",4589,25,55,390,3586,304,176,51,2
2021,"Lambeth 004","E02000621",6009,45,133,463,4152,996,147,70,3
2021,"Lambeth 005","E02000622",3634,42,150,648,1786,871,75,61,1
2021,"Lambeth 006","E02000623",3330,52,107,286,2523,256,97,8,1
2021,"Lambeth 007","E02000624",4273,80,171,282,3030,538,138,30,4
2021,"Lambeth 008","E02000625",3797,27,67,154,3151,280,81,36,1
2021,"Lambeth 009","E02000626",3449,46,130,318,2413,478,46,16,2
2021,"Lambeth 010","E02000627",3916,43,132,526,2259,883,42,30,1
2021,"Lambeth 011","E02000628",4483,53,143,286,3405,457,72,66,1
2021,"Lambeth 012","E02000629",4016,59,234,556,1807,1217,95,46,2
2021,"Lambeth 013","E02000630",3430,52,187,642,1639,771,95,44,0
2021,"Lambeth 014","E02000631",3741,165,410,816,1207,1070,46,26,1
2021,"Lambeth 015","E02000632",4260,51,145,892,1102,1906,109,52,3
2021,"Lambeth 016","E02000633",3962,48,224,520,2275,736,85,73,1
2021,"Lambeth 017","E02000634",3106,44,155,338,1996,421,97,54,1
2021,"Lambeth 018","E02000635",4340,65,297,899,1926,1024,70,59,0
2021,"Lambeth 019","E02000636",3079,55,349,879,766,910,74,46,0
2021,"Lambeth 020","E02000637",3705,29,295,768,847,1651,64,50,1
2021,"Lambeth 021","E02000638",4107,66,174,691,2326,719,97,33,1
2021,"Lambeth 022","E02000639",3726,38,166,110,2955,429,19,6,3
2021,"Lambeth 023","E02000640",3804,98,275,825,1704,856,34,12,0
2021,"Lambeth 024","E02000641",3393,58,190,430,2523,164,15,10,3
2021,"Lambeth 025","E02000642",4170,111,500,919,1410,1144,41,43,2
2021,"Lambeth 026","E02000643",3947,46,484,386,1898,1068,32,28,5
2021,"Lambeth 027","E02000644",3497,107,697,494,1065,1072,32,29,1
2021,"Lambeth 028","E02000645",4047,105,651,647,1301,1160,83,91,9
2021,"Lambeth 029","E02000646",3909,279,546,538,1384,961,120,78,3
2021,"Lambeth 030","E02000647",3422,215,832,594,1071,689,17,4,0
2021,"Lambeth 031","E02000648",3185,59,409,786,1647,247,27,9,1
2021,"Lambeth 032","E02000649",5304,159,385,507,2007,2079,75,86,6
2021,"Lambeth 033","E02000650",3277,95,472,634,1091,862,60,62,1
2021,"Lambeth 034","E02000651",3479,126,750,575,901,1049,30,46,2
2021,"Lambeth 035","E02000652",2543,138,434,1599,239,103,4,18,8
2021,"Lewisham 001","E02000653",5294,83,235,622,4127,136,65,21,5
2021,"Lewisham 002","E02000654",3597,53,110,353,2714,195,90,78,4
2021,"Lewisham 003","E02000655",4005,85,250,947,2273,355,64,28,3
2021,"Lewisham 005","E02000657",3988,67,249,798,1698,1028,77,66,5
2021,"Lewisham 006","E02000658",3455,36,291,673,1286,1123,20,24,2
2021,"Lewisham 007","E02000659",3541,159,372,407,1853,688,52,9,1
2021,"Lewisham 008","E02000660",3603,72,250,570,1552,1107,28,23,1
2021,"Lewisham 009","E02000661",3045,111,206,656,1439,536,30,64,3
2021,"Lewisham 010","E02000662",3304,53,305,800,1322,792,15,14,3
2021,"Lewisham 011","E02000663",2820,66,386,866,542,902,23,33,2
2021,"Lewisham 013","E02000665",3413,93,311,1264,906,723,51,64,1
2021,"Lewisham 014","E02000666",2733,88,420,1037,569,553,25,40,1
2021,"Lewisham 015","E02000667",2522,54,382,1390,233,394,13,55,1
2021,"Lewisham 016","E02000668",2727,143,562,887,743,329,33,27,3
2021,"Lewisham 017","E02000669",3309,44,249,882,1107,911,41,70,5
2021,"Lewisham 018","E02000670",2782,96,297,733,634,957,34,30,1
2021,"Lewisham 019","E02000671",3684,116,420,1139,958,919,41,80,11
2021,"Lewisham 020","E02000672",4199,114,481,935,1543,972,37,111,6
2021,"Lewisham 021","E02000673",3497,261,621,420,1278,793,80,42,2
2021,"Lewisham 022","E02000674",3057,135,379,1799,143,567,14,19,1
2021,"Lewisham 023","E02000675",3420,184,1027,912,1046,213,12,20,6
2021,"Lewisham 024","E02000676",3193,87,361,1042,585,1049,42,22,5
2021,"Lewisham 025","E02000677",2642,82,1045,542,319,613,23,16,2
2021,"Lewisham 026","E02000678",2614,100,434,1367,597,99,4,12,1
2021,"Lewisham 027","E02000679",3376,134,424,840,1451,492,18,17,0
2021,"Lewisham 028","E02000680",2911,102,298,559,1566,294,31,50,11
2021,"Lewisham 029","E02000681",3351,118,931,1227,651,368,15,32,9
2021,"Lewisham 030","E02000682",3217,170,981,769,1177,91,3,17,9
2021,"Lewisham 031","E02000683",2724,108,636,980,844,125,15,16,0
2021,"Lewisham 033","E02000685",3420,86,342,674,1639,583,55,34,7
2021,"Lewisham 034","E02000686",3044,58,437,619,1729,168,17,16,0
2021,"Lewisham 035","E02000687",3453,123,353,966,1081,816,25,84,5
2021,"Merton 001","E02000689",3511,202,406,1437,1072,300,31,53,10
2021,"Merton 002","E02000690",2225,868,309,392,426,186,16,25,3
2021,"Merton 003","E02000691",2957,70,719,511,864,693,31,67,2
2021,"Merton 004","E02000692",3565,374,427,415,1799,438,36,75,1
2021,"Merton 005","E02000693",4282,104,479,846,1830,953,33,34,3
2021,"Merton 006","E02000694",3832,88,448,1728,840,603,41,83,1
2021,"Merton 007","E02000695",2937,194,408,1725,271,305,14,19,1
2021,"Merton 008","E02000696",3269,117,457,1067,1116,449,17,40,6
2021,"Merton 009","E02000697",3666,98,441,1214,1135,607,84,87,0
2021,"Merton 010","E02000698",3181,641,995,449,779,275,28,12,2
2021,"Merton 011","E02000699",3262,98,591,1262,670,585,26,29,1
2021,"Merton 012","E02000700",3357,93,430,962,1707,147,4,12,2
2021,"Merton 013","E02000701",3115,172,615,1262,775,233,12,40,6
2021,"Merton 014","E02000702",3366,134,553,1162,1345,157,4,10,1
2021,"Merton 015","E02000703",2937,202,1153,897,469,161,30,25,0
2021,"Merton 016","E02000704",3573,119,621,1017,1375,313,24,103,1
2021,"Merton 017","E02000705",3114,155,766,1689,342,116,18,25,3
2021,"Merton 018","E02000706",3535,150,434,1069,1646,159,17,59,1
2021,"Merton 019","E02000707",2780,128,639,1300,620,76,4,12,1
2021,"Merton 020","E02000708",3256,90,777,1651,470,188,35,43,2
2021,"Merton 021","E02000709",2869,62,912,1505,334,40,3,12,1
2021,"Merton 022","E02000710",3441,232,803,755,1325,229,53,42,2
2021,"Merton 023","E02000711",3461,131,651,1552,897,128,12,90,0
2021,"Merton 024","E02000712",3407,80,782,1662,753,96,8,25,1
2021,"Merton 025","E02000713",2831,59,697,1646,329,76,4,19,1
2021,"Newham 001","E02000714",2645,127,291,1023,794,343,28,37,2
2021,"Newham 002","E02000715",2090,124,235,780,657,246,9,34,5
2021,"Newham 003","E02000716",2302,141,282,894,637,286,20,39,3
2021,"Newham 004","E02000717",2391,120,194,869,880,210,18,97,3
2021,"Newham 005","E02000718",2248,109,203,631,1142,148,1,12,2
2021,"Newham 006","E02000719",2875,141,337,731,1228,378,34,22,4
2021,"Newham 007","E02000720",2123,168,304,918,270,409,6,46,2
2021,"Newham 008","E02000721",2765,172,280,890,799,434,21,162,7
2021,"Newham 009","E02000722",2935,120,213,900,1292,328,56,22,4
2021,"Newham 010","E02000723",2862,247,325,1536,350,308,9,83,4
2021,"Newham 011","E02000724",2536,225,330,1354,309,282,5,28,3
2021,"Newham 012","E02000725",4003,127,223,891,2488,125,25,109,15
2021,"Newham 014","E02000727",2290,192,245,928,512,258,50,100,5
2021,"Newham 015","E02000728",2342,208,353,1207,282,270,11,10,1
2021,"Newham 016","E02000729",2202,160,315,774,451,468,19,13,2
2021,"Newham 017","E02000730",2566,205,308,1133,417,413,25,60,5
2021,"Newham 018","E02000731",2770,220,292,1294,505,314,20,124,1
2021,"Newham 019","E02000732",2752,194,251,743,1321,188,13,37,5
2021,"Newham 020","E02000733",3461,154,340,1074,1684,131,56,18,4
2021,"Newham 021","E02000734",2495,99,188,722,1277,180,5,24,0
2021,"Newham 022","E02000735",2660,188,243,1055,826,278,30,39,1
2021,"Newham 023","E02000736",2650,227,417,1153,707,107,11,26,2
2021,"Newham 024","E02000737",3064,178,405,1534,798,106,11,31,1
2021,"Newham 025","E02000738",2785,220,325,1477,533,191,3,32,4
2021,"Newham 026","E02000739",2479,218,313,882,808,180,43,33,2
2021,"Newham 027","E02000740",2495,127,337,693,1218,83,19,17,1
2021,"Newham 028","E02000741",2685,200,323,1432,508,136,58,26,2
2021,"Newham 029","E02000742",2529,159,386,1087,723,152,8,12,2
2021,"Newham 030","E02000743",3578,135,237,688,2273,130,18,95,2
2021,"Newham 031","E02000744",3326,193,402,1027,1232,384,41,45,2
2021,"Newham 032","E02000745",2877,236,709,919,818,180,5,9,1
2021,"Newham 033","E02000746",3393,140,399,714,2088,37,3,9,3
2021,"Newham 034","E02000747",5448,124,304,746,4115,53,79,20,7
2021,"Newham 035","E02000748",2210,301,616,744,494,45,0,6,4
2021,"Newham 036","E02000749",3329,196,433,1023,1598,57,8,12,2
2021,"Redbridge 001","E02000751",4435,1211,1229,508,1306,104,29,39,9
2021,"Redbridge 002","E02000752",3267,169,1173,956,895,34,6,24,10
2021,"Redbridge 003","E02000753",2472,129,871,1006,420,29,1,6,10
2021,"Redbridge 004","E02000754",2589,74,961,901,536,85,5,26,1
2021,"Redbridge 005","E02000755",2189,135,640,867,451,53,15,28,0
2021,"Redbridge 006","E02000756",5257,461,1563,1781,1143,157,86,63,3
2021,"Redbridge 007","E02000757",5181,254,1389,778,2181,444,27,106,2
2021,"Redbridge 008","E02000758",2316,257,1253,301,443,45,3,13,1
2021,"Redbridge 009","E02000759",4822,128,1468,1265,1557,342,10,45,7
2021,"Redbridge 010","E02000760",2627,152,860,772,704,88,4,45,2
2021,"Redbridge 012","E02000762",2106,93,922,644,355,44,5,41,2
2021,"Redbridge 013","E02000763",2576,135,795,903,677,46,0,17,3
2021,"Redbridge 014","E02000764",5367,417,1099,949,2244,489,102,65,2
2021,"Redbridge 015","E02000765",2425,130,508,987,598,99,5,47,51
2021,"Redbridge 017","E02000767",2768,135,568,1287,623,117,19,18,1
2021,"Redbridge 018","E02000768",2198,196,896,575,407,113,7,3,1
2021,"Redbridge 020","E02000770",2489,114,567,990,551,229,5,32,1
2021,"Redbridge 022","E02000772",2534,158,497,986,606,237,12,38,0
2021,"Redbridge 023","E02000773",3111,132,468,1527,773,146,10,49,6
2021,"Redbridge 024","E02000774",2459,147,552,1005,305,380,14,55,1
