"date","geography","geography code","Accommodation type: Total: All households","Accommodation type: Detached","Accommodation type: Semi-detached","Accommodation type: Terraced","Accommodation type: In a purpose-built block of flats or tenement","Accommodation type: Part of a converted or shared house, including bedsits","Accommodation type: Part of another converted building, for example, former school, church or warehouse","Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop","Accommodation type: A caravan or other mobile or temporary structure"
2021,"Bexley 020","E02000084",4200,741,2281,672,407,73,11,14,1
2021,"Bexley 021","E02000085",3072,83,1232,1378,258,42,4,74,1
2021,"Bexley 022","E02000086",2788,318,1291,911,185,13,33,36,1
2021,"Bexley 023","E02000087",3318,972,1248,402,532,80,35,49,0
2021,"Bexley 024","E02000088",2982,216,1509,1133,93,10,2,19,0
2021,"Bexley 025","E02000089",2906,193,1997,560,106,31,0,19,0
2021,"Bexley 026","E02000090",4194,397,974,808,1721,140,25,128,1
2021,"Bexley 027","E02000091",4448,510,1582,434,1729,130,15,46,2
2021,"Bexley 028","E02000092",2716,182,957,574,905,61,11,22,4
2021,"Brent 001","E02000093",3740,202,1645,770,928,139,13,42,1
2021,"Brent 002","E02000094",3465,146,1300,450,1325,196,9,36,3
2021,"Brent 003","E02000095",3182,182,1635,410,730,104,10,108,3
2021,"Brent 004","E02000096",2494,597,1300,46,421,74,4,51,1
2021,"Brent 005","E02000097",3040,207,1299,744,489,243,19,36,3
2021,"Brent 006","E02000098",2875,546,1130,224,834,122,2,16,1
2021,"Brent 007","E02000099",2918,151,1252,357,1002,113,0,41,2
2021,"Brent 008","E02000100",2565,548,1318,156,453,71,2,16,1
2021,"Brent 009","E02000101",3386,476,552,327,1778,199,8,44,2
2021,"Brent 010","E02000102",2684,203,504,905,672,376,7,12,5
2021,"Brent 011","E02000103",3462,203,1043,426,1480,257,39,10,4
2021,"Brent 012","E02000104",2413,217,1072,114,826,156,0,26,2
2021,"Brent 013","E02000105",3105,324,1003,317,1175,200,14,70,2
2021,"Brent 014","E02000106",3588,204,929,608,1125,617,24,77,4
2021,"Brent 015","E02000107",4363,250,512,371,1589,1466,90,84,1
2021,"Brent 016","E02000108",2271,169,539,618,732,200,4,8,1
2021,"Brent 018","E02000110",3094,114,851,547,741,809,15,15,2
2021,"Brent 019","E02000111",3193,231,1002,410,1217,259,12,62,0
2021,"Brent 020","E02000112",3496,198,810,797,1192,349,10,138,2
2021,"Brent 021","E02000113",3289,167,698,717,1503,177,9,13,5
2021,"Brent 022","E02000114",3709,195,242,447,1369,1323,40,92,1
2021,"Brent 023","E02000115",3877,168,174,51,2104,1332,26,19,3
2021,"Brent 024","E02000116",3237,86,197,463,1523,832,34,101,1
2021,"Brent 025","E02000117",4759,153,413,838,2215,1026,36,73,5
2021,"Brent 026","E02000118",3155,191,833,833,985,269,14,27,3
2021,"Brent 027","E02000119",3952,109,236,671,2610,278,13,27,8
2021,"Brent 028","E02000120",4240,38,88,579,1534,1814,71,109,7
2021,"Brent 029","E02000121",3627,223,723,657,1738,219,8,55,4
2021,"Brent 030","E02000122",3160,211,716,476,973,728,26,27,3
2021,"Brent 031","E02000123",5539,136,421,660,2048,2042,60,166,6
2021,"Brent 032","E02000124",4161,47,245,972,1312,1385,85,112,3
2021,"Brent 033","E02000125",3941,78,419,1286,554,1540,20,43,1
2021,"Brent 034","E02000126",3405,18,57,108,2727,450,25,16,4
2021,"Bromley 001","E02000127",3786,272,872,1687,825,74,15,41,0
2021,"Bromley 002","E02000128",3064,308,1091,1018,497,80,16,54,0
2021,"Bromley 004","E02000130",3664,141,791,1085,785,709,41,108,4
2021,"Bromley 005","E02000131",5069,121,235,344,2684,1520,84,75,6
2021,"Bromley 006","E02000132",4943,260,392,656,3225,248,59,100,3
2021,"Bromley 007","E02000133",4328,2204,596,574,668,241,31,13,1
2021,"Bromley 008","E02000134",5300,388,765,1024,2010,909,99,104,1
2021,"Bromley 009","E02000135",4444,113,378,714,2330,711,64,132,2
2021,"Bromley 010","E02000136",2294,783,664,443,348,45,1,8,2
2021,"Bromley 011","E02000137",3674,626,719,402,1581,325,19,0,2
2021,"Bromley 012","E02000138",4139,715,356,548,2203,257,29,31,0
2021,"Bromley 013","E02000139",3307,152,1082,802,717,477,40,37,0
2021,"Bromley 014","E02000140",3342,164,1357,1011,726,41,5,37,1
2021,"Bromley 015","E02000141",3092,94,459,981,898,619,10,29,2
2021,"Bromley 016","E02000142",3452,716,731,907,798,237,46,16,1
2021,"Bromley 018","E02000144",4311,619,855,834,1570,322,46,63,2
2021,"Bromley 019","E02000145",3514,207,1162,1094,932,60,15,16,28
2021,"Bromley 020","E02000146",4041,289,1129,1347,1030,163,30,53,0
2021,"Bromley 021","E02000147",3166,1487,763,87,759,55,6,9,0
2021,"Bromley 022","E02000148",2698,750,1422,112,251,45,10,105,3
2021,"Bromley 023","E02000149",3284,465,1523,803,417,40,10,26,0
2021,"Bromley 024","E02000150",3116,244,844,1609,349,22,8,38,2
2021,"Bromley 025","E02000151",2970,833,1753,139,197,38,4,4,2
2021,"Bromley 026","E02000152",3096,218,1053,903,859,54,0,9,0
2021,"Bromley 027","E02000153",2896,321,2071,447,39,10,2,6,0
2021,"Bromley 028","E02000154",3570,1113,931,484,794,89,29,129,1
2021,"Bromley 029","E02000155",3040,314,2006,444,237,16,3,17,3
2021,"Bromley 030","E02000156",4861,817,2288,789,716,83,17,122,29
2021,"Bromley 031","E02000157",3276,1256,1205,622,160,16,5,11,1
2021,"Bromley 032","E02000158",3032,746,1357,382,496,23,6,21,1
2021,"Bromley 033","E02000159",2822,1420,816,244,237,37,23,45,0
2021,"Bromley 034","E02000160",3042,638,1733,130,386,57,14,82,2
2021,"Bromley 035","E02000161",3345,829,1724,572,181,27,1,11,0
2021,"Bromley 036","E02000162",2965,858,885,653,474,32,42,21,0
2021,"Bromley 037","E02000163",3068,1265,1077,470,170,22,22,41,1
2021,"Bromley 039","E02000165",2742,892,714,836,266,9,1,22,2
2021,"Camden 001","E02000166",3398,303,298,336,1878,489,59,35,0
2021,"Camden 002","E02000167",3370,136,411,599,922,1075,88,134,5
2021,"Camden 003","E02000168",3494,67,178,645,1131,1272,82,118,1
2021,"Camden 004","E02000169",3026,251,307,123,1172,1106,56,11,0
2021,"Camden 005","E02000170",3462,103,286,420,1293,1237,46,77,0
2021,"Camden 006","E02000171",3333,31,190,523,1187,1347,27,27,1
2021,"Camden 007","E02000172",4035,32,85,509,2645,495,173,95,1
2021,"Camden 008","E02000173",3501,109,148,191,1635,1286,52,79,1
2021,"Camden 009","E02000174",3553,28,169,270,1438,1489,83,75,1
2021,"Camden 010","E02000175",4305,60,102,350,2163,1458,38,130,4
2021,"Camden 011","E02000176",3001,29,71,102,1138,1602,31,28,0
2021,"Camden 012","E02000177",3655,36,81,331,2511,620,32,43,1
2021,"Camden 013","E02000178",4166,31,75,267,1965,1693,56,75,4
2021,"Camden 014","E02000179",2547,21,107,307,1419,619,26,46,2
2021,"Camden 015","E02000180",3515,35,162,332,1779,1106,48,51,2
2021,"Camden 016","E02000181",3751,38,72,112,1411,2080,30,7,1
2021,"Camden 017","E02000182",3082,83,91,171,2119,544,22,46,6
2021,"Camden 018","E02000183",3617,37,143,553,1677,1041,110,56,0
2021,"Camden 019","E02000184",3634,30,71,335,2469,604,53,65,7
2021,"Camden 020","E02000185",4068,17,74,138,2998,712,20,99,10
2021,"Camden 021","E02000186",2941,24,57,325,1590,664,74,196,11
2021,"Camden 022","E02000187",3817,7,21,96,3422,166,42,58,5
2021,"Camden 023","E02000188",2719,12,21,63,2481,100,19,21,2
