"date","geography","geography code","Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census","Method of travel to workplace: Work mainly at or from home","Method of travel to workplace: Underground, metro, light rail, tram","Method of travel to workplace: Train","Method of travel to workplace: Bus, minibus or coach","Method of travel to workplace: Taxi","Method of travel to workplace: Motorcycle, scooter or moped","Method of travel to workplace: Driving a car or van","Method of travel to workplace: Passenger in a car or van","Method of travel to workplace: Bicycle","Method of travel to workplace: On foot","Method of travel to workplace: Other method of travel to work"
2021,"Bexley 005","E02000069",3463,1082,130,307,256,27,35,1276,120,35,157,38
2021,"Bexley 006","E02000070",3870,1247,113,329,254,29,29,1538,118,39,119,55
2021,"Bexley 007","E02000071",3607,1094,55,320,250,16,28,1455,111,38,202,38
2021,"Bexley 008","E02000072",5839,1526,194,761,608,33,27,2140,160,59,265,66
2021,"Bexley 009","E02000073",5344,2003,105,490,244,29,35,2028,142,50,155,63
2021,"Bexley 010","E02000074",4059,1051,88,386,326,22,34,1751,116,35,202,48
2021,"Bexley 011","E02000075",3765,1437,48,402,137,19,30,1398,95,35,130,34
2021,"Bexley 013","E02000077",3931,1326,112,483,250,20,22,1387,95,26,171,39
2021,"Bexley 014","E02000078",3942,1451,50,375,178,27,26,1535,85,30,147,38
2021,"Bexley 015","E02000079",4298,1703,84,486,266,22,24,1290,81,33,263,46
2021,"Bexley 016","E02000080",4948,1746,119,550,312,23,37,1774,109,31,191,56
2021,"Bexley 017","E02000081",3844,1368,50,381,228,20,21,1381,108,24,214,49
2021,"Bexley 018","E02000082",4855,1663,99,506,232,37,39,1865,107,49,181,77
2021,"Bexley 019","E02000083",5630,1867,73,593,287,20,32,2183,174,33,297,71
2021,"Bexley 020","E02000084",5501,2280,67,470,196,49,40,1964,113,30,237,55
2021,"Bexley 021","E02000085",4027,1342,71,323,218,27,29,1646,115,39,164,53
2021,"Bexley 022","E02000086",3619,1365,57,284,140,38,22,1396,82,26,171,38
2021,"Bexley 023","E02000087",3986,1832,49,349,134,11,19,1311,86,19,141,35
2021,"Bexley 024","E02000088",3886,1668,43,375,136,23,27,1336,65,29,144,40
2021,"Bexley 025","E02000089",3747,1591,43,374,114,18,28,1260,93,33,152,41
2021,"Bexley 026","E02000090",4722,2009,72,569,264,21,28,1332,67,56,251,53
2021,"Bexley 027","E02000091",4755,2017,47,474,273,29,16,1490,80,28,241,60
2021,"Bexley 028","E02000092",2917,861,44,244,211,13,20,1239,80,26,140,39
2021,"Brent 001","E02000093",5985,1581,999,296,528,28,35,1792,246,49,344,87
2021,"Brent 002","E02000094",5099,1511,746,148,589,21,35,1508,134,42,272,93
2021,"Brent 003","E02000095",5111,1390,921,257,499,19,18,1451,200,34,253,69
2021,"Brent 004","E02000096",3677,1454,470,133,190,18,19,1067,100,23,156,47
2021,"Brent 005","E02000097",4562,1080,622,155,583,25,44,1596,148,40,203,66
2021,"Brent 006","E02000098",3883,1204,659,204,271,19,27,1133,102,32,167,65
2021,"Brent 007","E02000099",4709,1207,948,365,380,20,29,1262,129,66,226,77
2021,"Brent 008","E02000100",4211,1406,566,172,246,27,18,1174,84,36,434,48
2021,"Brent 009","E02000101",4289,1159,677,257,541,30,48,1123,99,45,234,76
2021,"Brent 010","E02000102",3225,603,408,152,561,32,54,1046,78,50,176,65
2021,"Brent 011","E02000103",4256,1101,533,140,787,19,78,1113,99,119,202,65
2021,"Brent 012","E02000104",3587,1057,610,187,354,16,33,960,65,51,196,58
