"date","geography","geography code","Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census","Method of travel to workplace: Work mainly at or from home","Method of travel to workplace: Underground, metro, light rail, tram","Method of travel to workplace: Train","Method of travel to workplace: Bus, minibus or coach","Method of travel to workplace: Taxi","Method of travel to workplace: Motorcycle, scooter or moped","Method of travel to workplace: Driving a car or van","Method of travel to workplace: Passenger in a car or van","Method of travel to workplace: Bicycle","Method of travel to workplace: On foot","Method of travel to workplace: Other method of travel to work"
2021,"Enfield 025","E02000301",3972,703,398,222,781,34,23,1304,122,58,252,75
2021,"Enfield 026","E02000302",4025,1359,329,161,339,17,20,1404,77,63,208,48
2021,"Enfield 027","E02000303",3213,610,285,193,529,26,27,1105,88,65,231,54
2021,"Enfield 028","E02000304",3870,1909,388,97,154,12,13,1008,44,49,142,54
2021,"Enfield 029","E02000305",4682,2002,527,239,383,17,19,1061,73,88,212,61
2021,"Enfield 030","E02000306",3295,611,304,229,699,21,20,955,74,55,260,67
2021,"Enfield 031","E02000307",4464,1055,485,201,616,28,40,1575,112,36,244,72
2021,"Enfield 032","E02000308",4355,1572,824,142,339,14,35,993,72,74,237,53
2021,"Enfield 033","E02000309",4725,847,555,261,948,39,28,1344,126,82,399,96
2021,"Enfield 035","E02000311",4731,1250,621,140,712,20,44,1425,110,69,253,87
2021,"Enfield 036","E02000312",5902,2258,1031,239,579,22,27,1166,107,169,242,62
2021,"Greenwich 001","E02000313",2801,504,285,275,608,18,13,816,65,49,125,43
2021,"Greenwich 002","E02000314",6053,1646,783,492,833,41,52,1627,106,113,246,114
2021,"Greenwich 003","E02000315",4178,829,387,564,729,19,14,1233,98,54,193,58
2021,"Greenwich 005","E02000317",3274,879,392,315,567,15,26,699,54,54,222,51
2021,"Greenwich 006","E02000318",4969,997,618,581,1138,23,18,1070,86,49,323,66
2021,"Greenwich 007","E02000319",5120,1515,612,580,816,21,26,1023,100,82,294,51
2021,"Greenwich 008","E02000320",3284,940,267,391,455,12,19,923,81,35,114,47
2021,"Greenwich 009","E02000321",3460,829,469,336,624,19,18,757,57,41,261,49
2021,"Greenwich 011","E02000323",6131,1828,860,640,975,20,33,1152,85,85,371,82
2021,"Greenwich 012","E02000324",3500,1154,373,283,484,12,31,766,45,68,224,60
2021,"Greenwich 014","E02000326",4345,2065,481,321,345,17,17,643,49,135,239,33
2021,"Greenwich 015","E02000327",3042,944,306,239,454,10,13,642,43,80,280,31
2021,"Greenwich 016","E02000328",3485,2043,287,252,147,9,19,407,25,105,162,29
2021,"Greenwich 017","E02000329",2971,941,242,214,354,13,22,899,77,35,133,41
2021,"Greenwich 019","E02000331",3860,1349,354,252,463,21,27,959,75,72,236,52
2021,"Greenwich 020","E02000332",3695,1479,345,228,325,25,33,938,61,82,147,32
2021,"Greenwich 021","E02000333",3317,1951,195,275,172,13,19,407,18,107,131,29
2021,"Greenwich 022","E02000334",3183,1223,225,219,294,11,30,875,71,58,134,43
2021,"Greenwich 023","E02000335",3302,1465,129,322,191,23,36,850,51,52,140,43
2021,"Greenwich 025","E02000337",3851,1190,234,381,415,13,55,1141,105,57,204,56
2021,"Greenwich 027","E02000339",2975,1397,119,274,188,11,24,639,47,70,176,30
2021,"Greenwich 028","E02000340",3350,1435,143,392,215,18,33,813,53,55,146,47
2021,"Greenwich 029","E02000341",3430,939,148,350,421,20,44,1113,99,63,185,48
2021,"Greenwich 030","E02000342",2895,1051,104,335,277,28,29,798,82,28,132,31
2021,"Greenwich 031","E02000343",3210,1126,109,392,272,13,21,1016,72,42,105,42
2021,"Greenwich 032","E02000344",3101,1245,90,340,147,26,17,1002,57,34,102,41
2021,"Hackney 001","E02000345",3220,943,202,82,323,27,14,452,54,148,937,38
2021,"Hackney 002","E02000346",4542,2202,587,202,539,39,29,441,16,213,215,59
2021,"Hackney 003","E02000347",3223,1098,208,91,299,25,18,434,56,170,786,38
2021,"Hackney 004","E02000348",2978,814,192,75,429,25,14,406,47,130,800,46
2021,"Hackney 006","E02000350",5468,2761,374,170,505,48,34,440,42,408,639,47
2021,"Hackney 007","E02000351",5555,3291,615,136,416,31,20,369,15,375,248,39
2021,"Hackney 008","E02000352",3425,1789,245,77,328,34,18,281,28,282,302,41
2021,"Hackney 009","E02000353",4513,2760,230,129,327,28,23,323,13,358,278,44
2021,"Hackney 010","E02000354",4941,2296,344,249,569,28,33,530,39,430,365,58
2021,"Hackney 011","E02000355",4501,2286,285,155,413,36,24,392,39,506,304,61
2021,"Hackney 012","E02000356",4280,2721,212,73,323,19,29,244,24,380,235,20
2021,"Hackney 013","E02000357",2887,909,257,198,580,24,17,436,26,175,235,30
2021,"Hackney 014","E02000358",6329,3446,466,204,644,45,48,431,27,540,424,54
2021,"Hackney 015","E02000359",3381,1685,279,153,267,18,6,334,31,329,245,34
2021,"Hackney 016","E02000360",5488,2309,449,376,790,50,27,559,29,403,435,61
2021,"Hackney 017","E02000361",4822,2456,475,187,499,28,19,347,14,389,364,44
2021,"Hackney 018","E02000362",3540,1652,340,169,346,36,19,390,32,295,217,44
2021,"Hackney 019","E02000363",5105,1774,479,399,795,35,27,545,27,377,577,70
2021,"Hackney 020","E02000364",5163,2914,334,180,460,41,25,321,16,438,378,56
2021,"Hackney 022","E02000366",4063,1957,334,156,425,36,27,427,22,301,331,47
2021,"Hackney 023","E02000367",6386,3593,475,176,569,28,18,372,29,566,501,59
2021,"Hackney 024","E02000368",4815,2229,326,214,578,28,13,488,25,400,452,62
2021,"Hackney 025","E02000369",7583,4208,481,235,734,42,33,571,46,530,634,69
2021,"Hackney 026","E02000370",4810,2508,331,127,523,37,21,352,28,281,556,46
2021,"Hammersmith and Fulham 001","E02000372",4615,1470,715,202,637,37,61,576,35,241,575,66
2021,"Hammersmith and Fulham 002","E02000373",2941,809,420,155,470,16,32,414,25,123,438,39
2021,"Hammersmith and Fulham 003","E02000374",3339,1440,415,105,323,29,34,380,27,198,360,28
2021,"Hammersmith and Fulham 004","E02000375",3927,1849,539,136,334,21,37,321,24,188,401,77
2021,"Hammersmith and Fulham 005","E02000376",3900,1844,514,110,370,27,62,301,19,217,381,55
2021,"Hammersmith and Fulham 006","E02000377",4167,1986,458,105,448,23,55,390,23,239,395,45
2021,"Hammersmith and Fulham 007","E02000378",3732,1999,499,84,303,15,25,216,11,177,364,39
2021,"Hammersmith and Fulham 008","E02000379",3767,2017,422,67,232,19,35,355,32,254,279,55
2021,"Hammersmith and Fulham 009","E02000380",3029,1788,342,69,141,14,28,217,11,153,240,26
2021,"Hammersmith and Fulham 010","E02000381",4130,2502,415,87,228,19,28,229,19,192,380,31
2021,"Hammersmith and Fulham 011","E02000382",3322,1911,441,62,187,9,20,229,13,165,256,29
2021,"Hammersmith and Fulham 012","E02000383",4551,2429,548,106,382,25,38,274,23,220,453,53
2021,"Hammersmith and Fulham 013","E02000384",4328,2086,645,116,353,24,31,306,19,201,487,60
2021,"Hammersmith and Fulham 014","E02000385",3579,2110,540,64,146,14,22,172,14,179,286,32
2021,"Hammersmith and Fulham 015","E02000386",3830,1610,550,117,391,22,48,358,21,193,470,50
2021,"Hammersmith and Fulham 016","E02000387",3217,1355,357,59,381,13,28,279,19,197,482,47
2021,"Hammersmith and Fulham 017","E02000388",5026,2844,626,91,307,30,47,342,21,209,462,47
2021,"Hammersmith and Fulham 018","E02000389",4696,2821,415,62,258,33,51,331,24,271,388,42
2021,"Hammersmith and Fulham 019","E02000390",3528,1992,325,52,266,17,36,261,15,200,327,37
2021,"Hammersmith and Fulham 020","E02000391",4069,2485,419,79,183,36,50,246,22,165,342,42
2021,"Hammersmith and Fulham 021","E02000392",5156,3056,560,108,306,27,44,351,22,193,460,29
2021,"Hammersmith and Fulham 022","E02000393",3503,2245,314,37,160,16,41,245,16,183,226,20
2021,"Hammersmith and Fulham 023","E02000394",5065,2779,473,163,289,56,69,470,27,232,449,58
2021,"Hammersmith and Fulham 024","E02000395",3181,1960,342,48,163,20,33,207,9,155,213,31
2021,"Hammersmith and Fulham 025","E02000396",3499,1931,284,91,246,32,41,311,23,171,327,42
2021,"Haringey 001","E02000397",4185,1516,846,198,466,25,23,652,48,139,206,66
2021,"Haringey 002","E02000398",2986,529,610,212,591,27,21,606,55,104,174,57
2021,"Haringey 004","E02000400",3896,1656,645,127,334,21,22,705,60,101,178,47
2021,"Haringey 005","E02000401",2925,725,457,118,487,13,33,755,44,94,166,33
2021,"Haringey 006","E02000402",2757,622,414,160,514,20,23,656,49,84,170,45
2021,"Haringey 007","E02000403",3981,1377,1005,150,425,18,38,558,45,113,208,44
2021,"Haringey 008","E02000404",3363,935,831,134,488,15,33,551,50,81,200,45
2021,"Haringey 009","E02000405",3288,2112,260,70,126,8,19,401,31,111,134,16
2021,"Haringey 010","E02000406",3425,1058,790,104,470,8,33,542,25,86,239,70
2021,"Haringey 011","E02000407",3651,886,743,213,688,22,41,595,57,113,243,50
2021,"Haringey 012","E02000408",3630,849,649,253,687,6,32,704,60,110,211,69
2021,"Haringey 013","E02000409",2811,916,403,121,451,14,25,515,41,112,171,42
2021,"Haringey 014","E02000410",3418,2031,337,33,232,17,19,427,14,96,177,35
2021,"Haringey 015","E02000411",5588,1792,1241,404,697,17,60,762,70,204,272,69
2021,"Haringey 016","E02000412",3776,1124,895,164,605,16,29,496,31,96,275,45
2021,"Haringey 017","E02000413",3830,2234,369,50,211,24,26,540,38,129,177,32
2021,"Haringey 018","E02000414",3736,1171,770,155,552,18,40,554,66,171,193,46
2021,"Haringey 019","E02000415",3780,1398,846,117,448,21,40,462,30,173,215,30
2021,"Haringey 020","E02000416",4692,2614,447,166,374,17,27,527,42,163,275,40
2021,"Haringey 021","E02000417",3535,2151,342,51,203,16,23,355,24,127,205,38
2021,"Haringey 022","E02000418",2833,1825,222,58,109,14,13,293,20,122,141,16
2021,"Haringey 023","E02000419",4995,2172,889,164,631,14,35,478,59,226,284,43
2021,"Haringey 024","E02000420",4270,1474,901,223,539,25,46,529,48,192,233,60
2021,"Haringey 025","E02000421",4079,1092,930,268,693,16,42,559,50,180,200,49
2021,"Haringey 026","E02000422",3561,1172,650,178,557,11,50,487,34,153,210,59
2021,"Haringey 027","E02000423",3927,1605,680,122,589,12,41,379,26,234,202,37
2021,"Haringey 028","E02000424",3848,2252,330,107,242,12,26,412,30,175,226,36
2021,"Haringey 029","E02000425",3118,652,382,119,396,33,33,593,86,114,666,44
2021,"Haringey 030","E02000426",3298,2029,335,30,139,17,20,401,26,99,168,34
2021,"Haringey 031","E02000427",4017,1975,588,162,385,17,35,354,25,249,172,55
2021,"Haringey 032","E02000428",4266,1429,674,221,644,25,46,542,50,285,297,53
2021,"Haringey 033","E02000429",3813,2543,329,54,137,18,24,359,12,137,177,23
2021,"Haringey 034","E02000430",4281,2582,454,82,226,15,26,395,16,207,241,37
2021,"Haringey 035","E02000431",3654,2424,389,44,134,19,17,263,21,139,170,34
2021,"Haringey 036","E02000432",3748,2138,454,152,192,19,14,310,19,220,192,38
2021,"Harrow 001","E02000433",3892,1824,387,92,164,20,28,1093,68,23,153,40
2021,"Harrow 002","E02000434",4901,2113,624,121,269,24,7,1340,99,29,206,69
2021,"Harrow 003","E02000435",3586,1267,378,95,244,11,14,1308,91,20,114,44
2021,"Harrow 004","E02000436",2790,1464,169,66,54,8,3,875,41,21,68,21
2021,"Harrow 005","E02000437",3978,1320,310,167,303,23,21,1463,116,18,168,69
2021,"Harrow 006","E02000438",3756,1451,303,162,237,20,16,1279,85,18,145,40
2021,"Harrow 007","E02000439",4469,1198,669,170,467,19,14,1450,163,34,244,41
2021,"Harrow 008","E02000440",4797,1867,471,122,236,23,23,1653,138,31,177,56
2021,"Harrow 009","E02000441",3409,1565,317,76,190,23,10,1002,48,17,130,31
2021,"Harrow 010","E02000442",4810,1015,871,272,425,13,22,1617,220,33,236,86
2021,"Harrow 011","E02000443",4823,1379,556,248,522,33,33,1443,135,51,337,86
2021,"Harrow 012","E02000444",4162,1273,540,140,285,8,15,1484,147,19,191,60
2021,"Harrow 013","E02000445",5367,1397,736,351,493,27,32,1615,199,51,368,98
2021,"Harrow 015","E02000447",4060,1728,359,142,169,9,24,1293,98,41,157,40
2021,"Harrow 016","E02000448",3235,1807,325,58,111,5,8,726,36,27,109,23
2021,"Harrow 017","E02000449",4085,954,603,204,375,19,19,1402,189,23,228,69
2021,"Harrow 019","E02000451",3286,1573,379,100,97,7,13,871,64,22,128,32
2021,"Harrow 020","E02000452",4736,1634,827,243,441,25,33,984,82,44,347,76
2021,"Harrow 021","E02000453",4268,1732,594,160,294,14,15,1084,87,39,216,33
2021,"Harrow 022","E02000454",3560,1850,355,60,80,8,11,1026,37,17,96,20
2021,"Harrow 023","E02000455",6086,2540,996,235,448,29,24,1100,103,40,500,71
2021,"Harrow 024","E02000456",3969,1476,579,151,268,18,26,1033,121,30,221,46
2021,"Harrow 025","E02000457",3424,1479,460,127,129,10,16,972,56,22,114,39
2021,"Harrow 027","E02000459",4410,1367,682,189,445,16,25,1261,115,40,232,38
2021,"Harrow 028","E02000460",3355,1055,398,150,293,18,14,1126,74,30,151,46
2021,"Harrow 029","E02000461",3432,1344,498,83,229,8,22,837,57,45,264,45
2021,"Harrow 030","E02000462",3309,871,434,141,418,17,24,1067,99,30,160,48
2021,"Harrow 031","E02000463",3921,1048,347,136,333,15,27,1623,127,42,174,49
2021,"Havering 001","E02000464",3531,845,217,247,244,21,26,1617,107,21,144,42
2021,"Havering 002","E02000465",4410,1182,261,363,341,28,26,1764,165,29,202,49
2021,"Havering 003","E02000466",4039,1037,225,197,342,24,34,1819,137,20,142,62
2021,"Havering 004","E02000467",4774,1043,285,350,495,23,34,1898,200,36,334,76
2021,"Havering 005","E02000468",3956,1024,264,171,269,31,30,1795,140,23,148,61
2021,"Havering 006","E02000469",3235,770,229,215,302,16,18,1377,113,22,131,42
2021,"Havering 007","E02000470",5007,2099,257,509,136,13,22,1615,106,23,173,54
2021,"Havering 008","E02000471",3687,1261,146,228,135,37,12,1550,116,21,128,53
2021,"Havering 009","E02000472",4542,1344,266,279,292,30,26,1869,150,40,203,43
2021,"Havering 010","E02000473",5257,2024,233,372,168,34,32,1958,116,24,216,80
2021,"Havering 011","E02000474",4343,1273,309,293,316,30,28,1598,153,36,248,59
2021,"Havering 012","E02000475",4694,1983,234,442,173,27,12,1463,71,34,204,51
2021,"Havering 013","E02000476",4747,1605,432,475,405,19,24,1142,93,45,441,66
2021,"Havering 014","E02000477",4807,2015,219,350,173,29,20,1616,109,25,197,54
2021,"Havering 015","E02000478",2735,1150,124,121,45,12,3,1108,62,10,60,40
2021,"Havering 016","E02000479",4802,1571,360,462,303,24,17,1467,93,35,417,53
2021,"Havering 017","E02000480",6641,1806,522,530,593,30,39,2051,203,76,720,71
2021,"Havering 018","E02000481",3829,1475,169,286,117,20,14,1449,91,17,143,48
2021,"Havering 019","E02000482",3025,1541,124,221,39,17,10,855,50,11,136,21
2021,"Havering 020","E02000483",3862,1380,342,211,211,47,18,1293,83,24,201,52
2021,"Havering 021","E02000484",4291,1512,256,224,170,29,14,1649,98,32,249,58
2021,"Havering 022","E02000485",4261,1822,317,315,135,14,13,1324,81,24,172,44
2021,"Havering 023","E02000486",3591,1244,460,160,150,31,12,1239,88,22,142,43
2021,"Havering 024","E02000487",3631,1805,102,244,49,20,9,1153,58,15,147,29
2021,"Havering 025","E02000488",3752,1423,382,163,121,22,10,1357,99,18,112,45
2021,"Havering 026","E02000489",4124,1309,508,236,222,23,18,1474,114,22,147,51
2021,"Havering 027","E02000490",3999,1145,372,215,259,24,24,1629,107,40,135,49
2021,"Havering 028","E02000491",4890,1230,433,262,407,27,32,2059,153,58,159,70
2021,"Havering 029","E02000492",3206,932,130,254,107,28,20,1490,104,17,81,43
2021,"Havering 030","E02000493",3110,804,180,322,230,11,13,1210,104,29,165,42
2021,"Hillingdon 001","E02000494",3700,1937,329,52,94,9,9,1047,27,16,148,32
2021,"Hillingdon 002","E02000495",5076,2022,600,165,209,16,19,1610,83,33,266,53
2021,"Hillingdon 003","E02000496",3863,1198,125,38,140,9,16,1868,101,32,279,57
2021,"Hillingdon 004","E02000497",4596,2030,406,93,132,21,22,1567,84,37,157,47
2021,"Hillingdon 005","E02000498",2985,1184,207,56,64,17,21,1187,56,25,136,32
2021,"Hillingdon 006","E02000499",3713,1706,388,84,71,17,20,1169,48,35,143,32
2021,"Hillingdon 007","E02000500",4070,1906,388,85,118,10,10,1222,89,33,178,31
2021,"Hillingdon 008","E02000501",4315,1795,453,94,72,17,28,1506,73,40,188,49
2021,"Hillingdon 009","E02000502",4601,1821,535,121,149,9,31,1588,92,49,162,44
2021,"Hillingdon 010","E02000503",4620,1770,497,107,112,20,19,1679,91,59,224,42
2021,"Hillingdon 011","E02000504",3771,1705,273,56,53,14,26,1383,76,43,119,23
2021,"Hillingdon 013","E02000506",3891,1732,223,61,102,11,12,1491,74,30,119,36
2021,"Hillingdon 014","E02000507",4017,1260,276,77,198,9,23,1811,145,44,144,30
2021,"Hillingdon 015","E02000508",5549,2130,462,104,449,27,30,1697,110,69,416,55
2021,"Hillingdon 016","E02000509",4299,1368,378,118,404,17,20,1332,104,67,426,65
2021,"Hillingdon 017","E02000510",4384,1323,195,83,312,27,27,1822,122,37,382,54
2021,"Hillingdon 018","E02000511",4696,1129,197,73,480,19,26,2323,146,64,169,70
2021,"Hillingdon 019","E02000512",3911,988,166,84,466,29,25,1681,149,50,222,51
2021,"Hillingdon 020","E02000513",3978,715,207,90,623,31,30,1900,142,56,123,61
2021,"Hillingdon 021","E02000514",4565,896,165,99,758,27,27,2129,162,38,188,76
2021,"Hillingdon 022","E02000515",6366,1864,364,246,615,43,36,2431,175,102,410,80
2021,"Hillingdon 023","E02000516",3828,864,164,91,511,30,23,1729,123,65,165,63
2021,"Hillingdon 024","E02000517",4499,968,162,110,636,18,25,2114,176,49,173,68
2021,"Hillingdon 025","E02000518",4224,984,191,145,463,18,19,1857,163,48,290,46
2021,"Hillingdon 026","E02000519",3899,771,170,119,650,26,18,1647,149,48,237,64
2021,"Hillingdon 027","E02000520",6148,1371,289,261,1084,45,27,2346,177,81,375,92
2021,"Hillingdon 028","E02000521",6106,1761,273,204,657,38,37,2568,195,80,230,63
2021,"Hillingdon 029","E02000522",4436,1290,191,200,541,19,29,1718,139,63,198,48
2021,"Hillingdon 030","E02000523",5394,1340,238,255,848,29,25,2087,144,58,288,82
2021,"Hillingdon 031","E02000524",3771,791,144,87,852,13,30,1463,85,49,179,78
2021,"Hillingdon 032","E02000525",4567,798,186,140,1279,22,28,1629,125,55,221,84
2021,"Hounslow 001","E02000526",4695,2799,435,70,216,22,30,542,33,207,297,44
2021,"Hounslow 004","E02000529",4202,1072,214,106,571,27,27,1665,153,75,224,68
2021,"Hounslow 005","E02000530",3243,624,137,88,560,31,19,1374,113,71,178,48
2021,"Hounslow 006","E02000531",6086,2654,492,197,497,28,59,1396,79,253,359,72
2021,"Hounslow 007","E02000532",4437,2485,310,115,189,27,46,698,48,196,269,54
2021,"Hounslow 008","E02000533",4345,2494,324,148,216,27,21,607,36,195,227,50
2021,"Hounslow 009","E02000534",4412,1821,309,181,332,16,30,1186,73,131,293,40
2021,"Hounslow 010","E02000535",4501,1140,258,116,741,16,26,1718,153,72,197,64
2021,"Hounslow 011","E02000536",4915,1378,430,108,770,23,33,1579,149,88,269,88
2021,"Hounslow 012","E02000537",5006,1588,751,209,667,22,41,1206,105,107,236,74
2021,"Hounslow 013","E02000538",4715,823,248,104,1252,24,30,1610,140,118,294,72
2021,"Hounslow 014","E02000539",6265,2571,282,240,614,24,49,1505,78,272,540,90
2021,"Hounslow 015","E02000540",5972,1907,716,297,983,28,47,1272,96,142,424,60
2021,"Hounslow 016","E02000541",4788,861,456,171,1150,22,35,1491,131,106,313,52
2021,"Hounslow 017","E02000542",5556,1298,647,248,1191,23,41,1406,128,135,385,54
2021,"Hounslow 018","E02000543",6888,2025,864,397,1274,24,49,1426,111,169,473,76
2021,"Hounslow 019","E02000544",4308,1377,282,192,395,16,46,1451,111,129,262,47
2021,"Hounslow 020","E02000545",4270,1650,155,173,463,22,37,1137,64,166,345,58
2021,"Hounslow 021","E02000546",4816,1233,325,127,780,19,45,1623,153,122,311,78
2021,"Hounslow 022","E02000547",5081,1087,268,208,791,20,51,2055,157,107,258,79
2021,"Hounslow 023","E02000548",4923,904,240,177,694,19,38,2234,156,140,263,58
2021,"Hounslow 024","E02000549",6138,1397,243,287,987,29,58,2376,143,156,391,71
2021,"Hounslow 025","E02000550",5206,1386,179,351,667,19,61,1869,130,120,360,64
2021,"Hounslow 026","E02000551",4321,826,199,113,710,25,60,1790,126,140,276,56
2021,"Hounslow 027","E02000552",4596,1168,152,203,444,14,57,2045,133,106,208,66
2021,"Hounslow 028","E02000553",3295,812,93,92,402,9,34,1460,109,92,157,35
2021,"Islington 001","E02000554",4532,2148,485,132,558,27,30,486,30,218,356,62
2021,"Islington 002","E02000555",4917,2651,544,109,431,20,27,462,26,203,388,56
2021,"Islington 003","E02000556",6475,3566,785,217,470,41,47,438,25,384,452,50
2021,"Islington 004","E02000557",4764,2439,578,158,374,18,50,415,28,243,418,43
2021,"Islington 005","E02000558",4043,1599,642,223,545,19,29,387,19,187,346,47
2021,"Islington 006","E02000559",5602,3507,557,180,327,31,25,342,19,293,285,36
2021,"Islington 007","E02000560",4342,2388,530,95,382,28,24,282,24,260,295,34
2021,"Islington 008","E02000561",4148,2555,368,71,189,22,21,293,27,297,259,46
2021,"Islington 009","E02000562",4327,2573,402,81,309,28,27,308,23,278,253,45
2021,"Islington 010","E02000563",4211,1980,429,121,504,26,38,350,31,259,425,48
2021,"Islington 011","E02000564",7366,4197,955,172,493,31,18,423,35,428,536,78
2021,"Islington 012","E02000565",4424,2379,387,134,449,25,11,348,24,297,318,52
2021,"Islington 013","E02000566",4991,3287,446,112,218,34,17,257,16,244,319,41
2021,"Islington 014","E02000567",5949,3608,426,128,487,33,19,351,45,374,422,56
2021,"Islington 015","E02000568",5226,2492,609,217,522,46,44,421,31,276,505,63
2021,"Islington 016","E02000569",5047,3012,400,117,421,19,23,322,19,258,416,40
2021,"Islington 017","E02000570",4936,3293,351,89,236,38,22,212,17,243,394,41
2021,"Islington 018","E02000571",4668,2663,328,126,439,28,20,292,9,278,450,35
2021,"Islington 019","E02000572",3892,1607,417,140,506,34,29,388,16,166,528,61
2021,"Islington 020","E02000573",6068,3999,377,94,297,44,15,311,17,307,562,45
2021,"Islington 021","E02000574",4070,2366,328,85,292,20,19,217,24,188,481,50
2021,"Islington 022","E02000575",5762,3440,369,120,418,42,32,269,24,258,731,59
2021,"Islington 023","E02000576",5204,2780,387,142,478,33,33,300,23,194,780,54
2021,"Kensington and Chelsea 001","E02000577",3350,1198,367,113,453,28,35,423,23,189,438,83
2021,"Kensington and Chelsea 002","E02000578",2301,792,200,59,346,31,25,397,40,88,292,31
2021,"Kensington and Chelsea 003","E02000579",4356,2155,458,117,375,39,37,493,45,170,405,62
2021,"Kensington and Chelsea 004","E02000580",4038,1986,448,115,374,32,29,358,20,149,465,62
2021,"Kensington and Chelsea 005","E02000581",2934,1043,372,97,362,23,24,412,21,110,418,52
2021,"Kensington and Chelsea 006","E02000582",3520,2216,393,41,160,44,24,159,27,140,274,42
2021,"Kensington and Chelsea 007","E02000583",3448,2215,320,25,137,59,21,219,21,147,250,34
2021,"Kensington and Chelsea 008","E02000584",3616,2444,299,35,105,70,16,226,30,114,237,40
2021,"Kensington and Chelsea 009","E02000585",3849,2373,318,53,186,61,33,308,19,105,346,47
2021,"Kensington and Chelsea 010","E02000586",3055,2001,250,33,83,66,32,192,24,85,257,32
2021,"Kensington and Chelsea 011","E02000587",3257,2190,269,51,94,55,23,165,28,99,238,45
2021,"Kensington and Chelsea 012","E02000588",2972,1875,230,30,70,82,25,155,21,88,342,54
2021,"Kensington and Chelsea 013","E02000589",3646,2298,443,54,96,35,22,191,25,101,328,53
2021,"Kensington and Chelsea 014","E02000590",2776,1549,257,41,185,48,24,188,16,64,370,34
2021,"Kensington and Chelsea 015","E02000591",3021,1729,407,66,160,38,22,193,12,95,263,36
2021,"Kensington and Chelsea 016","E02000592",3059,2012,315,27,55,55,15,153,19,105,265,38
2021,"Kensington and Chelsea 017","E02000593",3725,2359,402,70,103,38,54,189,14,117,326,53
2021,"Kensington and Chelsea 018","E02000594",3261,2055,224,29,154,68,12,228,24,114,310,43
2021,"Kensington and Chelsea 019","E02000595",2963,1908,210,26,110,61,27,202,26,81,272,40
2021,"Kensington and Chelsea 020","E02000596",3565,2246,286,34,147,41,37,206,19,116,391,42
2021,"Kensington and Chelsea 021","E02000597",2737,1376,188,51,300,30,33,273,15,100,333,38
2021,"Kingston upon Thames 001","E02000598",3834,2234,67,116,144,9,36,735,44,188,223,38
2021,"Kingston upon Thames 002","E02000599",3013,1649,88,110,183,3,34,721,37,67,95,26
2021,"Kingston upon Thames 003","E02000600",4210,1966,78,212,318,9,55,738,51,155,589,39
2021,"Kingston upon Thames 004","E02000601",6027,3562,105,347,259,14,31,865,50,215,527,52
2021,"Kingston upon Thames 005","E02000602",4731,2048,87,269,487,22,41,879,45,154,658,41
2021,"Kingston upon Thames 006","E02000603",3997,1316,73,184,433,16,39,1201,91,155,448,41
2021,"Kingston upon Thames 007","E02000604",4643,2225,134,400,306,12,38,961,64,125,335,43
2021,"Kingston upon Thames 008","E02000605",4058,2039,101,234,250,2,29,967,57,112,233,34
2021,"Kingston upon Thames 009","E02000606",5852,3173,98,434,386,16,30,855,47,139,627,47
2021,"Kingston upon Thames 010","E02000607",3366,1878,38,188,156,5,20,662,46,115,228,30
2021,"Kingston upon Thames 011","E02000608",4315,2453,77,381,245,6,37,610,43,132,287,44
2021,"Kingston upon Thames 012","E02000609",3449,1382,63,213,227,13,17,1162,85,60,175,52
2021,"Kingston upon Thames 013","E02000610",4458,2321,62,343,303,11,29,857,57,130,312,33
2021,"Kingston upon Thames 014","E02000611",3507,1734,51,161,136,7,29,1039,62,110,147,31
2021,"Kingston upon Thames 015","E02000612",4026,1817,91,301,162,16,21,1252,91,69,156,50
2021,"Kingston upon Thames 016","E02000613",4127,2100,50,212,283,13,37,974,61,109,256,32
2021,"Kingston upon Thames 017","E02000614",4700,1503,71,296,486,16,46,1677,126,101,325,53
2021,"Kingston upon Thames 018","E02000615",4048,1336,45,179,252,14,63,1634,102,95,289,39
2021,"Kingston upon Thames 019","E02000616",3298,1111,38,169,195,7,35,1399,80,61,178,25
2021,"Kingston upon Thames 020","E02000617",4492,1404,40,196,304,19,38,1916,157,87,279,52
2021,"Lambeth 002","E02000619",4631,2082,429,180,681,32,38,352,18,277,486,56
2021,"Lambeth 003","E02000620",5590,2828,567,204,583,40,31,361,22,315,572,67
2021,"Lambeth 004","E02000621",7509,4167,854,276,720,42,55,405,25,379,503,83
2021,"Lambeth 005","E02000622",5102,2687,522,184,572,21,18,345,18,346,342,47
2021,"Lambeth 006","E02000623",4257,1580,587,170,701,15,46,435,24,245,392,62
2021,"Lambeth 007","E02000624",5689,2893,586,158,756,25,33,450,22,366,356,44
2021,"Lambeth 008","E02000625",5203,2051,801,257,776,18,59,447,32,323,389,50
2021,"Lambeth 009","E02000626",4170,1387,376,214,916,29,27,505,24,236,383,73
2021,"Lambeth 010","E02000627",5773,2936,897,193,609,21,36,382,50,288,297,64
2021,"Lambeth 011","E02000628",5894,2326,810,220,1085,23,57,478,29,364,386,116
2021,"Lambeth 012","E02000629",6062,3570,806,183,387,30,39,373,16,328,275,55
2021,"Lambeth 013","E02000630",4831,2995,495,114,352,18,46,291,21,235,221,43
2021,"Lambeth 014","E02000631",5563,2836,368,281,628,37,25,434,27,393,499,35
